Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,220.00000,-1,-20.00000,450.00000,14
04/02/2008,-60.00000,-1,20.00000,440.00000,14
04/03/2008,540.00000,1,20.00000,920.00000,15
04/04/2008,200.00000,1,40.00000,540.00000,15
04/05/2008,0.00000,0,0.00000,0.00000,15
04/06/2008,0.00000,0,0.00000,0.00000,15
04/07/2008,100.00000,1,-80.00000,200.00000,15
04/08/2008,160.00000,1,-40.00000,260.00000,15
04/09/2008,-30.00000,1,-20.00000,300.00000,15
04/10/2008,152.00000,-1,40.00000,380.00000,16
04/11/2008,70.00000,-1,-10.00000,200.00000,16
04/12/2008,0.00000,0,0.00000,0.00000,16
04/13/2008,0.00000,0,0.00000,0.00000,16
04/14/2008,-140.00000,-1,40.00000,290.00000,16
04/15/2008,168.00000,1,0.00000,970.00000,17
04/16/2008,-180.00000,1,10.00000,530.00000,19
04/17/2008,-500.00000,1,-10.00000,950.00000,19
04/18/2008,-388.00000,-1,0.00000,580.00000,20
04/19/2008,0.00000,0,0.00000,0.00000,20
04/20/2008,0.00000,0,0.00000,0.00000,20
04/21/2008,470.00000,-1,-20.00000,620.00000,20
04/22/2008,-470.00000,-1,10.00000,680.00000,20
04/23/2008,468.00000,1,-30.00000,740.00000,21
04/24/2008,-40.00000,1,100.00000,860.00000,21
04/25/2008,290.00000,1,40.00000,780.00000,21
04/26/2008,0.00000,0,0.00000,0.00000,21
04/27/2008,0.00000,0,0.00000,0.00000,21
04/28/2008,-410.00000,1,70.00000,680.00000,21
04/29/2008,-960.00000,1,180.00000,1320.00000,21
04/30/2008,350.00000,1,0.00000,530.00000,21
05/01/2008,-784.00000,0,-10.00000,1420.00000,22
05/02/2008,0.00000,0,0.00000,370.00000,22
05/03/2008,0.00000,0,0.00000,0.00000,22
05/04/2008,0.00000,0,0.00000,0.00000,22
05/05/2008,0.00000,0,0.00000,770.00000,22
05/06/2008,244.00000,1,0.00000,600.00000,23
05/07/2008,380.00000,1,40.00000,860.00000,23
05/08/2008,-360.00000,1,20.00000,540.00000,25
05/09/2008,180.00000,1,-40.00000,350.00000,25
05/10/2008,0.00000,0,0.00000,0.00000,25
05/11/2008,0.00000,0,0.00000,0.00000,25
05/12/2008,340.00000,1,-80.00000,710.00000,25
05/13/2008,-20.00000,1,0.00000,500.00000,25
05/14/2008,-28.00000,-1,20.00000,680.00000,26
05/15/2008,170.00000,-1,20.00000,550.00000,26
05/16/2008,460.00000,-1,150.00000,830.00000,26
05/17/2008,0.00000,0,0.00000,0.00000,26
05/18/2008,0.00000,0,0.00000,0.00000,26
05/19/2008,90.00000,-1,70.00000,390.00000,26
05/20/2008,-160.00000,-1,30.00000,320.00000,26
05/21/2008,20.00000,-1,-40.00000,380.00000,26
05/22/2008,-140.00000,-1,20.00000,310.00000,26
05/23/2008,-212.00000,1,-60.00000,430.00000,27
05/24/2008,0.00000,0,0.00000,0.00000,27
05/25/2008,0.00000,0,0.00000,0.00000,27
05/26/2008,0.00000,0,0.00000,0.00000,27
05/27/2008,300.00000,-1,80.00000,700.00000,28
05/28/2008,140.00000,-1,80.00000,280.00000,28
05/29/2008,70.00000,-1,20.00000,400.00000,28
05/30/2008,-430.00000,-1,30.00000,590.00000,28
05/31/2008,0.00000,0,0.00000,0.00000,28
06/01/2008,0.00000,0,0.00000,0.00000,28
06/02/2008,580.00000,-1,20.00000,600.00000,28
06/03/2008,180.00000,-1,40.00000,290.00000,28
06/04/2008,80.00000,-1,10.00000,340.00000,28
06/05/2008,80.00000,-1,-10.00000,280.00000,28
06/06/2008,80.00000,-1,-40.00000,370.00000,28
06/07/2008,0.00000,0,0.00000,0.00000,28
06/08/2008,0.00000,0,0.00000,0.00000,28
06/09/2008,510.00000,-1,160.00000,510.00000,28
06/10/2008,110.00000,-1,-10.00000,220.00000,28
06/11/2008,40.00000,-1,0.00000,240.00000,28
06/12/2008,50.00000,-1,-60.00000,140.00000,28
06/13/2008,0.00000,-1,-30.00000,140.00000,28
06/14/2008,0.00000,0,0.00000,0.00000,28
06/15/2008,0.00000,0,0.00000,0.00000,28
06/16/2008,-90.00000,-1,-20.00000,590.00000,28
06/17/2008,88.00000,1,90.00000,650.00000,29
06/18/2008,-268.00000,-1,130.00000,300.00000,30
06/19/2008,20.00000,1,0.00000,700.00000,31
06/20/2008,760.00000,1,60.00000,930.00000,33
06/21/2008,0.00000,0,0.00000,0.00000,33
06/22/2008,0.00000,0,0.00000,0.00000,33
06/23/2008,-320.00000,1,60.00000,480.00000,33
06/24/2008,-600.00000,1,60.00000,770.00000,33
06/25/2008,-300.00000,1,0.00000,560.00000,33
06/26/2008,-340.00000,1,40.00000,490.00000,33
06/27/2008,40.00000,1,20.00000,290.00000,34
06/28/2008,0.00000,0,0.00000,0.00000,34
06/29/2008,0.00000,0,0.00000,0.00000,34
06/30/2008,-304.00000,0,-180.00000,760.00000,34
07/01/2008,0.00000,0,0.00000,390.00000,34
07/02/2008,-204.00000,-1,0.00000,420.00000,35
07/03/2008,-200.00000,-1,-20.00000,300.00000,35
07/04/2008,0.00000,0,0.00000,0.00000,35
07/05/2008,0.00000,0,0.00000,0.00000,35
07/06/2008,0.00000,0,0.00000,0.00000,35
07/07/2008,-60.00000,-1,-30.00000,180.00000,35
07/08/2008,100.00000,-1,-60.00000,480.00000,35
07/09/2008,-420.00000,-1,-20.00000,550.00000,35
07/10/2008,-280.00000,0,30.00000,390.00000,36
07/11/2008,-304.00000,-1,0.00000,520.00000,37
07/12/2008,0.00000,0,0.00000,0.00000,37
07/13/2008,0.00000,0,0.00000,0.00000,37
07/14/2008,80.00000,-1,-20.00000,160.00000,37
07/15/2008,-150.00000,-1,-20.00000,220.00000,37
07/16/2008,-646.00000,0,0.00000,990.00000,38
07/17/2008,0.00000,0,0.00000,660.00000,38
07/18/2008,196.00000,-1,0.00000,500.00000,39
07/19/2008,0.00000,0,0.00000,0.00000,39
07/20/2008,0.00000,0,0.00000,0.00000,39
07/21/2008,-270.00000,-1,-30.00000,490.00000,39
07/22/2008,-400.00000,-1,-10.00000,500.00000,39
07/23/2008,40.00000,-1,20.00000,530.00000,39
07/24/2008,-460.00000,-1,-50.00000,580.00000,39
07/25/2008,440.00000,-1,-60.00000,540.00000,39
07/26/2008,0.00000,0,0.00000,0.00000,39
07/27/2008,0.00000,0,0.00000,0.00000,39
07/28/2008,0.00000,-1,-170.00000,510.00000,39
07/29/2008,290.00000,-1,20.00000,620.00000,39
07/30/2008,-490.00000,-1,-90.00000,760.00000,39
07/31/2008,288.00000,1,30.00000,650.00000,40
08/01/2008,520.00000,1,50.00000,640.00000,40
08/02/2008,0.00000,0,0.00000,0.00000,40
08/03/2008,0.00000,0,0.00000,0.00000,40
08/04/2008,360.00000,1,260.00000,500.00000,40
