Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,0.00000,0,0.00000,0.00000,0
04/02/2008,0.00000,0,0.00000,0.00000,0
04/03/2008,0.00000,0,0.00000,0.00000,0
04/04/2008,0.00000,0,0.00000,0.00000,0
04/05/2008,0.00000,0,0.00000,0.00000,0
04/06/2008,-125.00000,1,0.00000,421.87500,37
04/07/2008,-385.00000,0,0.00000,1093.75000,38
04/08/2008,203.12500,1,0.00000,765.62500,39
04/09/2008,625.00000,1,0.00000,1046.87500,39
04/10/2008,-796.87500,1,15.62500,1109.37500,39
04/11/2008,781.25000,1,0.00000,1078.12500,39
04/12/2008,0.00000,0,0.00000,0.00000,39
04/13/2008,62.50000,1,93.75000,203.12500,39
04/14/2008,328.12500,0,15.62500,875.00000,40
04/15/2008,-15.62500,1,0.00000,1093.75000,41
04/16/2008,-447.50000,1,0.00000,1015.62500,43
04/17/2008,-556.87500,0,0.00000,718.75000,44
04/18/2008,0.00000,0,0.00000,1265.62500,44
04/19/2008,0.00000,0,0.00000,0.00000,44
04/20/2008,-15.62500,1,0.00000,265.62500,45
04/21/2008,328.12500,1,-15.62500,593.75000,45
04/22/2008,-234.37500,1,0.00000,593.75000,45
04/23/2008,-156.25000,1,-15.62500,671.87500,45
04/24/2008,-431.87500,0,0.00000,1359.37500,46
04/25/2008,0.00000,0,0.00000,812.50000,46
04/26/2008,0.00000,0,0.00000,0.00000,46
04/27/2008,0.00000,0,0.00000,203.12500,46
04/28/2008,125.00000,-1,0.00000,625.00000,47
04/29/2008,-78.12500,-1,0.00000,531.25000,47
04/30/2008,1234.37500,1,0.00000,1171.87500,48
05/01/2008,234.37500,0,0.00000,843.75000,49
05/02/2008,0.00000,0,0.00000,1468.75000,49
05/03/2008,0.00000,0,0.00000,0.00000,49
05/04/2008,0.00000,0,0.00000,640.62500,49
05/05/2008,0.00000,0,0.00000,609.37500,49
05/06/2008,-31.25000,1,0.00000,937.50000,50
05/07/2008,531.25000,1,0.00000,843.75000,50
05/08/2008,578.12500,-1,0.00000,1140.62500,52
05/09/2008,62.50000,-1,-15.62500,546.87500,52
05/10/2008,0.00000,0,0.00000,0.00000,52
05/11/2008,-62.50000,1,-125.00000,218.75000,53
05/12/2008,-234.37500,1,-15.62500,562.50000,53
05/13/2008,-416.25000,1,15.62500,1500.00000,55
05/14/2008,-338.12500,0,0.00000,906.25000,56
05/15/2008,0.00000,0,0.00000,1078.12500,56
05/16/2008,0.00000,0,0.00000,968.75000,56
05/17/2008,0.00000,0,0.00000,0.00000,56
05/18/2008,62.50000,1,0.00000,140.62500,57
05/19/2008,359.37500,1,-15.62500,625.00000,57
05/20/2008,500.00000,-1,-15.62500,859.37500,58
05/21/2008,437.50000,-1,0.00000,625.00000,58
05/22/2008,828.12500,1,0.00000,1156.25000,60
05/23/2008,859.37500,1,-15.62500,1078.12500,60
05/24/2008,0.00000,0,0.00000,0.00000,60
05/25/2008,0.00000,1,31.25000,171.87500,60
05/26/2008,-140.62500,1,0.00000,187.50000,60
05/27/2008,-437.50000,1,0.00000,718.75000,60
05/28/2008,-885.00000,0,0.00000,1062.50000,61
05/29/2008,0.00000,0,0.00000,906.25000,61
05/30/2008,0.00000,0,0.00000,421.87500,61
05/31/2008,0.00000,0,0.00000,0.00000,61
06/01/2008,0.00000,0,0.00000,171.87500,61
06/02/2008,0.00000,0,0.00000,1156.25000,61
06/03/2008,46.87500,-1,0.00000,1406.25000,62
06/04/2008,-556.87500,1,-15.62500,937.50000,64
06/05/2008,-510.00000,0,0.00000,875.00000,65
06/06/2008,0.00000,0,0.00000,1703.12500,65
06/07/2008,0.00000,0,0.00000,0.00000,65
06/08/2008,-78.12500,1,0.00000,234.37500,66
06/09/2008,-431.87500,0,-15.62500,2078.12500,67
06/10/2008,15.62500,1,0.00000,1078.12500,68
06/11/2008,328.12500,1,0.00000,1109.37500,68
06/12/2008,-1056.87500,1,15.62500,1296.87500,70
06/13/2008,-78.12500,1,0.00000,921.87500,70
06/14/2008,0.00000,0,0.00000,0.00000,70
06/15/2008,93.75000,1,109.37500,156.25000,70
06/16/2008,234.37500,1,0.00000,531.25000,70
06/17/2008,406.25000,1,15.62500,593.75000,70
06/18/2008,437.50000,1,0.00000,953.12500,70
06/19/2008,312.50000,0,-15.62500,1046.87500,71
06/20/2008,0.00000,0,0.00000,765.62500,71
06/21/2008,0.00000,0,0.00000,0.00000,71
06/22/2008,31.25000,-1,0.00000,218.75000,72
06/23/2008,46.87500,-1,0.00000,500.00000,72
06/24/2008,-588.12500,0,0.00000,1015.62500,73
06/25/2008,656.25000,1,0.00000,937.50000,74
06/26/2008,546.87500,0,0.00000,1203.12500,75
06/27/2008,0.00000,0,0.00000,687.50000,75
06/28/2008,0.00000,0,0.00000,0.00000,75
06/29/2008,-78.12500,-1,0.00000,265.62500,76
06/30/2008,359.37500,-1,0.00000,593.75000,76
07/01/2008,-791.25000,0,-15.62500,890.62500,77
07/02/2008,0.00000,0,0.00000,734.37500,77
07/03/2008,0.00000,0,0.00000,687.50000,77
07/04/2008,0.00000,0,0.00000,703.12500,77
07/05/2008,0.00000,0,0.00000,0.00000,77
07/06/2008,312.50000,-1,0.00000,390.62500,78
07/07/2008,-822.50000,0,0.00000,1281.25000,79
07/08/2008,0.00000,0,0.00000,609.37500,79
07/09/2008,0.00000,0,0.00000,921.87500,79
07/10/2008,0.00000,0,0.00000,562.50000,79
07/11/2008,-171.87500,1,0.00000,1578.12500,81
07/12/2008,0.00000,0,0.00000,0.00000,81
07/13/2008,-338.12500,0,-171.87500,546.87500,81
07/14/2008,0.00000,0,0.00000,1593.75000,81
07/15/2008,0.00000,0,0.00000,937.50000,81
07/16/2008,281.25000,1,0.00000,1125.00000,82
07/17/2008,-385.00000,1,0.00000,1203.12500,84
07/18/2008,-916.25000,0,0.00000,1015.62500,86
07/19/2008,0.00000,0,0.00000,0.00000,86
07/20/2008,-31.25000,1,0.00000,265.62500,86
07/21/2008,453.12500,1,0.00000,734.37500,86
07/22/2008,-640.62500,1,0.00000,1031.25000,86
07/23/2008,-291.25000,0,0.00000,500.00000,87
07/24/2008,-375.00000,-1,0.00000,1187.50000,88
07/25/2008,921.87500,-1,0.00000,1125.00000,88
07/26/2008,0.00000,0,0.00000,0.00000,88
07/27/2008,-109.37500,-1,62.50000,250.00000,88
07/28/2008,-718.75000,-1,0.00000,984.37500,88
07/29/2008,125.00000,-1,15.62500,781.25000,88
07/30/2008,-93.75000,-1,0.00000,906.25000,88
07/31/2008,-150.62500,-1,0.00000,1171.87500,90
08/01/2008,-140.62500,-1,15.62500,718.75000,90
08/02/2008,0.00000,0,0.00000,0.00000,90
08/03/2008,125.00000,-1,62.50000,218.75000,90
08/04/2008,62.50000,-1,0.00000,531.25000,90
08/05/2008,421.87500,1,0.00000,500.00000,91
08/06/2008,-556.87500,0,0.00000,843.75000,92
08/07/2008,0.00000,0,0.00000,1218.75000,92
08/08/2008,203.12500,1,0.00000,515.62500,93
08/09/2008,0.00000,0,0.00000,0.00000,93
08/10/2008,46.87500,1,-15.62500,234.37500,93
08/11/2008,-760.00000,0,0.00000,1093.75000,94
08/12/2008,0.00000,0,0.00000,890.62500,94
08/13/2008,234.37500,1,0.00000,765.62500,95
08/14/2008,250.00000,1,0.00000,765.62500,95
08/15/2008,421.87500,1,0.00000,796.87500,95
08/16/2008,0.00000,0,0.00000,0.00000,95
08/17/2008,-31.25000,1,15.62500,203.12500,95
08/18/2008,328.12500,0,15.62500,500.00000,96
08/19/2008,0.00000,0,0.00000,531.25000,96
08/20/2008,0.00000,0,0.00000,750.00000,96
08/21/2008,0.00000,0,0.00000,734.37500,96
08/22/2008,0.00000,0,0.00000,546.87500,96
08/23/2008,0.00000,0,0.00000,0.00000,96
08/24/2008,0.00000,0,0.00000,281.25000,96
08/25/2008,0.00000,0,0.00000,859.37500,96
08/26/2008,0.00000,0,0.00000,500.00000,96
08/27/2008,0.00000,-1,0.00000,812.50000,97
08/28/2008,140.62500,-1,0.00000,484.37500,97
08/29/2008,234.37500,-1,0.00000,953.12500,97
08/30/2008,0.00000,0,0.00000,0.00000,97
08/31/2008,-171.87500,-1,-93.75000,250.00000,97
09/01/2008,93.75000,-1,-15.62500,359.37500,97
09/02/2008,-806.87500,0,0.00000,1328.12500,98
09/03/2008,0.00000,0,0.00000,546.87500,98
09/04/2008,-78.12500,-1,0.00000,1031.25000,99
09/05/2008,-838.12500,1,0.00000,1593.75000,102
09/06/2008,0.00000,0,0.00000,0.00000,102
09/07/2008,-822.50000,1,-859.37500,1453.12500,103
09/08/2008,1156.25000,0,-15.62500,1781.25000,104
09/09/2008,234.37500,-1,0.00000,1312.50000,105
09/10/2008,31.25000,-1,-15.62500,1015.62500,105
09/11/2008,343.75000,1,15.62500,1015.62500,106
09/12/2008,-494.37500,0,0.00000,1093.75000,107
09/13/2008,0.00000,0,0.00000,0.00000,107
09/14/2008,703.12500,1,0.00000,1953.12500,108
09/15/2008,203.12500,-1,0.00000,1406.25000,110
09/16/2008,-723.12500,0,0.00000,2281.25000,113
09/17/2008,0.00000,0,0.00000,1640.62500,113
09/18/2008,0.00000,0,0.00000,2015.62500,113
09/19/2008,31.25000,1,0.00000,2140.62500,114
09/20/2008,0.00000,0,0.00000,0.00000,114
09/21/2008,265.62500,1,62.50000,593.75000,114
09/22/2008,-806.87500,0,0.00000,1078.12500,115
09/23/2008,375.00000,1,0.00000,906.25000,116
09/24/2008,-125.00000,1,0.00000,1000.00000,116
09/25/2008,-760.00000,0,0.00000,1140.62500,117
09/26/2008,-15.62500,1,0.00000,609.37500,118
09/27/2008,0.00000,0,0.00000,0.00000,118
09/28/2008,62.50000,1,-15.62500,359.37500,118
09/29/2008,646.25000,0,0.00000,3453.12500,119
09/30/2008,-140.62500,1,0.00000,2031.25000,120
10/01/2008,625.00000,1,31.25000,1296.87500,120
10/02/2008,265.62500,1,-15.62500,546.87500,120
10/03/2008,453.12500,0,-15.62500,1703.12500,122
10/04/2008,0.00000,0,0.00000,0.00000,122
10/05/2008,-453.12500,-1,0.00000,828.12500,122
10/06/2008,865.00000,-1,15.62500,1546.87500,124
10/07/2008,281.25000,0,0.00000,1031.25000,125
10/08/2008,0.00000,0,0.00000,3812.50000,125
10/09/2008,1203.12500,0,0.00000,1437.50000,127
10/10/2008,0.00000,0,0.00000,1828.12500,127
10/11/2008,0.00000,0,0.00000,0.00000,127
10/12/2008,218.75000,1,0.00000,781.25000,128
10/13/2008,-728.75000,0,0.00000,1015.62500,129
10/14/2008,46.87500,1,0.00000,1281.25000,130
10/15/2008,421.87500,1,0.00000,1031.25000,130
10/16/2008,-978.75000,0,-15.62500,1390.62500,131
10/17/2008,0.00000,0,0.00000,1421.87500,131
10/18/2008,0.00000,0,0.00000,0.00000,131
10/19/2008,46.87500,1,0.00000,312.50000,132
10/20/2008,1156.25000,0,0.00000,1718.75000,133
10/21/2008,0.00000,0,0.00000,1421.87500,133
10/22/2008,-203.12500,-1,0.00000,1156.25000,134
10/23/2008,177.50000,-1,0.00000,1281.25000,136
10/24/2008,-744.37500,1,0.00000,1625.00000,138
10/25/2008,0.00000,0,0.00000,0.00000,138
10/26/2008,390.62500,-1,15.62500,453.12500,139
10/27/2008,-775.62500,0,-15.62500,1218.75000,140
10/28/2008,453.12500,1,0.00000,1359.37500,141
10/29/2008,-546.87500,1,0.00000,1312.50000,141
10/30/2008,-416.25000,0,0.00000,828.12500,142
10/31/2008,0.00000,1,0.00000,1656.25000,143
11/01/2008,0.00000,0,0.00000,0.00000,143
11/02/2008,-187.50000,1,0.00000,390.62500,143
11/03/2008,906.25000,1,0.00000,1031.25000,143
11/04/2008,-25.62500,0,-15.62500,2062.50000,146
11/05/2008,0.00000,0,0.00000,1031.25000,146
11/06/2008,0.00000,0,0.00000,1234.37500,146
11/07/2008,0.00000,0,0.00000,1140.62500,147
11/08/2008,0.00000,0,0.00000,0.00000,147
11/09/2008,-156.25000,1,0.00000,468.75000,147
11/10/2008,1359.37500,0,0.00000,1531.25000,148
11/11/2008,203.12500,1,0.00000,625.00000,149
11/12/2008,1000.00000,0,15.62500,1281.25000,150
11/13/2008,-510.00000,0,0.00000,1390.62500,152
11/14/2008,0.00000,0,0.00000,1343.75000,152
11/15/2008,0.00000,0,0.00000,0.00000,152
11/16/2008,390.62500,-1,0.00000,500.00000,153
11/17/2008,-562.50000,-1,0.00000,734.37500,153
11/18/2008,-494.37500,-1,-15.62500,1281.25000,155
11/19/2008,-697.50000,-1,0.00000,1375.00000,157
11/20/2008,-676.25000,0,-15.62500,2171.87500,160
11/21/2008,0.00000,0,0.00000,875.00000,160
11/22/2008,0.00000,0,0.00000,0.00000,160
11/23/2008,0.00000,0,0.00000,281.25000,160
11/24/2008,390.62500,1,0.00000,1140.62500,161
11/25/2008,812.50000,0,-15.62500,2125.00000,162
11/26/2008,0.00000,0,0.00000,1546.87500,162
