Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,-590.00000,1,-10.00000,900.00000,1
04/02/2008,0.00000,1,-140.00000,470.00000,1
04/03/2008,-110.00000,1,-130.00000,380.00000,1
04/04/2008,250.00000,1,-60.00000,600.00000,1
04/05/2008,0.00000,0,0.00000,0.00000,1
04/06/2008,0.00000,0,0.00000,0.00000,1
04/07/2008,-490.00000,1,-220.00000,660.00000,1
04/08/2008,-80.00000,1,60.00000,400.00000,1
04/09/2008,330.00000,1,30.00000,720.00000,1
04/10/2008,-10.00000,1,40.00000,580.00000,1
04/11/2008,720.00000,1,-110.00000,960.00000,1
04/12/2008,0.00000,0,0.00000,0.00000,1
04/13/2008,0.00000,0,0.00000,0.00000,1
04/14/2008,-100.00000,1,-10.00000,390.00000,1
04/15/2008,-470.00000,1,-10.00000,740.00000,1
04/16/2008,-570.00000,1,-80.00000,660.00000,1
04/17/2008,-380.00000,1,20.00000,680.00000,1
04/18/2008,-590.00000,0,-30.00000,870.00000,2
04/19/2008,0.00000,0,0.00000,0.00000,2
04/20/2008,0.00000,0,0.00000,0.00000,2
04/21/2008,0.00000,0,0.00000,420.00000,2
04/22/2008,0.00000,0,0.00000,660.00000,2
04/23/2008,0.00000,0,0.00000,290.00000,2
04/24/2008,-710.00000,0,0.00000,980.00000,4
04/25/2008,-40.00000,1,0.00000,740.00000,5
04/26/2008,0.00000,0,0.00000,0.00000,5
04/27/2008,0.00000,0,0.00000,0.00000,5
04/28/2008,-10.00000,1,-50.00000,410.00000,5
04/29/2008,380.00000,1,-50.00000,680.00000,5
04/30/2008,190.00000,1,-80.00000,340.00000,5
05/01/2008,0.00000,0,0.00000,0.00000,5
05/02/2008,-640.00000,1,-70.00000,1040.00000,5
05/03/2008,0.00000,0,0.00000,0.00000,5
05/04/2008,0.00000,0,0.00000,0.00000,5
05/05/2008,230.00000,1,90.00000,420.00000,5
05/06/2008,20.00000,1,-30.00000,620.00000,5
05/07/2008,120.00000,1,-110.00000,400.00000,5
05/08/2008,820.00000,1,40.00000,950.00000,5
05/09/2008,430.00000,1,30.00000,780.00000,5
05/10/2008,0.00000,0,0.00000,0.00000,5
05/11/2008,0.00000,0,0.00000,0.00000,5
05/12/2008,-160.00000,1,0.00000,420.00000,5
05/13/2008,-730.00000,1,-80.00000,1110.00000,5
05/14/2008,-520.00000,1,-80.00000,710.00000,5
05/15/2008,-800.00000,0,-50.00000,870.00000,6
05/16/2008,0.00000,1,0.00000,540.00000,7
05/17/2008,0.00000,0,0.00000,0.00000,7
05/18/2008,0.00000,0,0.00000,0.00000,7
05/19/2008,-40.00000,1,10.00000,650.00000,7
05/20/2008,90.00000,1,-90.00000,430.00000,7
05/21/2008,-550.00000,1,110.00000,850.00000,7
05/22/2008,-210.00000,0,-10.00000,490.00000,8
05/23/2008,0.00000,0,0.00000,760.00000,8
05/24/2008,0.00000,0,0.00000,0.00000,8
05/25/2008,0.00000,0,0.00000,0.00000,8
05/26/2008,0.00000,0,0.00000,310.00000,8
05/27/2008,0.00000,0,0.00000,480.00000,8
05/28/2008,0.00000,0,0.00000,440.00000,8
05/29/2008,0.00000,0,0.00000,790.00000,8
05/30/2008,0.00000,0,0.00000,470.00000,8
05/31/2008,0.00000,0,0.00000,0.00000,8
06/01/2008,0.00000,0,0.00000,0.00000,8
06/02/2008,0.00000,0,0.00000,770.00000,8
06/03/2008,0.00000,0,0.00000,1100.00000,8
06/04/2008,0.00000,0,0.00000,470.00000,8
06/05/2008,0.00000,0,0.00000,800.00000,8
06/06/2008,440.00000,1,0.00000,910.00000,9
06/07/2008,0.00000,0,0.00000,0.00000,9
06/08/2008,0.00000,0,0.00000,0.00000,9
06/09/2008,-670.00000,1,-100.00000,2090.00000,10
