Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,-510.00000,0,12.50000,2837.50000,41
04/02/2008,-212.50000,1,0.00000,850.00000,42
04/03/2008,275.00000,1,37.50000,912.50000,42
04/04/2008,-75.00000,1,-12.50000,1187.50000,42
04/05/2008,0.00000,0,0.00000,0.00000,42
04/06/2008,0.00000,0,0.00000,0.00000,42
04/07/2008,-100.00000,1,25.00000,1100.00000,42
04/08/2008,12.50000,1,0.00000,500.00000,42
04/09/2008,287.50000,-1,137.50000,1312.50000,43
04/10/2008,-200.00000,-1,0.00000,900.00000,43
04/11/2008,1600.00000,0,-37.50000,1862.50000,44
04/12/2008,0.00000,0,0.00000,0.00000,44
04/13/2008,0.00000,0,0.00000,0.00000,44
04/14/2008,0.00000,0,0.00000,575.00000,44
04/15/2008,0.00000,0,0.00000,975.00000,44
04/16/2008,0.00000,0,0.00000,1750.00000,44
04/17/2008,0.00000,0,0.00000,887.50000,44
04/18/2008,0.00000,0,0.00000,1412.50000,44
04/19/2008,0.00000,0,0.00000,0.00000,44
04/20/2008,0.00000,0,0.00000,0.00000,44
04/21/2008,0.00000,0,0.00000,662.50000,44
04/22/2008,0.00000,0,0.00000,975.00000,44
04/23/2008,0.00000,0,0.00000,850.00000,44
04/24/2008,0.00000,0,0.00000,1562.50000,44
04/25/2008,350.00000,1,0.00000,1012.50000,45
04/26/2008,0.00000,0,0.00000,0.00000,45
04/27/2008,0.00000,0,0.00000,0.00000,45
04/28/2008,-12.50000,1,75.00000,562.50000,45
04/29/2008,225.00000,-1,37.50000,600.00000,46
04/30/2008,-825.00000,1,-12.50000,1237.50000,47
05/01/2008,1337.50000,1,25.00000,1462.50000,47
05/02/2008,250.00000,1,0.00000,1050.00000,47
05/03/2008,0.00000,0,0.00000,0.00000,47
05/04/2008,0.00000,0,0.00000,0.00000,47
05/05/2008,-362.50000,1,-137.50000,825.00000,47
05/06/2008,550.00000,1,12.50000,1287.50000,47
05/07/2008,-1250.00000,1,0.00000,1675.00000,47
05/08/2008,-212.50000,1,-12.50000,687.50000,47
05/09/2008,-462.50000,-1,-25.00000,575.00000,48
05/10/2008,0.00000,0,0.00000,0.00000,48
05/11/2008,0.00000,0,0.00000,0.00000,48
05/12/2008,400.00000,1,0.00000,937.50000,49
05/13/2008,-200.00000,-1,12.50000,712.50000,50
05/14/2008,-810.00000,0,0.00000,1137.50000,51
05/15/2008,0.00000,0,0.00000,962.50000,51
05/16/2008,-587.50000,-1,0.00000,737.50000,53
05/17/2008,0.00000,0,0.00000,0.00000,53
05/18/2008,0.00000,0,0.00000,0.00000,53
05/19/2008,237.50000,1,25.00000,962.50000,54
05/20/2008,-650.00000,1,0.00000,1012.50000,54
05/21/2008,-460.00000,0,12.50000,1650.00000,55
05/22/2008,0.00000,0,0.00000,475.00000,55
05/23/2008,737.50000,-1,0.00000,1112.50000,56
05/24/2008,0.00000,0,0.00000,0.00000,56
05/25/2008,0.00000,0,0.00000,0.00000,56
05/26/2008,-137.50000,1,-12.50000,250.00000,57
05/27/2008,-500.00000,-1,12.50000,862.50000,58
05/28/2008,-422.50000,0,-37.50000,775.00000,59
05/29/2008,0.00000,0,0.00000,1012.50000,59
05/30/2008,0.00000,0,0.00000,500.00000,59
05/31/2008,0.00000,0,0.00000,0.00000,59
06/01/2008,0.00000,0,0.00000,0.00000,59
06/02/2008,425.00000,-1,0.00000,1175.00000,60
06/03/2008,425.00000,-1,25.00000,1212.50000,60
06/04/2008,37.50000,-1,-12.50000,875.00000,60
06/05/2008,-1425.00000,-1,0.00000,1500.00000,60
06/06/2008,2337.50000,0,12.50000,2625.00000,61
06/07/2008,0.00000,0,0.00000,0.00000,61
06/08/2008,0.00000,0,0.00000,0.00000,61
06/09/2008,-50.00000,1,0.00000,1050.00000,62
06/10/2008,-662.50000,-1,0.00000,1000.00000,63
06/11/2008,950.00000,-1,37.50000,1425.00000,63
06/12/2008,-337.50000,-1,100.00000,1112.50000,63
06/13/2008,-662.50000,-1,112.50000,1225.00000,63
06/14/2008,0.00000,0,0.00000,0.00000,63
06/15/2008,0.00000,0,0.00000,0.00000,63
06/16/2008,12.50000,-1,0.00000,800.00000,63
06/17/2008,-1175.00000,1,-25.00000,1037.50000,64
06/18/2008,265.00000,-1,0.00000,1050.00000,66
06/19/2008,-250.00000,-1,0.00000,875.00000,66
06/20/2008,1225.00000,-1,-12.50000,1400.00000,66
06/21/2008,0.00000,0,0.00000,0.00000,66
