Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,1680.00000,-1,0.00000,4940.00000,17
04/02/2008,720.00000,1,-100.00000,2640.00000,18
04/03/2008,-830.00000,-1,-200.00000,2120.00000,19
04/04/2008,590.00000,1,-80.00000,1600.00000,20
04/05/2008,0.00000,0,0.00000,0.00000,20
04/06/2008,0.00000,0,0.00000,0.00000,20
04/07/2008,590.00000,1,-80.00000,1930.00000,20
04/08/2008,-520.00000,1,20.00000,1830.00000,20
04/09/2008,-2460.00000,0,60.00000,3300.00000,22
04/10/2008,-880.00000,-1,0.00000,1840.00000,24
04/11/2008,370.00000,-1,-70.00000,1530.00000,24
04/12/2008,0.00000,0,0.00000,0.00000,24
04/13/2008,0.00000,0,0.00000,0.00000,24
04/14/2008,90.00000,1,410.00000,1790.00000,25
04/15/2008,380.00000,1,100.00000,1370.00000,25
04/16/2008,1660.00000,1,50.00000,2540.00000,25
04/17/2008,390.00000,-1,110.00000,1590.00000,26
04/18/2008,2250.00000,-1,-220.00000,4250.00000,26
04/19/2008,0.00000,0,0.00000,0.00000,26
04/20/2008,0.00000,0,0.00000,0.00000,26
04/21/2008,-40.00000,-1,-70.00000,1790.00000,26
04/22/2008,-370.00000,1,80.00000,1410.00000,27
04/23/2008,-1400.00000,-1,70.00000,2650.00000,29
04/24/2008,1810.00000,-1,-30.00000,2400.00000,29
04/25/2008,0.00000,-1,-20.00000,1900.00000,29
04/26/2008,0.00000,0,0.00000,0.00000,29
04/27/2008,0.00000,0,0.00000,0.00000,29
04/28/2008,-660.00000,-1,-150.00000,960.00000,29
04/29/2008,2270.00000,-1,-50.00000,2550.00000,29
04/30/2008,-680.00000,-1,20.00000,1670.00000,29
05/01/2008,2590.00000,0,20.00000,3510.00000,30
05/02/2008,0.00000,0,0.00000,1450.00000,30
05/03/2008,0.00000,0,0.00000,0.00000,30
05/04/2008,0.00000,0,0.00000,0.00000,30
05/05/2008,0.00000,0,0.00000,1800.00000,30
05/06/2008,-90.00000,1,0.00000,1190.00000,31
05/07/2008,-520.00000,-1,-10.00000,1890.00000,32
05/08/2008,-1340.00000,-1,-60.00000,2060.00000,32
05/09/2008,-2380.00000,-1,-260.00000,1980.00000,35
05/10/2008,0.00000,0,0.00000,0.00000,35
05/11/2008,0.00000,0,0.00000,0.00000,35
05/12/2008,250.00000,-1,-300.00000,1230.00000,35
05/13/2008,1600.00000,-1,-70.00000,2620.00000,35
05/14/2008,280.00000,-1,10.00000,1170.00000,35
05/15/2008,-1270.00000,1,-110.00000,2620.00000,36
05/16/2008,2070.00000,1,110.00000,2510.00000,36
05/17/2008,0.00000,0,0.00000,0.00000,36
05/18/2008,0.00000,0,0.00000,0.00000,36
05/19/2008,280.00000,1,70.00000,1360.00000,36
05/20/2008,1430.00000,1,90.00000,2100.00000,36
05/21/2008,1300.00000,1,140.00000,1650.00000,36
05/22/2008,950.00000,-1,30.00000,1830.00000,38
05/23/2008,370.00000,1,20.00000,1480.00000,39
05/24/2008,0.00000,0,0.00000,0.00000,39
05/25/2008,0.00000,0,0.00000,0.00000,39
05/26/2008,400.00000,1,30.00000,580.00000,39
05/27/2008,-2300.00000,1,0.00000,2730.00000,39
05/28/2008,-740.00000,-1,70.00000,2090.00000,41
05/29/2008,2380.00000,-1,-130.00000,3120.00000,41
05/30/2008,30.00000,1,-60.00000,1980.00000,42
05/31/2008,0.00000,0,0.00000,0.00000,42
06/01/2008,0.00000,0,0.00000,0.00000,42
06/02/2008,450.00000,1,110.00000,1680.00000,42
06/03/2008,-1100.00000,1,-50.00000,2260.00000,42
06/04/2008,-140.00000,1,20.00000,1090.00000,42
06/05/2008,-240.00000,1,-50.00000,1560.00000,42
06/06/2008,2550.00000,1,110.00000,2570.00000,42
06/07/2008,0.00000,0,0.00000,0.00000,42
06/08/2008,0.00000,0,0.00000,0.00000,42
06/09/2008,-1010.00000,1,70.00000,1930.00000,42
06/10/2008,-2790.00000,0,-80.00000,3120.00000,43
06/11/2008,0.00000,0,0.00000,1630.00000,43
06/12/2008,-230.00000,-1,0.00000,2530.00000,44
06/13/2008,-370.00000,-1,-40.00000,1520.00000,44
06/14/2008,0.00000,0,0.00000,0.00000,44
06/15/2008,0.00000,0,0.00000,0.00000,44
06/16/2008,-1520.00000,1,170.00000,2860.00000,46
06/17/2008,30.00000,1,30.00000,1480.00000,46
06/18/2008,1200.00000,1,20.00000,1560.00000,46
06/19/2008,360.00000,1,10.00000,2220.00000,46
06/20/2008,350.00000,1,10.00000,1230.00000,46
06/21/2008,0.00000,0,0.00000,0.00000,46
06/22/2008,0.00000,0,0.00000,0.00000,46
06/23/2008,2150.00000,-1,-10.00000,3230.00000,47
06/24/2008,-350.00000,1,0.00000,1210.00000,48
06/25/2008,-360.00000,1,10.00000,1770.00000,48
06/26/2008,3110.00000,1,0.00000,3370.00000,48
06/27/2008,1060.00000,1,-10.00000,2080.00000,48
06/28/2008,0.00000,0,0.00000,0.00000,48
06/29/2008,0.00000,0,0.00000,0.00000,48
06/30/2008,-460.00000,-1,120.00000,1750.00000,49
07/01/2008,-1700.00000,0,-70.00000,2470.00000,50
07/02/2008,0.00000,0,0.00000,1440.00000,50
07/03/2008,0.00000,0,0.00000,2200.00000,50
07/04/2008,0.00000,0,0.00000,750.00000,50
07/05/2008,0.00000,0,0.00000,0.00000,50
07/06/2008,0.00000,0,0.00000,0.00000,50
07/07/2008,-440.00000,-1,0.00000,1940.00000,51
07/08/2008,640.00000,-1,10.00000,2230.00000,51
07/09/2008,340.00000,1,-100.00000,1330.00000,52
07/10/2008,1880.00000,1,10.00000,2280.00000,52
07/11/2008,1660.00000,1,-240.00000,2650.00000,52
07/12/2008,0.00000,0,0.00000,0.00000,52
07/13/2008,0.00000,0,0.00000,0.00000,52
07/14/2008,-1740.00000,-1,170.00000,2220.00000,53
07/15/2008,-530.00000,0,-90.00000,2090.00000,54
07/16/2008,0.00000,0,0.00000,2430.00000,54
07/17/2008,-1280.00000,1,0.00000,2690.00000,55
07/18/2008,-530.00000,0,40.00000,1480.00000,56
07/19/2008,0.00000,0,0.00000,0.00000,56
07/20/2008,0.00000,0,0.00000,0.00000,56
07/21/2008,150.00000,1,0.00000,1370.00000,57
07/22/2008,-1960.00000,0,20.00000,3490.00000,58
07/23/2008,1740.00000,-1,0.00000,3180.00000,59
07/24/2008,-410.00000,1,-30.00000,1550.00000,60
07/25/2008,-870.00000,-1,-20.00000,1670.00000,61
07/26/2008,0.00000,0,0.00000,0.00000,61
07/27/2008,0.00000,0,0.00000,0.00000,61
07/28/2008,-70.00000,-1,30.00000,1050.00000,61
07/29/2008,1150.00000,-1,0.00000,1990.00000,61
07/30/2008,1350.00000,-1,60.00000,2630.00000,61
07/31/2008,-760.00000,-1,-210.00000,1960.00000,61
08/01/2008,300.00000,-1,-40.00000,1570.00000,61
08/02/2008,0.00000,0,0.00000,0.00000,61
08/03/2008,0.00000,0,0.00000,0.00000,61
08/04/2008,1650.00000,-1,50.00000,2200.00000,61
08/05/2008,2080.00000,-1,-70.00000,2320.00000,61
08/06/2008,-530.00000,-1,50.00000,1410.00000,61
08/07/2008,840.00000,0,-10.00000,1780.00000,62
08/08/2008,190.00000,-1,0.00000,2380.00000,63
08/09/2008,0.00000,0,0.00000,0.00000,63
08/10/2008,0.00000,0,0.00000,0.00000,63
08/11/2008,-2350.00000,0,30.00000,4820.00000,65
08/12/2008,0.00000,0,0.00000,2500.00000,65
08/13/2008,770.00000,1,0.00000,2490.00000,66
08/14/2008,-2050.00000,1,0.00000,3290.00000,66
08/15/2008,-530.00000,0,-20.00000,3490.00000,67
08/16/2008,0.00000,0,0.00000,0.00000,67
08/17/2008,0.00000,0,0.00000,0.00000,67
08/18/2008,0.00000,0,0.00000,1680.00000,67
08/19/2008,0.00000,0,0.00000,3540.00000,67
08/20/2008,0.00000,0,0.00000,1930.00000,67
08/21/2008,0.00000,0,0.00000,2840.00000,67
08/22/2008,790.00000,-1,0.00000,1750.00000,68
08/23/2008,0.00000,0,0.00000,0.00000,68
08/24/2008,0.00000,0,0.00000,0.00000,68
08/25/2008,130.00000,-1,-270.00000,1080.00000,68
08/26/2008,150.00000,1,-20.00000,2400.00000,69
08/27/2008,200.00000,1,-70.00000,1540.00000,69
08/28/2008,280.00000,-1,0.00000,1920.00000,70
08/29/2008,340.00000,-1,50.00000,1020.00000,70
08/30/2008,0.00000,0,0.00000,0.00000,70
08/31/2008,0.00000,0,0.00000,0.00000,70
09/01/2008,1380.00000,-1,-620.00000,2330.00000,70
09/02/2008,1220.00000,-1,20.00000,2970.00000,70
09/03/2008,220.00000,1,-20.00000,1980.00000,71
09/04/2008,-460.00000,1,80.00000,2140.00000,71
09/05/2008,710.00000,1,0.00000,2940.00000,71
09/06/2008,0.00000,0,0.00000,0.00000,71
09/07/2008,0.00000,0,0.00000,0.00000,71
09/08/2008,-210.00000,1,640.00000,2220.00000,71
09/09/2008,-840.00000,-1,90.00000,2980.00000,73
09/10/2008,2520.00000,-1,50.00000,3260.00000,73
09/11/2008,550.00000,-1,20.00000,2220.00000,73
09/12/2008,-1850.00000,-1,-220.00000,2130.00000,73
09/13/2008,0.00000,0,0.00000,0.00000,73
09/14/2008,0.00000,0,0.00000,0.00000,73
09/15/2008,-2090.00000,-1,-420.00000,2400.00000,73
09/16/2008,710.00000,-1,-140.00000,1880.00000,73
09/17/2008,5180.00000,0,130.00000,9540.00000,75
09/18/2008,0.00000,0,0.00000,9000.00000,75
09/19/2008,-300.00000,1,0.00000,5290.00000,78
09/20/2008,0.00000,0,0.00000,0.00000,78
09/21/2008,0.00000,0,0.00000,0.00000,78
09/22/2008,2500.00000,1,-290.00000,4760.00000,78
09/23/2008,-530.00000,1,350.00000,3020.00000,78
09/24/2008,-880.00000,1,-80.00000,2740.00000,78
09/25/2008,-990.00000,-1,110.00000,3470.00000,79
09/26/2008,-1600.00000,0,20.00000,4890.00000,80
09/27/2008,0.00000,0,0.00000,0.00000,80
09/28/2008,0.00000,0,0.00000,0.00000,80
09/29/2008,0.00000,0,0.00000,5980.00000,80
09/30/2008,0.00000,0,0.00000,6010.00000,80
10/01/2008,0.00000,0,0.00000,2910.00000,80
10/02/2008,0.00000,0,0.00000,4810.00000,80
10/03/2008,0.00000,0,0.00000,3020.00000,80
10/04/2008,0.00000,0,0.00000,0.00000,80
10/05/2008,0.00000,0,0.00000,0.00000,80
10/06/2008,-90.00000,1,0.00000,5060.00000,81
10/07/2008,2870.00000,1,-170.00000,3570.00000,81
10/08/2008,2810.00000,1,140.00000,4480.00000,83
10/09/2008,-1900.00000,0,-30.00000,4610.00000,84
10/10/2008,0.00000,0,0.00000,10730.00000,84
10/11/2008,0.00000,0,0.00000,0.00000,84
10/12/2008,0.00000,0,0.00000,0.00000,84
10/13/2008,-1120.00000,-1,0.00000,5050.00000,87
10/14/2008,-410.00000,-1,-40.00000,2380.00000,87
10/15/2008,-1060.00000,-1,100.00000,2610.00000,87
10/16/2008,6550.00000,-1,-150.00000,6540.00000,89
10/17/2008,2170.00000,-1,-110.00000,4470.00000,89
