Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,-75.00000,1,175.00000,3150.00000,11
04/02/2008,1900.00000,1,-25.00000,3100.00000,11
04/03/2008,187.50000,1,-100.00000,2312.50000,11
04/04/2008,1625.00000,1,75.00000,2550.00000,11
04/05/2008,0.00000,0,0.00000,0.00000,11
04/06/2008,0.00000,0,0.00000,0.00000,11
04/07/2008,-62.50000,1,25.00000,1700.00000,11
04/08/2008,-1675.00000,1,225.00000,2562.50000,11
04/09/2008,3012.50000,1,-25.00000,4250.00000,11
04/10/2008,-1700.00000,1,287.50000,3175.00000,11
04/11/2008,362.50000,1,-412.50000,1862.50000,11
04/12/2008,0.00000,0,0.00000,0.00000,11
04/13/2008,0.00000,0,0.00000,0.00000,11
04/14/2008,-1962.50000,1,-112.50000,3550.00000,11
04/15/2008,-237.50000,-1,237.50000,2150.00000,12
04/16/2008,-2297.50000,1,250.00000,4725.00000,14
04/17/2008,-1175.00000,1,0.00000,3937.50000,14
04/18/2008,-1447.50000,0,137.50000,3562.50000,15
04/19/2008,0.00000,0,0.00000,0.00000,15
04/20/2008,0.00000,0,0.00000,0.00000,15
04/21/2008,12.50000,-1,0.00000,2237.50000,16
04/22/2008,-2460.00000,1,-737.50000,3425.00000,18
04/23/2008,-1187.50000,1,112.50000,2587.50000,18
04/24/2008,200.00000,-1,-225.00000,2050.00000,19
04/25/2008,-662.50000,-1,25.00000,3012.50000,19
04/26/2008,0.00000,0,0.00000,0.00000,19
04/27/2008,0.00000,0,0.00000,0.00000,19
04/28/2008,-662.50000,-1,-225.00000,1325.00000,19
04/29/2008,1487.50000,-1,287.50000,8187.50000,19
04/30/2008,-887.50000,-1,-487.50000,2037.50000,19
05/01/2008,4162.50000,-1,-50.00000,6562.50000,19
05/02/2008,-2262.50000,-1,375.00000,3812.50000,19
05/03/2008,0.00000,0,0.00000,0.00000,19
05/04/2008,0.00000,0,0.00000,0.00000,19
05/05/2008,-3935.00000,0,37.50000,11012.50000,20
05/06/2008,0.00000,0,0.00000,2737.50000,20
05/07/2008,0.00000,0,0.00000,1712.50000,20
05/08/2008,0.00000,-1,0.00000,2450.00000,21
05/09/2008,1825.00000,-1,-237.50000,3062.50000,21
05/10/2008,0.00000,0,0.00000,0.00000,21
05/11/2008,0.00000,0,0.00000,0.00000,21
05/12/2008,-712.50000,-1,-137.50000,2237.50000,21
05/13/2008,-12.50000,-1,-112.50000,2112.50000,21
05/14/2008,1562.50000,-1,250.00000,2275.00000,21
05/15/2008,-1750.00000,-1,50.00000,2650.00000,21
05/16/2008,-2187.50000,-1,237.50000,3000.00000,21
05/17/2008,0.00000,0,0.00000,0.00000,21
05/18/2008,0.00000,0,0.00000,0.00000,21
05/19/2008,1562.50000,-1,37.50000,2887.50000,21
05/20/2008,87.50000,-1,62.50000,1737.50000,21
05/21/2008,637.50000,-1,75.00000,1500.00000,21
05/22/2008,1087.50000,-1,125.00000,3225.00000,21
05/23/2008,-912.50000,-1,-25.00000,2412.50000,21
05/24/2008,0.00000,0,0.00000,0.00000,21
05/25/2008,0.00000,0,0.00000,0.00000,21
05/26/2008,287.50000,-1,-162.50000,1262.50000,21
05/27/2008,175.00000,-1,-37.50000,1300.00000,21
05/28/2008,600.00000,-1,-212.50000,2325.00000,21
05/29/2008,3037.50000,-1,-137.50000,3787.50000,21
05/30/2008,-350.00000,1,137.50000,1312.50000,22
05/31/2008,0.00000,0,0.00000,0.00000,22
06/01/2008,0.00000,0,0.00000,0.00000,22
06/02/2008,-325.00000,1,-162.50000,1900.00000,22
06/03/2008,-537.50000,1,25.00000,1287.50000,22
06/04/2008,-475.00000,1,-112.50000,862.50000,22
06/05/2008,500.00000,1,-87.50000,1525.00000,22
06/06/2008,1725.00000,1,200.00000,2587.50000,22
06/07/2008,0.00000,0,0.00000,0.00000,22
06/08/2008,0.00000,0,0.00000,0.00000,22
06/09/2008,-1012.50000,1,-325.00000,2050.00000,22
06/10/2008,-875.00000,1,312.50000,1500.00000,22
06/11/2008,237.50000,1,-125.00000,1925.00000,22
06/12/2008,-962.50000,1,62.50000,1912.50000,22
06/13/2008,1237.50000,1,100.00000,2250.00000,22
06/14/2008,0.00000,0,0.00000,0.00000,22
06/15/2008,0.00000,0,0.00000,0.00000,22
06/16/2008,2050.00000,1,212.50000,3112.50000,22
06/17/2008,-337.50000,1,-312.50000,1612.50000,22
06/18/2008,2412.50000,1,25.00000,2987.50000,22
06/19/2008,1037.50000,1,-250.00000,2325.00000,22
06/20/2008,825.00000,1,-175.00000,1937.50000,22
06/21/2008,0.00000,0,0.00000,0.00000,22
06/22/2008,0.00000,0,0.00000,0.00000,22
06/23/2008,-250.00000,1,312.50000,2000.00000,22
06/24/2008,-925.00000,1,0.00000,1187.50000,22
06/25/2008,400.00000,1,175.00000,2125.00000,22
06/26/2008,900.00000,1,-50.00000,2075.00000,22
06/27/2008,962.50000,1,125.00000,1950.00000,22
06/28/2008,0.00000,0,0.00000,0.00000,22
06/29/2008,0.00000,0,0.00000,0.00000,22
06/30/2008,37.50000,1,537.50000,2012.50000,22
07/01/2008,750.00000,1,237.50000,1862.50000,22
07/02/2008,987.50000,0,100.00000,5062.50000,23
07/03/2008,0.00000,0,0.00000,2975.00000,23
07/04/2008,0.00000,0,0.00000,2350.00000,23
07/05/2008,0.00000,0,0.00000,0.00000,23
07/06/2008,0.00000,0,0.00000,0.00000,23
07/07/2008,0.00000,0,0.00000,2425.00000,23
07/08/2008,0.00000,0,0.00000,4425.00000,23
07/09/2008,12.50000,1,0.00000,2775.00000,24
07/10/2008,25.00000,1,275.00000,2975.00000,24
07/11/2008,812.50000,-1,150.00000,2062.50000,25
07/12/2008,0.00000,0,0.00000,0.00000,25
07/13/2008,0.00000,0,0.00000,0.00000,25
07/14/2008,-150.00000,-1,-37.50000,1787.50000,25
07/15/2008,1200.00000,-1,150.00000,2312.50000,25
07/16/2008,1375.00000,-1,362.50000,2137.50000,25
07/17/2008,-1200.00000,-1,-150.00000,2337.50000,25
07/18/2008,625.00000,-1,0.00000,1237.50000,25
07/19/2008,0.00000,0,0.00000,0.00000,25
07/20/2008,0.00000,0,0.00000,0.00000,25
07/21/2008,-562.50000,-1,25.00000,1150.00000,25
07/22/2008,137.50000,-1,-162.50000,2137.50000,25
07/23/2008,1262.50000,-1,-75.00000,2187.50000,25
07/24/2008,1237.50000,-1,187.50000,2625.00000,25
07/25/2008,-550.00000,-1,137.50000,1125.00000,25
07/26/2008,0.00000,0,0.00000,0.00000,25
07/27/2008,0.00000,0,0.00000,0.00000,25
07/28/2008,-125.00000,-1,25.00000,1162.50000,25
07/29/2008,487.50000,-1,-50.00000,1725.00000,25
07/30/2008,-1437.50000,-1,125.00000,5437.50000,25
07/31/2008,-300.00000,-1,75.00000,1612.50000,25
08/01/2008,1975.00000,-1,87.50000,3187.50000,25
08/02/2008,0.00000,0,0.00000,0.00000,25
08/03/2008,0.00000,0,0.00000,0.00000,25
08/04/2008,3675.00000,-1,187.50000,4025.00000,25
08/05/2008,787.50000,0,-537.50000,2075.00000,26
08/06/2008,0.00000,0,0.00000,1500.00000,26
08/07/2008,0.00000,0,0.00000,1400.00000,26
08/08/2008,375.00000,-1,0.00000,3325.00000,27
08/09/2008,0.00000,0,0.00000,0.00000,27
08/10/2008,0.00000,0,0.00000,0.00000,27
08/11/2008,187.50000,-1,-412.50000,1612.50000,27
08/12/2008,1875.00000,-1,50.00000,2525.00000,27
08/13/2008,-2625.00000,-1,225.00000,3787.50000,27
08/14/2008,850.00000,-1,-125.00000,3500.00000,27
08/15/2008,-587.50000,-1,-225.00000,2812.50000,27
08/16/2008,0.00000,0,0.00000,0.00000,27
08/17/2008,0.00000,0,0.00000,0.00000,27
08/18/2008,412.50000,-1,25.00000,2662.50000,27
08/19/2008,-2997.50000,0,275.00000,4712.50000,28
08/20/2008,-462.50000,-1,0.00000,3100.00000,29
08/21/2008,-2047.50000,0,162.50000,3737.50000,30
08/22/2008,0.00000,0,0.00000,2762.50000,30
08/23/2008,0.00000,0,0.00000,0.00000,30
08/24/2008,0.00000,0,0.00000,0.00000,30
08/25/2008,0.00000,0,0.00000,1800.00000,30
08/26/2008,0.00000,0,0.00000,2900.00000,30
08/27/2008,0.00000,0,0.00000,2037.50000,30
08/28/2008,525.00000,-1,0.00000,2062.50000,31
08/29/2008,475.00000,-1,-162.50000,1637.50000,31
08/30/2008,0.00000,0,0.00000,0.00000,31
08/31/2008,0.00000,0,0.00000,0.00000,31
09/01/2008,1687.50000,-1,-25.00000,2637.50000,31
09/02/2008,762.50000,-1,50.00000,3712.50000,31
09/03/2008,-562.50000,1,75.00000,1987.50000,32
09/04/2008,-1162.50000,1,262.50000,2712.50000,32
09/05/2008,-1472.50000,0,-187.50000,4700.00000,34
09/06/2008,0.00000,0,0.00000,0.00000,34
09/07/2008,0.00000,0,0.00000,0.00000,34
09/08/2008,975.00000,-1,0.00000,2012.50000,34
09/09/2008,1237.50000,-1,0.00000,2187.50000,34
09/10/2008,-1962.50000,-1,62.50000,2600.00000,34
09/11/2008,25.00000,-1,400.00000,1900.00000,34
09/12/2008,-1750.00000,1,-175.00000,2712.50000,35
09/13/2008,0.00000,0,0.00000,0.00000,35
09/14/2008,0.00000,0,0.00000,0.00000,35
09/15/2008,-2460.00000,0,-37.50000,4137.50000,36
09/16/2008,0.00000,0,0.00000,2487.50000,36
09/17/2008,0.00000,0,0.00000,2337.50000,36
09/18/2008,0.00000,0,0.00000,4125.00000,36
09/19/2008,0.00000,0,0.00000,5112.50000,36
09/20/2008,0.00000,0,0.00000,0.00000,36
09/21/2008,0.00000,0,0.00000,0.00000,36
09/22/2008,0.00000,0,0.00000,3575.00000,36
09/23/2008,0.00000,0,0.00000,4150.00000,36
09/24/2008,0.00000,0,0.00000,2462.50000,36
09/25/2008,0.00000,0,0.00000,1662.50000,36
09/26/2008,0.00000,0,0.00000,2325.00000,37
09/27/2008,0.00000,0,0.00000,0.00000,37
09/28/2008,0.00000,0,0.00000,0.00000,37
09/29/2008,5587.50000,-1,0.00000,5687.50000,37
09/30/2008,-1212.50000,-1,-387.50000,3462.50000,37
10/01/2008,3712.50000,-1,287.50000,4637.50000,37
10/02/2008,412.50000,0,-187.50000,5525.00000,38
10/03/2008,-1325.00000,1,0.00000,3675.00000,39
10/04/2008,0.00000,0,0.00000,0.00000,39
10/05/2008,0.00000,0,0.00000,0.00000,39
10/06/2008,-1210.00000,-1,750.00000,7312.50000,41
10/07/2008,-2485.00000,0,-375.00000,4787.50000,42
10/08/2008,2537.50000,-1,0.00000,6987.50000,43
10/09/2008,937.50000,-1,-250.00000,4537.50000,43
10/10/2008,4125.00000,-1,-437.50000,6237.50000,46
