Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,468.75000,-1,0.00000,1968.75000,27
04/02/2008,250.00000,-1,62.50000,1093.75000,27
04/03/2008,-218.75000,1,-31.25000,906.25000,28
04/04/2008,1656.25000,1,0.00000,1968.75000,28
04/05/2008,0.00000,0,0.00000,0.00000,28
04/06/2008,0.00000,0,0.00000,0.00000,28
04/07/2008,-656.25000,1,-62.50000,1656.25000,28
04/08/2008,-312.50000,1,-62.50000,1125.00000,28
04/09/2008,968.75000,1,-125.00000,1750.00000,28
04/10/2008,-343.75000,1,0.00000,1250.00000,28
04/11/2008,718.75000,1,31.25000,1250.00000,28
04/12/2008,0.00000,0,0.00000,0.00000,28
04/13/2008,0.00000,0,0.00000,0.00000,28
04/14/2008,-437.50000,1,125.00000,1031.25000,28
04/15/2008,-1156.25000,1,31.25000,1625.00000,28
04/16/2008,-875.00000,1,-31.25000,1656.25000,28
04/17/2008,-603.75000,0,-31.25000,1062.50000,29
04/18/2008,0.00000,0,0.00000,1593.75000,29
04/19/2008,0.00000,0,0.00000,0.00000,29
04/20/2008,0.00000,0,0.00000,0.00000,29
04/21/2008,0.00000,0,0.00000,1031.25000,29
04/22/2008,437.50000,1,0.00000,1062.50000,30
04/23/2008,-531.25000,1,-31.25000,1312.50000,30
04/24/2008,-916.25000,0,-31.25000,1593.75000,31
04/25/2008,31.25000,-1,0.00000,843.75000,32
04/26/2008,0.00000,0,0.00000,0.00000,32
04/27/2008,0.00000,0,0.00000,0.00000,32
04/28/2008,-781.25000,-1,62.50000,1031.25000,34
04/29/2008,-385.00000,0,0.00000,906.25000,35
04/30/2008,875.00000,1,0.00000,1562.50000,36
05/01/2008,-250.00000,1,0.00000,1281.25000,36
05/02/2008,-875.00000,1,-31.25000,2031.25000,36
05/03/2008,0.00000,0,0.00000,0.00000,36
05/04/2008,0.00000,0,0.00000,0.00000,36
05/05/2008,-760.00000,0,62.50000,1500.00000,37
05/06/2008,0.00000,0,0.00000,1562.50000,37
05/07/2008,687.50000,1,0.00000,1156.25000,38
05/08/2008,1031.25000,1,-62.50000,1468.75000,38
05/09/2008,187.50000,1,-31.25000,750.00000,38
05/10/2008,0.00000,0,0.00000,0.00000,38
05/11/2008,0.00000,0,0.00000,0.00000,38
05/12/2008,-125.00000,1,125.00000,1000.00000,38
05/13/2008,-1500.00000,1,0.00000,2093.75000,38
05/14/2008,187.50000,1,-62.50000,1343.75000,38
05/15/2008,968.75000,1,0.00000,1500.00000,38
05/16/2008,-250.00000,1,-31.25000,1531.25000,38
05/17/2008,0.00000,0,0.00000,0.00000,38
05/18/2008,0.00000,0,0.00000,0.00000,38
05/19/2008,156.25000,1,-31.25000,968.75000,38
05/20/2008,625.00000,1,-31.25000,1000.00000,38
05/21/2008,-62.50000,-1,62.50000,843.75000,39
05/22/2008,1250.00000,-1,-62.50000,1937.50000,39
05/23/2008,375.00000,1,31.25000,1281.25000,40
05/24/2008,0.00000,0,0.00000,0.00000,40
05/25/2008,0.00000,0,0.00000,0.00000,40
05/26/2008,125.00000,1,31.25000,375.00000,40
05/27/2008,-1093.75000,1,-31.25000,1218.75000,40
05/28/2008,781.25000,-1,31.25000,1375.00000,41
05/29/2008,781.25000,-1,-31.25000,1531.25000,41
05/30/2008,843.75000,1,968.75000,1031.25000,42
