Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,0.00000,0,0.00000,0.00000,0
04/02/2008,0.00000,0,0.00000,0.00000,0
04/03/2008,0.00000,0,0.00000,0.00000,0
04/04/2008,0.00000,0,0.00000,0.00000,0
04/05/2008,0.00000,0,0.00000,0.00000,0
04/06/2008,0.00000,0,0.00000,0.00000,0
04/07/2008,0.00000,0,0.00000,0.00000,0
04/08/2008,0.00000,0,0.00000,0.00000,0
04/09/2008,0.00000,0,0.00000,0.00000,0
04/10/2008,0.00000,0,0.00000,0.00000,0
04/11/2008,0.00000,0,0.00000,0.00000,0
04/12/2008,0.00000,0,0.00000,0.00000,0
04/13/2008,0.00000,0,0.00000,0.00000,0
04/14/2008,-845.00000,0,0.00000,1325.00000,14
04/15/2008,0.00000,0,0.00000,906.25000,14
04/16/2008,0.00000,0,0.00000,1193.75000,14
04/17/2008,0.00000,0,0.00000,1493.75000,14
04/18/2008,0.00000,0,0.00000,737.50000,14
04/19/2008,0.00000,0,0.00000,0.00000,14
04/20/2008,0.00000,0,0.00000,350.00000,14
04/21/2008,0.00000,0,0.00000,1468.75000,14
04/22/2008,0.00000,0,0.00000,1656.25000,14
04/23/2008,0.00000,0,0.00000,1287.50000,14
04/24/2008,0.00000,0,0.00000,837.50000,14
04/25/2008,0.00000,0,0.00000,1343.75000,14
04/26/2008,0.00000,0,0.00000,0.00000,14
04/27/2008,0.00000,0,0.00000,275.00000,14
04/28/2008,502.50000,1,0.00000,1143.75000,15
04/29/2008,-1347.50000,0,-50.00000,1518.75000,16
04/30/2008,0.00000,0,0.00000,1712.50000,16
05/01/2008,0.00000,0,0.00000,1243.75000,16
05/02/2008,696.25000,-1,0.00000,1231.25000,17
05/03/2008,0.00000,0,0.00000,0.00000,17
05/04/2008,-187.50000,-1,-56.25000,825.00000,17
05/05/2008,106.25000,-1,0.00000,825.00000,17
05/06/2008,118.75000,-1,31.25000,875.00000,17
05/07/2008,1162.50000,-1,56.25000,1325.00000,17
05/08/2008,-237.50000,-1,0.00000,737.50000,17
05/09/2008,137.50000,-1,18.75000,687.50000,17
05/10/2008,0.00000,0,0.00000,0.00000,17
05/11/2008,318.75000,-1,93.75000,462.50000,17
05/12/2008,-325.00000,-1,25.00000,1212.50000,17
05/13/2008,700.00000,0,0.00000,1268.75000,18
05/14/2008,0.00000,0,0.00000,718.75000,18
05/15/2008,0.00000,0,0.00000,606.25000,18
05/16/2008,0.00000,0,0.00000,987.50000,18
05/17/2008,0.00000,0,0.00000,0.00000,18
05/18/2008,0.00000,0,0.00000,200.00000,18
05/19/2008,0.00000,0,0.00000,1075.00000,18
05/20/2008,0.00000,0,0.00000,1287.50000,18
05/21/2008,0.00000,0,0.00000,825.00000,18
05/22/2008,0.00000,0,0.00000,1056.25000,18
05/23/2008,0.00000,0,0.00000,612.50000,18
05/24/2008,0.00000,0,0.00000,0.00000,18
05/25/2008,0.00000,0,0.00000,268.75000,18
05/26/2008,0.00000,0,0.00000,468.75000,18
05/27/2008,0.00000,0,0.00000,812.50000,18
05/28/2008,0.00000,0,0.00000,775.00000,18
05/29/2008,0.00000,0,0.00000,818.75000,18
05/30/2008,0.00000,0,0.00000,900.00000,18
05/31/2008,0.00000,0,0.00000,0.00000,18
06/01/2008,90.00000,1,0.00000,718.75000,19
06/02/2008,-681.25000,1,-12.50000,950.00000,19
06/03/2008,-12.50000,1,-25.00000,850.00000,19
06/04/2008,-241.25000,0,18.75000,818.75000,20
06/05/2008,0.00000,0,0.00000,862.50000,20
06/06/2008,0.00000,0,0.00000,1493.75000,20
06/07/2008,0.00000,0,0.00000,0.00000,20
06/08/2008,0.00000,0,0.00000,275.00000,20
06/09/2008,0.00000,0,0.00000,787.50000,20
06/10/2008,0.00000,0,0.00000,1162.50000,20
06/11/2008,0.00000,0,0.00000,1125.00000,20
06/12/2008,-845.00000,0,0.00000,993.75000,22
06/13/2008,27.50000,-1,0.00000,650.00000,23
06/14/2008,0.00000,0,0.00000,0.00000,23
06/15/2008,-231.25000,-1,31.25000,406.25000,23
06/16/2008,-641.25000,0,6.25000,1187.50000,24
06/17/2008,0.00000,0,0.00000,1437.50000,24
06/18/2008,0.00000,0,0.00000,875.00000,24
06/19/2008,0.00000,0,0.00000,925.00000,24
06/20/2008,0.00000,0,0.00000,543.75000,24
06/21/2008,0.00000,0,0.00000,0.00000,24
06/22/2008,0.00000,0,0.00000,168.75000,24
06/23/2008,0.00000,0,0.00000,975.00000,24
06/24/2008,0.00000,0,0.00000,637.50000,24
06/25/2008,0.00000,0,0.00000,737.50000,24
06/26/2008,0.00000,0,0.00000,1168.75000,24
06/27/2008,621.25000,1,0.00000,931.25000,25
06/28/2008,0.00000,0,0.00000,0.00000,25
06/29/2008,-131.25000,1,-56.25000,168.75000,25
06/30/2008,-143.75000,1,37.50000,643.75000,25
07/01/2008,312.50000,1,12.50000,743.75000,25
07/02/2008,-268.75000,1,-12.50000,806.25000,25
07/03/2008,-393.75000,1,0.00000,825.00000,25
07/04/2008,-125.00000,1,0.00000,406.25000,25
07/05/2008,0.00000,0,0.00000,0.00000,25
07/06/2008,-281.25000,1,-6.25000,450.00000,25
07/07/2008,-435.00000,0,-6.25000,893.75000,26
07/08/2008,0.00000,0,0.00000,831.25000,26
07/09/2008,0.00000,0,0.00000,1068.75000,26
07/10/2008,77.50000,1,0.00000,662.50000,27
07/11/2008,781.25000,1,0.00000,1300.00000,27
07/12/2008,0.00000,0,0.00000,0.00000,27
07/13/2008,-168.75000,1,137.50000,481.25000,27
07/14/2008,793.75000,1,-43.75000,1112.50000,27
07/15/2008,1006.25000,0,-12.50000,1225.00000,28
07/16/2008,0.00000,0,0.00000,881.25000,28
07/17/2008,0.00000,0,0.00000,800.00000,28
07/18/2008,0.00000,0,0.00000,575.00000,28
07/19/2008,0.00000,0,0.00000,0.00000,28
07/20/2008,0.00000,0,0.00000,350.00000,28
07/21/2008,0.00000,0,0.00000,825.00000,28
07/22/2008,0.00000,0,0.00000,1131.25000,28
07/23/2008,0.00000,0,0.00000,850.00000,28
07/24/2008,0.00000,0,0.00000,1118.75000,28
07/25/2008,0.00000,0,0.00000,887.50000,28
07/26/2008,0.00000,0,0.00000,0.00000,28
07/27/2008,0.00000,0,0.00000,275.00000,28
07/28/2008,140.00000,-1,0.00000,781.25000,29
07/29/2008,-188.75000,1,0.00000,1300.00000,30
07/30/2008,-410.00000,0,0.00000,625.00000,31
07/31/2008,177.50000,-1,0.00000,925.00000,32
08/01/2008,456.25000,-1,-18.75000,731.25000,32
08/02/2008,0.00000,0,0.00000,0.00000,32
08/03/2008,-18.75000,-1,-62.50000,137.50000,32
08/04/2008,956.25000,-1,6.25000,1031.25000,32
08/05/2008,181.25000,-1,0.00000,518.75000,32
08/06/2008,531.25000,-1,0.00000,825.00000,32
08/07/2008,206.25000,0,0.00000,1681.25000,33
08/08/2008,0.00000,0,0.00000,1137.50000,33
08/09/2008,0.00000,0,0.00000,0.00000,33
08/10/2008,0.00000,0,0.00000,531.25000,33
08/11/2008,0.00000,0,0.00000,1337.50000,33
08/12/2008,0.00000,0,0.00000,1037.50000,33
08/13/2008,0.00000,0,0.00000,2562.50000,33
08/14/2008,0.00000,0,0.00000,893.75000,33
08/15/2008,0.00000,0,0.00000,1075.00000,33
08/16/2008,0.00000,0,0.00000,0.00000,33
08/17/2008,0.00000,0,0.00000,575.00000,33
08/18/2008,0.00000,0,0.00000,687.50000,33
08/19/2008,0.00000,0,0.00000,925.00000,33
08/20/2008,0.00000,0,0.00000,812.50000,33
08/21/2008,0.00000,0,0.00000,1131.25000,33
08/22/2008,0.00000,0,0.00000,1650.00000,33
08/23/2008,0.00000,0,0.00000,0.00000,33
08/24/2008,0.00000,0,0.00000,756.25000,33
08/25/2008,0.00000,0,0.00000,1143.75000,33
08/26/2008,0.00000,0,0.00000,912.50000,33
08/27/2008,0.00000,0,0.00000,1281.25000,33
08/28/2008,0.00000,0,0.00000,975.00000,33
08/29/2008,0.00000,0,0.00000,1087.50000,33
08/30/2008,0.00000,0,0.00000,0.00000,33
08/31/2008,0.00000,0,0.00000,1412.50000,33
09/01/2008,0.00000,0,0.00000,1500.00000,33
09/02/2008,0.00000,0,0.00000,1475.00000,33
09/03/2008,0.00000,0,0.00000,962.50000,33
09/04/2008,0.00000,0,0.00000,2018.75000,33
09/05/2008,0.00000,0,0.00000,1143.75000,33
09/06/2008,0.00000,0,0.00000,0.00000,33
09/07/2008,0.00000,0,0.00000,1962.50000,33
09/08/2008,0.00000,0,0.00000,2943.75000,33
09/09/2008,0.00000,0,0.00000,1125.00000,33
09/10/2008,0.00000,0,0.00000,1268.75000,33
09/11/2008,0.00000,0,0.00000,925.00000,33
09/12/2008,0.00000,0,0.00000,2381.25000,33
09/13/2008,0.00000,0,0.00000,0.00000,33
09/14/2008,0.00000,0,0.00000,1562.50000,33
09/15/2008,0.00000,0,0.00000,2218.75000,33
09/16/2008,0.00000,0,0.00000,1643.75000,33
09/17/2008,0.00000,0,0.00000,2968.75000,33
09/18/2008,0.00000,0,0.00000,1787.50000,33
09/19/2008,0.00000,0,0.00000,2931.25000,33
09/20/2008,0.00000,0,0.00000,0.00000,33
09/21/2008,0.00000,0,0.00000,687.50000,33
09/22/2008,0.00000,0,0.00000,2418.75000,33
09/23/2008,0.00000,0,0.00000,1025.00000,33
09/24/2008,0.00000,0,0.00000,862.50000,33
09/25/2008,0.00000,0,0.00000,2237.50000,33
09/26/2008,0.00000,0,0.00000,875.00000,33
09/27/2008,0.00000,0,0.00000,0.00000,33
09/28/2008,0.00000,0,0.00000,1193.75000,33
09/29/2008,0.00000,0,0.00000,2000.00000,33
09/30/2008,0.00000,0,0.00000,2156.25000,33
10/01/2008,0.00000,0,0.00000,1712.50000,33
10/02/2008,0.00000,0,0.00000,1187.50000,33
10/03/2008,0.00000,0,0.00000,1750.00000,33
10/04/2008,0.00000,0,0.00000,0.00000,33
10/05/2008,0.00000,0,0.00000,918.75000,33
10/06/2008,0.00000,0,0.00000,2043.75000,33
10/07/2008,0.00000,0,0.00000,2143.75000,33
10/08/2008,0.00000,0,0.00000,4443.75000,33
10/09/2008,0.00000,0,0.00000,3081.25000,33
10/10/2008,0.00000,0,0.00000,2481.25000,33
10/11/2008,0.00000,0,0.00000,0.00000,33
10/12/2008,0.00000,0,0.00000,1362.50000,33
10/13/2008,0.00000,0,0.00000,3456.25000,33
10/14/2008,0.00000,0,0.00000,1500.00000,33
10/15/2008,0.00000,0,0.00000,2887.50000,33
10/16/2008,0.00000,0,0.00000,1231.25000,33
10/17/2008,0.00000,0,0.00000,1050.00000,33
10/18/2008,0.00000,0,0.00000,0.00000,33
10/19/2008,0.00000,0,0.00000,656.25000,33
10/20/2008,-845.00000,0,0.00000,2668.75000,35
10/21/2008,0.00000,0,0.00000,5987.50000,35
10/22/2008,0.00000,0,0.00000,2112.50000,35
10/23/2008,0.00000,0,0.00000,2125.00000,35
10/24/2008,0.00000,0,0.00000,5125.00000,35
10/25/2008,0.00000,0,0.00000,0.00000,35
10/26/2008,0.00000,0,0.00000,1518.75000,35
10/27/2008,0.00000,0,0.00000,3175.00000,35
10/28/2008,0.00000,0,0.00000,3962.50000,35
10/29/2008,0.00000,0,0.00000,4237.50000,35
10/30/2008,0.00000,0,0.00000,2906.25000,35
10/31/2008,0.00000,0,0.00000,2456.25000,35
11/01/2008,0.00000,0,0.00000,0.00000,35
11/02/2008,0.00000,0,0.00000,1437.50000,35
11/03/2008,2490.00000,0,0.00000,4993.75000,37
11/04/2008,0.00000,0,0.00000,2837.50000,37
11/05/2008,0.00000,0,0.00000,2700.00000,37
11/06/2008,0.00000,0,0.00000,3168.75000,37
11/07/2008,0.00000,0,0.00000,1806.25000,37
11/08/2008,0.00000,0,0.00000,0.00000,37
11/09/2008,0.00000,0,0.00000,1512.50000,37
11/10/2008,940.00000,-1,0.00000,1750.00000,38
11/11/2008,1550.00000,0,25.00000,2018.75000,39
11/12/2008,0.00000,0,0.00000,3968.75000,39
11/13/2008,0.00000,0,0.00000,2693.75000,39
11/14/2008,0.00000,0,0.00000,1881.25000,39
11/15/2008,0.00000,0,0.00000,0.00000,39
11/16/2008,0.00000,0,0.00000,781.25000,39
11/17/2008,0.00000,0,0.00000,2518.75000,39
11/18/2008,0.00000,0,0.00000,1212.50000,39
11/19/2008,0.00000,0,0.00000,2081.25000,39
11/20/2008,0.00000,0,0.00000,1693.75000,39
11/21/2008,0.00000,0,0.00000,2268.75000,39
11/22/2008,0.00000,0,0.00000,0.00000,39
11/23/2008,0.00000,0,0.00000,787.50000,39
11/24/2008,0.00000,0,0.00000,2068.75000,39
11/25/2008,0.00000,0,0.00000,3437.50000,39
11/26/2008,0.00000,0,0.00000,1693.75000,39
11/27/2008,0.00000,0,0.00000,1256.25000,39
11/28/2008,0.00000,0,0.00000,1187.50000,39
11/29/2008,0.00000,0,0.00000,0.00000,39
