Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,330.00000,-1,210.00000,670.00000,29
04/02/2008,410.00000,-1,0.00000,830.00000,29
04/03/2008,-940.00000,0,-210.00000,1030.00000,31
04/04/2008,-310.00000,1,0.00000,480.00000,32
04/05/2008,0.00000,0,0.00000,0.00000,32
04/06/2008,0.00000,0,0.00000,0.00000,32
04/07/2008,630.00000,1,220.00000,870.00000,32
04/08/2008,-390.00000,1,60.00000,530.00000,32
04/09/2008,980.00000,1,90.00000,1140.00000,32
04/10/2008,760.00000,1,510.00000,1350.00000,32
04/11/2008,710.00000,1,330.00000,740.00000,32
04/12/2008,0.00000,0,0.00000,0.00000,32
04/13/2008,0.00000,0,0.00000,0.00000,32
04/14/2008,-20.00000,1,-170.00000,340.00000,32
04/15/2008,300.00000,1,150.00000,410.00000,32
04/16/2008,490.00000,1,90.00000,730.00000,32
04/17/2008,1090.00000,1,230.00000,1140.00000,32
04/18/2008,-780.00000,1,-150.00000,2130.00000,32
04/19/2008,0.00000,0,0.00000,0.00000,32
04/20/2008,0.00000,0,0.00000,0.00000,32
04/21/2008,180.00000,-1,140.00000,950.00000,33
04/22/2008,-290.00000,1,-270.00000,970.00000,35
04/23/2008,520.00000,1,150.00000,740.00000,35
04/24/2008,-90.00000,1,-190.00000,680.00000,35
04/25/2008,-190.00000,1,-400.00000,690.00000,35
04/26/2008,0.00000,0,0.00000,0.00000,35
04/27/2008,0.00000,0,0.00000,0.00000,35
04/28/2008,280.00000,1,200.00000,660.00000,35
04/29/2008,-300.00000,1,-70.00000,650.00000,35
04/30/2008,-40.00000,-1,-260.00000,460.00000,36
05/01/2008,740.00000,0,-220.00000,2020.00000,38
05/02/2008,-420.00000,0,0.00000,750.00000,40
05/03/2008,0.00000,0,0.00000,0.00000,40
05/04/2008,0.00000,0,0.00000,0.00000,40
05/05/2008,-120.00000,-1,0.00000,520.00000,41
05/06/2008,1010.00000,1,-70.00000,1640.00000,42
05/07/2008,-940.00000,1,-450.00000,1430.00000,42
05/08/2008,440.00000,1,-250.00000,770.00000,42
05/09/2008,220.00000,1,0.00000,410.00000,42
05/10/2008,0.00000,0,0.00000,0.00000,42
05/11/2008,0.00000,0,0.00000,0.00000,42
05/12/2008,120.00000,1,0.00000,410.00000,42
05/13/2008,-1490.00000,0,20.00000,1610.00000,43
05/14/2008,-230.00000,-1,0.00000,1040.00000,44
05/15/2008,160.00000,-1,80.00000,320.00000,44
05/16/2008,-350.00000,0,-170.00000,760.00000,45
05/17/2008,0.00000,0,0.00000,0.00000,45
05/18/2008,0.00000,0,0.00000,0.00000,45
05/19/2008,0.00000,0,0.00000,1300.00000,45
05/20/2008,-420.00000,0,0.00000,500.00000,47
05/21/2008,0.00000,0,0.00000,730.00000,47
05/22/2008,-320.00000,-1,0.00000,860.00000,48
05/23/2008,100.00000,-1,70.00000,270.00000,48
05/24/2008,0.00000,0,0.00000,0.00000,48
05/25/2008,0.00000,0,0.00000,0.00000,48
05/26/2008,0.00000,0,0.00000,0.00000,48
05/27/2008,-200.00000,0,-90.00000,440.00000,49
05/28/2008,140.00000,1,0.00000,710.00000,50
05/29/2008,930.00000,1,310.00000,1220.00000,50
05/30/2008,180.00000,1,20.00000,660.00000,50
05/31/2008,0.00000,0,0.00000,0.00000,50
06/01/2008,0.00000,0,0.00000,0.00000,50
06/02/2008,490.00000,1,40.00000,620.00000,50
06/03/2008,180.00000,1,120.00000,950.00000,50
06/04/2008,-70.00000,1,-120.00000,280.00000,50
06/05/2008,-50.00000,1,-80.00000,710.00000,50
06/06/2008,620.00000,1,180.00000,1200.00000,50
06/07/2008,0.00000,0,0.00000,0.00000,50
06/08/2008,0.00000,0,0.00000,0.00000,50
06/09/2008,270.00000,1,150.00000,410.00000,50
06/10/2008,-380.00000,-1,-250.00000,590.00000,51
06/11/2008,-80.00000,1,10.00000,590.00000,53
06/12/2008,650.00000,1,-20.00000,910.00000,53
06/13/2008,100.00000,1,100.00000,390.00000,53
06/14/2008,0.00000,0,0.00000,0.00000,53
06/15/2008,0.00000,0,0.00000,0.00000,53
06/16/2008,390.00000,1,20.00000,390.00000,53
06/17/2008,-170.00000,1,-70.00000,740.00000,53
06/18/2008,740.00000,1,770.00000,1000.00000,53
06/19/2008,90.00000,1,-110.00000,260.00000,53
06/20/2008,170.00000,1,-250.00000,540.00000,53
06/21/2008,0.00000,0,0.00000,0.00000,53
06/22/2008,0.00000,0,0.00000,0.00000,53
06/23/2008,100.00000,1,10.00000,530.00000,53
06/24/2008,120.00000,1,60.00000,250.00000,53
06/25/2008,-310.00000,1,-170.00000,650.00000,53
06/26/2008,330.00000,-1,150.00000,610.00000,54
06/27/2008,-130.00000,1,-10.00000,320.00000,55
06/28/2008,0.00000,0,0.00000,0.00000,55
06/29/2008,0.00000,0,0.00000,0.00000,55
06/30/2008,-70.00000,1,90.00000,420.00000,55
07/01/2008,1150.00000,1,60.00000,1180.00000,55
07/02/2008,-320.00000,1,-120.00000,660.00000,55
07/03/2008,1130.00000,-1,270.00000,1920.00000,56
07/04/2008,0.00000,0,0.00000,0.00000,56
07/05/2008,0.00000,0,0.00000,0.00000,56
07/06/2008,0.00000,0,0.00000,0.00000,56
07/07/2008,2420.00000,-1,1450.00000,2510.00000,56
07/08/2008,-600.00000,-1,-130.00000,930.00000,56
07/09/2008,110.00000,-1,130.00000,490.00000,56
07/10/2008,220.00000,-1,160.00000,320.00000,56
07/11/2008,-120.00000,-1,0.00000,810.00000,56
07/12/2008,0.00000,0,0.00000,0.00000,56
07/13/2008,0.00000,0,0.00000,0.00000,56
07/14/2008,-240.00000,-1,70.00000,690.00000,56
07/15/2008,-910.00000,0,-40.00000,890.00000,58
07/16/2008,490.00000,1,0.00000,960.00000,59
07/17/2008,-910.00000,0,-50.00000,1570.00000,60
07/18/2008,-180.00000,1,0.00000,1050.00000,61
07/19/2008,0.00000,0,0.00000,0.00000,61
07/20/2008,0.00000,0,0.00000,0.00000,61
07/21/2008,80.00000,-1,40.00000,830.00000,62
07/22/2008,-510.00000,0,-130.00000,790.00000,64
07/23/2008,-150.00000,-1,0.00000,440.00000,65
07/24/2008,120.00000,-1,150.00000,470.00000,65
07/25/2008,-390.00000,0,-140.00000,730.00000,66
07/26/2008,0.00000,0,0.00000,0.00000,66
07/27/2008,0.00000,0,0.00000,0.00000,66
