Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,560.00000,-1,-90.00000,3000.00000,28
04/02/2008,860.00000,1,-340.00000,5260.00000,29
04/03/2008,-390.00000,1,-30.00000,3230.00000,29
04/04/2008,1840.00000,1,-160.00000,2320.00000,29
04/05/2008,0.00000,0,0.00000,0.00000,29
04/06/2008,0.00000,0,0.00000,0.00000,29
04/07/2008,2790.00000,1,420.00000,3330.00000,31
04/08/2008,-180.00000,1,-100.00000,2000.00000,31
04/09/2008,1850.00000,0,-120.00000,4260.00000,32
04/10/2008,0.00000,0,0.00000,3450.00000,32
04/11/2008,0.00000,0,0.00000,1900.00000,32
04/12/2008,0.00000,0,0.00000,0.00000,32
04/13/2008,0.00000,0,0.00000,0.00000,32
04/14/2008,670.00000,1,0.00000,2420.00000,33
04/15/2008,2140.00000,1,450.00000,2250.00000,33
04/16/2008,900.00000,1,-260.00000,2880.00000,33
04/17/2008,290.00000,1,110.00000,1440.00000,35
04/18/2008,-2530.00000,0,80.00000,4120.00000,37
04/19/2008,0.00000,0,0.00000,0.00000,37
04/20/2008,0.00000,0,0.00000,0.00000,37
04/21/2008,0.00000,0,0.00000,2010.00000,37
04/22/2008,890.00000,1,0.00000,3040.00000,38
04/23/2008,390.00000,1,380.00000,2240.00000,38
04/24/2008,-1950.00000,-1,-160.00000,4030.00000,39
04/25/2008,-1970.00000,0,60.00000,5040.00000,40
04/26/2008,0.00000,0,0.00000,0.00000,40
04/27/2008,0.00000,0,0.00000,0.00000,40
04/28/2008,-650.00000,1,0.00000,1560.00000,41
04/29/2008,2440.00000,-1,-340.00000,3860.00000,42
04/30/2008,1090.00000,0,-400.00000,3400.00000,43
05/01/2008,1190.00000,-1,0.00000,4600.00000,44
05/02/2008,-3010.00000,0,200.00000,4710.00000,45
05/03/2008,0.00000,0,0.00000,0.00000,45
05/04/2008,0.00000,0,0.00000,0.00000,45
05/05/2008,3550.00000,1,0.00000,4180.00000,46
05/06/2008,1940.00000,1,80.00000,3400.00000,48
05/07/2008,1800.00000,1,-160.00000,3260.00000,48
05/08/2008,890.00000,0,-180.00000,3030.00000,49
05/09/2008,0.00000,0,0.00000,2090.00000,49
05/10/2008,0.00000,0,0.00000,0.00000,49
05/11/2008,0.00000,0,0.00000,0.00000,49
05/12/2008,0.00000,0,0.00000,2580.00000,49
05/13/2008,0.00000,0,0.00000,3880.00000,49
05/14/2008,0.00000,0,0.00000,2270.00000,49
05/15/2008,0.00000,0,0.00000,5890.00000,49
05/16/2008,200.00000,1,0.00000,3680.00000,50
05/17/2008,0.00000,0,0.00000,0.00000,50
