Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,2490.00000,0,-575.00000,7762.50000,38
04/02/2008,0.00000,0,0.00000,2075.00000,38
04/03/2008,0.00000,0,0.00000,2687.50000,38
04/04/2008,0.00000,0,0.00000,3062.50000,38
04/05/2008,0.00000,0,0.00000,0.00000,38
04/06/2008,0.00000,0,0.00000,0.00000,38
04/07/2008,0.00000,0,0.00000,2225.00000,38
04/08/2008,0.00000,0,0.00000,2100.00000,38
04/09/2008,1767.50000,-1,0.00000,3062.50000,40
04/10/2008,1750.00000,0,-212.50000,2987.50000,41
04/11/2008,3505.00000,0,0.00000,5575.00000,44
04/12/2008,0.00000,0,0.00000,0.00000,44
04/13/2008,0.00000,0,0.00000,0.00000,44
04/14/2008,0.00000,0,0.00000,1887.50000,44
04/15/2008,0.00000,0,0.00000,2637.50000,44
04/16/2008,1535.00000,1,0.00000,3675.00000,45
04/17/2008,-1497.50000,1,-75.00000,2012.50000,47
04/18/2008,3450.00000,0,637.50000,3987.50000,48
04/19/2008,0.00000,0,0.00000,0.00000,48
04/20/2008,0.00000,0,0.00000,0.00000,48
04/21/2008,0.00000,0,0.00000,2537.50000,48
04/22/2008,-265.00000,-1,0.00000,3637.50000,49
04/23/2008,-2572.50000,-1,-237.50000,4087.50000,51
04/24/2008,-2210.00000,-1,637.50000,3937.50000,53
04/25/2008,-1815.00000,0,-250.00000,2537.50000,54
04/26/2008,0.00000,0,0.00000,0.00000,54
04/27/2008,0.00000,0,0.00000,0.00000,54
04/28/2008,0.00000,0,0.00000,1500.00000,54
04/29/2008,0.00000,0,0.00000,1900.00000,54
04/30/2008,0.00000,0,0.00000,2975.00000,54
05/01/2008,0.00000,0,0.00000,0.00000,54
05/02/2008,0.00000,0,0.00000,4562.50000,54
05/03/2008,0.00000,0,0.00000,0.00000,54
05/04/2008,0.00000,0,0.00000,0.00000,54
05/05/2008,0.00000,0,0.00000,1550.00000,54
05/06/2008,1867.50000,1,0.00000,2687.50000,56
05/07/2008,-1575.00000,1,-525.00000,2675.00000,56
05/08/2008,1275.00000,1,350.00000,1937.50000,56
05/09/2008,-1487.50000,1,-925.00000,2525.00000,56
05/10/2008,0.00000,0,0.00000,0.00000,56
05/11/2008,0.00000,0,0.00000,0.00000,56
05/12/2008,715.00000,1,512.50000,1750.00000,58
05/13/2008,-397.50000,1,337.50000,2000.00000,60
05/14/2008,-522.50000,1,200.00000,2600.00000,62
05/15/2008,1537.50000,1,112.50000,2550.00000,62
05/16/2008,2062.50000,0,-300.00000,2600.00000,63
05/17/2008,0.00000,0,0.00000,0.00000,63
05/18/2008,0.00000,0,0.00000,0.00000,63
05/19/2008,0.00000,0,0.00000,1912.50000,63
05/20/2008,185.00000,-1,0.00000,2675.00000,64
05/21/2008,3550.00000,0,-37.50000,4625.00000,65
05/22/2008,-645.00000,-1,0.00000,2887.50000,67
05/23/2008,3250.00000,-1,175.00000,3662.50000,67
05/24/2008,0.00000,0,0.00000,0.00000,67
05/25/2008,0.00000,0,0.00000,0.00000,67
05/26/2008,-37.50000,-1,62.50000,1275.00000,67
05/27/2008,912.50000,0,-350.00000,2550.00000,68
05/28/2008,-570.00000,-1,0.00000,3300.00000,70
05/29/2008,-1185.00000,-1,-162.50000,2512.50000,72
05/30/2008,-425.00000,-1,-25.00000,1375.00000,72
05/31/2008,0.00000,0,0.00000,0.00000,72
06/01/2008,0.00000,0,0.00000,0.00000,72
06/02/2008,2127.50000,-1,-162.50000,3900.00000,74
06/03/2008,115.00000,-1,837.50000,1987.50000,76
06/04/2008,525.00000,-1,-187.50000,2400.00000,76
06/05/2008,-762.50000,-1,-287.50000,2700.00000,76
06/06/2008,3450.00000,0,-100.00000,6612.50000,77
06/07/2008,0.00000,0,0.00000,0.00000,77
06/08/2008,0.00000,0,0.00000,0.00000,77
06/09/2008,0.00000,0,0.00000,2437.50000,77
06/10/2008,0.00000,0,0.00000,2500.00000,77
06/11/2008,0.00000,0,0.00000,4637.50000,77
06/12/2008,0.00000,0,0.00000,2512.50000,77
06/13/2008,0.00000,0,0.00000,3312.50000,77
06/14/2008,0.00000,0,0.00000,0.00000,77
06/15/2008,0.00000,0,0.00000,0.00000,77
06/16/2008,147.50000,-1,0.00000,3537.50000,78
06/17/2008,557.50000,1,187.50000,2937.50000,79
06/18/2008,-430.00000,-1,450.00000,2350.00000,80
06/19/2008,-1535.00000,-1,575.00000,2675.00000,82
06/20/2008,4987.50000,0,725.00000,5687.50000,83
06/21/2008,0.00000,0,0.00000,0.00000,83
06/22/2008,0.00000,0,0.00000,0.00000,83
06/23/2008,0.00000,0,0.00000,1712.50000,83
06/24/2008,0.00000,0,0.00000,4462.50000,83
06/25/2008,0.00000,0,0.00000,2587.50000,83
06/26/2008,0.00000,0,0.00000,4787.50000,83
06/27/2008,0.00000,0,0.00000,3037.50000,83
06/28/2008,0.00000,0,0.00000,0.00000,83
06/29/2008,0.00000,0,0.00000,0.00000,83
06/30/2008,0.00000,0,0.00000,3512.50000,83
07/01/2008,0.00000,0,0.00000,4525.00000,83
07/02/2008,0.00000,0,0.00000,3875.00000,83
07/03/2008,0.00000,0,0.00000,4862.50000,83
07/04/2008,1660.00000,-1,0.00000,3237.50000,84
07/05/2008,0.00000,0,0.00000,0.00000,84
07/06/2008,0.00000,0,0.00000,0.00000,84
07/07/2008,-847.50000,-1,-37.50000,3525.00000,86
07/08/2008,-1487.50000,-1,1387.50000,4012.50000,86
07/09/2008,2437.50000,-1,137.50000,3050.00000,86
07/10/2008,-2310.00000,-1,-225.00000,3437.50000,88
07/11/2008,4737.50000,0,-562.50000,5637.50000,89
07/12/2008,0.00000,0,0.00000,0.00000,89
07/13/2008,0.00000,0,0.00000,0.00000,89
07/14/2008,0.00000,0,0.00000,2862.50000,89
07/15/2008,0.00000,0,0.00000,4000.00000,89
07/16/2008,122.50000,1,0.00000,6025.00000,90
07/17/2008,1515.00000,1,-512.50000,3312.50000,92
07/18/2008,665.00000,1,-1775.00000,3962.50000,94
07/19/2008,0.00000,0,0.00000,0.00000,94
07/20/2008,0.00000,0,0.00000,0.00000,94
07/21/2008,700.00000,0,-25.00000,3637.50000,95
07/22/2008,0.00000,0,0.00000,4600.00000,95
07/23/2008,0.00000,0,0.00000,2012.50000,95
07/24/2008,0.00000,0,0.00000,4850.00000,95
07/25/2008,1167.50000,1,0.00000,3775.00000,97
07/26/2008,0.00000,0,0.00000,0.00000,97
07/27/2008,0.00000,0,0.00000,0.00000,97
07/28/2008,2745.00000,-1,-125.00000,3575.00000,98
07/29/2008,1860.00000,1,-300.00000,4712.50000,100
07/30/2008,352.50000,1,175.00000,2287.50000,102
07/31/2008,-1072.50000,1,212.50000,2937.50000,104
08/01/2008,-2297.50000,1,-287.50000,3162.50000,106
08/02/2008,0.00000,0,0.00000,0.00000,106
08/03/2008,0.00000,0,0.00000,0.00000,106
08/04/2008,-1050.00000,1,-325.00000,2025.00000,106
08/05/2008,3177.50000,0,62.50000,5575.00000,109
08/06/2008,0.00000,0,0.00000,2650.00000,109
08/07/2008,-282.50000,1,0.00000,3212.50000,111
08/08/2008,902.50000,1,537.50000,4212.50000,113
08/09/2008,0.00000,0,0.00000,0.00000,113
08/10/2008,0.00000,0,0.00000,0.00000,113
08/11/2008,75.00000,1,-137.50000,1875.00000,113
08/12/2008,-1025.00000,1,-400.00000,2350.00000,113
08/13/2008,2282.50000,-1,-112.50000,3912.50000,114
08/14/2008,1087.50000,0,-112.50000,2875.00000,115
08/15/2008,830.00000,-1,0.00000,3162.50000,117
08/16/2008,0.00000,0,0.00000,0.00000,117
08/17/2008,0.00000,0,0.00000,0.00000,117
08/18/2008,1525.00000,-1,87.50000,3162.50000,117
08/19/2008,975.00000,0,237.50000,3275.00000,118
08/20/2008,0.00000,0,0.00000,1950.00000,118
08/21/2008,0.00000,0,0.00000,2350.00000,118
08/22/2008,0.00000,0,0.00000,3237.50000,118
08/23/2008,0.00000,0,0.00000,0.00000,118
08/24/2008,0.00000,0,0.00000,0.00000,118
08/25/2008,0.00000,0,0.00000,2850.00000,118
08/26/2008,285.00000,1,0.00000,3387.50000,119
08/27/2008,-672.50000,1,212.50000,2637.50000,121
08/28/2008,2740.00000,0,-412.50000,4925.00000,124
08/29/2008,0.00000,0,0.00000,1475.00000,124
08/30/2008,0.00000,0,0.00000,0.00000,124
08/31/2008,0.00000,0,0.00000,0.00000,124
09/01/2008,1135.00000,1,0.00000,2850.00000,125
09/02/2008,2600.00000,0,-662.50000,4462.50000,126
09/03/2008,0.00000,0,0.00000,2062.50000,126
09/04/2008,-4397.50000,0,0.00000,6387.50000,129
09/05/2008,0.00000,0,0.00000,4012.50000,129
09/06/2008,0.00000,0,0.00000,0.00000,129
09/07/2008,0.00000,0,0.00000,0.00000,129
09/08/2008,-195.00000,-1,0.00000,3987.50000,131
09/09/2008,3275.00000,0,912.50000,4350.00000,132
09/10/2008,0.00000,0,0.00000,2637.50000,132
09/11/2008,0.00000,0,0.00000,4225.00000,132
09/12/2008,-520.00000,-1,0.00000,2450.00000,135
09/13/2008,0.00000,0,0.00000,0.00000,135
09/14/2008,0.00000,0,0.00000,0.00000,135
09/15/2008,5675.00000,0,5675.00000,7162.50000,135
09/16/2008,0.00000,0,0.00000,4350.00000,135
09/17/2008,0.00000,0,0.00000,6587.50000,135
09/18/2008,-407.50000,-1,0.00000,6325.00000,137
09/19/2008,-4127.50000,0,-2450.00000,6400.00000,138
09/20/2008,0.00000,0,0.00000,0.00000,138
09/21/2008,0.00000,0,0.00000,0.00000,138
09/22/2008,385.00000,-1,0.00000,5387.50000,139
09/23/2008,400.00000,-1,-912.50000,3100.00000,139
09/24/2008,-950.00000,-1,-1300.00000,2387.50000,139
09/25/2008,-3262.50000,-1,-50.00000,3975.00000,139
09/26/2008,1737.50000,-1,2037.50000,4512.50000,139
09/27/2008,0.00000,0,0.00000,0.00000,139
09/28/2008,0.00000,0,0.00000,0.00000,139
09/29/2008,5425.00000,0,2300.00000,14862.50000,140
09/30/2008,0.00000,0,0.00000,7700.00000,140
10/01/2008,0.00000,0,0.00000,3687.50000,140
10/02/2008,0.00000,0,0.00000,6487.50000,140
10/03/2008,0.00000,0,0.00000,5912.50000,140
10/04/2008,0.00000,0,0.00000,0.00000,140
10/05/2008,0.00000,0,0.00000,0.00000,140
10/06/2008,0.00000,0,0.00000,9300.00000,140
10/07/2008,0.00000,0,0.00000,8675.00000,140
10/08/2008,0.00000,0,0.00000,11825.00000,140
10/09/2008,0.00000,0,0.00000,13100.00000,140
10/10/2008,0.00000,0,0.00000,10775.00000,140
10/11/2008,0.00000,0,0.00000,0.00000,140
10/12/2008,0.00000,0,0.00000,0.00000,140
10/13/2008,0.00000,0,0.00000,15575.00000,140
10/14/2008,0.00000,0,0.00000,8137.50000,140
10/15/2008,0.00000,0,0.00000,14125.00000,140
10/16/2008,0.00000,0,0.00000,9587.50000,140
10/17/2008,0.00000,0,0.00000,9450.00000,140
10/18/2008,0.00000,0,0.00000,0.00000,140
10/19/2008,0.00000,0,0.00000,0.00000,140
10/20/2008,0.00000,0,0.00000,4900.00000,140
10/21/2008,0.00000,0,0.00000,6450.00000,140
