Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,-1235.00000,0,-575.00000,7762.50000,48
04/02/2008,0.00000,0,0.00000,2075.00000,48
04/03/2008,915.00000,1,0.00000,2687.50000,49
04/04/2008,-285.00000,0,-12.50000,3062.50000,50
04/05/2008,0.00000,0,0.00000,0.00000,50
04/06/2008,0.00000,0,0.00000,0.00000,50
04/07/2008,0.00000,0,0.00000,2225.00000,50
04/08/2008,265.00000,1,0.00000,2100.00000,51
04/09/2008,-2095.00000,1,-612.50000,3062.50000,53
04/10/2008,1405.00000,1,212.50000,2987.50000,55
04/11/2008,865.00000,0,1025.00000,5575.00000,56
04/12/2008,0.00000,0,0.00000,0.00000,56
04/13/2008,0.00000,0,0.00000,0.00000,56
04/14/2008,140.00000,1,0.00000,1887.50000,57
04/15/2008,490.00000,0,600.00000,2637.50000,58
04/16/2008,0.00000,0,0.00000,3675.00000,58
04/17/2008,0.00000,0,0.00000,2012.50000,58
04/18/2008,0.00000,0,0.00000,3987.50000,58
04/19/2008,0.00000,0,0.00000,0.00000,58
04/20/2008,0.00000,0,0.00000,0.00000,58
04/21/2008,0.00000,0,0.00000,2537.50000,58
04/22/2008,-260.00000,1,0.00000,3637.50000,59
04/23/2008,392.50000,1,237.50000,4087.50000,61
04/24/2008,-272.50000,0,-637.50000,3937.50000,62
04/25/2008,0.00000,0,0.00000,2537.50000,62
04/26/2008,0.00000,0,0.00000,0.00000,62
04/27/2008,0.00000,0,0.00000,0.00000,62
04/28/2008,0.00000,0,0.00000,1500.00000,62
04/29/2008,577.50000,1,0.00000,1900.00000,63
04/30/2008,-1120.00000,1,-75.00000,2975.00000,65
05/01/2008,0.00000,0,0.00000,0.00000,65
05/02/2008,3027.50000,0,2212.50000,4562.50000,66
05/03/2008,0.00000,0,0.00000,0.00000,66
05/04/2008,0.00000,0,0.00000,0.00000,66
05/05/2008,0.00000,0,0.00000,1550.00000,66
05/06/2008,1127.50000,1,0.00000,2687.50000,67
05/07/2008,-472.50000,0,-525.00000,2675.00000,68
05/08/2008,452.50000,1,0.00000,1937.50000,69
05/09/2008,-1035.00000,0,-925.00000,2525.00000,70
05/10/2008,0.00000,0,0.00000,0.00000,70
05/11/2008,0.00000,0,0.00000,0.00000,70
05/12/2008,0.00000,0,0.00000,1750.00000,70
05/13/2008,165.00000,1,0.00000,2000.00000,71
05/14/2008,-332.50000,1,200.00000,2600.00000,73
05/15/2008,190.00000,0,112.50000,2550.00000,74
05/16/2008,0.00000,0,0.00000,2600.00000,74
05/17/2008,0.00000,0,0.00000,0.00000,74
05/18/2008,0.00000,0,0.00000,0.00000,74
05/19/2008,0.00000,0,0.00000,1912.50000,74
05/20/2008,-160.00000,1,0.00000,2675.00000,75
05/21/2008,-845.00000,1,37.50000,4625.00000,77
05/22/2008,817.50000,1,725.00000,2887.50000,79
05/23/2008,-260.00000,0,-175.00000,3662.50000,80
05/24/2008,0.00000,0,0.00000,0.00000,80
05/25/2008,0.00000,0,0.00000,0.00000,80
05/26/2008,-222.50000,1,0.00000,1275.00000,81
05/27/2008,642.50000,1,350.00000,2550.00000,83
05/28/2008,-522.50000,0,-687.50000,3300.00000,84
05/29/2008,0.00000,0,0.00000,2512.50000,84
05/30/2008,0.00000,0,0.00000,1375.00000,84
05/31/2008,0.00000,0,0.00000,0.00000,84
06/01/2008,0.00000,0,0.00000,0.00000,84
06/02/2008,-247.50000,1,0.00000,3900.00000,85
06/03/2008,-797.50000,0,-837.50000,1987.50000,86
06/04/2008,-247.50000,1,0.00000,2400.00000,87
06/05/2008,515.00000,0,287.50000,2700.00000,88
06/06/2008,0.00000,0,0.00000,6612.50000,88
06/07/2008,0.00000,0,0.00000,0.00000,88
06/08/2008,0.00000,0,0.00000,0.00000,88
06/09/2008,-35.00000,1,0.00000,2437.50000,89
06/10/2008,-1670.00000,1,-887.50000,2500.00000,91
06/11/2008,-857.50000,1,250.00000,4637.50000,93
06/12/2008,-207.50000,1,275.00000,2512.50000,95
06/13/2008,352.50000,0,500.00000,3312.50000,96
06/14/2008,0.00000,0,0.00000,0.00000,96
06/15/2008,0.00000,0,0.00000,0.00000,96
06/16/2008,0.00000,0,0.00000,3537.50000,96
06/17/2008,0.00000,0,0.00000,2937.50000,96
06/18/2008,165.00000,1,0.00000,2350.00000,97
06/19/2008,-832.50000,1,-575.00000,2675.00000,99
06/20/2008,-597.50000,0,-725.00000,5687.50000,100
06/21/2008,0.00000,0,0.00000,0.00000,100
06/22/2008,0.00000,0,0.00000,0.00000,100
06/23/2008,-185.00000,1,0.00000,1712.50000,101
06/24/2008,1105.00000,1,162.50000,4462.50000,103
06/25/2008,240.00000,0,-350.00000,2587.50000,104
06/26/2008,-1385.00000,1,0.00000,4787.50000,105
06/27/2008,1077.50000,0,937.50000,3037.50000,106
06/28/2008,0.00000,0,0.00000,0.00000,106
06/29/2008,0.00000,0,0.00000,0.00000,106
06/30/2008,-635.00000,1,0.00000,3512.50000,107
07/01/2008,92.50000,1,0.00000,4525.00000,109
