Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,1112.50000,0,12.50000,2712.50000,38
04/02/2008,0.00000,0,0.00000,2100.00000,38
04/03/2008,0.00000,0,0.00000,2200.00000,38
04/04/2008,0.00000,0,0.00000,1525.00000,38
04/05/2008,0.00000,0,0.00000,0.00000,38
04/06/2008,0.00000,0,0.00000,1075.00000,38
04/07/2008,0.00000,0,0.00000,2187.50000,38
04/08/2008,0.00000,0,0.00000,1312.50000,38
04/09/2008,0.00000,0,0.00000,2087.50000,38
04/10/2008,0.00000,0,0.00000,2375.00000,38
04/11/2008,0.00000,0,0.00000,1250.00000,38
04/12/2008,0.00000,0,0.00000,0.00000,38
04/13/2008,0.00000,0,0.00000,1712.50000,38
04/14/2008,0.00000,0,0.00000,2387.50000,38
04/15/2008,0.00000,0,0.00000,1550.00000,38
04/16/2008,0.00000,0,0.00000,2450.00000,38
04/17/2008,0.00000,0,0.00000,1737.50000,38
04/18/2008,0.00000,0,0.00000,3075.00000,38
04/19/2008,0.00000,0,0.00000,0.00000,38
04/20/2008,0.00000,0,0.00000,537.50000,38
04/21/2008,0.00000,0,0.00000,1962.50000,38
04/22/2008,0.00000,0,0.00000,2300.00000,38
04/23/2008,0.00000,0,0.00000,2050.00000,38
04/24/2008,0.00000,0,0.00000,2937.50000,38
04/25/2008,0.00000,0,0.00000,1775.00000,38
04/26/2008,0.00000,0,0.00000,0.00000,38
04/27/2008,0.00000,0,0.00000,712.50000,38
04/28/2008,0.00000,0,0.00000,1225.00000,38
04/29/2008,0.00000,0,0.00000,1500.00000,38
04/30/2008,587.50000,-1,0.00000,1637.50000,41
05/01/2008,2000.00000,0,0.00000,2650.00000,42
05/02/2008,912.50000,1,0.00000,1750.00000,45
05/03/2008,0.00000,0,0.00000,0.00000,45
05/04/2008,550.00000,1,100.00000,700.00000,45
05/05/2008,712.50000,1,0.00000,1400.00000,45
05/06/2008,362.50000,0,0.00000,1812.50000,46
05/07/2008,0.00000,0,0.00000,2912.50000,46
05/08/2008,-822.50000,-1,0.00000,1875.00000,47
05/09/2008,-997.50000,0,0.00000,1100.00000,48
05/10/2008,0.00000,0,0.00000,0.00000,48
05/11/2008,0.00000,0,0.00000,1037.50000,48
05/12/2008,0.00000,0,0.00000,2587.50000,48
05/13/2008,0.00000,0,0.00000,1712.50000,48
05/14/2008,0.00000,0,0.00000,1125.00000,48
05/15/2008,0.00000,0,0.00000,1612.50000,48
05/16/2008,0.00000,0,0.00000,1925.00000,48
05/17/2008,0.00000,0,0.00000,0.00000,48
05/18/2008,0.00000,0,0.00000,462.50000,48
05/19/2008,1307.50000,1,0.00000,1862.50000,50
05/20/2008,1587.50000,0,12.50000,2300.00000,51
05/21/2008,0.00000,0,0.00000,2175.00000,51
05/22/2008,-50.00000,1,0.00000,1512.50000,54
05/23/2008,475.00000,1,-12.50000,1250.00000,54
05/24/2008,0.00000,0,0.00000,0.00000,54
05/25/2008,-137.50000,1,62.50000,550.00000,54
05/26/2008,437.50000,1,12.50000,750.00000,54
05/27/2008,-915.00000,1,12.50000,1900.00000,56
05/28/2008,-700.00000,1,0.00000,1900.00000,56
05/29/2008,-410.00000,0,0.00000,1950.00000,57
05/30/2008,0.00000,0,0.00000,1362.50000,57
05/31/2008,0.00000,0,0.00000,0.00000,57
06/01/2008,0.00000,0,0.00000,450.00000,57
06/02/2008,0.00000,0,0.00000,1300.00000,57
06/03/2008,1680.00000,1,0.00000,2750.00000,60
06/04/2008,685.00000,1,12.50000,1212.50000,62
06/05/2008,1127.50000,-1,0.00000,3037.50000,64
06/06/2008,-1260.00000,0,-12.50000,2575.00000,65
06/07/2008,0.00000,0,0.00000,0.00000,65
06/08/2008,0.00000,0,0.00000,425.00000,65
06/09/2008,0.00000,0,0.00000,3587.50000,65
06/10/2008,0.00000,0,0.00000,2225.00000,65
06/11/2008,0.00000,0,0.00000,1625.00000,65
06/12/2008,0.00000,0,0.00000,1387.50000,65
06/13/2008,0.00000,0,0.00000,1875.00000,65
06/14/2008,0.00000,0,0.00000,0.00000,65
06/15/2008,0.00000,0,0.00000,562.50000,65
06/16/2008,0.00000,0,0.00000,2450.00000,65
06/17/2008,0.00000,0,0.00000,1112.50000,65
06/18/2008,0.00000,0,0.00000,1500.00000,65
06/19/2008,0.00000,0,0.00000,1525.00000,65
06/20/2008,0.00000,0,0.00000,1850.00000,65
06/21/2008,0.00000,0,0.00000,0.00000,65
06/22/2008,0.00000,0,0.00000,437.50000,65
06/23/2008,0.00000,0,0.00000,1887.50000,65
06/24/2008,0.00000,0,0.00000,1375.00000,65
06/25/2008,0.00000,0,0.00000,1900.00000,65
06/26/2008,0.00000,0,0.00000,1725.00000,65
06/27/2008,-435.00000,-1,0.00000,950.00000,66
06/28/2008,0.00000,0,0.00000,0.00000,66
06/29/2008,100.00000,-1,212.50000,337.50000,66
06/30/2008,412.50000,-1,12.50000,1362.50000,66
07/01/2008,-737.50000,-1,12.50000,1312.50000,66
07/02/2008,-925.00000,-1,0.00000,1462.50000,66
07/03/2008,1337.50000,-1,0.00000,2962.50000,71
07/04/2008,262.50000,-1,12.50000,912.50000,71
07/05/2008,0.00000,0,0.00000,0.00000,71
07/06/2008,575.00000,-1,25.00000,950.00000,71
07/07/2008,-775.00000,-1,0.00000,1787.50000,71
07/08/2008,450.00000,-1,0.00000,1325.00000,71
07/09/2008,-650.00000,-1,12.50000,1112.50000,71
07/10/2008,-625.00000,-1,0.00000,1387.50000,71
07/11/2008,-985.00000,0,25.00000,2300.00000,72
07/12/2008,0.00000,0,0.00000,0.00000,72
07/13/2008,0.00000,0,0.00000,1062.50000,72
07/14/2008,-167.50000,-1,0.00000,1287.50000,74
07/15/2008,475.00000,-1,0.00000,2175.00000,74
07/16/2008,600.00000,-1,0.00000,1875.00000,74
07/17/2008,0.00000,-1,0.00000,1387.50000,74
07/18/2008,37.50000,-1,12.50000,1012.50000,74
07/19/2008,0.00000,0,0.00000,0.00000,74
07/20/2008,-312.50000,-1,62.50000,562.50000,74
07/21/2008,-700.00000,-1,0.00000,1337.50000,74
07/22/2008,2112.50000,0,12.50000,2362.50000,75
07/23/2008,0.00000,0,0.00000,1575.00000,75
07/24/2008,0.00000,0,0.00000,1087.50000,75
07/25/2008,0.00000,0,0.00000,1112.50000,75
07/26/2008,0.00000,0,0.00000,0.00000,75
07/27/2008,0.00000,0,0.00000,525.00000,75
07/28/2008,0.00000,0,0.00000,1025.00000,75
07/29/2008,0.00000,0,0.00000,2537.50000,75
07/30/2008,887.50000,1,0.00000,1175.00000,78
07/31/2008,-200.00000,1,12.50000,1812.50000,78
08/01/2008,12.50000,1,25.00000,1000.00000,78
08/02/2008,0.00000,0,0.00000,0.00000,78
08/03/2008,250.00000,1,150.00000,412.50000,78
08/04/2008,-612.50000,1,-12.50000,1287.50000,78
08/05/2008,-550.00000,1,12.50000,1300.00000,78
08/06/2008,-810.00000,0,0.00000,1500.00000,79
08/07/2008,0.00000,0,0.00000,3887.50000,79
08/08/2008,0.00000,0,0.00000,3137.50000,79
08/09/2008,0.00000,0,0.00000,0.00000,79
08/10/2008,0.00000,0,0.00000,1062.50000,79
08/11/2008,1030.00000,1,0.00000,2787.50000,82
08/12/2008,417.50000,-1,-12.50000,1912.50000,83
08/13/2008,767.50000,1,0.00000,1725.00000,84
08/14/2008,-1437.50000,1,0.00000,2500.00000,84
08/15/2008,-1120.00000,1,-12.50000,1612.50000,86
08/16/2008,0.00000,0,0.00000,0.00000,86
08/17/2008,862.50000,1,-12.50000,1212.50000,86
08/18/2008,-837.50000,1,12.50000,1262.50000,86
08/19/2008,975.00000,1,12.50000,2212.50000,86
08/20/2008,150.00000,1,0.00000,1450.00000,86
08/21/2008,1137.50000,0,12.50000,2012.50000,87
08/22/2008,0.00000,0,0.00000,1725.00000,87
08/23/2008,0.00000,0,0.00000,0.00000,87
08/24/2008,0.00000,0,0.00000,950.00000,87
08/25/2008,0.00000,0,0.00000,1400.00000,87
08/26/2008,0.00000,0,0.00000,2175.00000,87
08/27/2008,0.00000,0,0.00000,1700.00000,87
08/28/2008,0.00000,0,0.00000,1750.00000,87
08/29/2008,0.00000,0,0.00000,1587.50000,87
08/30/2008,0.00000,0,0.00000,0.00000,87
08/31/2008,0.00000,0,0.00000,1300.00000,87
09/01/2008,0.00000,0,0.00000,1375.00000,87
09/02/2008,0.00000,0,0.00000,2137.50000,87
09/03/2008,0.00000,0,0.00000,1850.00000,87
09/04/2008,0.00000,0,0.00000,4000.00000,87
09/05/2008,240.00000,1,0.00000,1912.50000,88
09/06/2008,0.00000,0,0.00000,0.00000,88
09/07/2008,1450.00000,0,1037.50000,2050.00000,89
09/08/2008,-1755.00000,1,0.00000,4725.00000,92
09/09/2008,1880.00000,-1,-62.50000,2087.50000,93
09/10/2008,1075.00000,0,-12.50000,3062.50000,94
09/11/2008,1020.00000,-1,0.00000,1875.00000,96
09/12/2008,-1760.00000,0,-12.50000,3075.00000,97
09/13/2008,0.00000,0,0.00000,0.00000,97
09/14/2008,0.00000,0,0.00000,3237.50000,97
09/15/2008,0.00000,0,0.00000,4512.50000,97
09/16/2008,0.00000,0,0.00000,2725.00000,97
09/17/2008,0.00000,0,0.00000,3962.50000,97
09/18/2008,-1677.50000,1,0.00000,4700.00000,103
09/19/2008,-272.50000,0,0.00000,4300.00000,103
09/20/2008,0.00000,0,0.00000,0.00000,103
09/21/2008,0.00000,0,0.00000,1550.00000,103
09/22/2008,0.00000,0,0.00000,5100.00000,103
09/23/2008,0.00000,0,0.00000,2312.50000,103
09/24/2008,0.00000,0,0.00000,1625.00000,103
09/25/2008,0.00000,0,0.00000,2550.00000,103
09/26/2008,0.00000,0,0.00000,1450.00000,103
09/27/2008,0.00000,0,0.00000,0.00000,103
09/28/2008,0.00000,0,0.00000,1550.00000,103
09/29/2008,0.00000,0,0.00000,3462.50000,103
09/30/2008,0.00000,0,0.00000,5075.00000,103
10/01/2008,0.00000,0,0.00000,3250.00000,103
10/02/2008,-1217.50000,1,0.00000,3062.50000,106
10/03/2008,3357.50000,0,-25.00000,2787.50000,110
10/04/2008,0.00000,0,0.00000,0.00000,110
10/05/2008,0.00000,0,0.00000,2125.00000,110
10/06/2008,302.50000,1,0.00000,2462.50000,111
10/07/2008,-1965.00000,-1,0.00000,2687.50000,114
10/08/2008,-850.00000,-1,0.00000,3025.00000,114
10/09/2008,-1222.50000,0,-12.50000,3475.00000,115
10/10/2008,0.00000,0,0.00000,5150.00000,115
10/11/2008,0.00000,0,0.00000,0.00000,115
10/12/2008,0.00000,0,0.00000,2825.00000,115
10/13/2008,0.00000,0,0.00000,2575.00000,115
10/14/2008,0.00000,0,0.00000,2925.00000,115
10/15/2008,0.00000,0,0.00000,3812.50000,115
10/16/2008,0.00000,0,0.00000,2400.00000,115
10/17/2008,0.00000,0,0.00000,1575.00000,115
10/18/2008,0.00000,0,0.00000,0.00000,115
10/19/2008,0.00000,0,0.00000,1125.00000,115
10/20/2008,0.00000,0,0.00000,3000.00000,115
10/21/2008,0.00000,0,0.00000,7437.50000,115
10/22/2008,-772.50000,1,0.00000,2587.50000,116
10/23/2008,2462.50000,0,0.00000,2937.50000,117
10/24/2008,0.00000,0,0.00000,4175.00000,117
10/25/2008,0.00000,0,0.00000,0.00000,117
10/26/2008,0.00000,0,0.00000,1937.50000,117
10/27/2008,4057.50000,1,0.00000,3675.00000,122
10/28/2008,457.50000,-1,0.00000,5212.50000,126
10/29/2008,425.00000,0,0.00000,8275.00000,127
10/30/2008,0.00000,0,0.00000,6412.50000,127
10/31/2008,0.00000,0,0.00000,2537.50000,127
11/01/2008,0.00000,0,0.00000,0.00000,127
11/02/2008,0.00000,0,0.00000,1637.50000,127
11/03/2008,0.00000,0,0.00000,4662.50000,127
11/04/2008,0.00000,0,0.00000,5800.00000,127
11/05/2008,0.00000,0,0.00000,3925.00000,127
11/06/2008,0.00000,0,0.00000,3487.50000,127
11/07/2008,0.00000,0,0.00000,1687.50000,127
11/08/2008,0.00000,0,0.00000,0.00000,127
11/09/2008,0.00000,0,0.00000,2262.50000,127
11/10/2008,0.00000,0,0.00000,3200.00000,127
11/11/2008,0.00000,0,0.00000,4050.00000,127
11/12/2008,0.00000,0,0.00000,2312.50000,127
11/13/2008,0.00000,0,0.00000,5950.00000,127
11/14/2008,0.00000,0,0.00000,2812.50000,127
11/15/2008,0.00000,0,0.00000,0.00000,127
11/16/2008,0.00000,0,0.00000,1150.00000,127
11/17/2008,0.00000,0,0.00000,2487.50000,127
11/18/2008,0.00000,0,0.00000,1700.00000,127
11/19/2008,0.00000,0,0.00000,4275.00000,127
11/20/2008,0.00000,0,0.00000,2125.00000,127
11/21/2008,0.00000,0,0.00000,2575.00000,127
11/22/2008,0.00000,0,0.00000,0.00000,127
11/23/2008,0.00000,0,0.00000,1000.00000,127
11/24/2008,0.00000,0,0.00000,5137.50000,127
11/25/2008,0.00000,0,0.00000,3487.50000,127
11/26/2008,0.00000,0,0.00000,2625.00000,127
11/27/2008,0.00000,0,0.00000,1400.00000,127
11/28/2008,0.00000,0,0.00000,3925.00000,127
11/29/2008,0.00000,0,0.00000,0.00000,127
11/30/2008,0.00000,0,0.00000,1137.50000,127
12/01/2008,0.00000,0,0.00000,1537.50000,127
12/02/2008,0.00000,0,0.00000,2562.50000,127
12/03/2008,0.00000,0,0.00000,1587.50000,127
12/04/2008,0.00000,0,0.00000,3737.50000,127
12/05/2008,0.00000,0,0.00000,2212.50000,127
12/06/2008,0.00000,0,0.00000,0.00000,127
12/07/2008,0.00000,0,0.00000,925.00000,127
12/08/2008,0.00000,0,0.00000,2737.50000,127
12/09/2008,-55.00000,-1,0.00000,2575.00000,129
12/10/2008,-1035.00000,0,12.50000,2450.00000,130
12/11/2008,0.00000,0,0.00000,4075.00000,130
12/12/2008,0.00000,0,0.00000,2062.50000,130
12/13/2008,0.00000,0,0.00000,0.00000,130
12/14/2008,0.00000,0,0.00000,1562.50000,130
12/15/2008,-2667.50000,-1,0.00000,3850.00000,133
12/16/2008,-1097.50000,-1,0.00000,6987.50000,137
12/17/2008,-2917.50000,0,-12.50000,6150.00000,140
12/18/2008,3962.50000,1,0.00000,6775.00000,146
12/19/2008,-1935.00000,0,-12.50000,6175.00000,147
12/20/2008,0.00000,0,0.00000,0.00000,147
12/21/2008,0.00000,0,0.00000,1787.50000,147
12/22/2008,0.00000,0,0.00000,2775.00000,147
12/23/2008,0.00000,0,0.00000,1262.50000,147
12/24/2008,0.00000,0,0.00000,962.50000,147
12/25/2008,0.00000,0,0.00000,0.00000,147
12/26/2008,0.00000,0,0.00000,1762.50000,147
12/27/2008,0.00000,0,0.00000,0.00000,147
12/28/2008,0.00000,0,0.00000,2137.50000,147
12/29/2008,0.00000,0,0.00000,5612.50000,147
12/30/2008,0.00000,0,0.00000,2987.50000,147
12/31/2008,0.00000,0,0.00000,3725.00000,147
01/01/2009,0.00000,0,0.00000,0.00000,147
01/02/2009,0.00000,0,0.00000,1900.00000,147
01/03/2009,0.00000,0,0.00000,0.00000,147
01/04/2009,0.00000,0,0.00000,1512.50000,147
01/05/2009,0.00000,0,0.00000,5525.00000,147
01/06/2009,0.00000,0,0.00000,3162.50000,147
01/07/2009,0.00000,0,0.00000,3575.00000,147
01/08/2009,0.00000,0,0.00000,3362.50000,147
01/09/2009,0.00000,0,0.00000,4337.50000,147
01/10/2009,0.00000,0,0.00000,0.00000,147
01/11/2009,0.00000,0,0.00000,1137.50000,147
01/12/2009,0.00000,0,0.00000,2012.50000,147
01/13/2009,0.00000,0,0.00000,2387.50000,147
01/14/2009,0.00000,0,0.00000,3062.50000,147
01/15/2009,0.00000,0,0.00000,2912.50000,147
01/16/2009,0.00000,0,0.00000,2000.00000,147
01/17/2009,0.00000,0,0.00000,0.00000,147
01/18/2009,0.00000,0,0.00000,937.50000,147
01/19/2009,0.00000,0,0.00000,4850.00000,147
01/20/2009,0.00000,0,0.00000,2337.50000,147
01/21/2009,2192.50000,-1,0.00000,3362.50000,150
01/22/2009,1187.50000,0,12.50000,2225.00000,151
01/23/2009,0.00000,0,0.00000,3375.00000,151
01/24/2009,0.00000,0,0.00000,0.00000,151
01/25/2009,0.00000,0,0.00000,1412.50000,151
01/26/2009,0.00000,0,0.00000,4887.50000,151
