Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,0.00000,0,0.00000,0.00000,0
04/02/2008,180.00000,0,0.00000,2100.00000,65
04/03/2008,0.00000,0,0.00000,2200.00000,65
04/04/2008,40.00000,1,0.00000,1525.00000,66
04/05/2008,0.00000,0,0.00000,0.00000,66
04/06/2008,-710.00000,0,0.00000,1075.00000,67
04/07/2008,1142.50000,0,0.00000,2187.50000,69
04/08/2008,0.00000,0,0.00000,1312.50000,69
04/09/2008,1042.50000,0,0.00000,2075.00000,71
04/10/2008,0.00000,0,0.00000,2375.00000,71
04/11/2008,-560.00000,1,0.00000,1250.00000,73
04/12/2008,0.00000,0,0.00000,0.00000,73
04/13/2008,-1310.00000,0,-1300.00000,1712.50000,73
04/14/2008,205.00000,0,0.00000,2275.00000,75
04/15/2008,0.00000,0,0.00000,1550.00000,75
04/16/2008,1080.00000,0,0.00000,2412.50000,77
04/17/2008,0.00000,0,0.00000,1737.50000,77
04/18/2008,2490.00000,0,0.00000,3075.00000,79
04/19/2008,0.00000,0,0.00000,0.00000,79
04/20/2008,0.00000,0,0.00000,650.00000,79
04/21/2008,217.50000,0,0.00000,1962.50000,81
04/22/2008,0.00000,0,0.00000,2300.00000,81
04/23/2008,980.00000,0,0.00000,2050.00000,83
04/24/2008,0.00000,0,0.00000,2937.50000,83
04/25/2008,-422.50000,1,0.00000,1775.00000,84
04/26/2008,0.00000,0,0.00000,0.00000,84
04/27/2008,2.50000,0,-250.00000,712.50000,85
04/28/2008,-470.00000,0,0.00000,1225.00000,87
04/29/2008,0.00000,0,0.00000,1462.50000,87
04/30/2008,0.00000,0,0.00000,1637.50000,87
05/01/2008,0.00000,0,0.00000,2650.00000,87
05/02/2008,-1270.00000,0,0.00000,1750.00000,89
05/03/2008,0.00000,0,0.00000,0.00000,89
05/04/2008,0.00000,0,0.00000,700.00000,89
05/05/2008,0.00000,0,0.00000,1400.00000,89
05/06/2008,0.00000,0,0.00000,1812.50000,89
05/07/2008,1830.00000,0,0.00000,2912.50000,91
05/08/2008,0.00000,0,0.00000,1875.00000,91
05/09/2008,-47.50000,1,0.00000,1025.00000,92
05/10/2008,0.00000,0,0.00000,0.00000,92
05/11/2008,-835.00000,0,-187.50000,1037.50000,93
05/12/2008,1142.50000,0,0.00000,2587.50000,95
05/13/2008,0.00000,0,0.00000,1712.50000,95
05/14/2008,-632.50000,0,0.00000,1275.00000,97
05/15/2008,0.00000,0,0.00000,1612.50000,97
05/16/2008,-662.50000,1,0.00000,1925.00000,100
05/17/2008,0.00000,0,0.00000,0.00000,100
05/18/2008,-147.50000,0,212.50000,462.50000,101
05/19/2008,0.00000,0,0.00000,1862.50000,101
05/20/2008,0.00000,0,0.00000,2187.50000,101
05/21/2008,617.50000,0,0.00000,2175.00000,103
05/22/2008,0.00000,0,0.00000,1512.50000,103
05/23/2008,352.50000,1,0.00000,1250.00000,104
05/24/2008,0.00000,0,0.00000,0.00000,104
05/25/2008,-47.50000,0,62.50000,550.00000,105
05/26/2008,-215.00000,0,0.00000,750.00000,108
05/27/2008,0.00000,0,0.00000,1900.00000,108
05/28/2008,605.00000,0,0.00000,1900.00000,110
05/29/2008,0.00000,0,0.00000,1937.50000,110
05/30/2008,590.00000,1,0.00000,1362.50000,111
05/31/2008,0.00000,0,0.00000,0.00000,111
06/01/2008,-272.50000,0,87.50000,450.00000,112
06/02/2008,-1597.50000,0,0.00000,1300.00000,116
06/03/2008,0.00000,0,0.00000,2750.00000,116
06/04/2008,0.00000,0,0.00000,1212.50000,116
06/05/2008,0.00000,0,0.00000,3037.50000,116
06/06/2008,-355.00000,1,0.00000,2575.00000,119
06/07/2008,0.00000,0,0.00000,0.00000,119
06/08/2008,115.00000,0,200.00000,425.00000,120
06/09/2008,1217.50000,0,0.00000,3587.50000,122
06/10/2008,0.00000,0,0.00000,2225.00000,122
06/11/2008,-495.00000,0,0.00000,1625.00000,124
06/12/2008,0.00000,0,0.00000,1312.50000,124
06/13/2008,27.50000,-1,0.00000,1875.00000,125
06/14/2008,0.00000,0,0.00000,0.00000,125
06/15/2008,-210.00000,0,-250.00000,562.50000,126
06/16/2008,1292.50000,0,0.00000,2450.00000,128
06/17/2008,0.00000,0,0.00000,1112.50000,128
06/18/2008,-1057.50000,0,0.00000,1500.00000,130
06/19/2008,0.00000,0,0.00000,1525.00000,130
06/20/2008,340.00000,1,0.00000,1850.00000,131
06/21/2008,0.00000,0,0.00000,0.00000,131
06/22/2008,27.50000,0,325.00000,437.50000,132
06/23/2008,-432.50000,0,0.00000,1875.00000,134
06/24/2008,0.00000,0,0.00000,1325.00000,134
06/25/2008,1242.50000,0,0.00000,1900.00000,136
06/26/2008,0.00000,0,0.00000,1725.00000,136
06/27/2008,502.50000,1,0.00000,950.00000,137
06/28/2008,0.00000,0,0.00000,0.00000,137
06/29/2008,-85.00000,0,-212.50000,337.50000,138
06/30/2008,-252.50000,0,0.00000,1362.50000,141
07/01/2008,0.00000,0,0.00000,1312.50000,141
07/02/2008,0.00000,0,0.00000,1462.50000,141
07/03/2008,0.00000,0,0.00000,2962.50000,141
07/04/2008,-85.00000,-1,0.00000,912.50000,142
07/05/2008,0.00000,0,0.00000,0.00000,142
07/06/2008,702.50000,0,25.00000,950.00000,143
07/07/2008,742.50000,0,0.00000,1787.50000,145
07/08/2008,0.00000,0,0.00000,1325.00000,145
07/09/2008,-465.00000,0,0.00000,1112.50000,148
07/10/2008,0.00000,0,0.00000,1387.50000,148
07/11/2008,1790.00000,1,0.00000,2300.00000,149
07/12/2008,0.00000,0,0.00000,0.00000,149
07/13/2008,-247.50000,0,400.00000,1062.50000,150
07/14/2008,0.00000,0,0.00000,1287.50000,150
07/15/2008,0.00000,0,0.00000,2175.00000,150
07/16/2008,-190.00000,0,0.00000,1875.00000,153
07/17/2008,0.00000,0,0.00000,1387.50000,153
07/18/2008,-185.00000,-1,0.00000,1012.50000,154
07/19/2008,0.00000,0,0.00000,0.00000,154
07/20/2008,-310.00000,0,62.50000,562.50000,155
07/21/2008,-1665.00000,0,0.00000,1337.50000,158
07/22/2008,0.00000,0,0.00000,2362.50000,158
07/23/2008,592.50000,0,0.00000,1575.00000,160
07/24/2008,0.00000,0,0.00000,1087.50000,160
07/25/2008,-942.50000,-1,0.00000,1112.50000,162
07/26/2008,0.00000,0,0.00000,0.00000,162
07/27/2008,2.50000,0,137.50000,525.00000,163
07/28/2008,192.50000,0,0.00000,1025.00000,165
07/29/2008,0.00000,0,0.00000,2537.50000,165
07/30/2008,0.00000,0,0.00000,1175.00000,165
07/31/2008,0.00000,0,0.00000,1812.50000,165
08/01/2008,-517.50000,1,0.00000,1000.00000,167
08/02/2008,0.00000,0,0.00000,0.00000,167
08/03/2008,302.50000,0,150.00000,412.50000,168
08/04/2008,-1635.00000,0,0.00000,1325.00000,172
08/05/2008,0.00000,0,0.00000,1300.00000,172
08/06/2008,630.00000,0,0.00000,1500.00000,174
08/07/2008,0.00000,0,0.00000,3887.50000,174
08/08/2008,1677.50000,-1,0.00000,3137.50000,175
08/09/2008,0.00000,0,0.00000,0.00000,175
08/10/2008,812.50000,0,737.50000,1062.50000,176
08/11/2008,0.00000,0,0.00000,2787.50000,176
08/12/2008,0.00000,0,0.00000,1912.50000,176
08/13/2008,0.00000,0,0.00000,1725.00000,176
