Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,725.00000,0,-12.50000,2712.50000,10
04/02/2008,1655.00000,-1,0.00000,2100.00000,13
04/03/2008,1477.50000,1,-25.00000,2200.00000,15
04/04/2008,737.50000,0,0.00000,1525.00000,16
04/05/2008,0.00000,0,0.00000,0.00000,16
04/06/2008,0.00000,0,0.00000,1075.00000,16
04/07/2008,0.00000,0,0.00000,2187.50000,16
04/08/2008,202.50000,-1,0.00000,1312.50000,17
04/09/2008,-1122.50000,0,-12.50000,2075.00000,18
04/10/2008,1290.00000,0,0.00000,2375.00000,20
04/11/2008,0.00000,0,0.00000,1250.00000,20
04/12/2008,0.00000,0,0.00000,0.00000,20
04/13/2008,0.00000,0,0.00000,1712.50000,20
04/14/2008,607.50000,-1,0.00000,2337.50000,22
04/15/2008,350.00000,-1,-12.50000,1550.00000,22
04/16/2008,-1395.00000,1,-12.50000,2412.50000,24
04/17/2008,-1220.00000,1,-12.50000,1737.50000,26
04/18/2008,-572.50000,0,25.00000,3075.00000,27
04/19/2008,0.00000,0,0.00000,0.00000,27
04/20/2008,0.00000,0,0.00000,650.00000,27
04/21/2008,-920.00000,0,0.00000,1962.50000,29
04/22/2008,-920.00000,0,0.00000,2300.00000,31
04/23/2008,0.00000,0,0.00000,2050.00000,31
04/24/2008,-920.00000,0,0.00000,2937.50000,33
04/25/2008,0.00000,0,0.00000,1775.00000,33
04/26/2008,0.00000,0,0.00000,0.00000,33
04/27/2008,0.00000,0,0.00000,712.50000,33
04/28/2008,90.00000,-1,0.00000,1225.00000,34
04/29/2008,1200.00000,0,12.50000,1487.50000,35
04/30/2008,1115.00000,1,0.00000,1637.50000,36
05/01/2008,-2035.00000,0,0.00000,2650.00000,37
05/02/2008,0.00000,0,0.00000,1750.00000,37
05/03/2008,0.00000,0,0.00000,0.00000,37
05/04/2008,0.00000,0,0.00000,700.00000,37
05/05/2008,0.00000,0,0.00000,1400.00000,37
05/06/2008,0.00000,0,0.00000,1812.50000,37
05/07/2008,0.00000,0,0.00000,2912.50000,37
05/08/2008,552.50000,1,0.00000,1875.00000,38
05/09/2008,737.50000,0,0.00000,1050.00000,39
05/10/2008,0.00000,0,0.00000,0.00000,39
05/11/2008,0.00000,0,0.00000,1037.50000,39
05/12/2008,1290.00000,0,0.00000,2587.50000,41
05/13/2008,0.00000,0,0.00000,1712.50000,41
05/14/2008,0.00000,0,0.00000,1175.00000,41
05/15/2008,165.00000,-1,0.00000,1612.50000,42
05/16/2008,-1085.00000,0,12.50000,1925.00000,43
05/17/2008,0.00000,0,0.00000,0.00000,43
05/18/2008,0.00000,0,0.00000,462.50000,43
05/19/2008,0.00000,0,0.00000,1862.50000,43
05/20/2008,0.00000,0,0.00000,2237.50000,43
05/21/2008,0.00000,0,0.00000,2175.00000,43
05/22/2008,-322.50000,1,0.00000,1512.50000,44
05/23/2008,525.00000,1,0.00000,1250.00000,44
05/24/2008,0.00000,0,0.00000,0.00000,44
05/25/2008,-125.00000,1,62.50000,550.00000,44
05/26/2008,487.50000,1,0.00000,750.00000,44
05/27/2008,-1497.50000,0,0.00000,1900.00000,45
05/28/2008,520.00000,1,0.00000,1900.00000,47
05/29/2008,-585.00000,0,12.50000,1950.00000,48
05/30/2008,952.50000,1,0.00000,1362.50000,49
05/31/2008,0.00000,0,0.00000,0.00000,49
06/01/2008,-262.50000,1,87.50000,450.00000,49
06/02/2008,600.00000,0,12.50000,1300.00000,50
06/03/2008,1290.00000,0,0.00000,2750.00000,52
06/04/2008,0.00000,0,0.00000,1212.50000,52
06/05/2008,0.00000,0,0.00000,3037.50000,52
06/06/2008,0.00000,0,0.00000,2575.00000,52
06/07/2008,0.00000,0,0.00000,0.00000,52
06/08/2008,0.00000,0,0.00000,425.00000,52
06/09/2008,-917.50000,1,0.00000,3587.50000,55
06/10/2008,-922.50000,0,-12.50000,2225.00000,56
06/11/2008,-347.50000,1,0.00000,1625.00000,57
06/12/2008,-572.50000,0,0.00000,1312.50000,58
06/13/2008,-920.00000,0,0.00000,1875.00000,60
06/14/2008,0.00000,0,0.00000,0.00000,60
06/15/2008,0.00000,0,0.00000,562.50000,60
06/16/2008,-920.00000,0,0.00000,2450.00000,62
06/17/2008,27.50000,-1,0.00000,1112.50000,63
06/18/2008,1890.00000,1,0.00000,1500.00000,66
06/19/2008,835.00000,1,12.50000,1525.00000,68
06/20/2008,1087.50000,0,0.00000,1850.00000,69
06/21/2008,0.00000,0,0.00000,0.00000,69
06/22/2008,0.00000,0,0.00000,437.50000,69
06/23/2008,0.00000,0,0.00000,1875.00000,69
06/24/2008,0.00000,0,0.00000,1337.50000,69
06/25/2008,-920.00000,0,0.00000,1900.00000,71
06/26/2008,-235.00000,-1,0.00000,1725.00000,72
06/27/2008,705.00000,1,0.00000,950.00000,73
06/28/2008,0.00000,0,0.00000,0.00000,73
06/29/2008,-75.00000,1,-212.50000,337.50000,73
06/30/2008,1047.50000,1,-12.50000,1362.50000,75
07/01/2008,-7.50000,-1,-12.50000,1312.50000,76
07/02/2008,-522.50000,0,0.00000,1462.50000,77
07/03/2008,0.00000,0,0.00000,2962.50000,77
07/04/2008,0.00000,0,0.00000,912.50000,77
07/05/2008,0.00000,0,0.00000,0.00000,77
07/06/2008,0.00000,0,0.00000,950.00000,77
07/07/2008,240.00000,1,0.00000,1787.50000,78
07/08/2008,-200.00000,1,0.00000,1325.00000,78
07/09/2008,475.00000,1,0.00000,1112.50000,78
07/10/2008,775.00000,0,0.00000,1387.50000,79
07/11/2008,0.00000,0,0.00000,2300.00000,79
07/12/2008,0.00000,0,0.00000,0.00000,79
07/13/2008,0.00000,0,0.00000,1062.50000,79
07/14/2008,877.50000,1,0.00000,1287.50000,80
07/15/2008,412.50000,0,0.00000,2175.00000,81
07/16/2008,-10.00000,1,0.00000,1875.00000,82
07/17/2008,237.50000,1,-12.50000,1387.50000,82
07/18/2008,-250.00000,1,0.00000,1012.50000,82
07/19/2008,0.00000,0,0.00000,0.00000,82
07/20/2008,217.50000,-1,-62.50000,562.50000,83
07/21/2008,-625.00000,-1,0.00000,1337.50000,83
07/22/2008,-247.50000,0,0.00000,2362.50000,84
