Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,-2210.00000,-1,-575.00000,7762.50000,7
04/02/2008,662.50000,-1,150.00000,2075.00000,7
04/03/2008,-87.50000,-1,-687.50000,2687.50000,7
04/04/2008,387.50000,-1,12.50000,3062.50000,7
04/05/2008,0.00000,0,0.00000,0.00000,7
04/06/2008,0.00000,0,0.00000,0.00000,7
04/07/2008,-1250.00000,-1,-812.50000,2225.00000,7
04/08/2008,937.50000,-1,862.50000,2100.00000,7
04/09/2008,1937.50000,-1,612.50000,3062.50000,7
04/10/2008,-512.50000,-1,-212.50000,2987.50000,7
04/11/2008,3962.50000,-1,-1025.00000,5575.00000,7
04/12/2008,0.00000,0,0.00000,0.00000,7
04/13/2008,0.00000,0,0.00000,0.00000,7
04/14/2008,-212.50000,-1,50.00000,1887.50000,7
04/15/2008,-1075.00000,-1,-600.00000,2637.50000,7
04/16/2008,-3187.50000,-1,-800.00000,3675.00000,7
04/17/2008,962.50000,-1,75.00000,2012.50000,7
04/18/2008,-3000.00000,-1,-637.50000,3987.50000,7
04/19/2008,0.00000,0,0.00000,0.00000,7
04/20/2008,0.00000,0,0.00000,0.00000,7
04/21/2008,212.50000,-1,-312.50000,2537.50000,7
04/22/2008,4025.00000,1,687.50000,3637.50000,8
04/23/2008,1962.50000,1,237.50000,4087.50000,8
04/24/2008,1425.00000,1,-637.50000,3937.50000,8
04/25/2008,1350.00000,-1,250.00000,2537.50000,9
04/26/2008,0.00000,0,0.00000,0.00000,9
04/27/2008,0.00000,0,0.00000,0.00000,9
04/28/2008,600.00000,-1,262.50000,1500.00000,9
04/29/2008,450.00000,-1,-475.00000,1900.00000,9
04/30/2008,-325.00000,-1,75.00000,2975.00000,9
05/01/2008,0.00000,0,0.00000,0.00000,9
05/02/2008,-3835.00000,0,-2212.50000,4562.50000,10
05/03/2008,0.00000,0,0.00000,0.00000,10
05/04/2008,0.00000,0,0.00000,0.00000,10
05/05/2008,0.00000,0,0.00000,1550.00000,10
05/06/2008,0.00000,0,0.00000,2687.50000,10
05/07/2008,0.00000,0,0.00000,2675.00000,10
05/08/2008,0.00000,0,0.00000,1937.50000,10
05/09/2008,0.00000,0,0.00000,2525.00000,10
05/10/2008,0.00000,0,0.00000,0.00000,10
05/11/2008,0.00000,0,0.00000,0.00000,10
05/12/2008,0.00000,0,0.00000,1750.00000,10
05/13/2008,0.00000,0,0.00000,2000.00000,10
05/14/2008,0.00000,0,0.00000,2600.00000,10
05/15/2008,0.00000,0,0.00000,2550.00000,10
05/16/2008,-887.50000,-1,0.00000,2600.00000,11
05/17/2008,0.00000,0,0.00000,0.00000,11
05/18/2008,0.00000,0,0.00000,0.00000,11
05/19/2008,-150.00000,-1,137.50000,1912.50000,11
05/20/2008,2137.50000,-1,137.50000,2675.00000,11
05/21/2008,3662.50000,-1,-37.50000,4625.00000,11
05/22/2008,-2487.50000,-1,-725.00000,2887.50000,11
05/23/2008,3250.00000,-1,175.00000,3662.50000,11
05/24/2008,0.00000,0,0.00000,0.00000,11
05/25/2008,0.00000,0,0.00000,0.00000,11
05/26/2008,-37.50000,-1,62.50000,1275.00000,11
05/27/2008,-1262.50000,-1,-350.00000,2550.00000,11
05/28/2008,-1337.50000,-1,687.50000,3300.00000,11
05/29/2008,-500.00000,-1,-162.50000,2512.50000,11
05/30/2008,-425.00000,-1,-25.00000,1375.00000,11
05/31/2008,0.00000,0,0.00000,0.00000,11
