Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,0.00000,0,0.00000,0.00000,0
04/02/2008,-1650.00000,0,0.00000,931.25000,26
04/03/2008,2418.75000,3,0.00000,1362.50000,27
04/04/2008,-281.25000,3,-37.50000,1000.00000,27
04/05/2008,0.00000,0,0.00000,0.00000,27
04/06/2008,-656.25000,3,-431.25000,468.75000,27
04/07/2008,-468.75000,3,-37.50000,575.00000,27
04/08/2008,-2662.50000,0,0.00000,1412.50000,28
04/09/2008,-1650.00000,0,0.00000,856.25000,30
04/10/2008,0.00000,0,0.00000,912.50000,30
04/11/2008,0.00000,0,0.00000,537.50000,30
04/12/2008,0.00000,0,0.00000,0.00000,30
04/13/2008,0.00000,0,0.00000,687.50000,30
04/14/2008,0.00000,0,0.00000,1325.00000,30
04/15/2008,-1050.00000,3,0.00000,906.25000,31
04/16/2008,-150.00000,0,0.00000,1181.25000,33
04/17/2008,3862.50000,3,0.00000,1493.75000,34
04/18/2008,1368.75000,3,-56.25000,737.50000,34
04/19/2008,0.00000,0,0.00000,0.00000,34
04/20/2008,543.75000,3,-262.50000,437.50000,34
04/21/2008,-3393.75000,3,37.50000,1443.75000,34
04/22/2008,2531.25000,3,-93.75000,1656.25000,34
04/23/2008,-2943.75000,3,75.00000,1287.50000,34
04/24/2008,-993.75000,3,-56.25000,837.50000,34
04/25/2008,2250.00000,3,56.25000,1343.75000,34
04/26/2008,0.00000,0,0.00000,0.00000,34
04/27/2008,-525.00000,3,-412.50000,275.00000,34
04/28/2008,1237.50000,3,0.00000,1143.75000,34
04/29/2008,-4012.50000,3,56.25000,1487.50000,34
04/30/2008,3731.25000,3,37.50000,1712.50000,34
05/01/2008,-2250.00000,3,-75.00000,1243.75000,34
05/02/2008,-656.25000,3,0.00000,1231.25000,34
05/03/2008,0.00000,0,0.00000,0.00000,34
05/04/2008,562.50000,3,243.75000,825.00000,34
05/05/2008,-412.50000,3,150.00000,825.00000,34
05/06/2008,-431.25000,3,-93.75000,875.00000,34
05/07/2008,-2118.75000,0,243.75000,1325.00000,35
05/08/2008,487.50000,-3,0.00000,737.50000,36
05/09/2008,337.50000,-3,-56.25000,687.50000,36
05/10/2008,0.00000,0,0.00000,0.00000,36
05/11/2008,956.25000,-3,281.25000,462.50000,36
05/12/2008,-993.75000,-3,-18.75000,1212.50000,36
05/13/2008,1781.25000,-3,18.75000,1268.75000,36
05/14/2008,-525.00000,-3,18.75000,718.75000,36
05/15/2008,-262.50000,-3,-18.75000,606.25000,36
05/16/2008,-1968.75000,-3,-18.75000,987.50000,36
05/17/2008,0.00000,0,0.00000,0.00000,36
05/18/2008,356.25000,-3,337.50000,200.00000,36
05/19/2008,731.25000,-3,18.75000,1075.00000,36
05/20/2008,-2550.00000,0,-75.00000,1231.25000,37
05/21/2008,1218.75000,3,0.00000,825.00000,38
05/22/2008,1612.50000,3,-37.50000,1056.25000,38
05/23/2008,243.75000,3,-18.75000,612.50000,38
05/24/2008,0.00000,0,0.00000,0.00000,38
05/25/2008,262.50000,3,93.75000,268.75000,38
05/26/2008,-37.50000,3,0.00000,468.75000,38
05/27/2008,-1031.25000,3,18.75000,812.50000,38
05/28/2008,543.75000,3,75.00000,775.00000,38
05/29/2008,-375.00000,3,-150.00000,818.75000,38
05/30/2008,1125.00000,3,56.25000,900.00000,38
05/31/2008,0.00000,0,0.00000,0.00000,38
06/01/2008,-1425.00000,3,-1237.50000,718.75000,38
06/02/2008,-2306.25000,3,-18.75000,937.50000,38
06/03/2008,1762.50000,-3,18.75000,850.00000,39
06/04/2008,18.75000,3,-18.75000,818.75000,40
06/05/2008,-656.25000,0,-225.00000,862.50000,41
06/06/2008,2718.75000,3,0.00000,1493.75000,42
06/07/2008,0.00000,0,0.00000,0.00000,42
06/08/2008,-150.00000,3,-75.00000,281.25000,42
06/09/2008,806.25000,-3,-150.00000,787.50000,43
06/10/2008,2756.25000,-3,-37.50000,1162.50000,43
06/11/2008,-787.50000,-3,18.75000,1125.00000,43
06/12/2008,-825.00000,0,-18.75000,987.50000,45
06/13/2008,0.00000,0,0.00000,650.00000,45
06/14/2008,0.00000,0,0.00000,0.00000,45
06/15/2008,0.00000,0,0.00000,406.25000,45
06/16/2008,0.00000,0,0.00000,1187.50000,45
06/17/2008,0.00000,0,0.00000,1437.50000,45
06/18/2008,0.00000,0,0.00000,875.00000,45
06/19/2008,0.00000,0,0.00000,925.00000,45
06/20/2008,0.00000,0,0.00000,543.75000,45
06/21/2008,0.00000,0,0.00000,0.00000,45
06/22/2008,0.00000,0,0.00000,175.00000,45
06/23/2008,0.00000,0,0.00000,918.75000,45
06/24/2008,-656.25000,-3,0.00000,637.50000,46
06/25/2008,1706.25000,3,93.75000,737.50000,47
06/26/2008,2437.50000,3,-37.50000,1168.75000,47
06/27/2008,1575.00000,3,0.00000,931.25000,47
06/28/2008,0.00000,0,0.00000,0.00000,47
06/29/2008,-318.75000,3,225.00000,237.50000,47
06/30/2008,975.00000,-3,0.00000,643.75000,48
07/01/2008,-1143.75000,-3,-37.50000,743.75000,48
07/02/2008,900.00000,-3,-18.75000,806.25000,48
07/03/2008,1106.25000,-3,18.75000,825.00000,48
07/04/2008,356.25000,-3,-18.75000,406.25000,48
07/05/2008,0.00000,0,0.00000,0.00000,48
07/06/2008,937.50000,-3,-393.75000,512.50000,48
07/07/2008,412.50000,-3,0.00000,893.75000,48
07/08/2008,375.00000,-3,37.50000,831.25000,48
07/09/2008,-1650.00000,-3,75.00000,1068.75000,48
07/10/2008,1856.25000,3,-18.75000,662.50000,49
07/11/2008,2268.75000,3,0.00000,1300.00000,49
07/12/2008,0.00000,0,0.00000,0.00000,49
07/13/2008,-600.00000,3,262.50000,525.00000,49
07/14/2008,2456.25000,3,-75.00000,1112.50000,49
07/15/2008,768.75000,3,-56.25000,1225.00000,49
07/16/2008,-300.00000,3,-18.75000,881.25000,49
07/17/2008,-506.25000,3,-56.25000,800.00000,49
07/18/2008,225.00000,3,-75.00000,575.00000,49
07/19/2008,0.00000,0,0.00000,0.00000,49
07/20/2008,-750.00000,3,-93.75000,375.00000,49
07/21/2008,1200.00000,3,-56.25000,825.00000,49
07/22/2008,-1443.75000,3,93.75000,1131.25000,49
07/23/2008,956.25000,3,0.00000,850.00000,49
07/24/2008,-2137.50000,3,37.50000,1118.75000,49
07/25/2008,993.75000,3,-150.00000,887.50000,49
07/26/2008,0.00000,0,0.00000,0.00000,49
07/27/2008,-393.75000,3,-281.25000,375.00000,49
07/28/2008,806.25000,3,-18.75000,781.25000,49
07/29/2008,-2212.50000,3,75.00000,1300.00000,49
07/30/2008,-93.75000,3,0.00000,625.00000,49
07/31/2008,375.00000,3,-18.75000,925.00000,49
08/01/2008,-1387.50000,3,0.00000,731.25000,49
08/02/2008,0.00000,0,0.00000,0.00000,49
08/03/2008,-243.75000,3,206.25000,156.25000,49
08/04/2008,-2212.50000,0,0.00000,1000.00000,50
08/05/2008,0.00000,0,0.00000,518.75000,50
08/06/2008,0.00000,0,0.00000,825.00000,50
08/07/2008,0.00000,0,0.00000,1681.25000,50
08/08/2008,0.00000,0,0.00000,1137.50000,50
08/09/2008,0.00000,0,0.00000,0.00000,50
08/10/2008,0.00000,0,0.00000,631.25000,50
08/11/2008,3618.75000,-3,0.00000,1368.75000,51
08/12/2008,1181.25000,-3,-56.25000,1037.50000,51
08/13/2008,3600.00000,0,37.50000,2562.50000,52
08/14/2008,975.00000,-3,0.00000,893.75000,53
08/15/2008,-243.75000,-3,75.00000,1075.00000,53
08/16/2008,0.00000,0,0.00000,0.00000,53
08/17/2008,-562.50000,-3,131.25000,650.00000,53
08/18/2008,618.75000,-3,56.25000,687.50000,53
08/19/2008,-187.50000,-3,0.00000,925.00000,53
08/20/2008,1275.00000,3,0.00000,781.25000,54
08/21/2008,-918.75000,0,112.50000,1131.25000,56
08/22/2008,0.00000,0,0.00000,1650.00000,56
08/23/2008,0.00000,0,0.00000,0.00000,56
08/24/2008,0.00000,0,0.00000,756.25000,56
08/25/2008,0.00000,0,0.00000,1131.25000,56
08/26/2008,0.00000,0,0.00000,912.50000,56
08/27/2008,0.00000,0,0.00000,1281.25000,56
08/28/2008,0.00000,0,0.00000,975.00000,56
08/29/2008,0.00000,0,0.00000,1087.50000,56
08/30/2008,0.00000,0,0.00000,0.00000,56
08/31/2008,0.00000,0,0.00000,1412.50000,56
09/01/2008,0.00000,0,0.00000,1500.00000,56
09/02/2008,0.00000,0,0.00000,1475.00000,56
09/03/2008,0.00000,0,0.00000,962.50000,56
09/04/2008,0.00000,0,0.00000,2018.75000,56
09/05/2008,0.00000,0,0.00000,1118.75000,56
09/06/2008,0.00000,0,0.00000,0.00000,56
09/07/2008,0.00000,0,0.00000,1962.50000,56
09/08/2008,-1650.00000,0,0.00000,2937.50000,58
09/09/2008,0.00000,0,0.00000,1125.00000,58
09/10/2008,0.00000,0,0.00000,1268.75000,58
09/11/2008,0.00000,0,0.00000,968.75000,58
09/12/2008,0.00000,0,0.00000,2381.25000,58
09/13/2008,0.00000,0,0.00000,0.00000,58
09/14/2008,0.00000,0,0.00000,1562.50000,58
09/15/2008,0.00000,0,0.00000,2218.75000,58
09/16/2008,0.00000,0,0.00000,1643.75000,58
09/17/2008,-1650.00000,0,0.00000,2968.75000,60
09/18/2008,0.00000,0,0.00000,1787.50000,60
09/19/2008,0.00000,0,0.00000,2931.25000,60
09/20/2008,0.00000,0,0.00000,0.00000,60
09/21/2008,0.00000,0,0.00000,706.25000,60
09/22/2008,-1650.00000,0,0.00000,2418.75000,62
09/23/2008,0.00000,0,0.00000,1025.00000,62
09/24/2008,18.75000,-3,0.00000,862.50000,63
09/25/2008,-1668.75000,0,-93.75000,2237.50000,64
09/26/2008,0.00000,0,0.00000,875.00000,64
09/27/2008,0.00000,0,0.00000,0.00000,64
09/28/2008,0.00000,0,0.00000,1193.75000,64
09/29/2008,0.00000,0,0.00000,1968.75000,64
