Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,3330.00000,-1,-20.00000,4940.00000,21
04/02/2008,-1170.00000,0,40.00000,2640.00000,22
04/03/2008,-480.00000,1,0.00000,2120.00000,23
04/04/2008,1090.00000,1,10.00000,1600.00000,23
04/05/2008,-50.00000,1,0.00000,90.00000,23
04/06/2008,0.00000,0,0.00000,0.00000,23
04/07/2008,640.00000,1,-30.00000,1930.00000,23
04/08/2008,-1210.00000,-1,0.00000,1830.00000,24
04/09/2008,-330.00000,1,10.00000,3300.00000,25
04/10/2008,-550.00000,1,0.00000,1840.00000,25
04/11/2008,-1070.00000,-1,30.00000,1530.00000,26
04/12/2008,0.00000,-1,-40.00000,90.00000,26
04/13/2008,0.00000,0,0.00000,0.00000,26
04/14/2008,130.00000,-1,410.00000,1790.00000,26
04/15/2008,-1340.00000,1,0.00000,1370.00000,27
04/16/2008,1660.00000,1,10.00000,2540.00000,27
04/17/2008,-600.00000,0,10.00000,1590.00000,28
04/18/2008,2070.00000,-1,0.00000,4250.00000,29
04/19/2008,10.00000,-1,-40.00000,70.00000,29
04/20/2008,0.00000,0,0.00000,0.00000,29
04/21/2008,-50.00000,-1,-80.00000,1790.00000,29
04/22/2008,110.00000,-1,0.00000,1410.00000,29
04/23/2008,1210.00000,-1,0.00000,2650.00000,29
04/24/2008,1810.00000,-1,-20.00000,2400.00000,29
04/25/2008,0.00000,-1,0.00000,1900.00000,29
04/26/2008,0.00000,-1,20.00000,60.00000,29
04/27/2008,0.00000,0,0.00000,0.00000,29
04/28/2008,-850.00000,0,-150.00000,960.00000,30
04/29/2008,1460.00000,-1,0.00000,2550.00000,31
04/30/2008,-680.00000,-1,0.00000,1670.00000,31
05/01/2008,830.00000,-1,10.00000,3510.00000,33
05/02/2008,-420.00000,-1,0.00000,1450.00000,33
05/03/2008,0.00000,-1,40.00000,80.00000,34
05/04/2008,0.00000,0,0.00000,0.00000,34
05/05/2008,-310.00000,0,-120.00000,1800.00000,34
05/06/2008,0.00000,0,0.00000,1190.00000,34
05/07/2008,290.00000,-1,0.00000,1890.00000,35
05/08/2008,-1110.00000,1,0.00000,2060.00000,37
05/09/2008,290.00000,1,-10.00000,1980.00000,37
05/10/2008,0.00000,1,0.00000,50.00000,37
05/11/2008,0.00000,0,0.00000,0.00000,37
05/12/2008,-250.00000,1,300.00000,1230.00000,37
