Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,3360.00000,0,-20.00000,4940.00000,8
04/02/2008,0.00000,0,0.00000,2640.00000,8
04/03/2008,-130.00000,1,0.00000,2120.00000,9
04/04/2008,1090.00000,1,80.00000,1600.00000,9
04/05/2008,0.00000,0,0.00000,0.00000,9
04/06/2008,0.00000,0,0.00000,0.00000,9
04/07/2008,-590.00000,-1,-80.00000,1930.00000,10
04/08/2008,520.00000,-1,-20.00000,1830.00000,10
04/09/2008,-1820.00000,0,-60.00000,3300.00000,11
04/10/2008,0.00000,0,0.00000,1840.00000,11
04/11/2008,0.00000,0,0.00000,1530.00000,11
04/12/2008,0.00000,0,0.00000,0.00000,11
04/13/2008,0.00000,0,0.00000,0.00000,11
04/14/2008,0.00000,0,0.00000,1790.00000,11
04/15/2008,0.00000,0,0.00000,1370.00000,11
04/16/2008,0.00000,0,0.00000,2540.00000,11
04/17/2008,280.00000,-1,0.00000,1590.00000,13
04/18/2008,2030.00000,0,-220.00000,4250.00000,14
04/19/2008,0.00000,0,0.00000,0.00000,14
04/20/2008,0.00000,0,0.00000,0.00000,14
04/21/2008,50.00000,-1,0.00000,1790.00000,15
04/22/2008,110.00000,-1,80.00000,1410.00000,15
04/23/2008,1210.00000,-1,-70.00000,2650.00000,15
04/24/2008,1810.00000,-1,-30.00000,2400.00000,15
04/25/2008,-60.00000,1,-20.00000,1900.00000,16
04/26/2008,0.00000,0,0.00000,0.00000,16
04/27/2008,0.00000,0,0.00000,0.00000,16
04/28/2008,660.00000,1,150.00000,960.00000,16
04/29/2008,-2270.00000,1,50.00000,2550.00000,16
04/30/2008,-350.00000,0,-20.00000,1670.00000,17
05/01/2008,0.00000,0,0.00000,3510.00000,17
05/02/2008,0.00000,0,0.00000,1450.00000,17
05/03/2008,0.00000,0,0.00000,0.00000,17
05/04/2008,0.00000,0,0.00000,0.00000,17
05/05/2008,0.00000,0,0.00000,1800.00000,17
05/06/2008,300.00000,1,0.00000,1190.00000,18
05/07/2008,-800.00000,1,-10.00000,1890.00000,18
05/08/2008,1340.00000,1,60.00000,2060.00000,18
05/09/2008,290.00000,1,260.00000,1980.00000,18
05/10/2008,0.00000,0,0.00000,0.00000,18
05/11/2008,0.00000,0,0.00000,0.00000,18
05/12/2008,-250.00000,1,300.00000,1230.00000,18
05/13/2008,-1600.00000,1,70.00000,2620.00000,18
05/14/2008,-660.00000,0,-10.00000,1170.00000,19
05/15/2008,0.00000,0,0.00000,2620.00000,19
05/16/2008,0.00000,0,0.00000,2510.00000,19
05/17/2008,0.00000,0,0.00000,0.00000,19
05/18/2008,0.00000,0,0.00000,0.00000,19
05/19/2008,50.00000,-1,0.00000,1360.00000,20
05/20/2008,1550.00000,1,-90.00000,2100.00000,21
05/21/2008,-1160.00000,-1,140.00000,1650.00000,22
05/22/2008,1120.00000,-1,-30.00000,1830.00000,22
05/23/2008,-310.00000,-1,20.00000,1480.00000,22
05/24/2008,0.00000,0,0.00000,0.00000,22
05/25/2008,0.00000,0,0.00000,0.00000,22
05/26/2008,-400.00000,-1,-30.00000,580.00000,22
05/27/2008,2300.00000,-1,0.00000,2730.00000,22
05/28/2008,510.00000,-1,-70.00000,2090.00000,22
05/29/2008,2380.00000,-1,-130.00000,3120.00000,22
05/30/2008,620.00000,0,-60.00000,1980.00000,23
05/31/2008,0.00000,0,0.00000,0.00000,23
06/01/2008,0.00000,0,0.00000,0.00000,23
06/02/2008,0.00000,0,0.00000,1680.00000,23
06/03/2008,0.00000,0,0.00000,2260.00000,23
06/04/2008,0.00000,0,0.00000,1090.00000,23
06/05/2008,0.00000,0,0.00000,1560.00000,23
06/06/2008,0.00000,0,0.00000,2570.00000,23
06/07/2008,0.00000,0,0.00000,0.00000,23
06/08/2008,0.00000,0,0.00000,0.00000,23
06/09/2008,0.00000,0,0.00000,1930.00000,23
06/10/2008,0.00000,0,0.00000,3120.00000,23
06/11/2008,0.00000,0,0.00000,1630.00000,23
06/12/2008,0.00000,0,0.00000,2530.00000,23
06/13/2008,0.00000,0,0.00000,1520.00000,23
06/14/2008,0.00000,0,0.00000,0.00000,23
06/15/2008,0.00000,0,0.00000,0.00000,23
06/16/2008,0.00000,0,0.00000,2860.00000,23
06/17/2008,-60.00000,1,0.00000,1480.00000,24
06/18/2008,1200.00000,1,20.00000,1560.00000,24
06/19/2008,360.00000,1,10.00000,2220.00000,24
06/20/2008,350.00000,1,10.00000,1230.00000,24
06/21/2008,0.00000,0,0.00000,0.00000,24
06/22/2008,0.00000,0,0.00000,0.00000,24
06/23/2008,2830.00000,0,-10.00000,3230.00000,26
06/24/2008,-420.00000,-1,0.00000,1210.00000,27
06/25/2008,360.00000,-1,-10.00000,1770.00000,27
06/26/2008,-1730.00000,0,0.00000,3370.00000,28
06/27/2008,0.00000,0,0.00000,2080.00000,28
06/28/2008,0.00000,0,0.00000,0.00000,28
06/29/2008,0.00000,0,0.00000,0.00000,28
06/30/2008,0.00000,0,0.00000,1750.00000,28
07/01/2008,0.00000,0,0.00000,2470.00000,28
07/02/2008,-530.00000,-1,0.00000,1440.00000,29
07/03/2008,-900.00000,1,40.00000,2200.00000,30
07/04/2008,-50.00000,1,-30.00000,750.00000,30
07/05/2008,0.00000,0,0.00000,0.00000,30
07/06/2008,0.00000,0,0.00000,0.00000,30
07/07/2008,-1480.00000,0,-80.00000,1940.00000,31
07/08/2008,0.00000,0,0.00000,2230.00000,31
07/09/2008,-510.00000,-1,0.00000,1330.00000,33
07/10/2008,-1770.00000,0,-10.00000,2280.00000,34
07/11/2008,0.00000,0,0.00000,2650.00000,34
07/12/2008,0.00000,0,0.00000,0.00000,34
07/13/2008,0.00000,0,0.00000,0.00000,34
07/14/2008,0.00000,0,0.00000,2220.00000,34
07/15/2008,0.00000,0,0.00000,2090.00000,34
07/16/2008,0.00000,0,0.00000,2430.00000,34
07/17/2008,600.00000,-1,0.00000,2690.00000,35
07/18/2008,270.00000,-1,-40.00000,1480.00000,35
07/19/2008,0.00000,0,0.00000,0.00000,35
07/20/2008,0.00000,0,0.00000,0.00000,35
07/21/2008,-1060.00000,-1,-200.00000,1370.00000,35
07/22/2008,1950.00000,-1,-20.00000,3490.00000,35
07/23/2008,2590.00000,-1,50.00000,3180.00000,35
07/24/2008,-730.00000,-1,-30.00000,1550.00000,35
07/25/2008,-150.00000,-1,20.00000,1670.00000,35
07/26/2008,0.00000,0,0.00000,0.00000,35
07/27/2008,0.00000,0,0.00000,0.00000,35
07/28/2008,-70.00000,-1,30.00000,1050.00000,36
07/29/2008,1240.00000,-1,0.00000,1990.00000,37
07/30/2008,1350.00000,-1,60.00000,2630.00000,37
07/31/2008,-1790.00000,0,-210.00000,1960.00000,38
08/01/2008,0.00000,0,0.00000,1570.00000,38
08/02/2008,0.00000,0,0.00000,0.00000,38
08/03/2008,0.00000,0,0.00000,0.00000,38
08/04/2008,2050.00000,-1,0.00000,2200.00000,40
08/05/2008,2080.00000,-1,-70.00000,2320.00000,40
08/06/2008,-530.00000,-1,50.00000,1410.00000,40
08/07/2008,750.00000,-1,-10.00000,1780.00000,40
08/08/2008,790.00000,0,60.00000,2380.00000,41
08/09/2008,0.00000,0,0.00000,0.00000,41
08/10/2008,0.00000,0,0.00000,0.00000,41
08/11/2008,3590.00000,-1,0.00000,4820.00000,42
08/12/2008,1400.00000,0,120.00000,2500.00000,43
08/13/2008,0.00000,0,0.00000,2490.00000,43
08/14/2008,0.00000,0,0.00000,3290.00000,43
08/15/2008,-2520.00000,0,0.00000,3490.00000,45
08/16/2008,0.00000,0,0.00000,0.00000,45
08/17/2008,0.00000,0,0.00000,0.00000,45
08/18/2008,0.00000,0,0.00000,1680.00000,45
08/19/2008,0.00000,0,0.00000,3540.00000,45
08/20/2008,290.00000,-1,0.00000,1930.00000,46
08/21/2008,-1640.00000,0,30.00000,2840.00000,47
08/22/2008,0.00000,0,0.00000,1750.00000,47
08/23/2008,0.00000,0,0.00000,0.00000,47
08/24/2008,0.00000,0,0.00000,0.00000,47
08/25/2008,0.00000,0,0.00000,1080.00000,47
08/26/2008,400.00000,1,0.00000,2400.00000,48
08/27/2008,40.00000,-1,-70.00000,1540.00000,49
08/28/2008,-740.00000,-1,0.00000,1920.00000,49
08/29/2008,-380.00000,1,50.00000,1020.00000,50
08/30/2008,0.00000,0,0.00000,0.00000,50
08/31/2008,0.00000,0,0.00000,0.00000,50
09/01/2008,-1380.00000,1,620.00000,2330.00000,50
09/02/2008,-780.00000,0,-20.00000,2970.00000,51
09/03/2008,0.00000,0,0.00000,1980.00000,51
09/04/2008,0.00000,0,0.00000,2140.00000,51
09/05/2008,2490.00000,0,0.00000,2940.00000,53
09/06/2008,0.00000,0,0.00000,0.00000,53
09/07/2008,0.00000,0,0.00000,0.00000,53
09/08/2008,1090.00000,-1,0.00000,2220.00000,54
09/09/2008,2480.00000,-1,-90.00000,2980.00000,54
09/10/2008,-150.00000,0,50.00000,3260.00000,57
09/11/2008,0.00000,0,0.00000,2220.00000,57
09/12/2008,0.00000,0,0.00000,2130.00000,57
09/13/2008,0.00000,0,0.00000,0.00000,57
09/14/2008,0.00000,0,0.00000,0.00000,57
09/15/2008,-750.00000,-1,0.00000,2400.00000,58
09/16/2008,710.00000,-1,-140.00000,1880.00000,58
09/17/2008,-1470.00000,0,130.00000,9540.00000,59
09/18/2008,0.00000,0,0.00000,9000.00000,59
09/19/2008,0.00000,0,0.00000,5290.00000,59
09/20/2008,0.00000,0,0.00000,0.00000,59
09/21/2008,0.00000,0,0.00000,0.00000,59
09/22/2008,0.00000,0,0.00000,4760.00000,59
09/23/2008,0.00000,0,0.00000,3020.00000,59
09/24/2008,0.00000,0,0.00000,2740.00000,59
09/25/2008,1100.00000,-1,0.00000,3470.00000,60
09/26/2008,-1620.00000,0,20.00000,4890.00000,61
09/27/2008,0.00000,0,0.00000,0.00000,61
09/28/2008,0.00000,0,0.00000,0.00000,61
09/29/2008,0.00000,0,0.00000,5980.00000,61
09/30/2008,0.00000,0,0.00000,6010.00000,61
10/01/2008,600.00000,-1,0.00000,2910.00000,62
10/02/2008,3490.00000,-1,-80.00000,4810.00000,62
10/03/2008,-1870.00000,0,-50.00000,3020.00000,64
10/04/2008,0.00000,0,0.00000,0.00000,64
10/05/2008,0.00000,0,0.00000,0.00000,64
10/06/2008,2490.00000,0,0.00000,5060.00000,66
10/07/2008,0.00000,0,0.00000,3570.00000,66
10/08/2008,0.00000,0,0.00000,4480.00000,66
10/09/2008,0.00000,0,0.00000,4610.00000,66
10/10/2008,0.00000,0,0.00000,10730.00000,66
10/11/2008,0.00000,0,0.00000,0.00000,66
10/12/2008,0.00000,0,0.00000,0.00000,66
10/13/2008,2610.00000,-1,0.00000,5050.00000,67
10/14/2008,-1980.00000,0,-40.00000,2380.00000,68
10/15/2008,-310.00000,-1,0.00000,2610.00000,69
10/16/2008,2800.00000,0,-150.00000,6540.00000,70
10/17/2008,0.00000,0,0.00000,4470.00000,70
10/18/2008,0.00000,0,0.00000,0.00000,70
10/19/2008,0.00000,0,0.00000,0.00000,70
10/20/2008,650.00000,-1,0.00000,2900.00000,71
10/21/2008,2560.00000,-1,0.00000,3860.00000,71
