Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,-1572.50000,0,0.00000,3200.00000,20
04/02/2008,-275.00000,1,0.00000,1350.00000,21
04/03/2008,137.50000,1,12.50000,1087.50000,21
04/04/2008,1262.50000,1,0.00000,1412.50000,21
04/05/2008,0.00000,0,0.00000,0.00000,21
04/06/2008,-1100.00000,1,-287.50000,1412.50000,21
04/07/2008,50.00000,1,0.00000,925.00000,21
04/08/2008,1400.00000,-1,-12.50000,1312.50000,22
04/09/2008,-1710.00000,0,12.50000,2212.50000,23
04/10/2008,1800.00000,-1,0.00000,2787.50000,24
04/11/2008,-1275.00000,-1,12.50000,1962.50000,24
04/12/2008,0.00000,0,0.00000,0.00000,24
04/13/2008,37.50000,-1,300.00000,700.00000,24
04/14/2008,-75.00000,1,-25.00000,1462.50000,25
04/15/2008,-437.50000,1,0.00000,1387.50000,25
04/16/2008,-360.00000,0,0.00000,1500.00000,26
04/17/2008,-137.50000,1,0.00000,1237.50000,27
04/18/2008,-872.50000,0,0.00000,2800.00000,28
04/19/2008,0.00000,0,0.00000,0.00000,28
04/20/2008,0.00000,0,0.00000,500.00000,28
04/21/2008,0.00000,0,0.00000,1500.00000,28
04/22/2008,0.00000,0,0.00000,1025.00000,28
04/23/2008,1050.00000,-1,0.00000,1250.00000,29
04/24/2008,150.00000,1,-12.50000,1425.00000,30
04/25/2008,-200.00000,1,0.00000,1062.50000,30
04/26/2008,0.00000,0,0.00000,0.00000,30
04/27/2008,-187.50000,1,-37.50000,512.50000,30
04/28/2008,362.50000,1,0.00000,787.50000,30
04/29/2008,262.50000,-1,0.00000,1350.00000,31
04/30/2008,-250.00000,-1,-12.50000,1425.00000,31
05/01/2008,1012.50000,-1,0.00000,1462.50000,31
05/02/2008,912.50000,-1,12.50000,1312.50000,31
05/03/2008,0.00000,0,0.00000,0.00000,31
05/04/2008,-187.50000,-1,-150.00000,350.00000,31
05/05/2008,-550.00000,-1,12.50000,1162.50000,31
05/06/2008,-50.00000,-1,25.00000,1287.50000,31
05/07/2008,-300.00000,-1,0.00000,1612.50000,31
05/08/2008,-987.50000,-1,-12.50000,1312.50000,31
05/09/2008,-722.50000,-1,-12.50000,1225.00000,33
05/10/2008,0.00000,0,0.00000,0.00000,33
05/11/2008,575.00000,-1,-50.00000,1125.00000,33
05/12/2008,925.00000,1,0.00000,900.00000,34
05/13/2008,-1185.00000,0,0.00000,1775.00000,35
05/14/2008,400.00000,1,0.00000,825.00000,36
05/15/2008,325.00000,1,0.00000,862.50000,36
05/16/2008,800.00000,-1,-12.50000,1837.50000,37
05/17/2008,0.00000,0,0.00000,0.00000,37
05/18/2008,150.00000,-1,-125.00000,412.50000,37
05/19/2008,-150.00000,-1,12.50000,1237.50000,37
05/20/2008,-1110.00000,0,0.00000,1350.00000,38
