Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,-1468.75000,1,-46.87500,1703.12500,7
04/02/2008,-234.37500,1,-46.87500,734.37500,7
04/03/2008,-4.37500,-1,-15.62500,765.62500,8
04/04/2008,901.87500,1,-15.62500,1234.37500,9
04/05/2008,0.00000,0,0.00000,0.00000,9
04/06/2008,0.00000,0,0.00000,0.00000,9
04/07/2008,-781.25000,1,-15.62500,1375.00000,9
04/08/2008,-203.12500,1,-46.87500,593.75000,9
04/09/2008,687.50000,1,-46.87500,1250.00000,9
04/10/2008,-625.00000,1,46.87500,1109.37500,9
04/11/2008,718.75000,1,-31.25000,1109.37500,9
04/12/2008,0.00000,0,0.00000,0.00000,9
04/13/2008,0.00000,0,0.00000,0.00000,9
04/14/2008,-312.50000,1,93.75000,875.00000,9
04/15/2008,-656.25000,1,31.25000,1062.50000,9
04/16/2008,-650.62500,0,-31.25000,1015.62500,10
04/17/2008,0.00000,0,0.00000,718.75000,10
04/18/2008,0.00000,0,0.00000,1312.50000,10
04/19/2008,0.00000,0,0.00000,0.00000,10
04/20/2008,0.00000,0,0.00000,0.00000,10
04/21/2008,115.00000,1,0.00000,593.75000,11
04/22/2008,62.50000,1,0.00000,593.75000,11
04/23/2008,-281.25000,1,-62.50000,671.87500,11
04/24/2008,-822.50000,0,-31.25000,1203.12500,12
04/25/2008,0.00000,0,0.00000,812.50000,12
04/26/2008,0.00000,0,0.00000,0.00000,12
04/27/2008,0.00000,0,0.00000,0.00000,12
04/28/2008,0.00000,0,0.00000,625.00000,12
04/29/2008,0.00000,0,0.00000,546.87500,12
04/30/2008,0.00000,0,0.00000,1093.75000,12
05/01/2008,0.00000,0,0.00000,843.75000,12
05/02/2008,0.00000,0,0.00000,1468.75000,12
05/03/2008,0.00000,0,0.00000,0.00000,12
05/04/2008,0.00000,0,0.00000,0.00000,12
05/05/2008,0.00000,0,0.00000,765.62500,12
05/06/2008,0.00000,0,0.00000,859.37500,12
05/07/2008,0.00000,0,0.00000,843.75000,12
05/08/2008,0.00000,0,0.00000,921.87500,12
05/09/2008,0.00000,0,0.00000,546.87500,12
05/10/2008,0.00000,0,0.00000,0.00000,12
05/11/2008,0.00000,0,0.00000,0.00000,12
05/12/2008,193.12500,-1,0.00000,562.50000,13
05/13/2008,1031.25000,-1,31.25000,1375.00000,13
05/14/2008,62.50000,-1,-15.62500,906.25000,13
05/15/2008,-687.50000,-1,31.25000,1078.12500,13
05/16/2008,203.12500,-1,62.50000,968.75000,13
05/17/2008,0.00000,0,0.00000,0.00000,13
05/18/2008,0.00000,0,0.00000,0.00000,13
05/19/2008,245.62500,1,46.87500,625.00000,14
05/20/2008,-504.37500,-1,-15.62500,796.87500,15
05/21/2008,250.00000,-1,-46.87500,625.00000,15
05/22/2008,890.62500,-1,-15.62500,1328.12500,15
05/23/2008,-656.25000,-1,62.50000,1078.12500,15
05/24/2008,0.00000,0,0.00000,0.00000,15
05/25/2008,0.00000,0,0.00000,0.00000,15
05/26/2008,109.37500,-1,-31.25000,265.62500,15
05/27/2008,531.25000,-1,15.62500,718.75000,15
05/28/2008,734.37500,-1,-15.62500,1062.50000,15
05/29/2008,359.37500,-1,-31.25000,1046.87500,15
05/30/2008,-140.62500,-1,0.00000,546.87500,15
05/31/2008,0.00000,0,0.00000,0.00000,15
06/01/2008,0.00000,0,0.00000,0.00000,15
06/02/2008,-1078.12500,-1,15.62500,1234.37500,15
06/03/2008,-734.37500,-1,78.12500,1406.25000,15
06/04/2008,453.12500,-1,-31.25000,937.50000,15
06/05/2008,546.87500,-1,-62.50000,875.00000,15
06/06/2008,-1046.87500,-1,-46.87500,1703.12500,15
06/07/2008,0.00000,0,0.00000,0.00000,15
06/08/2008,0.00000,0,0.00000,0.00000,15
06/09/2008,1015.62500,-1,-62.50000,1515.62500,15
06/10/2008,968.75000,-1,62.50000,1093.75000,15
06/11/2008,-375.00000,-1,-62.50000,1109.37500,15
06/12/2008,1171.87500,-1,0.00000,1437.50000,15
06/13/2008,187.50000,-1,-31.25000,921.87500,15
06/14/2008,0.00000,0,0.00000,0.00000,15
06/15/2008,0.00000,0,0.00000,0.00000,15
06/16/2008,0.00000,-1,-109.37500,531.25000,15
06/17/2008,-671.87500,-1,15.62500,828.12500,15
06/18/2008,-609.37500,-1,0.00000,953.12500,15
06/19/2008,-660.62500,1,-93.75000,1046.87500,16
06/20/2008,468.75000,1,156.25000,859.37500,16
06/21/2008,0.00000,0,0.00000,0.00000,16
06/22/2008,0.00000,0,0.00000,0.00000,16
06/23/2008,-31.25000,1,-46.87500,500.00000,16
06/24/2008,812.50000,1,15.62500,1015.62500,16
06/25/2008,-156.25000,1,0.00000,1015.62500,16
06/26/2008,750.00000,1,46.87500,1156.25000,16
06/27/2008,343.75000,1,0.00000,687.50000,16
06/28/2008,0.00000,0,0.00000,0.00000,16
06/29/2008,0.00000,0,0.00000,0.00000,16
06/30/2008,-15.62500,1,-78.12500,593.75000,16
07/01/2008,-156.25000,1,-78.12500,890.62500,16
07/02/2008,375.00000,1,78.12500,734.37500,16
07/03/2008,109.37500,1,62.50000,687.50000,16
07/04/2008,265.62500,1,0.00000,703.12500,16
07/05/2008,0.00000,0,0.00000,0.00000,16
07/06/2008,0.00000,0,0.00000,0.00000,16
07/07/2008,484.37500,1,31.25000,1281.25000,16
07/08/2008,140.62500,1,-78.12500,609.37500,16
07/09/2008,484.37500,1,-62.50000,921.87500,16
07/10/2008,46.87500,1,0.00000,562.50000,16
07/11/2008,-1390.62500,1,-62.50000,1578.12500,16
07/12/2008,0.00000,0,0.00000,0.00000,16
07/13/2008,0.00000,0,0.00000,0.00000,16
07/14/2008,796.87500,1,-171.87500,1609.37500,16
07/15/2008,453.12500,1,-15.62500,1109.37500,16
07/16/2008,-734.37500,1,15.62500,1125.00000,16
07/17/2008,-609.37500,1,-15.62500,1265.62500,16
07/18/2008,-656.25000,1,0.00000,1015.62500,16
07/19/2008,0.00000,0,0.00000,0.00000,16
07/20/2008,0.00000,0,0.00000,0.00000,16
07/21/2008,406.25000,1,15.62500,734.37500,16
07/22/2008,-578.12500,1,-62.50000,1031.25000,16
07/23/2008,-171.87500,1,-15.62500,578.12500,16
07/24/2008,1046.87500,1,0.00000,1171.87500,16
07/25/2008,-796.87500,1,-62.50000,1125.00000,16
07/26/2008,0.00000,0,0.00000,0.00000,16
07/27/2008,0.00000,0,0.00000,0.00000,16
07/28/2008,937.50000,1,-62.50000,1078.12500,16
07/29/2008,-312.50000,1,31.25000,781.25000,16
07/30/2008,15.62500,1,46.87500,906.25000,16
07/31/2008,937.50000,1,0.00000,1171.87500,16
08/01/2008,93.75000,1,-31.25000,718.75000,16
08/02/2008,0.00000,0,0.00000,0.00000,16
08/03/2008,0.00000,0,0.00000,0.00000,16
08/04/2008,-250.00000,1,-62.50000,531.25000,16
08/05/2008,-312.50000,1,0.00000,500.00000,16
08/06/2008,-156.25000,1,-46.87500,843.75000,16
08/07/2008,1234.37500,1,0.00000,1312.50000,16
08/08/2008,-203.12500,1,-31.25000,515.62500,16
08/09/2008,0.00000,0,0.00000,0.00000,16
08/10/2008,0.00000,0,0.00000,0.00000,16
08/11/2008,-578.12500,1,-15.62500,1093.75000,16
08/12/2008,906.25000,1,-46.87500,1000.00000,16
08/13/2008,-312.50000,1,0.00000,765.62500,16
08/14/2008,312.50000,1,-31.25000,765.62500,16
08/15/2008,390.62500,1,15.62500,796.87500,16
08/16/2008,0.00000,0,0.00000,0.00000,16
08/17/2008,0.00000,0,0.00000,0.00000,16
08/18/2008,203.12500,1,15.62500,468.75000,16
08/19/2008,-62.50000,1,-15.62500,531.25000,16
08/20/2008,265.62500,1,0.00000,750.00000,16
08/21/2008,-265.62500,1,0.00000,734.37500,16
08/22/2008,-328.12500,1,31.25000,703.12500,16
08/23/2008,0.00000,0,0.00000,0.00000,16
08/24/2008,0.00000,0,0.00000,0.00000,16
08/25/2008,875.00000,1,31.25000,1093.75000,16
08/26/2008,-31.25000,1,0.00000,500.00000,16
08/27/2008,203.12500,1,-31.25000,812.50000,16
08/28/2008,-93.75000,1,-15.62500,531.25000,16
08/29/2008,-359.37500,1,-15.62500,953.12500,16
08/30/2008,0.00000,0,0.00000,0.00000,16
08/31/2008,0.00000,0,0.00000,0.00000,16
09/01/2008,312.50000,1,93.75000,343.75000,16
09/02/2008,531.25000,1,-78.12500,1328.12500,16
09/03/2008,265.62500,1,-46.87500,609.37500,16
09/04/2008,531.25000,1,-31.25000,812.50000,16
09/05/2008,-843.75000,1,93.75000,1593.75000,16
09/06/2008,0.00000,0,0.00000,0.00000,16
09/07/2008,0.00000,0,0.00000,0.00000,16
09/08/2008,125.00000,1,-859.37500,1812.50000,16
09/09/2008,781.25000,1,31.25000,1265.62500,16
09/10/2008,-484.37500,1,-31.25000,1015.62500,16
09/11/2008,120.62500,-1,-109.37500,921.87500,17
09/12/2008,437.50000,-1,-15.62500,1093.75000,18
09/13/2008,0.00000,0,0.00000,0.00000,18
09/14/2008,0.00000,0,0.00000,0.00000,18
09/15/2008,-1510.00000,0,-1296.87500,2703.12500,18
09/16/2008,0.00000,0,0.00000,2156.25000,18
09/17/2008,0.00000,0,0.00000,1984.37500,18
09/18/2008,0.00000,0,0.00000,1468.75000,18
09/19/2008,0.00000,0,0.00000,2593.75000,18
09/20/2008,0.00000,0,0.00000,0.00000,18
09/21/2008,0.00000,0,0.00000,0.00000,18
09/22/2008,0.00000,0,0.00000,1125.00000,18
09/23/2008,0.00000,0,0.00000,906.25000,18
09/24/2008,0.00000,0,0.00000,1078.12500,18
09/25/2008,0.00000,0,0.00000,1140.62500,18
09/26/2008,0.00000,0,0.00000,765.62500,18
09/27/2008,0.00000,0,0.00000,0.00000,18
09/28/2008,0.00000,0,0.00000,0.00000,18
09/29/2008,0.00000,0,0.00000,3718.75000,18
09/30/2008,0.00000,0,0.00000,2359.37500,18
10/01/2008,458.75000,1,0.00000,1406.25000,19
10/02/2008,406.25000,1,-78.12500,906.25000,19
10/03/2008,484.37500,1,-46.87500,1703.12500,19
10/04/2008,0.00000,0,0.00000,0.00000,19
10/05/2008,0.00000,0,0.00000,0.00000,19
10/06/2008,1390.62500,1,281.25000,1890.62500,19
10/07/2008,-328.12500,1,-31.25000,1031.25000,19
10/08/2008,2105.00000,-1,-78.12500,3812.50000,20
10/09/2008,1156.25000,-1,-46.87500,1906.25000,20
10/10/2008,843.75000,-1,-93.75000,2296.87500,20
10/11/2008,0.00000,0,0.00000,0.00000,20
10/12/2008,0.00000,0,0.00000,0.00000,20
10/13/2008,73.75000,1,171.87500,1125.00000,21
10/14/2008,-463.12500,0,-109.37500,1281.25000,22
10/15/2008,0.00000,0,0.00000,984.37500,22
10/16/2008,0.00000,0,0.00000,1390.62500,22
10/17/2008,0.00000,0,0.00000,1421.87500,22
10/18/2008,0.00000,0,0.00000,0.00000,22
10/19/2008,0.00000,0,0.00000,0.00000,22
10/20/2008,1302.50000,1,0.00000,1718.75000,23
10/21/2008,1031.25000,1,-93.75000,1515.62500,23
10/22/2008,890.62500,1,-62.50000,1156.25000,23
10/23/2008,-359.37500,1,-15.62500,1281.25000,23
10/24/2008,484.37500,1,93.75000,1656.25000,23
10/25/2008,0.00000,0,0.00000,0.00000,23
10/26/2008,0.00000,0,0.00000,0.00000,23
10/27/2008,46.87500,1,-93.75000,1218.75000,23
10/28/2008,-906.25000,1,-15.62500,1359.37500,23
10/29/2008,-187.50000,1,-15.62500,1312.50000,23
10/30/2008,-750.00000,1,0.00000,984.37500,23
10/31/2008,-421.87500,1,0.00000,1656.25000,23
11/01/2008,0.00000,0,0.00000,0.00000,23
11/02/2008,0.00000,0,0.00000,0.00000,23
11/03/2008,718.75000,1,0.00000,1046.87500,23
11/04/2008,1500.00000,1,-46.87500,2062.50000,23
11/05/2008,15.62500,1,-93.75000,1031.25000,23
11/06/2008,-82.50000,-1,31.25000,1234.37500,24
11/07/2008,734.37500,-1,15.62500,1140.62500,24
11/08/2008,0.00000,0,0.00000,0.00000,24
11/09/2008,0.00000,0,0.00000,0.00000,24
11/10/2008,1151.87500,1,78.12500,1343.75000,25
11/11/2008,328.12500,1,93.75000,718.75000,25
11/12/2008,1046.87500,1,-31.25000,1296.87500,25
11/13/2008,-718.75000,1,-15.62500,1390.62500,25
11/14/2008,1062.50000,1,31.25000,1406.25000,25
11/15/2008,0.00000,0,0.00000,0.00000,25
11/16/2008,0.00000,0,0.00000,0.00000,25
11/17/2008,468.75000,1,234.37500,734.37500,25
11/18/2008,781.25000,1,-15.62500,1078.12500,25
11/19/2008,1140.62500,1,0.00000,1234.37500,25
11/20/2008,1937.50000,1,0.00000,2484.37500,25
11/21/2008,-1406.25000,1,-93.75000,1578.12500,25
11/22/2008,0.00000,0,0.00000,0.00000,25
11/23/2008,0.00000,0,0.00000,0.00000,25
11/24/2008,-578.12500,1,-31.25000,1140.62500,25
11/25/2008,1640.62500,1,-31.25000,2328.12500,25
11/26/2008,1171.87500,1,-15.62500,1796.87500,25
11/27/2008,-109.37500,1,0.00000,453.12500,25
11/28/2008,671.87500,1,31.25000,968.75000,25
11/29/2008,0.00000,0,0.00000,0.00000,25
11/30/2008,0.00000,0,0.00000,0.00000,25
12/01/2008,1609.37500,1,-62.50000,2500.00000,25
12/02/2008,296.87500,1,-78.12500,1109.37500,25
12/03/2008,781.25000,1,62.50000,1468.75000,25
12/04/2008,500.00000,1,-78.12500,687.50000,25
12/05/2008,-1312.50000,1,-109.37500,2015.62500,25
12/06/2008,0.00000,0,0.00000,0.00000,25
12/07/2008,0.00000,0,0.00000,0.00000,25
12/08/2008,15.62500,1,15.62500,1390.62500,25
12/09/2008,656.25000,1,0.00000,1406.25000,25
12/10/2008,-718.75000,1,-31.25000,1421.87500,25
12/11/2008,1390.62500,1,-93.75000,1812.50000,25
12/12/2008,312.50000,1,93.75000,2640.62500,25
12/13/2008,0.00000,0,0.00000,0.00000,25
12/14/2008,0.00000,0,0.00000,0.00000,25
12/15/2008,343.75000,1,-187.50000,1203.12500,25
12/16/2008,-858.12500,0,31.25000,2484.37500,27
12/17/2008,0.00000,0,0.00000,1703.12500,27
12/18/2008,0.00000,0,0.00000,1390.62500,27
12/19/2008,0.00000,0,0.00000,1437.50000,27
12/20/2008,0.00000,0,0.00000,0.00000,27
12/21/2008,0.00000,0,0.00000,0.00000,27
12/22/2008,0.00000,0,0.00000,812.50000,27
12/23/2008,0.00000,0,0.00000,703.12500,27
12/24/2008,0.00000,0,0.00000,1656.25000,27
12/25/2008,0.00000,0,0.00000,0.00000,27
12/26/2008,0.00000,0,0.00000,796.87500,27
12/27/2008,0.00000,0,0.00000,0.00000,27
12/28/2008,0.00000,0,0.00000,0.00000,27
12/29/2008,396.25000,1,0.00000,1187.50000,28
12/30/2008,-46.87500,1,-15.62500,1093.75000,28
12/31/2008,-1275.62500,0,93.75000,2218.75000,29
01/01/2009,0.00000,0,0.00000,0.00000,29
