Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,-30.00000,1,210.00000,670.00000,28
04/02/2008,-240.00000,0,0.00000,830.00000,29
04/03/2008,230.00000,-1,0.00000,1030.00000,30
04/04/2008,-120.00000,-1,-100.00000,480.00000,30
04/05/2008,0.00000,0,0.00000,0.00000,30
04/06/2008,0.00000,0,0.00000,0.00000,30
04/07/2008,-600.00000,-1,-220.00000,870.00000,32
04/08/2008,390.00000,-1,-60.00000,530.00000,32
04/09/2008,-820.00000,-1,-90.00000,1140.00000,35
04/10/2008,-420.00000,-1,-510.00000,1350.00000,36
04/11/2008,-520.00000,0,-330.00000,740.00000,37
04/12/2008,0.00000,0,0.00000,0.00000,37
04/13/2008,0.00000,0,0.00000,0.00000,37
04/14/2008,0.00000,0,0.00000,340.00000,37
04/15/2008,0.00000,0,0.00000,410.00000,37
04/16/2008,0.00000,0,0.00000,730.00000,37
04/17/2008,0.00000,0,0.00000,1140.00000,37
04/18/2008,90.00000,1,0.00000,2130.00000,38
04/19/2008,0.00000,0,0.00000,0.00000,38
04/20/2008,0.00000,0,0.00000,0.00000,38
04/21/2008,-60.00000,1,140.00000,950.00000,38
04/22/2008,820.00000,1,270.00000,970.00000,38
04/23/2008,520.00000,1,150.00000,740.00000,38
04/24/2008,-290.00000,-1,-190.00000,680.00000,39
04/25/2008,190.00000,-1,400.00000,690.00000,39
04/26/2008,0.00000,0,0.00000,0.00000,39
04/27/2008,0.00000,0,0.00000,0.00000,39
04/28/2008,-510.00000,0,-200.00000,660.00000,40
04/29/2008,-100.00000,1,0.00000,650.00000,41
04/30/2008,20.00000,1,-260.00000,460.00000,41
05/01/2008,100.00000,-1,220.00000,2020.00000,43
05/02/2008,-350.00000,1,-40.00000,750.00000,44
05/03/2008,0.00000,0,0.00000,0.00000,44
05/04/2008,0.00000,0,0.00000,0.00000,44
05/05/2008,80.00000,1,-210.00000,520.00000,44
05/06/2008,1450.00000,1,70.00000,1640.00000,44
05/07/2008,-940.00000,1,-450.00000,1430.00000,44
05/08/2008,440.00000,1,-250.00000,770.00000,44
05/09/2008,220.00000,1,0.00000,410.00000,44
05/10/2008,0.00000,0,0.00000,0.00000,44
05/11/2008,0.00000,0,0.00000,0.00000,44
05/12/2008,120.00000,1,0.00000,410.00000,44
05/13/2008,-1300.00000,1,20.00000,1610.00000,44
05/14/2008,220.00000,1,30.00000,1040.00000,44
05/15/2008,-160.00000,1,-80.00000,320.00000,44
05/16/2008,390.00000,1,170.00000,760.00000,44
05/17/2008,0.00000,0,0.00000,0.00000,44
05/18/2008,0.00000,0,0.00000,0.00000,44
05/19/2008,-1080.00000,1,-30.00000,1300.00000,46
05/20/2008,-220.00000,0,80.00000,500.00000,47
05/21/2008,0.00000,0,0.00000,730.00000,47
05/22/2008,0.00000,0,0.00000,860.00000,47
05/23/2008,0.00000,0,0.00000,270.00000,47
05/24/2008,0.00000,0,0.00000,0.00000,47
05/25/2008,0.00000,0,0.00000,0.00000,47
05/26/2008,0.00000,0,0.00000,0.00000,47
05/27/2008,-60.00000,-1,0.00000,440.00000,48
05/28/2008,100.00000,1,90.00000,710.00000,49
05/29/2008,930.00000,1,310.00000,1220.00000,49
05/30/2008,180.00000,1,20.00000,660.00000,49
05/31/2008,0.00000,0,0.00000,0.00000,49
06/01/2008,0.00000,0,0.00000,0.00000,49
06/02/2008,490.00000,1,40.00000,620.00000,50
06/03/2008,60.00000,1,120.00000,950.00000,51
06/04/2008,-70.00000,1,-120.00000,280.00000,51
06/05/2008,-70.00000,-1,-80.00000,710.00000,52
06/06/2008,-410.00000,0,-180.00000,1200.00000,53
06/07/2008,0.00000,0,0.00000,0.00000,53
06/08/2008,0.00000,0,0.00000,0.00000,53
06/09/2008,0.00000,0,0.00000,410.00000,53
06/10/2008,10.00000,-1,0.00000,590.00000,54
06/11/2008,-430.00000,0,10.00000,590.00000,55
06/12/2008,0.00000,0,0.00000,910.00000,55
06/13/2008,0.00000,0,0.00000,390.00000,55
06/14/2008,0.00000,0,0.00000,0.00000,55
06/15/2008,0.00000,0,0.00000,0.00000,55
06/16/2008,0.00000,0,0.00000,390.00000,55
06/17/2008,0.00000,0,0.00000,740.00000,55
06/18/2008,-70.00000,-1,0.00000,1000.00000,56
06/19/2008,-90.00000,-1,110.00000,260.00000,56
06/20/2008,-250.00000,1,250.00000,540.00000,57
06/21/2008,0.00000,0,0.00000,0.00000,57
06/22/2008,0.00000,0,0.00000,0.00000,57
06/23/2008,100.00000,1,10.00000,530.00000,57
06/24/2008,160.00000,-1,60.00000,250.00000,58
06/25/2008,-110.00000,1,170.00000,650.00000,59
06/26/2008,590.00000,1,150.00000,610.00000,59
06/27/2008,70.00000,1,10.00000,320.00000,59
06/28/2008,0.00000,0,0.00000,0.00000,59
06/29/2008,0.00000,0,0.00000,0.00000,59
06/30/2008,-70.00000,1,90.00000,420.00000,59
07/01/2008,1150.00000,1,60.00000,1180.00000,59
07/02/2008,-320.00000,1,-120.00000,660.00000,59
