Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,0.00000,0,0.00000,0.00000,0
04/02/2008,-1020.00000,0,0.00000,3100.00000,17
04/03/2008,0.00000,0,0.00000,2312.50000,17
04/04/2008,-1020.00000,0,0.00000,2550.00000,19
04/05/2008,0.00000,0,0.00000,0.00000,19
04/06/2008,0.00000,0,0.00000,0.00000,19
04/07/2008,-1020.00000,0,0.00000,1700.00000,21
04/08/2008,-1020.00000,0,0.00000,2562.50000,23
04/09/2008,0.00000,0,0.00000,4250.00000,23
04/10/2008,-1020.00000,0,0.00000,3175.00000,25
04/11/2008,0.00000,0,0.00000,1862.50000,25
04/12/2008,0.00000,0,0.00000,0.00000,25
04/13/2008,0.00000,0,0.00000,0.00000,25
04/14/2008,0.00000,0,0.00000,3550.00000,25
04/15/2008,740.00000,-1,0.00000,2150.00000,26
04/16/2008,-1760.00000,0,175.00000,4725.00000,27
04/17/2008,0.00000,0,0.00000,3937.50000,27
04/18/2008,727.50000,-1,0.00000,3562.50000,28
04/19/2008,0.00000,0,0.00000,0.00000,28
04/20/2008,0.00000,0,0.00000,0.00000,28
04/21/2008,425.00000,-1,162.50000,2237.50000,28
04/22/2008,1905.00000,1,-712.50000,3425.00000,29
04/23/2008,2105.00000,-1,75.00000,2587.50000,30
04/24/2008,262.50000,-1,225.00000,2050.00000,30
04/25/2008,-537.50000,-1,62.50000,3012.50000,30
04/26/2008,0.00000,0,0.00000,0.00000,30
04/27/2008,0.00000,0,0.00000,0.00000,30
04/28/2008,-687.50000,-1,-312.50000,1325.00000,30
04/29/2008,1250.00000,-1,225.00000,8187.50000,30
04/30/2008,-862.50000,-1,-312.50000,2037.50000,30
05/01/2008,4512.50000,-1,100.00000,6562.50000,30
05/02/2008,-2462.50000,-1,175.00000,3812.50000,30
05/03/2008,0.00000,0,0.00000,0.00000,30
05/04/2008,0.00000,0,0.00000,0.00000,30
05/05/2008,-4160.00000,0,37.50000,11012.50000,31
05/06/2008,-1020.00000,0,0.00000,2812.50000,33
05/07/2008,0.00000,0,0.00000,1712.50000,33
05/08/2008,0.00000,0,0.00000,2450.00000,33
05/09/2008,0.00000,0,0.00000,3062.50000,33
05/10/2008,0.00000,0,0.00000,0.00000,33
05/11/2008,0.00000,0,0.00000,0.00000,33
05/12/2008,802.50000,1,0.00000,2237.50000,34
05/13/2008,-1155.00000,0,100.00000,2112.50000,36
05/14/2008,0.00000,0,0.00000,2275.00000,36
05/15/2008,-1020.00000,0,0.00000,2650.00000,38
05/16/2008,-1020.00000,0,0.00000,3000.00000,40
05/17/2008,0.00000,0,0.00000,0.00000,40
05/18/2008,0.00000,0,0.00000,0.00000,40
05/19/2008,890.00000,-1,0.00000,2887.50000,41
05/20/2008,312.50000,-1,187.50000,1737.50000,41
05/21/2008,550.00000,-1,-25.00000,1500.00000,41
05/22/2008,1075.00000,-1,112.50000,3225.00000,41
05/23/2008,-875.00000,-1,-25.00000,2412.50000,41
05/24/2008,0.00000,0,0.00000,0.00000,41
05/25/2008,0.00000,0,0.00000,0.00000,41
05/26/2008,175.00000,-1,-200.00000,1262.50000,41
05/27/2008,350.00000,-1,37.50000,1300.00000,41
05/28/2008,512.50000,-1,-312.50000,2325.00000,41
05/29/2008,3112.50000,-1,-150.00000,3787.50000,41
05/30/2008,-862.50000,-1,50.00000,1312.50000,41
05/31/2008,0.00000,0,0.00000,0.00000,41
06/01/2008,0.00000,0,0.00000,0.00000,41
06/02/2008,562.50000,-1,312.50000,1900.00000,41
06/03/2008,462.50000,-1,-112.50000,1287.50000,41
06/04/2008,462.50000,-1,100.00000,862.50000,41
06/05/2008,-587.50000,-1,87.50000,1525.00000,41
06/06/2008,-1525.00000,-1,-112.50000,2512.50000,41
06/07/2008,0.00000,0,0.00000,0.00000,41
06/08/2008,0.00000,0,0.00000,0.00000,41
06/09/2008,775.00000,-1,212.50000,2050.00000,41
06/10/2008,1000.00000,-1,-187.50000,1500.00000,41
06/11/2008,-237.50000,-1,125.00000,1925.00000,41
06/12/2008,-830.00000,0,-62.50000,1912.50000,43
06/13/2008,0.00000,0,0.00000,2250.00000,43
06/14/2008,0.00000,0,0.00000,0.00000,43
06/15/2008,0.00000,0,0.00000,0.00000,43
06/16/2008,-1020.00000,0,0.00000,3112.50000,45
06/17/2008,652.50000,-1,0.00000,1612.50000,46
