Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,3990.00000,0,0.00000,5600.00000,10
04/02/2008,-2420.00000,0,0.00000,4050.00000,12
04/03/2008,0.00000,0,0.00000,3225.00000,12
04/04/2008,0.00000,0,0.00000,3025.00000,12
04/05/2008,0.00000,0,0.00000,0.00000,12
04/06/2008,0.00000,0,0.00000,0.00000,12
04/07/2008,0.00000,0,0.00000,2775.00000,12
04/08/2008,0.00000,0,0.00000,4000.00000,12
04/09/2008,-2420.00000,0,0.00000,5125.00000,14
04/10/2008,0.00000,0,0.00000,3125.00000,14
04/11/2008,0.00000,0,0.00000,3475.00000,14
04/12/2008,0.00000,0,0.00000,0.00000,14
04/13/2008,0.00000,0,0.00000,0.00000,14
04/14/2008,0.00000,0,0.00000,3250.00000,14
04/15/2008,470.00000,1,0.00000,2100.00000,15
04/16/2008,2275.00000,1,25.00000,4025.00000,15
04/17/2008,1245.00000,0,125.00000,3000.00000,16
04/18/2008,0.00000,0,0.00000,5525.00000,16
04/19/2008,0.00000,0,0.00000,0.00000,16
04/20/2008,0.00000,0,0.00000,0.00000,16
04/21/2008,0.00000,0,0.00000,3550.00000,16
04/22/2008,0.00000,0,0.00000,3350.00000,16
04/23/2008,0.00000,0,0.00000,4400.00000,16
04/24/2008,1935.00000,-1,0.00000,2950.00000,17
04/25/2008,-625.00000,-1,-25.00000,2550.00000,17
04/26/2008,0.00000,0,0.00000,0.00000,17
04/27/2008,0.00000,0,0.00000,0.00000,17
04/28/2008,-700.00000,-1,50.00000,1800.00000,17
04/29/2008,2350.00000,-1,-175.00000,3050.00000,17
04/30/2008,-1600.00000,-1,50.00000,2525.00000,17
05/01/2008,2630.00000,0,175.00000,5325.00000,18
05/02/2008,-985.00000,-1,0.00000,2300.00000,19
05/03/2008,0.00000,0,0.00000,0.00000,19
05/04/2008,0.00000,0,0.00000,0.00000,19
05/05/2008,-1455.00000,0,-25.00000,2125.00000,20
