Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,0.00000,0,0.00000,0.00000,0
04/02/2008,0.00000,0,0.00000,0.00000,0
04/03/2008,130.00000,1,0.00000,890.00000,13
04/04/2008,80.00000,1,-80.00000,370.00000,13
04/05/2008,0.00000,0,0.00000,0.00000,13
04/06/2008,0.00000,0,0.00000,0.00000,13
04/07/2008,80.00000,1,0.00000,280.00000,13
04/08/2008,-190.00000,1,-40.00000,250.00000,13
04/09/2008,-260.00000,1,150.00000,590.00000,13
04/10/2008,570.00000,1,-100.00000,780.00000,13
04/11/2008,160.00000,1,80.00000,440.00000,13
04/12/2008,0.00000,0,0.00000,0.00000,13
04/13/2008,0.00000,0,0.00000,0.00000,13
04/14/2008,80.00000,1,-330.00000,530.00000,13
04/15/2008,80.00000,1,100.00000,390.00000,13
04/16/2008,120.00000,1,80.00000,360.00000,13
04/17/2008,420.00000,0,280.00000,520.00000,14
04/18/2008,0.00000,0,0.00000,470.00000,14
04/19/2008,0.00000,0,0.00000,0.00000,14
04/20/2008,0.00000,0,0.00000,0.00000,14
04/21/2008,0.00000,0,0.00000,190.00000,14
04/22/2008,30.00000,1,0.00000,420.00000,15
04/23/2008,300.00000,1,60.00000,300.00000,15
04/24/2008,320.00000,1,-60.00000,380.00000,15
04/25/2008,-20.00000,1,0.00000,260.00000,15
04/26/2008,0.00000,0,0.00000,0.00000,15
04/27/2008,0.00000,0,0.00000,0.00000,15
04/28/2008,40.00000,1,0.00000,40.00000,15
04/29/2008,100.00000,1,40.00000,300.00000,15
04/30/2008,-480.00000,1,160.00000,770.00000,15
05/01/2008,-610.00000,1,-90.00000,710.00000,15
05/02/2008,260.00000,1,-20.00000,440.00000,15
05/03/2008,0.00000,0,0.00000,0.00000,15
05/04/2008,0.00000,0,0.00000,0.00000,15
05/05/2008,-400.00000,1,-60.00000,480.00000,15
05/06/2008,160.00000,1,0.00000,350.00000,15
05/07/2008,20.00000,1,-40.00000,380.00000,15
05/08/2008,800.00000,1,-20.00000,970.00000,15
05/09/2008,360.00000,1,50.00000,700.00000,15
05/10/2008,0.00000,0,0.00000,0.00000,15
05/11/2008,0.00000,0,0.00000,0.00000,15
05/12/2008,-150.00000,1,-60.00000,280.00000,15
05/13/2008,50.00000,1,70.00000,360.00000,15
05/14/2008,0.00000,1,-50.00000,530.00000,15
05/15/2008,-50.00000,1,30.00000,190.00000,15
05/16/2008,-190.00000,1,40.00000,400.00000,15
05/17/2008,0.00000,0,0.00000,0.00000,15
05/18/2008,0.00000,0,0.00000,0.00000,15
05/19/2008,-340.00000,1,-30.00000,480.00000,15
05/20/2008,310.00000,1,10.00000,430.00000,15
05/21/2008,360.00000,1,60.00000,390.00000,15
05/22/2008,210.00000,1,50.00000,540.00000,15
05/23/2008,180.00000,1,40.00000,400.00000,17
05/24/2008,0.00000,0,0.00000,0.00000,17
05/25/2008,0.00000,0,0.00000,0.00000,17
05/26/2008,0.00000,0,0.00000,0.00000,17
05/27/2008,90.00000,1,-60.00000,560.00000,17
05/28/2008,160.00000,1,90.00000,300.00000,17
05/29/2008,-350.00000,1,10.00000,510.00000,17
05/30/2008,240.00000,1,-60.00000,420.00000,17
05/31/2008,0.00000,0,0.00000,0.00000,17
06/01/2008,0.00000,0,0.00000,0.00000,17
06/02/2008,-440.00000,1,-210.00000,560.00000,17
06/03/2008,-490.00000,0,-60.00000,550.00000,18
06/04/2008,0.00000,1,0.00000,270.00000,19
06/05/2008,0.00000,1,-40.00000,490.00000,19
06/06/2008,-110.00000,1,30.00000,420.00000,19
06/07/2008,0.00000,0,0.00000,0.00000,19
06/08/2008,0.00000,0,0.00000,0.00000,19
06/09/2008,-340.00000,1,-200.00000,400.00000,19
06/10/2008,120.00000,1,60.00000,310.00000,19
06/11/2008,360.00000,1,-20.00000,740.00000,19
06/12/2008,140.00000,1,-140.00000,300.00000,19
06/13/2008,320.00000,1,30.00000,560.00000,19
06/14/2008,0.00000,0,0.00000,0.00000,19
06/15/2008,0.00000,0,0.00000,0.00000,19
06/16/2008,460.00000,1,-130.00000,610.00000,19
06/17/2008,-120.00000,1,40.00000,390.00000,19
06/18/2008,-80.00000,1,-140.00000,350.00000,19
06/19/2008,-400.00000,1,-50.00000,410.00000,19
06/20/2008,100.00000,1,140.00000,720.00000,19
06/21/2008,0.00000,0,0.00000,0.00000,19
06/22/2008,0.00000,0,0.00000,0.00000,19
06/23/2008,400.00000,1,220.00000,540.00000,19
06/24/2008,390.00000,0,320.00000,480.00000,20
06/25/2008,0.00000,0,0.00000,350.00000,20
06/26/2008,0.00000,0,0.00000,330.00000,20
06/27/2008,-10.00000,1,0.00000,790.00000,21
06/28/2008,0.00000,0,0.00000,0.00000,21
06/29/2008,0.00000,0,0.00000,0.00000,21
06/30/2008,-10.00000,1,-50.00000,70.00000,21
07/01/2008,-40.00000,1,0.00000,550.00000,21
07/02/2008,340.00000,1,100.00000,550.00000,21
07/03/2008,-80.00000,1,-50.00000,370.00000,21
07/04/2008,0.00000,0,0.00000,0.00000,21
07/05/2008,0.00000,0,0.00000,0.00000,21
07/06/2008,0.00000,0,0.00000,0.00000,21
07/07/2008,-680.00000,1,-170.00000,880.00000,21
07/08/2008,-290.00000,0,-130.00000,360.00000,22
07/09/2008,-40.00000,1,0.00000,470.00000,23
07/10/2008,-320.00000,1,-50.00000,590.00000,23
07/11/2008,-240.00000,1,0.00000,520.00000,24
07/12/2008,0.00000,0,0.00000,0.00000,24
07/13/2008,0.00000,0,0.00000,0.00000,24
07/14/2008,-170.00000,0,-120.00000,920.00000,24
07/15/2008,20.00000,1,0.00000,490.00000,25
07/16/2008,-380.00000,1,-160.00000,390.00000,25
07/17/2008,-410.00000,0,-80.00000,770.00000,26
07/18/2008,0.00000,0,0.00000,390.00000,26
07/19/2008,0.00000,0,0.00000,0.00000,26
07/20/2008,0.00000,0,0.00000,0.00000,26
07/21/2008,0.00000,0,0.00000,420.00000,26
07/22/2008,0.00000,0,0.00000,440.00000,26
07/23/2008,270.00000,1,0.00000,550.00000,27
07/24/2008,200.00000,1,0.00000,360.00000,27
07/25/2008,-320.00000,1,-110.00000,430.00000,27
07/26/2008,0.00000,0,0.00000,0.00000,27
07/27/2008,0.00000,0,0.00000,0.00000,27
07/28/2008,-300.00000,1,-300.00000,460.00000,27
07/29/2008,180.00000,1,0.00000,460.00000,27
07/30/2008,100.00000,1,-60.00000,460.00000,27
07/31/2008,300.00000,1,20.00000,400.00000,27
08/01/2008,570.00000,1,-10.00000,650.00000,27
08/02/2008,0.00000,0,0.00000,0.00000,27
08/03/2008,0.00000,0,0.00000,0.00000,27
08/04/2008,-30.00000,1,-10.00000,320.00000,27
08/05/2008,270.00000,0,-10.00000,430.00000,28
08/06/2008,-70.00000,1,0.00000,890.00000,29
08/07/2008,-80.00000,1,40.00000,540.00000,29
08/08/2008,-40.00000,1,80.00000,440.00000,29
08/09/2008,0.00000,0,0.00000,0.00000,29
08/10/2008,0.00000,0,0.00000,0.00000,29
08/11/2008,160.00000,1,-20.00000,340.00000,29
08/12/2008,300.00000,1,20.00000,380.00000,29
08/13/2008,60.00000,1,10.00000,300.00000,29
08/14/2008,50.00000,1,130.00000,240.00000,29
08/15/2008,-510.00000,1,-80.00000,630.00000,29
08/16/2008,0.00000,0,0.00000,0.00000,29
08/17/2008,0.00000,0,0.00000,0.00000,29
08/18/2008,-10.00000,1,-70.00000,300.00000,29
08/19/2008,-390.00000,1,-30.00000,530.00000,29
08/20/2008,-250.00000,1,-80.00000,260.00000,31
08/21/2008,320.00000,1,20.00000,550.00000,31
08/22/2008,120.00000,1,-120.00000,300.00000,31
08/23/2008,0.00000,0,0.00000,0.00000,31
08/24/2008,0.00000,0,0.00000,0.00000,31
08/25/2008,160.00000,1,80.00000,260.00000,31
08/26/2008,-250.00000,-1,-120.00000,280.00000,32
08/27/2008,250.00000,-1,40.00000,480.00000,32
08/28/2008,-190.00000,1,100.00000,200.00000,33
08/29/2008,330.00000,1,80.00000,370.00000,33
08/30/2008,0.00000,0,0.00000,0.00000,33
08/31/2008,0.00000,0,0.00000,0.00000,33
09/01/2008,0.00000,0,0.00000,0.00000,33
09/02/2008,-170.00000,1,100.00000,360.00000,33
09/03/2008,-290.00000,1,-100.00000,330.00000,33
09/04/2008,30.00000,1,40.00000,320.00000,33
09/05/2008,-60.00000,1,-120.00000,280.00000,33
09/06/2008,0.00000,0,0.00000,0.00000,33
09/07/2008,0.00000,0,0.00000,0.00000,33
09/08/2008,70.00000,1,20.00000,270.00000,33
09/09/2008,-250.00000,1,-60.00000,310.00000,33
09/10/2008,-350.00000,0,-160.00000,580.00000,34
09/11/2008,0.00000,0,0.00000,500.00000,34
09/12/2008,0.00000,0,0.00000,390.00000,34
09/13/2008,0.00000,0,0.00000,0.00000,34
09/14/2008,0.00000,0,0.00000,0.00000,34
09/15/2008,0.00000,0,0.00000,1090.00000,34
09/16/2008,0.00000,0,0.00000,520.00000,34
09/17/2008,0.00000,0,0.00000,700.00000,34
09/18/2008,0.00000,0,0.00000,1220.00000,34
09/19/2008,0.00000,0,0.00000,380.00000,34
09/20/2008,0.00000,0,0.00000,0.00000,34
09/21/2008,0.00000,0,0.00000,0.00000,34
09/22/2008,0.00000,0,0.00000,420.00000,34
09/23/2008,0.00000,0,0.00000,340.00000,34
09/24/2008,0.00000,0,0.00000,230.00000,34
09/25/2008,0.00000,0,0.00000,540.00000,34
09/26/2008,0.00000,0,0.00000,330.00000,34
09/27/2008,0.00000,0,0.00000,0.00000,34
09/28/2008,0.00000,0,0.00000,0.00000,34
09/29/2008,0.00000,0,0.00000,1130.00000,34
09/30/2008,-290.00000,1,0.00000,760.00000,35
10/01/2008,-100.00000,1,50.00000,450.00000,35
10/02/2008,-380.00000,0,-170.00000,1270.00000,36
10/03/2008,-230.00000,1,0.00000,610.00000,38
10/04/2008,0.00000,0,0.00000,0.00000,38
10/05/2008,0.00000,0,0.00000,0.00000,38
10/06/2008,-700.00000,0,-690.00000,1330.00000,38
10/07/2008,0.00000,0,0.00000,800.00000,38
10/08/2008,0.00000,0,0.00000,1100.00000,38
10/09/2008,0.00000,0,0.00000,1290.00000,38
10/10/2008,0.00000,0,0.00000,500.00000,38
10/11/2008,0.00000,0,0.00000,0.00000,38
10/12/2008,0.00000,0,0.00000,0.00000,38
10/13/2008,0.00000,0,0.00000,880.00000,38
10/14/2008,0.00000,0,0.00000,420.00000,38
10/15/2008,0.00000,0,0.00000,960.00000,38
10/16/2008,0.00000,1,0.00000,580.00000,39
10/17/2008,380.00000,1,90.00000,640.00000,39
10/18/2008,0.00000,0,0.00000,0.00000,39
10/19/2008,0.00000,0,0.00000,0.00000,39
10/20/2008,140.00000,1,140.00000,460.00000,39
10/21/2008,240.00000,1,-280.00000,700.00000,39
10/22/2008,-440.00000,1,-240.00000,760.00000,39
10/23/2008,-120.00000,1,240.00000,880.00000,40
10/24/2008,-1060.00000,0,-1050.00000,1360.00000,40
10/25/2008,0.00000,0,0.00000,0.00000,40
10/26/2008,0.00000,0,0.00000,0.00000,40
10/27/2008,0.00000,0,0.00000,630.00000,40
10/28/2008,0.00000,0,0.00000,680.00000,40
10/29/2008,170.00000,1,0.00000,1040.00000,41
10/30/2008,660.00000,1,20.00000,660.00000,42
10/31/2008,410.00000,0,280.00000,560.00000,42
11/01/2008,0.00000,0,0.00000,0.00000,42
11/02/2008,0.00000,0,0.00000,0.00000,42
11/03/2008,0.00000,0,0.00000,510.00000,42
11/04/2008,0.00000,0,0.00000,830.00000,42
11/05/2008,0.00000,0,0.00000,410.00000,42
11/06/2008,0.00000,0,0.00000,680.00000,42
11/07/2008,0.00000,0,0.00000,520.00000,42
11/08/2008,0.00000,0,0.00000,0.00000,42
11/09/2008,0.00000,0,0.00000,0.00000,42
11/10/2008,0.00000,0,0.00000,430.00000,42
11/11/2008,0.00000,0,0.00000,670.00000,42
11/12/2008,0.00000,0,0.00000,780.00000,42
11/13/2008,-10.00000,1,0.00000,750.00000,43
11/14/2008,-530.00000,1,-250.00000,740.00000,44
11/15/2008,0.00000,0,0.00000,0.00000,44
11/16/2008,0.00000,0,0.00000,0.00000,44
11/17/2008,-240.00000,0,-230.00000,910.00000,44
11/18/2008,0.00000,0,0.00000,840.00000,44
11/19/2008,0.00000,0,0.00000,1490.00000,44
11/20/2008,-440.00000,1,0.00000,1230.00000,45
11/21/2008,320.00000,1,500.00000,770.00000,45
11/22/2008,0.00000,0,0.00000,0.00000,45
11/23/2008,0.00000,0,0.00000,0.00000,45
11/24/2008,780.00000,1,480.00000,900.00000,45
11/25/2008,-370.00000,1,10.00000,660.00000,45
11/26/2008,750.00000,1,-40.00000,960.00000,45
11/27/2008,0.00000,0,0.00000,0.00000,45
11/28/2008,-140.00000,1,-110.00000,300.00000,45
11/29/2008,0.00000,0,0.00000,0.00000,45
11/30/2008,0.00000,0,0.00000,0.00000,45
