Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,2050.00000,0,-12.50000,2837.50000,96
04/02/2008,782.50000,-1,0.00000,850.00000,98
04/03/2008,455.00000,1,-37.50000,912.50000,99
04/04/2008,-75.00000,1,-12.50000,1187.50000,99
04/05/2008,0.00000,0,0.00000,0.00000,99
04/06/2008,0.00000,0,0.00000,0.00000,99
04/07/2008,-100.00000,1,25.00000,1100.00000,99
04/08/2008,12.50000,1,0.00000,500.00000,99
04/09/2008,-512.50000,1,137.50000,1312.50000,99
04/10/2008,200.00000,1,0.00000,900.00000,99
04/11/2008,-710.00000,0,37.50000,1862.50000,100
04/12/2008,0.00000,0,0.00000,0.00000,100
04/13/2008,0.00000,0,0.00000,0.00000,100
04/14/2008,40.00000,1,0.00000,575.00000,101
04/15/2008,562.50000,1,-75.00000,975.00000,101
04/16/2008,1362.50000,1,37.50000,1750.00000,101
04/17/2008,-7.50000,-1,-50.00000,887.50000,102
04/18/2008,867.50000,1,-12.50000,1412.50000,103
04/19/2008,0.00000,0,0.00000,0.00000,103
04/20/2008,0.00000,0,0.00000,0.00000,103
04/21/2008,-112.50000,1,87.50000,662.50000,103
04/22/2008,-150.00000,1,-12.50000,975.00000,103
04/23/2008,-437.50000,1,25.00000,850.00000,103
04/24/2008,575.00000,1,150.00000,1562.50000,103
04/25/2008,625.00000,1,-25.00000,1012.50000,103
04/26/2008,0.00000,0,0.00000,0.00000,103
04/27/2008,0.00000,0,0.00000,0.00000,103
04/28/2008,-12.50000,1,75.00000,562.50000,103
04/29/2008,-375.00000,1,37.50000,600.00000,103
04/30/2008,-250.00000,1,12.50000,1237.50000,103
05/01/2008,1337.50000,1,25.00000,1462.50000,103
05/02/2008,665.00000,-1,0.00000,1050.00000,106
05/03/2008,0.00000,0,0.00000,0.00000,106
05/04/2008,0.00000,0,0.00000,0.00000,106
05/05/2008,242.50000,1,137.50000,825.00000,107
05/06/2008,550.00000,1,12.50000,1287.50000,107
05/07/2008,-1310.00000,0,0.00000,1675.00000,108
05/08/2008,0.00000,0,0.00000,687.50000,108
05/09/2008,52.50000,1,0.00000,575.00000,109
05/10/2008,0.00000,0,0.00000,0.00000,109
05/11/2008,0.00000,0,0.00000,0.00000,109
05/12/2008,725.00000,1,0.00000,937.50000,109
05/13/2008,0.00000,1,12.50000,712.50000,109
05/14/2008,175.00000,1,0.00000,1137.50000,109
05/15/2008,837.50000,1,-12.50000,962.50000,109
05/16/2008,660.00000,1,12.50000,737.50000,111
05/17/2008,0.00000,0,0.00000,0.00000,111
05/18/2008,0.00000,0,0.00000,0.00000,111
05/19/2008,162.50000,1,-25.00000,962.50000,111
05/20/2008,-650.00000,1,0.00000,1012.50000,111
05/21/2008,-585.00000,0,12.50000,1650.00000,112
05/22/2008,0.00000,0,0.00000,475.00000,112
05/23/2008,-820.00000,0,0.00000,1112.50000,114
05/24/2008,0.00000,0,0.00000,0.00000,114
05/25/2008,0.00000,0,0.00000,0.00000,114
05/26/2008,0.00000,0,0.00000,250.00000,114
05/27/2008,615.00000,1,0.00000,862.50000,115
05/28/2008,225.00000,1,37.50000,775.00000,115
05/29/2008,500.00000,1,12.50000,1012.50000,115
05/30/2008,100.00000,1,-12.50000,500.00000,115
05/31/2008,0.00000,0,0.00000,0.00000,115
06/01/2008,0.00000,0,0.00000,0.00000,115
06/02/2008,-737.50000,1,0.00000,1175.00000,115
06/03/2008,-425.00000,1,-25.00000,1212.50000,115
06/04/2008,-37.50000,1,12.50000,875.00000,115
06/05/2008,1425.00000,1,0.00000,1500.00000,115
06/06/2008,2555.00000,0,-12.50000,2625.00000,117
06/07/2008,0.00000,0,0.00000,0.00000,117
06/08/2008,0.00000,0,0.00000,0.00000,117
06/09/2008,0.00000,0,0.00000,1050.00000,117
06/10/2008,-210.00000,1,0.00000,1000.00000,118
06/11/2008,-610.00000,0,-37.50000,1425.00000,119
06/12/2008,0.00000,0,0.00000,1112.50000,119
06/13/2008,940.00000,1,0.00000,1225.00000,120
06/14/2008,0.00000,0,0.00000,0.00000,120
06/15/2008,0.00000,0,0.00000,0.00000,120
06/16/2008,-12.50000,1,0.00000,800.00000,120
06/17/2008,-325.00000,1,25.00000,1037.50000,120
06/18/2008,-725.00000,1,0.00000,1050.00000,120
06/19/2008,250.00000,1,0.00000,875.00000,120
06/20/2008,-947.50000,0,12.50000,1400.00000,121
06/21/2008,0.00000,0,0.00000,0.00000,121
06/22/2008,0.00000,0,0.00000,0.00000,121
06/23/2008,2.50000,1,0.00000,662.50000,122
06/24/2008,-100.00000,1,25.00000,1137.50000,122
06/25/2008,87.50000,1,37.50000,1150.00000,122
06/26/2008,-810.00000,0,-12.50000,1875.00000,123
06/27/2008,755.00000,1,0.00000,950.00000,127
06/28/2008,0.00000,0,0.00000,0.00000,127
06/29/2008,0.00000,0,0.00000,0.00000,127
06/30/2008,212.50000,1,75.00000,837.50000,127
07/01/2008,-1435.00000,-1,-50.00000,1325.00000,132
07/02/2008,-680.00000,0,0.00000,1687.50000,134
07/03/2008,0.00000,0,0.00000,1100.00000,134
07/04/2008,-285.00000,1,0.00000,637.50000,135
07/05/2008,0.00000,0,0.00000,0.00000,135
07/06/2008,0.00000,0,0.00000,0.00000,135
07/07/2008,-632.50000,1,87.50000,1712.50000,137
07/08/2008,355.00000,1,12.50000,1987.50000,139
07/09/2008,-1450.00000,1,25.00000,1700.00000,139
07/10/2008,1260.00000,1,0.00000,1112.50000,141
07/11/2008,-837.50000,1,0.00000,1812.50000,141
07/12/2008,0.00000,0,0.00000,0.00000,141
07/13/2008,0.00000,0,0.00000,0.00000,141
07/14/2008,-612.50000,1,25.00000,1787.50000,141
07/15/2008,-720.00000,1,37.50000,1750.00000,143
07/16/2008,1567.50000,1,-37.50000,2187.50000,145
07/17/2008,-730.00000,0,-12.50000,1250.00000,147
07/18/2008,890.00000,1,0.00000,1100.00000,148
07/19/2008,0.00000,0,0.00000,0.00000,148
07/20/2008,0.00000,0,0.00000,0.00000,148
07/21/2008,582.50000,1,-62.50000,1000.00000,152
07/22/2008,1225.00000,1,-12.50000,1537.50000,152
07/23/2008,375.00000,1,25.00000,900.00000,152
07/24/2008,-1325.00000,1,25.00000,1700.00000,152
07/25/2008,-50.00000,1,12.50000,675.00000,152
07/26/2008,0.00000,0,0.00000,0.00000,152
07/27/2008,0.00000,0,0.00000,0.00000,152
07/28/2008,-672.50000,0,75.00000,1350.00000,153
07/29/2008,0.00000,0,0.00000,1587.50000,153
07/30/2008,0.00000,0,0.00000,1300.00000,153
07/31/2008,1320.00000,-1,0.00000,1250.00000,155
08/01/2008,-70.00000,1,12.50000,1100.00000,156
08/02/2008,0.00000,0,0.00000,0.00000,156
08/03/2008,0.00000,0,0.00000,0.00000,156
08/04/2008,-995.00000,1,75.00000,850.00000,158
08/05/2008,1762.50000,1,0.00000,1875.00000,158
08/06/2008,142.50000,-1,0.00000,825.00000,159
08/07/2008,-617.50000,0,100.00000,1275.00000,161
08/08/2008,0.00000,0,0.00000,1800.00000,161
08/09/2008,0.00000,0,0.00000,0.00000,161
08/10/2008,0.00000,0,0.00000,0.00000,161
08/11/2008,0.00000,0,0.00000,1275.00000,161
08/12/2008,-820.00000,0,0.00000,1125.00000,163
08/13/2008,-297.50000,1,0.00000,1000.00000,164
08/14/2008,562.50000,1,12.50000,1275.00000,164
08/15/2008,212.50000,1,0.00000,600.00000,164
08/16/2008,0.00000,0,0.00000,0.00000,164
08/17/2008,0.00000,0,0.00000,0.00000,164
08/18/2008,-1297.50000,0,-12.50000,1600.00000,165
08/19/2008,0.00000,0,0.00000,1012.50000,165
08/20/2008,502.50000,1,0.00000,812.50000,166
08/21/2008,37.50000,1,12.50000,925.00000,166
08/22/2008,850.00000,1,-37.50000,1125.00000,166
08/23/2008,0.00000,0,0.00000,0.00000,166
08/24/2008,0.00000,0,0.00000,0.00000,166
08/25/2008,-1275.00000,1,-87.50000,1425.00000,166
08/26/2008,212.50000,1,12.50000,662.50000,166
08/27/2008,487.50000,1,-25.00000,987.50000,166
08/28/2008,837.50000,1,0.00000,1225.00000,166
08/29/2008,-725.00000,1,-25.00000,825.00000,166
08/30/2008,0.00000,0,0.00000,0.00000,166
08/31/2008,0.00000,0,0.00000,0.00000,166
09/01/2008,-37.50000,1,-75.00000,412.50000,166
09/02/2008,-325.00000,1,75.00000,1600.00000,166
09/03/2008,-12.50000,1,0.00000,787.50000,166
09/04/2008,-1372.50000,0,12.50000,2100.00000,167
09/05/2008,-612.50000,-1,0.00000,1437.50000,172
09/06/2008,0.00000,0,0.00000,0.00000,172
09/07/2008,0.00000,0,0.00000,0.00000,172
09/08/2008,-1335.00000,0,-1325.00000,2075.00000,172
09/09/2008,2245.00000,-1,0.00000,2575.00000,174
09/10/2008,1357.50000,-1,75.00000,1225.00000,178
09/11/2008,-387.50000,0,25.00000,2137.50000,181
09/12/2008,-820.00000,0,0.00000,1237.50000,183
09/13/2008,0.00000,0,0.00000,0.00000,183
09/14/2008,0.00000,0,0.00000,0.00000,183
09/15/2008,-820.00000,0,0.00000,3212.50000,185
09/16/2008,2950.00000,-1,0.00000,2900.00000,194
09/17/2008,-897.50000,0,0.00000,3625.00000,195
09/18/2008,227.50000,1,0.00000,4125.00000,196
09/19/2008,2162.50000,0,100.00000,4362.50000,197
09/20/2008,0.00000,0,0.00000,0.00000,197
09/21/2008,0.00000,0,0.00000,0.00000,197
09/22/2008,1577.50000,-1,0.00000,2250.00000,198
09/23/2008,-527.50000,0,12.50000,1862.50000,204
09/24/2008,-820.00000,0,0.00000,1500.00000,206
09/25/2008,0.00000,0,0.00000,1937.50000,206
09/26/2008,532.50000,-1,0.00000,1812.50000,208
09/27/2008,0.00000,0,0.00000,0.00000,208
09/28/2008,0.00000,0,0.00000,0.00000,208
09/29/2008,2312.50000,0,-275.00000,5462.50000,209
09/30/2008,0.00000,0,0.00000,3050.00000,209
10/01/2008,-60.00000,-1,0.00000,1462.50000,210
10/02/2008,2450.00000,0,-25.00000,2937.50000,211
10/03/2008,0.00000,0,0.00000,2925.00000,211
10/04/2008,0.00000,0,0.00000,0.00000,211
10/05/2008,0.00000,0,0.00000,0.00000,211
10/06/2008,0.00000,0,0.00000,5000.00000,211
10/07/2008,750.00000,0,0.00000,3925.00000,217
10/08/2008,870.00000,0,0.00000,4100.00000,229
10/09/2008,907.50000,0,0.00000,5237.50000,234
