Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,0.00000,0,0.00000,0.00000,0
04/02/2008,2460.00000,0,0.00000,5660.00000,22
04/03/2008,0.00000,0,0.00000,4670.00000,22
04/04/2008,0.00000,0,0.00000,2510.00000,22
04/05/2008,0.00000,0,0.00000,0.00000,22
04/06/2008,0.00000,0,0.00000,0.00000,22
04/07/2008,0.00000,0,0.00000,5330.00000,22
04/08/2008,0.00000,0,0.00000,3160.00000,22
04/09/2008,1490.00000,0,0.00000,4440.00000,24
04/10/2008,0.00000,0,0.00000,2660.00000,24
04/11/2008,0.00000,0,0.00000,2760.00000,24
04/12/2008,0.00000,0,0.00000,0.00000,24
04/13/2008,0.00000,0,0.00000,0.00000,24
04/14/2008,0.00000,0,0.00000,2570.00000,24
04/15/2008,80.00000,1,0.00000,2300.00000,25
04/16/2008,-1120.00000,0,-290.00000,4290.00000,26
04/17/2008,0.00000,0,0.00000,2110.00000,26
04/18/2008,-640.00000,0,0.00000,4130.00000,28
04/19/2008,0.00000,0,0.00000,0.00000,28
04/20/2008,0.00000,0,0.00000,0.00000,28
04/21/2008,0.00000,0,0.00000,2530.00000,28
04/22/2008,0.00000,0,0.00000,1690.00000,28
04/23/2008,450.00000,0,0.00000,4230.00000,32
04/24/2008,-1560.00000,0,0.00000,3540.00000,36
04/25/2008,850.00000,0,0.00000,1780.00000,38
04/26/2008,0.00000,0,0.00000,0.00000,38
04/27/2008,0.00000,0,0.00000,0.00000,38
04/28/2008,0.00000,0,0.00000,3710.00000,38
04/29/2008,0.00000,0,0.00000,4990.00000,38
04/30/2008,0.00000,0,0.00000,2970.00000,38
05/01/2008,0.00000,0,0.00000,3660.00000,38
05/02/2008,0.00000,0,0.00000,2850.00000,38
05/03/2008,0.00000,0,0.00000,0.00000,38
05/04/2008,0.00000,0,0.00000,0.00000,38
05/05/2008,1960.00000,1,0.00000,4420.00000,41
05/06/2008,1020.00000,0,-410.00000,2590.00000,42
05/07/2008,0.00000,0,0.00000,3170.00000,42
05/08/2008,0.00000,0,0.00000,2130.00000,42
05/09/2008,-1560.00000,0,0.00000,3530.00000,44
05/10/2008,0.00000,0,0.00000,0.00000,44
05/11/2008,0.00000,0,0.00000,0.00000,44
05/12/2008,0.00000,0,0.00000,3490.00000,44
05/13/2008,-1560.00000,0,0.00000,4340.00000,48
05/14/2008,-1040.00000,0,0.00000,3040.00000,52
05/15/2008,450.00000,0,0.00000,5770.00000,54
05/16/2008,-1560.00000,0,0.00000,4980.00000,58
05/17/2008,0.00000,0,0.00000,0.00000,58
05/18/2008,0.00000,0,0.00000,0.00000,58
