Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,-10.00000,0,0.00000,3000.00000,18
04/02/2008,-610.00000,0,0.00000,5260.00000,20
04/03/2008,0.00000,0,0.00000,3230.00000,20
04/04/2008,-1290.00000,0,0.00000,2350.00000,22
04/05/2008,0.00000,0,0.00000,0.00000,22
04/06/2008,0.00000,0,0.00000,0.00000,22
04/07/2008,0.00000,0,0.00000,3620.00000,22
04/08/2008,-10.00000,0,0.00000,2000.00000,24
04/09/2008,-3070.00000,0,0.00000,4260.00000,26
04/10/2008,-10.00000,0,0.00000,3450.00000,28
04/11/2008,-510.00000,0,0.00000,1900.00000,30
04/12/2008,0.00000,0,0.00000,0.00000,30
04/13/2008,0.00000,0,0.00000,0.00000,30
04/14/2008,0.00000,0,0.00000,2430.00000,30
04/15/2008,-1460.00000,0,0.00000,2280.00000,32
04/16/2008,0.00000,0,0.00000,2950.00000,32
04/17/2008,10.00000,-1,0.00000,1440.00000,33
04/18/2008,-500.00000,0,-40.00000,4130.00000,34
04/19/2008,0.00000,0,0.00000,0.00000,34
04/20/2008,0.00000,0,0.00000,0.00000,34
04/21/2008,0.00000,0,0.00000,2010.00000,34
04/22/2008,0.00000,0,0.00000,3040.00000,34
04/23/2008,0.00000,0,0.00000,2240.00000,34
04/24/2008,2330.00000,-1,0.00000,4050.00000,35
04/25/2008,-3190.00000,0,-50.00000,5040.00000,36
04/26/2008,0.00000,0,0.00000,0.00000,36
04/27/2008,0.00000,0,0.00000,0.00000,36
04/28/2008,0.00000,0,0.00000,1770.00000,36
04/29/2008,0.00000,0,0.00000,3890.00000,36
04/30/2008,0.00000,0,0.00000,3400.00000,36
05/01/2008,0.00000,0,0.00000,4930.00000,36
05/02/2008,4540.00000,1,0.00000,5020.00000,37
05/03/2008,0.00000,0,0.00000,0.00000,37
05/04/2008,0.00000,0,0.00000,0.00000,37
05/05/2008,3370.00000,1,-90.00000,4310.00000,37
05/06/2008,1840.00000,1,-60.00000,3400.00000,37
05/07/2008,-30.00000,0,-40.00000,3390.00000,38
05/08/2008,0.00000,0,0.00000,3030.00000,38
05/09/2008,-1000.00000,0,0.00000,2190.00000,40
05/10/2008,0.00000,0,0.00000,0.00000,40
05/11/2008,0.00000,0,0.00000,0.00000,40
05/12/2008,0.00000,0,0.00000,2700.00000,40
05/13/2008,0.00000,0,0.00000,3880.00000,40
05/14/2008,0.00000,0,0.00000,2270.00000,40
05/15/2008,0.00000,0,0.00000,5890.00000,40
