Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,-490.00000,0,0.00000,4940.00000,44
04/02/2008,-10.00000,0,0.00000,2640.00000,46
04/03/2008,-80.00000,-1,0.00000,2120.00000,47
04/04/2008,-200.00000,0,-40.00000,1600.00000,48
04/05/2008,0.00000,0,0.00000,0.00000,48
04/06/2008,0.00000,0,0.00000,0.00000,48
04/07/2008,-190.00000,-1,0.00000,1930.00000,49
04/08/2008,480.00000,-1,-10.00000,1830.00000,49
04/09/2008,-300.00000,0,-10.00000,3300.00000,50
04/10/2008,0.00000,0,0.00000,1840.00000,50
04/11/2008,-30.00000,1,0.00000,1530.00000,51
04/12/2008,0.00000,0,0.00000,0.00000,51
04/13/2008,0.00000,0,0.00000,0.00000,51
04/14/2008,-80.00000,1,-410.00000,1790.00000,51
04/15/2008,420.00000,0,50.00000,1370.00000,52
04/16/2008,-510.00000,0,0.00000,2540.00000,54
04/17/2008,0.00000,0,0.00000,1590.00000,54
04/18/2008,-1920.00000,0,0.00000,4250.00000,56
04/19/2008,0.00000,0,0.00000,0.00000,56
04/20/2008,0.00000,0,0.00000,0.00000,56
04/21/2008,120.00000,1,0.00000,1790.00000,57
04/22/2008,-100.00000,1,-100.00000,1410.00000,57
04/23/2008,-1680.00000,0,40.00000,2650.00000,58
04/24/2008,-610.00000,0,0.00000,2400.00000,60
04/25/2008,-150.00000,1,0.00000,1900.00000,61
04/26/2008,0.00000,0,0.00000,0.00000,61
04/27/2008,0.00000,0,0.00000,0.00000,61
04/28/2008,700.00000,1,150.00000,960.00000,61
04/29/2008,-1310.00000,0,10.00000,2550.00000,62
04/30/2008,630.00000,1,0.00000,1670.00000,63
05/01/2008,-2110.00000,0,30.00000,3510.00000,64
05/02/2008,620.00000,1,0.00000,1450.00000,65
05/03/2008,0.00000,0,0.00000,0.00000,65
05/04/2008,0.00000,0,0.00000,0.00000,65
05/05/2008,1730.00000,1,120.00000,1800.00000,65
05/06/2008,620.00000,0,10.00000,1190.00000,66
05/07/2008,-30.00000,0,0.00000,1890.00000,68
05/08/2008,1450.00000,1,0.00000,2060.00000,69
05/09/2008,180.00000,1,150.00000,1980.00000,69
05/10/2008,0.00000,0,0.00000,0.00000,69
05/11/2008,0.00000,0,0.00000,0.00000,69
05/12/2008,-170.00000,0,300.00000,1230.00000,70
05/13/2008,-1530.00000,0,0.00000,2620.00000,72
05/14/2008,0.00000,0,0.00000,1170.00000,72
05/15/2008,1680.00000,1,0.00000,2620.00000,73
05/16/2008,2050.00000,1,100.00000,2510.00000,73
05/17/2008,0.00000,0,0.00000,0.00000,73
05/18/2008,0.00000,0,0.00000,0.00000,73
05/19/2008,720.00000,0,80.00000,1360.00000,74
05/20/2008,-350.00000,0,0.00000,2100.00000,76
05/21/2008,-710.00000,-1,0.00000,1650.00000,77
05/22/2008,440.00000,0,-70.00000,1830.00000,78
05/23/2008,0.00000,0,0.00000,1480.00000,78
05/24/2008,0.00000,0,0.00000,0.00000,78
05/25/2008,0.00000,0,0.00000,0.00000,78
