Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,0.00000,0,0.00000,0.00000,0
04/02/2008,2325.00000,1,0.00000,3100.00000,35
04/03/2008,262.50000,1,37.50000,2312.50000,35
04/04/2008,-210.00000,-1,137.50000,2550.00000,37
04/05/2008,0.00000,0,0.00000,0.00000,37
04/06/2008,0.00000,0,0.00000,0.00000,37
04/07/2008,-535.00000,0,25.00000,1700.00000,38
04/08/2008,-22.50000,1,0.00000,2562.50000,41
04/09/2008,3100.00000,1,-25.00000,4250.00000,41
04/10/2008,-2110.00000,0,200.00000,3175.00000,42
04/11/2008,175.00000,-1,0.00000,1862.50000,43
04/12/2008,0.00000,0,0.00000,0.00000,43
04/13/2008,0.00000,0,0.00000,0.00000,43
04/14/2008,1962.50000,-1,112.50000,3550.00000,43
04/15/2008,-485.00000,1,-237.50000,2150.00000,45
04/16/2008,2325.00000,1,-175.00000,4725.00000,45
04/17/2008,-1122.50000,0,0.00000,3937.50000,46
04/18/2008,1300.00000,1,0.00000,3562.50000,47
04/19/2008,0.00000,0,0.00000,0.00000,47
04/20/2008,0.00000,0,0.00000,0.00000,47
04/21/2008,-425.00000,1,-162.50000,2237.50000,47
04/22/2008,1552.50000,0,712.50000,3425.00000,48
04/23/2008,-1297.50000,0,0.00000,2587.50000,50
04/24/2008,825.00000,-1,0.00000,2050.00000,51
04/25/2008,-537.50000,-1,62.50000,3012.50000,51
04/26/2008,0.00000,0,0.00000,0.00000,51
04/27/2008,0.00000,0,0.00000,0.00000,51
04/28/2008,-297.50000,0,-312.50000,1325.00000,52
04/29/2008,-285.00000,0,0.00000,8187.50000,54
04/30/2008,1187.50000,1,0.00000,2037.50000,55
05/01/2008,-1972.50000,0,-100.00000,6562.50000,56
05/02/2008,-1425.00000,-1,0.00000,3812.50000,57
05/03/2008,0.00000,0,0.00000,0.00000,57
05/04/2008,0.00000,0,0.00000,0.00000,57
05/05/2008,-3585.00000,0,37.50000,11012.50000,58
05/06/2008,712.50000,1,0.00000,2812.50000,59
05/07/2008,-1062.50000,1,-12.50000,1712.50000,59
05/08/2008,-1322.50000,0,50.00000,2450.00000,60
05/09/2008,790.00000,1,0.00000,3062.50000,63
05/10/2008,0.00000,0,0.00000,0.00000,63
05/11/2008,0.00000,0,0.00000,0.00000,63
05/12/2008,587.50000,1,0.00000,2237.50000,63
05/13/2008,-210.00000,0,100.00000,2112.50000,64
05/14/2008,-60.00000,0,0.00000,2275.00000,66
05/15/2008,-722.50000,0,0.00000,2650.00000,68
05/16/2008,-685.00000,0,0.00000,3000.00000,70
05/17/2008,0.00000,0,0.00000,0.00000,70
05/18/2008,0.00000,0,0.00000,0.00000,70
05/19/2008,-297.50000,0,0.00000,2887.50000,72
05/20/2008,650.00000,1,0.00000,1737.50000,73
05/21/2008,-550.00000,1,25.00000,1500.00000,73
05/22/2008,477.50000,0,-112.50000,3225.00000,74
05/23/2008,1275.00000,1,0.00000,2412.50000,75
05/24/2008,0.00000,0,0.00000,0.00000,75
05/25/2008,0.00000,0,0.00000,0.00000,75
05/26/2008,-175.00000,1,200.00000,1262.50000,75
05/27/2008,-350.00000,1,-37.50000,1300.00000,75
05/28/2008,840.00000,1,312.50000,2325.00000,77
05/29/2008,-2672.50000,1,150.00000,3787.50000,79
05/30/2008,862.50000,1,-50.00000,1312.50000,79
05/31/2008,0.00000,0,0.00000,0.00000,79
06/01/2008,0.00000,0,0.00000,0.00000,79
06/02/2008,-22.50000,-1,-312.50000,1900.00000,81
06/03/2008,462.50000,-1,-112.50000,1287.50000,81
06/04/2008,402.50000,0,100.00000,862.50000,82
06/05/2008,1262.50000,1,0.00000,1525.00000,83
06/06/2008,1525.00000,1,112.50000,2512.50000,83
06/07/2008,0.00000,0,0.00000,0.00000,83
06/08/2008,0.00000,0,0.00000,0.00000,83
06/09/2008,-47.50000,1,-212.50000,2050.00000,85
06/10/2008,-797.50000,1,187.50000,1500.00000,87
06/11/2008,237.50000,1,-125.00000,1925.00000,87
06/12/2008,2.50000,1,62.50000,1912.50000,89
06/13/2008,1112.50000,1,-25.00000,2250.00000,89
06/14/2008,0.00000,0,0.00000,0.00000,89
06/15/2008,0.00000,0,0.00000,0.00000,89
06/16/2008,2077.50000,0,212.50000,3112.50000,90
06/17/2008,100.00000,1,0.00000,1612.50000,91
06/18/2008,2475.00000,1,137.50000,2987.50000,91
06/19/2008,1277.50000,0,-200.00000,2325.00000,92
06/20/2008,350.00000,-1,0.00000,1937.50000,93
06/21/2008,0.00000,0,0.00000,0.00000,93
06/22/2008,0.00000,0,0.00000,0.00000,93
06/23/2008,175.00000,-1,-387.50000,2000.00000,93
06/24/2008,377.50000,1,0.00000,1187.50000,95
06/25/2008,575.00000,1,175.00000,2125.00000,95
06/26/2008,602.50000,0,-225.00000,2075.00000,96
06/27/2008,-162.50000,-1,0.00000,1950.00000,97
06/28/2008,0.00000,0,0.00000,0.00000,97
06/29/2008,0.00000,0,0.00000,0.00000,97
06/30/2008,-485.00000,1,-562.50000,2012.50000,99
07/01/2008,975.00000,1,225.00000,1862.50000,99
07/02/2008,4040.00000,0,-137.50000,5062.50000,100
07/03/2008,-822.50000,0,0.00000,2975.00000,102
07/04/2008,500.00000,1,0.00000,2350.00000,103
07/05/2008,0.00000,0,0.00000,0.00000,103
07/06/2008,0.00000,0,0.00000,0.00000,103
07/07/2008,-1147.50000,0,-187.50000,2425.00000,104
07/08/2008,-210.00000,0,0.00000,4425.00000,106
07/09/2008,-647.50000,0,0.00000,2775.00000,108
07/10/2008,700.00000,-1,0.00000,2975.00000,109
07/11/2008,-997.50000,0,225.00000,2000.00000,110
07/12/2008,0.00000,0,0.00000,0.00000,110
07/13/2008,0.00000,0,0.00000,0.00000,110
07/14/2008,325.00000,1,0.00000,1787.50000,111
07/15/2008,-660.00000,1,0.00000,2312.50000,113
07/16/2008,-285.00000,1,-175.00000,2137.50000,115
07/17/2008,1212.50000,1,37.50000,2337.50000,115
07/18/2008,-622.50000,0,-125.00000,1237.50000,116
07/19/2008,0.00000,0,0.00000,0.00000,116
07/20/2008,0.00000,0,0.00000,0.00000,116
07/21/2008,0.00000,0,0.00000,1150.00000,116
07/22/2008,1175.00000,-1,0.00000,2137.50000,117
07/23/2008,1287.50000,-1,-50.00000,2187.50000,117
07/24/2008,727.50000,1,187.50000,2625.00000,119
07/25/2008,550.00000,1,-87.50000,1125.00000,119
07/26/2008,0.00000,0,0.00000,0.00000,119
07/27/2008,0.00000,0,0.00000,0.00000,119
07/28/2008,315.00000,0,25.00000,1162.50000,120
07/29/2008,562.50000,1,0.00000,1725.00000,121
07/30/2008,-1835.00000,-1,-125.00000,5437.50000,123
07/31/2008,-447.50000,0,37.50000,1612.50000,124
08/01/2008,77.50000,1,0.00000,3187.50000,127
08/02/2008,0.00000,0,0.00000,0.00000,127
08/03/2008,0.00000,0,0.00000,0.00000,127
08/04/2008,-3297.50000,1,-137.50000,4025.00000,129
08/05/2008,-10.00000,0,487.50000,2075.00000,130
08/06/2008,925.00000,-1,0.00000,1500.00000,131
08/07/2008,225.00000,-1,75.00000,1400.00000,131
08/08/2008,3015.00000,1,-125.00000,3325.00000,133
08/09/2008,0.00000,0,0.00000,0.00000,133
08/10/2008,0.00000,0,0.00000,0.00000,133
08/11/2008,-475.00000,1,312.50000,1612.50000,133
08/12/2008,-1185.00000,1,137.50000,2525.00000,135
08/13/2008,2650.00000,1,-200.00000,3787.50000,135
08/14/2008,-1022.50000,0,125.00000,3500.00000,136
08/15/2008,0.00000,0,0.00000,2812.50000,136
08/16/2008,0.00000,0,0.00000,0.00000,136
08/17/2008,0.00000,0,0.00000,0.00000,136
08/18/2008,362.50000,1,0.00000,2662.50000,137
08/19/2008,2687.50000,1,-200.00000,4712.50000,137
08/20/2008,-660.00000,0,62.50000,3100.00000,138
08/21/2008,-147.50000,0,0.00000,3737.50000,140
08/22/2008,-150.00000,1,0.00000,2762.50000,141
08/23/2008,0.00000,0,0.00000,0.00000,141
08/24/2008,0.00000,0,0.00000,0.00000,141
08/25/2008,700.00000,1,-175.00000,1800.00000,141
08/26/2008,-560.00000,0,0.00000,2900.00000,142
08/27/2008,-385.00000,0,0.00000,2037.50000,144
08/28/2008,-837.50000,1,0.00000,2062.50000,145
08/29/2008,-885.00000,0,175.00000,1637.50000,146
08/30/2008,0.00000,0,0.00000,0.00000,146
08/31/2008,0.00000,0,0.00000,0.00000,146
09/01/2008,300.00000,1,0.00000,2637.50000,147
09/02/2008,-1747.50000,0,-62.50000,3712.50000,148
09/03/2008,-835.00000,0,0.00000,1987.50000,150
09/04/2008,1837.50000,-1,0.00000,2712.50000,151
09/05/2008,3625.00000,-1,275.00000,4787.50000,151
09/06/2008,0.00000,0,0.00000,0.00000,151
09/07/2008,0.00000,0,0.00000,0.00000,151
09/08/2008,-647.50000,0,-200.00000,2012.50000,152
09/09/2008,-622.50000,0,0.00000,2187.50000,154
09/10/2008,-585.00000,0,0.00000,2600.00000,156
09/11/2008,0.00000,0,0.00000,1900.00000,156
09/12/2008,-275.00000,-1,0.00000,2712.50000,157
09/13/2008,0.00000,0,0.00000,0.00000,157
09/14/2008,0.00000,0,0.00000,0.00000,157
09/15/2008,2050.00000,-1,87.50000,4137.50000,157
09/16/2008,465.00000,0,100.00000,2487.50000,158
09/17/2008,300.00000,-1,0.00000,2337.50000,159
09/18/2008,-522.50000,1,0.00000,4125.00000,161
09/19/2008,2962.50000,1,-225.00000,5112.50000,161
09/20/2008,0.00000,0,0.00000,0.00000,161
09/21/2008,0.00000,0,0.00000,0.00000,161
09/22/2008,1552.50000,0,-275.00000,3575.00000,162
09/23/2008,-1000.00000,1,0.00000,4150.00000,163
09/24/2008,477.50000,0,300.00000,2462.50000,164
09/25/2008,1300.00000,1,0.00000,1662.50000,165
09/26/2008,-1572.50000,0,162.50000,2325.00000,166
09/27/2008,0.00000,0,0.00000,0.00000,166
09/28/2008,0.00000,0,0.00000,0.00000,166
09/29/2008,-1962.50000,1,0.00000,5687.50000,167
09/30/2008,-147.50000,0,0.00000,3625.00000,168
10/01/2008,-310.00000,0,0.00000,4637.50000,170
10/02/2008,4537.50000,-1,0.00000,5525.00000,171
10/03/2008,387.50000,-1,-125.00000,3675.00000,171
10/04/2008,0.00000,0,0.00000,0.00000,171
10/05/2008,0.00000,0,0.00000,0.00000,171
10/06/2008,1677.50000,0,-887.50000,7312.50000,172
10/07/2008,-285.00000,0,0.00000,4787.50000,174
10/08/2008,4575.00000,-1,0.00000,6987.50000,175
10/09/2008,612.50000,-1,-362.50000,4537.50000,175
10/10/2008,3390.00000,0,-225.00000,6237.50000,176
10/11/2008,0.00000,0,0.00000,0.00000,176
10/12/2008,0.00000,0,0.00000,0.00000,176
10/13/2008,-2500.00000,-1,0.00000,5012.50000,177
10/14/2008,-22.50000,-1,125.00000,4875.00000,179
10/15/2008,5875.00000,-1,-375.00000,6387.50000,179
10/16/2008,2240.00000,1,-237.50000,4450.00000,181
10/17/2008,25.00000,1,250.00000,4812.50000,181
10/18/2008,0.00000,0,0.00000,0.00000,181
10/19/2008,0.00000,0,0.00000,0.00000,181
10/20/2008,-1035.00000,0,-250.00000,4187.50000,182
10/21/2008,-1622.50000,0,0.00000,4637.50000,184
10/22/2008,-1935.00000,0,0.00000,5425.00000,186
10/23/2008,2737.50000,1,0.00000,3850.00000,187
10/24/2008,-3947.50000,0,-37.50000,5600.00000,188
10/25/2008,0.00000,0,0.00000,0.00000,188
10/26/2008,0.00000,0,0.00000,0.00000,188
10/27/2008,2262.50000,1,0.00000,5250.00000,189
10/28/2008,4987.50000,1,37.50000,5725.00000,189
10/29/2008,902.50000,-1,-425.00000,6762.50000,191
10/30/2008,3387.50000,-1,-125.00000,7787.50000,191
10/31/2008,2252.50000,0,237.50000,4287.50000,192
11/01/2008,0.00000,0,0.00000,0.00000,192
11/02/2008,0.00000,0,0.00000,0.00000,192
11/03/2008,737.50000,1,0.00000,3775.00000,193
11/04/2008,3200.00000,1,412.50000,5837.50000,193
11/05/2008,-4147.50000,1,0.00000,3975.00000,195
11/06/2008,-922.50000,0,325.00000,2900.00000,196
11/07/2008,0.00000,0,0.00000,2650.00000,196
11/08/2008,0.00000,0,0.00000,0.00000,196
11/09/2008,0.00000,0,0.00000,0.00000,196
11/10/2008,2062.50000,-1,0.00000,4637.50000,197
11/11/2008,2637.50000,-1,225.00000,3375.00000,197
