Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,0.00000,0,0.00000,0.00000,0
04/02/2008,-1633.80000,-1,0.00000,4800.60000,31
04/03/2008,-493.00000,0,-33.60000,3166.80000,32
04/04/2008,-1454.80000,0,0.00000,2809.80000,34
04/05/2008,0.00000,0,0.00000,0.00000,34
04/06/2008,0.00000,0,0.00000,0.00000,34
04/07/2008,0.00000,0,0.00000,4872.00000,34
04/08/2008,-417.40000,0,0.00000,2436.00000,36
04/09/2008,-3899.20000,0,0.00000,6946.80000,38
04/10/2008,-10.00000,0,0.00000,5686.80000,40
04/11/2008,1444.80000,-1,0.00000,3439.80000,41
04/12/2008,0.00000,0,0.00000,0.00000,41
04/13/2008,0.00000,0,0.00000,0.00000,41
04/14/2008,-525.00000,-1,71.40000,1923.60000,41
04/15/2008,-2374.60000,0,-138.60000,3066.00000,42
04/16/2008,-147.00000,-1,0.00000,4132.80000,43
04/17/2008,567.00000,-1,-168.00000,2604.00000,43
04/18/2008,-530.80000,0,105.00000,3246.60000,44
04/19/2008,0.00000,0,0.00000,0.00000,44
04/20/2008,0.00000,0,0.00000,0.00000,44
04/21/2008,-67.20000,-1,0.00000,2952.60000,45
04/22/2008,-1345.60000,0,63.00000,2914.80000,46
04/23/2008,-210.00000,-1,0.00000,2087.40000,47
04/24/2008,2814.00000,-1,273.00000,3889.20000,47
04/25/2008,-2614.00000,0,0.00000,4670.40000,48
04/26/2008,0.00000,0,0.00000,0.00000,48
04/27/2008,0.00000,0,0.00000,0.00000,48
04/28/2008,907.20000,-1,0.00000,2070.60000,49
04/29/2008,2289.00000,-1,84.00000,2935.80000,49
04/30/2008,1940.40000,-1,-12.60000,5107.20000,49
05/01/2008,1598.60000,0,33.60000,5455.80000,50
05/02/2008,-3991.60000,0,0.00000,4998.00000,52
05/03/2008,0.00000,0,0.00000,0.00000,52
05/04/2008,0.00000,0,0.00000,0.00000,52
05/05/2008,-3722.80000,0,0.00000,5355.00000,54
05/06/2008,2150.40000,1,0.00000,3481.80000,55
05/07/2008,4464.60000,1,16.80000,4788.00000,55
05/08/2008,2877.00000,1,-84.00000,4174.80000,55
05/09/2008,2921.60000,0,-268.80000,5980.80000,56
05/10/2008,0.00000,0,0.00000,0.00000,56
05/11/2008,0.00000,0,0.00000,0.00000,56
05/12/2008,-392.20000,0,0.00000,4347.00000,58
05/13/2008,0.00000,0,0.00000,7228.20000,58
05/14/2008,3376.80000,-1,0.00000,4569.60000,59
05/15/2008,-659.40000,-1,193.20000,5930.40000,59
05/16/2008,-2727.40000,0,168.00000,3439.80000,60
05/17/2008,0.00000,0,0.00000,0.00000,60
05/18/2008,0.00000,0,0.00000,0.00000,60
