Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,1650.00000,-1,-25.00000,5600.00000,15
04/02/2008,-535.00000,0,0.00000,4050.00000,16
04/03/2008,1580.00000,1,0.00000,3225.00000,17
04/04/2008,2025.00000,1,200.00000,3025.00000,17
04/05/2008,0.00000,0,0.00000,0.00000,17
04/06/2008,0.00000,0,0.00000,0.00000,17
04/07/2008,2215.00000,0,75.00000,2775.00000,18
04/08/2008,-1280.00000,0,0.00000,4000.00000,20
04/09/2008,0.00000,0,0.00000,5125.00000,20
04/10/2008,0.00000,0,0.00000,3125.00000,20
04/11/2008,1845.00000,-1,0.00000,3475.00000,21
04/12/2008,0.00000,0,0.00000,0.00000,21
04/13/2008,0.00000,0,0.00000,0.00000,21
04/14/2008,200.00000,-1,425.00000,3250.00000,21
04/15/2008,-460.00000,0,-150.00000,2100.00000,22
04/16/2008,-115.00000,0,0.00000,4025.00000,24
04/17/2008,2470.00000,-1,0.00000,3000.00000,25
04/18/2008,1925.00000,-1,50.00000,5525.00000,25
04/19/2008,0.00000,0,0.00000,0.00000,25
04/20/2008,0.00000,0,0.00000,0.00000,25
04/21/2008,315.00000,0,-50.00000,3550.00000,26
04/22/2008,0.00000,0,0.00000,3350.00000,26
04/23/2008,-305.00000,0,0.00000,4400.00000,28
04/24/2008,0.00000,0,0.00000,2950.00000,28
04/25/2008,0.00000,0,0.00000,2550.00000,28
04/26/2008,0.00000,0,0.00000,0.00000,28
04/27/2008,0.00000,0,0.00000,0.00000,28
04/28/2008,0.00000,0,0.00000,1800.00000,28
04/29/2008,30.00000,1,0.00000,3050.00000,29
04/30/2008,-40.00000,0,-50.00000,2525.00000,30
05/01/2008,-1580.00000,0,0.00000,5325.00000,32
05/02/2008,-365.00000,0,0.00000,2300.00000,34
05/03/2008,0.00000,0,0.00000,0.00000,34
05/04/2008,0.00000,0,0.00000,0.00000,34
05/05/2008,0.00000,0,0.00000,2125.00000,34
05/06/2008,805.00000,1,0.00000,1800.00000,35
05/07/2008,-1160.00000,0,-50.00000,2250.00000,36
05/08/2008,0.00000,0,0.00000,2550.00000,36
05/09/2008,0.00000,0,0.00000,3025.00000,36
05/10/2008,0.00000,0,0.00000,0.00000,36
05/11/2008,0.00000,0,0.00000,0.00000,36
05/12/2008,2455.00000,1,0.00000,3275.00000,37
05/13/2008,-2225.00000,1,25.00000,3775.00000,37
05/14/2008,-240.00000,0,-75.00000,2000.00000,38
05/15/2008,-165.00000,0,0.00000,2425.00000,40
05/16/2008,-165.00000,0,0.00000,1825.00000,42
05/17/2008,0.00000,0,0.00000,0.00000,42
05/18/2008,0.00000,0,0.00000,0.00000,42
05/19/2008,0.00000,0,0.00000,2125.00000,42
05/20/2008,-2590.00000,0,0.00000,3975.00000,44
05/21/2008,-990.00000,0,0.00000,2750.00000,46
05/22/2008,430.00000,1,0.00000,2325.00000,47
05/23/2008,1175.00000,1,-75.00000,2275.00000,47
05/24/2008,0.00000,0,0.00000,0.00000,47
05/25/2008,0.00000,0,0.00000,0.00000,47
05/26/2008,215.00000,0,125.00000,925.00000,48
05/27/2008,0.00000,0,0.00000,4725.00000,48
05/28/2008,1255.00000,1,0.00000,3075.00000,49
05/29/2008,-4060.00000,0,175.00000,5450.00000,50
05/30/2008,0.00000,0,0.00000,2550.00000,50
05/31/2008,0.00000,0,0.00000,0.00000,50
06/01/2008,0.00000,0,0.00000,0.00000,50
06/02/2008,0.00000,0,0.00000,2175.00000,50
06/03/2008,0.00000,0,0.00000,2475.00000,50
06/04/2008,0.00000,0,0.00000,1700.00000,50
06/05/2008,3405.00000,1,0.00000,3600.00000,51
06/06/2008,1725.00000,1,0.00000,2325.00000,51
06/07/2008,0.00000,0,0.00000,0.00000,51
06/08/2008,0.00000,0,0.00000,0.00000,51
06/09/2008,-860.00000,0,125.00000,2825.00000,52
06/10/2008,0.00000,0,0.00000,3550.00000,52
06/11/2008,0.00000,0,0.00000,2000.00000,52
06/12/2008,5.00000,1,0.00000,3375.00000,53
06/13/2008,-15.00000,0,50.00000,1750.00000,54
06/14/2008,0.00000,0,0.00000,0.00000,54
06/15/2008,0.00000,0,0.00000,0.00000,54
06/16/2008,-1815.00000,0,0.00000,5350.00000,56
06/17/2008,0.00000,0,0.00000,2800.00000,56
06/18/2008,0.00000,0,0.00000,2625.00000,56
06/19/2008,0.00000,0,0.00000,3025.00000,56
06/20/2008,0.00000,0,0.00000,1700.00000,56
06/21/2008,0.00000,0,0.00000,0.00000,56
06/22/2008,0.00000,0,0.00000,0.00000,56
06/23/2008,-3510.00000,0,0.00000,4975.00000,58
06/24/2008,0.00000,0,0.00000,1750.00000,58
06/25/2008,0.00000,0,0.00000,1800.00000,58
