Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,-987.50000,-1,1512.50000,6175.00000,43
04/02/2008,-1350.00000,-1,-262.50000,2987.50000,43
04/03/2008,902.50000,1,-312.50000,1587.50000,45
04/04/2008,850.00000,1,75.00000,1225.00000,45
04/05/2008,0.00000,0,0.00000,0.00000,45
04/06/2008,0.00000,0,0.00000,0.00000,45
04/07/2008,-1125.00000,1,-12.50000,2500.00000,45
04/08/2008,277.50000,0,-425.00000,1200.00000,46
04/09/2008,0.00000,0,0.00000,3425.00000,46
04/10/2008,1650.00000,1,0.00000,3325.00000,47
04/11/2008,-1250.00000,1,-100.00000,1675.00000,47
04/12/2008,0.00000,0,0.00000,0.00000,47
04/13/2008,0.00000,0,0.00000,0.00000,47
04/14/2008,-1395.00000,0,662.50000,2825.00000,50
04/15/2008,-12.50000,1,0.00000,1450.00000,51
04/16/2008,2.50000,0,75.00000,2925.00000,52
04/17/2008,0.00000,0,0.00000,2025.00000,52
04/18/2008,375.00000,-1,0.00000,2762.50000,53
04/19/2008,0.00000,0,0.00000,0.00000,53
04/20/2008,0.00000,0,0.00000,0.00000,53
04/21/2008,2300.00000,-1,0.00000,3650.00000,53
04/22/2008,-2685.00000,0,-87.50000,3900.00000,54
04/23/2008,0.00000,0,0.00000,1787.50000,54
04/24/2008,1287.50000,-1,0.00000,2062.50000,55
04/25/2008,1250.00000,-1,100.00000,2050.00000,55
04/26/2008,0.00000,0,0.00000,0.00000,55
04/27/2008,0.00000,0,0.00000,0.00000,55
04/28/2008,1800.00000,-1,-375.00000,3937.50000,55
04/29/2008,-107.50000,0,-275.00000,1437.50000,58
04/30/2008,-537.50000,-1,0.00000,3437.50000,59
05/01/2008,1850.00000,-1,-400.00000,4125.00000,59
05/02/2008,-1322.50000,0,100.00000,2537.50000,60
05/03/2008,0.00000,0,0.00000,0.00000,60
05/04/2008,0.00000,0,0.00000,0.00000,60
05/05/2008,1000.00000,-1,0.00000,1575.00000,61
05/06/2008,-1660.00000,0,-137.50000,3100.00000,62
05/07/2008,0.00000,0,0.00000,1812.50000,62
05/08/2008,400.00000,1,0.00000,1175.00000,63
05/09/2008,2350.00000,1,25.00000,2962.50000,63
05/10/2008,0.00000,0,0.00000,0.00000,63
05/11/2008,0.00000,0,0.00000,0.00000,63
05/12/2008,-900.00000,1,475.00000,1862.50000,63
05/13/2008,765.00000,0,412.50000,2387.50000,64
05/14/2008,0.00000,0,0.00000,1075.00000,64
05/15/2008,-950.00000,1,0.00000,3450.00000,65
05/16/2008,940.00000,0,175.00000,2750.00000,66
05/17/2008,0.00000,0,0.00000,0.00000,66
05/18/2008,0.00000,0,0.00000,0.00000,66
05/19/2008,-1035.00000,0,0.00000,2875.00000,68
05/20/2008,-1272.50000,0,0.00000,2025.00000,70
05/21/2008,0.00000,0,0.00000,1600.00000,70
05/22/2008,0.00000,0,0.00000,2737.50000,70
05/23/2008,0.00000,0,0.00000,2462.50000,70
05/24/2008,0.00000,0,0.00000,0.00000,70
05/25/2008,0.00000,0,0.00000,0.00000,70
05/26/2008,0.00000,0,0.00000,0.00000,70
05/27/2008,1825.00000,-1,0.00000,2500.00000,71
05/28/2008,-1125.00000,-1,200.00000,2425.00000,71
05/29/2008,2400.00000,-1,-37.50000,3412.50000,71
05/30/2008,15.00000,0,375.00000,2850.00000,72
05/31/2008,0.00000,0,0.00000,0.00000,72
06/01/2008,0.00000,0,0.00000,0.00000,72
06/02/2008,212.50000,1,0.00000,1575.00000,73
06/03/2008,-222.50000,0,87.50000,1875.00000,74
06/04/2008,0.00000,0,0.00000,2575.00000,74
06/05/2008,0.00000,0,0.00000,3287.50000,74
06/06/2008,-1260.00000,0,0.00000,2000.00000,76
06/07/2008,0.00000,0,0.00000,0.00000,76
06/08/2008,0.00000,0,0.00000,0.00000,76
06/09/2008,1687.50000,-1,0.00000,2150.00000,77
06/10/2008,200.00000,-1,-25.00000,2337.50000,77
06/11/2008,-1897.50000,0,-225.00000,3375.00000,78
06/12/2008,0.00000,0,0.00000,2725.00000,78
06/13/2008,-800.00000,-1,0.00000,2575.00000,79
06/14/2008,0.00000,0,0.00000,0.00000,79
06/15/2008,0.00000,0,0.00000,0.00000,79
06/16/2008,-85.00000,0,-900.00000,3475.00000,80
06/17/2008,-60.00000,0,0.00000,2137.50000,82
06/18/2008,575.00000,-1,0.00000,1625.00000,83
06/19/2008,775.00000,-1,125.00000,2600.00000,83
06/20/2008,700.00000,-1,50.00000,2225.00000,83
06/21/2008,0.00000,0,0.00000,0.00000,83
06/22/2008,0.00000,0,0.00000,0.00000,83
06/23/2008,490.00000,0,450.00000,2050.00000,84
06/24/2008,-597.50000,0,0.00000,1737.50000,86
06/25/2008,0.00000,0,0.00000,2387.50000,86
06/26/2008,0.00000,0,0.00000,2225.00000,86
06/27/2008,-62.50000,-1,0.00000,1025.00000,87
06/28/2008,0.00000,0,0.00000,0.00000,87
06/29/2008,0.00000,0,0.00000,0.00000,87
06/30/2008,-950.00000,-1,100.00000,2275.00000,87
07/01/2008,102.50000,0,112.50000,1725.00000,88
07/02/2008,-100.00000,-1,0.00000,1787.50000,89
07/03/2008,-750.00000,-1,-350.00000,2162.50000,89
07/04/2008,0.00000,0,0.00000,0.00000,89
07/05/2008,0.00000,0,0.00000,0.00000,89
07/06/2008,0.00000,0,0.00000,0.00000,89
07/07/2008,3600.00000,-1,925.00000,3600.00000,89
07/08/2008,640.00000,0,100.00000,3825.00000,90
07/09/2008,-222.50000,0,0.00000,1287.50000,92
07/10/2008,1362.50000,1,0.00000,2050.00000,93
07/11/2008,800.00000,1,-37.50000,2600.00000,93
07/12/2008,0.00000,0,0.00000,0.00000,93
07/13/2008,0.00000,0,0.00000,0.00000,93
07/14/2008,-2172.50000,0,-400.00000,2375.00000,94
07/15/2008,0.00000,0,0.00000,3337.50000,94
07/16/2008,-1225.00000,-1,0.00000,3387.50000,95
07/17/2008,777.50000,0,-12.50000,3625.00000,96
07/18/2008,-572.50000,0,0.00000,3050.00000,98
07/19/2008,0.00000,0,0.00000,0.00000,98
07/20/2008,0.00000,0,0.00000,0.00000,98
07/21/2008,2025.00000,-1,0.00000,2800.00000,99
07/22/2008,-275.00000,-1,-50.00000,2025.00000,99
07/23/2008,1250.00000,-1,12.50000,2462.50000,99
07/24/2008,-310.00000,0,275.00000,2062.50000,100
07/25/2008,-422.50000,0,0.00000,1837.50000,102
07/26/2008,0.00000,0,0.00000,0.00000,102
07/27/2008,0.00000,0,0.00000,0.00000,102
07/28/2008,-1022.50000,0,0.00000,2012.50000,104
