Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,-160.00000,1,0.00000,6175.00000,83
04/02/2008,-845.00000,1,262.50000,2987.50000,85
04/03/2008,-630.00000,0,312.50000,1587.50000,87
04/04/2008,-380.00000,1,0.00000,1225.00000,90
04/05/2008,0.00000,0,0.00000,0.00000,90
04/06/2008,0.00000,0,0.00000,0.00000,90
04/07/2008,-1125.00000,1,-12.50000,2500.00000,90
04/08/2008,-25.00000,1,-425.00000,1200.00000,90
04/09/2008,202.50000,0,100.00000,3425.00000,91
04/10/2008,0.00000,0,0.00000,3325.00000,91
04/11/2008,-372.50000,1,0.00000,1675.00000,92
04/12/2008,0.00000,0,0.00000,0.00000,92
04/13/2008,0.00000,0,0.00000,0.00000,92
04/14/2008,20.00000,0,662.50000,2825.00000,94
04/15/2008,-572.50000,1,0.00000,1450.00000,95
04/16/2008,-357.50000,1,75.00000,2925.00000,97
04/17/2008,1017.50000,-1,450.00000,2025.00000,98
04/18/2008,-600.00000,-1,-187.50000,2762.50000,98
04/19/2008,0.00000,0,0.00000,0.00000,98
04/20/2008,0.00000,0,0.00000,0.00000,98
04/21/2008,2650.00000,0,0.00000,3650.00000,99
04/22/2008,327.50000,1,0.00000,3900.00000,100
04/23/2008,-400.00000,1,-25.00000,1787.50000,100
04/24/2008,1655.00000,-1,-112.50000,2062.50000,101
04/25/2008,987.50000,0,100.00000,2050.00000,102
04/26/2008,0.00000,0,0.00000,0.00000,102
04/27/2008,0.00000,0,0.00000,0.00000,102
04/28/2008,2490.00000,0,0.00000,3937.50000,104
04/29/2008,27.50000,1,0.00000,1437.50000,105
04/30/2008,965.00000,1,12.50000,3437.50000,107
05/01/2008,2955.00000,0,400.00000,4125.00000,109
05/02/2008,-1767.50000,1,0.00000,2537.50000,112
05/03/2008,0.00000,0,0.00000,0.00000,112
05/04/2008,0.00000,0,0.00000,0.00000,112
05/05/2008,102.50000,0,112.50000,1575.00000,113
05/06/2008,-997.50000,1,0.00000,3100.00000,114
05/07/2008,1525.00000,1,50.00000,1812.50000,114
05/08/2008,-122.50000,0,125.00000,1175.00000,115
05/09/2008,0.00000,0,0.00000,2962.50000,115
05/10/2008,0.00000,0,0.00000,0.00000,115
05/11/2008,0.00000,0,0.00000,0.00000,115
05/12/2008,1177.50000,-1,0.00000,1862.50000,116
05/13/2008,-170.00000,1,-412.50000,2387.50000,118
05/14/2008,50.00000,1,150.00000,1075.00000,118
05/15/2008,2117.50000,0,50.00000,3450.00000,120
05/16/2008,-1442.50000,1,0.00000,2750.00000,123
05/17/2008,0.00000,0,0.00000,0.00000,123
05/18/2008,0.00000,0,0.00000,0.00000,123
05/19/2008,-1060.00000,0,-87.50000,2875.00000,124
05/20/2008,-447.50000,1,0.00000,2025.00000,125
05/21/2008,1000.00000,1,-37.50000,1600.00000,125
05/22/2008,3227.50000,0,12.50000,2737.50000,128
05/23/2008,-1342.50000,1,0.00000,2462.50000,131
05/24/2008,0.00000,0,0.00000,0.00000,131
05/25/2008,0.00000,0,0.00000,0.00000,131
05/26/2008,0.00000,0,0.00000,0.00000,131
05/27/2008,1012.50000,0,850.00000,2500.00000,132
05/28/2008,290.00000,1,0.00000,2425.00000,133
05/29/2008,2067.50000,0,37.50000,3412.50000,135
05/30/2008,-1555.00000,1,0.00000,2850.00000,138
05/31/2008,0.00000,0,0.00000,0.00000,138
06/01/2008,0.00000,0,0.00000,0.00000,138
06/02/2008,-447.50000,0,-250.00000,1575.00000,139
06/03/2008,715.00000,1,0.00000,1875.00000,140
06/04/2008,730.00000,1,-50.00000,2575.00000,143
06/05/2008,362.50000,0,-75.00000,3287.50000,143
06/06/2008,-210.00000,1,0.00000,2000.00000,144
06/07/2008,0.00000,0,0.00000,0.00000,144
06/08/2008,0.00000,0,0.00000,0.00000,144
06/09/2008,1500.00000,0,512.50000,2150.00000,145
06/10/2008,0.00000,0,0.00000,2337.50000,145
06/11/2008,-10.00000,1,0.00000,3375.00000,146
06/12/2008,640.00000,0,712.50000,2725.00000,147
06/13/2008,90.00000,1,0.00000,2575.00000,148
06/14/2008,0.00000,0,0.00000,0.00000,148
06/15/2008,0.00000,0,0.00000,0.00000,148
06/16/2008,1200.00000,0,900.00000,3475.00000,149
06/17/2008,252.50000,1,0.00000,2137.50000,150
06/18/2008,112.50000,1,237.50000,1625.00000,150
06/19/2008,-135.00000,0,-125.00000,2600.00000,151
06/20/2008,0.00000,0,0.00000,2225.00000,151
06/21/2008,0.00000,0,0.00000,0.00000,151
06/22/2008,0.00000,0,0.00000,0.00000,151
06/23/2008,0.00000,0,0.00000,2050.00000,151
06/24/2008,15.00000,1,0.00000,1737.50000,152
06/25/2008,1275.00000,0,-187.50000,2387.50000,153
06/26/2008,0.00000,0,0.00000,2225.00000,153
06/27/2008,152.50000,1,0.00000,1025.00000,154
06/28/2008,0.00000,0,0.00000,0.00000,154
06/29/2008,0.00000,0,0.00000,0.00000,154
06/30/2008,402.50000,0,-100.00000,2275.00000,155
07/01/2008,490.00000,1,0.00000,1725.00000,156
07/02/2008,800.00000,0,0.00000,1787.50000,157
07/03/2008,0.00000,0,0.00000,2162.50000,157
07/04/2008,0.00000,0,0.00000,0.00000,157
07/05/2008,0.00000,0,0.00000,0.00000,157
07/06/2008,0.00000,0,0.00000,0.00000,157
07/07/2008,2377.50000,-1,0.00000,3600.00000,159
07/08/2008,112.50000,0,100.00000,3825.00000,159
07/09/2008,252.50000,1,0.00000,1287.50000,160
07/10/2008,-397.50000,0,0.00000,2050.00000,161
07/11/2008,0.00000,0,0.00000,2600.00000,161
07/12/2008,0.00000,0,0.00000,0.00000,161
07/13/2008,0.00000,0,0.00000,0.00000,161
07/14/2008,0.00000,0,0.00000,2375.00000,161
07/15/2008,-60.00000,1,0.00000,3337.50000,162
07/16/2008,1350.00000,0,-175.00000,3387.50000,163
07/17/2008,2490.00000,0,0.00000,3625.00000,165
07/18/2008,2330.00000,1,0.00000,3050.00000,168
07/19/2008,0.00000,0,0.00000,0.00000,168
07/20/2008,0.00000,0,0.00000,0.00000,168
07/21/2008,1530.00000,-1,-550.00000,2800.00000,169
07/22/2008,15.00000,1,-50.00000,2025.00000,171
07/23/2008,-2020.00000,1,-12.50000,2462.50000,173
07/24/2008,1630.00000,-1,-275.00000,2062.50000,174
07/25/2008,-1495.00000,1,0.00000,1837.50000,175
07/26/2008,0.00000,0,0.00000,0.00000,175
07/27/2008,0.00000,0,0.00000,0.00000,175
07/28/2008,2195.00000,0,37.50000,2012.50000,177
07/29/2008,0.00000,0,0.00000,2575.00000,177
07/30/2008,215.00000,1,0.00000,1800.00000,178
07/31/2008,-130.00000,0,75.00000,1512.50000,180
08/01/2008,-235.00000,1,0.00000,2375.00000,181
08/02/2008,0.00000,0,0.00000,0.00000,181
08/03/2008,0.00000,0,0.00000,0.00000,181
08/04/2008,655.00000,-1,-450.00000,3425.00000,184
08/05/2008,-572.50000,1,512.50000,2787.50000,185
08/06/2008,-7.50000,1,-50.00000,3750.00000,187
08/07/2008,720.00000,0,262.50000,1850.00000,189
