Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,-987.50000,-1,1512.50000,6175.00000,3
04/02/2008,-1350.00000,-1,-262.50000,2987.50000,3
04/03/2008,-750.00000,-1,-312.50000,1587.50000,3
04/04/2008,-850.00000,-1,-75.00000,1225.00000,3
04/05/2008,0.00000,0,0.00000,0.00000,3
04/06/2008,0.00000,0,0.00000,0.00000,3
04/07/2008,1125.00000,-1,12.50000,2500.00000,4
04/08/2008,-1420.00000,1,425.00000,1200.00000,4
04/09/2008,3150.00000,1,100.00000,3425.00000,4
04/10/2008,2000.00000,1,50.00000,3325.00000,4
04/11/2008,-1250.00000,1,-100.00000,1675.00000,4
04/12/2008,0.00000,0,0.00000,0.00000,4
04/13/2008,0.00000,0,0.00000,0.00000,4
04/14/2008,2200.00000,1,662.50000,2825.00000,4
04/15/2008,150.00000,1,-25.00000,1450.00000,5
04/16/2008,-1195.00000,-1,75.00000,2925.00000,5
04/17/2008,-137.50000,-1,-450.00000,2025.00000,5
04/18/2008,-600.00000,-1,-187.50000,2762.50000,5
04/19/2008,0.00000,0,0.00000,0.00000,5
04/20/2008,0.00000,0,0.00000,0.00000,5
04/21/2008,2300.00000,-1,0.00000,3650.00000,6
04/22/2008,-495.00000,1,-87.50000,3900.00000,6
04/23/2008,-400.00000,1,-25.00000,1787.50000,6
04/24/2008,-1350.00000,1,-112.50000,2062.50000,7
04/25/2008,-1445.00000,-1,-100.00000,2050.00000,7
04/26/2008,0.00000,0,0.00000,0.00000,7
04/27/2008,0.00000,0,0.00000,0.00000,7
04/28/2008,1800.00000,-1,-375.00000,3937.50000,7
04/29/2008,275.00000,-1,-275.00000,1437.50000,8
04/30/2008,-3145.00000,1,-12.50000,3437.50000,9
05/01/2008,1080.00000,-1,400.00000,4125.00000,10
05/02/2008,-2170.00000,1,100.00000,2537.50000,10
05/03/2008,0.00000,0,0.00000,0.00000,10
05/04/2008,0.00000,0,0.00000,0.00000,10
05/05/2008,-875.00000,1,112.50000,1575.00000,10
