Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,0.00000,0,0.00000,0.00000,0
04/02/2008,0.00000,0,0.00000,0.00000,0
04/03/2008,0.00000,0,0.00000,0.00000,0
04/04/2008,0.00000,0,0.00000,0.00000,0
04/05/2008,0.00000,0,0.00000,0.00000,0
04/06/2008,0.00000,0,0.00000,0.00000,0
04/07/2008,0.00000,0,0.00000,0.00000,0
04/08/2008,0.00000,0,0.00000,0.00000,0
04/09/2008,0.00000,0,0.00000,0.00000,0
04/10/2008,0.00000,0,0.00000,0.00000,0
04/11/2008,0.00000,0,0.00000,0.00000,0
04/12/2008,0.00000,0,0.00000,0.00000,0
04/13/2008,0.00000,0,0.00000,0.00000,0
04/14/2008,0.00000,0,0.00000,0.00000,0
04/15/2008,0.00000,0,0.00000,0.00000,0
04/16/2008,0.00000,0,0.00000,0.00000,0
04/17/2008,0.00000,0,0.00000,0.00000,0
04/18/2008,0.00000,0,0.00000,0.00000,0
04/19/2008,0.00000,0,0.00000,0.00000,0
04/20/2008,0.00000,0,0.00000,0.00000,0
04/21/2008,0.00000,0,0.00000,0.00000,0
04/22/2008,0.00000,0,0.00000,0.00000,0
04/23/2008,1760.00000,-1,0.00000,4400.00000,1
04/24/2008,1875.00000,-1,-50.00000,2950.00000,1
04/25/2008,-625.00000,-1,-25.00000,2550.00000,1
04/26/2008,0.00000,0,0.00000,0.00000,1
04/27/2008,0.00000,0,0.00000,0.00000,1
04/28/2008,-700.00000,-1,50.00000,1800.00000,1
04/29/2008,2350.00000,-1,-175.00000,3050.00000,1
04/30/2008,-1600.00000,-1,50.00000,2525.00000,1
05/01/2008,-3525.00000,0,175.00000,5325.00000,3
05/02/2008,0.00000,0,0.00000,2300.00000,3
05/03/2008,0.00000,0,0.00000,0.00000,3
05/04/2008,0.00000,0,0.00000,0.00000,3
05/05/2008,0.00000,0,0.00000,2125.00000,3
05/06/2008,0.00000,0,0.00000,1800.00000,3
05/07/2008,0.00000,0,0.00000,2250.00000,3
05/08/2008,0.00000,0,0.00000,2550.00000,3
05/09/2008,0.00000,0,0.00000,3025.00000,3
05/10/2008,0.00000,0,0.00000,0.00000,3
05/11/2008,0.00000,0,0.00000,0.00000,3
05/12/2008,0.00000,0,0.00000,3275.00000,3
05/13/2008,0.00000,0,0.00000,3775.00000,3
05/14/2008,0.00000,0,0.00000,2000.00000,3
05/15/2008,0.00000,0,0.00000,2425.00000,3
05/16/2008,0.00000,0,0.00000,1825.00000,3
05/17/2008,0.00000,0,0.00000,0.00000,3
05/18/2008,0.00000,0,0.00000,0.00000,3
05/19/2008,0.00000,0,0.00000,2125.00000,3
05/20/2008,0.00000,0,0.00000,3975.00000,3
05/21/2008,1520.00000,1,0.00000,2750.00000,4
05/22/2008,-100.00000,1,275.00000,2325.00000,4
05/23/2008,1175.00000,1,-75.00000,2275.00000,4
05/24/2008,0.00000,0,0.00000,0.00000,4
05/25/2008,0.00000,0,0.00000,0.00000,4
05/26/2008,575.00000,1,125.00000,925.00000,4
05/27/2008,-4600.00000,1,-75.00000,4725.00000,4
05/28/2008,-1590.00000,0,275.00000,3075.00000,5
05/29/2008,0.00000,0,0.00000,5450.00000,5
05/30/2008,0.00000,0,0.00000,2550.00000,5
05/31/2008,0.00000,0,0.00000,0.00000,5
06/01/2008,0.00000,0,0.00000,0.00000,5
06/02/2008,0.00000,0,0.00000,2175.00000,5
06/03/2008,0.00000,0,0.00000,2475.00000,5
06/04/2008,0.00000,0,0.00000,1700.00000,5
06/05/2008,-2365.00000,-1,0.00000,3600.00000,6
06/06/2008,1765.00000,1,0.00000,2325.00000,7
06/07/2008,0.00000,0,0.00000,0.00000,7
06/08/2008,0.00000,0,0.00000,0.00000,7
06/09/2008,-2075.00000,1,125.00000,2825.00000,7
06/10/2008,-2690.00000,0,150.00000,3550.00000,8
06/11/2008,0.00000,0,0.00000,2000.00000,8
06/12/2008,1160.00000,-1,0.00000,3375.00000,9
06/13/2008,-375.00000,-1,-50.00000,1750.00000,9
06/14/2008,0.00000,0,0.00000,0.00000,9
06/15/2008,0.00000,0,0.00000,0.00000,9
06/16/2008,-3805.00000,0,-125.00000,5350.00000,10
06/17/2008,0.00000,0,0.00000,2800.00000,10
06/18/2008,0.00000,0,0.00000,2625.00000,10
06/19/2008,0.00000,0,0.00000,3025.00000,10
06/20/2008,0.00000,0,0.00000,1700.00000,10
06/21/2008,0.00000,0,0.00000,0.00000,10
06/22/2008,0.00000,0,0.00000,0.00000,10
06/23/2008,2710.00000,-1,0.00000,4975.00000,11
06/24/2008,625.00000,-1,100.00000,1750.00000,11
06/25/2008,-450.00000,-1,-75.00000,1800.00000,11
06/26/2008,1640.00000,1,50.00000,3750.00000,12
06/27/2008,1850.00000,1,75.00000,2725.00000,12
06/28/2008,0.00000,0,0.00000,0.00000,12
06/29/2008,0.00000,0,0.00000,0.00000,12
06/30/2008,-600.00000,1,225.00000,3450.00000,12
07/01/2008,3420.00000,0,0.00000,4250.00000,13
07/02/2008,1045.00000,1,0.00000,2550.00000,14
07/03/2008,-725.00000,1,-125.00000,2575.00000,14
07/04/2008,-625.00000,1,175.00000,1450.00000,14
07/05/2008,0.00000,0,0.00000,0.00000,14
07/06/2008,0.00000,0,0.00000,0.00000,14
07/07/2008,-2715.00000,0,100.00000,3025.00000,15
07/08/2008,0.00000,0,0.00000,2475.00000,15
07/09/2008,0.00000,0,0.00000,2100.00000,15
07/10/2008,590.00000,1,0.00000,1475.00000,16
07/11/2008,2775.00000,1,75.00000,3275.00000,16
07/12/2008,0.00000,0,0.00000,0.00000,16
07/13/2008,0.00000,0,0.00000,0.00000,16
07/14/2008,1275.00000,1,175.00000,3625.00000,16
07/15/2008,1870.00000,0,25.00000,4700.00000,17
07/16/2008,0.00000,0,0.00000,2550.00000,17
07/17/2008,685.00000,-1,0.00000,4125.00000,18
07/18/2008,2150.00000,-1,175.00000,2925.00000,18
07/19/2008,0.00000,0,0.00000,0.00000,18
07/20/2008,0.00000,0,0.00000,0.00000,18
07/21/2008,-1500.00000,-1,-175.00000,1775.00000,18
07/22/2008,-3625.00000,0,-100.00000,4325.00000,20
07/23/2008,0.00000,0,0.00000,3675.00000,20
07/24/2008,0.00000,0,0.00000,2700.00000,20
07/25/2008,0.00000,0,0.00000,3175.00000,20
07/26/2008,0.00000,0,0.00000,0.00000,20
07/27/2008,0.00000,0,0.00000,0.00000,20
07/28/2008,0.00000,0,0.00000,1550.00000,20
07/29/2008,85.00000,-1,0.00000,2900.00000,21
07/30/2008,-700.00000,-1,-100.00000,3950.00000,21
07/31/2008,590.00000,1,-150.00000,2625.00000,22
08/01/2008,-1275.00000,1,75.00000,2625.00000,22
08/02/2008,0.00000,0,0.00000,0.00000,22
08/03/2008,0.00000,0,0.00000,0.00000,22
08/04/2008,-2615.00000,0,200.00000,3725.00000,23
08/05/2008,0.00000,0,0.00000,3025.00000,23
08/06/2008,0.00000,0,0.00000,1725.00000,23
08/07/2008,0.00000,0,0.00000,3375.00000,23
08/08/2008,0.00000,0,0.00000,5000.00000,23
08/09/2008,0.00000,0,0.00000,0.00000,23
08/10/2008,0.00000,0,0.00000,0.00000,23
08/11/2008,0.00000,0,0.00000,4500.00000,23
08/12/2008,0.00000,0,0.00000,4075.00000,23
08/13/2008,0.00000,0,0.00000,2900.00000,23
08/14/2008,0.00000,0,0.00000,5000.00000,23
08/15/2008,0.00000,0,0.00000,9950.00000,23
08/16/2008,0.00000,0,0.00000,0.00000,23
08/17/2008,0.00000,0,0.00000,0.00000,23
08/18/2008,0.00000,0,0.00000,3075.00000,23
08/19/2008,-3020.00000,0,0.00000,4675.00000,25
08/20/2008,-505.00000,1,0.00000,3050.00000,26
08/21/2008,2950.00000,1,75.00000,3450.00000,26
08/22/2008,-2475.00000,1,125.00000,3225.00000,26
08/23/2008,0.00000,0,0.00000,0.00000,26
08/24/2008,0.00000,0,0.00000,0.00000,26
08/25/2008,675.00000,1,100.00000,2300.00000,26
08/26/2008,475.00000,1,-25.00000,3825.00000,26
08/27/2008,-550.00000,1,0.00000,2250.00000,26
08/28/2008,1060.00000,1,210.00000,2860.00000,26
08/29/2008,-275.00000,1,25.00000,1800.00000,26
08/30/2008,0.00000,0,0.00000,0.00000,26
08/31/2008,0.00000,0,0.00000,0.00000,26
09/01/2008,300.00000,-1,800.00000,2350.00000,27
09/02/2008,1900.00000,-1,-25.00000,4950.00000,27
09/03/2008,825.00000,-1,75.00000,2975.00000,27
09/04/2008,800.00000,-1,100.00000,2825.00000,27
09/05/2008,2365.00000,0,-350.00000,5350.00000,28
09/06/2008,0.00000,0,0.00000,0.00000,28
09/07/2008,0.00000,0,0.00000,0.00000,28
09/08/2008,0.00000,0,0.00000,4275.00000,28
09/09/2008,0.00000,0,0.00000,4725.00000,28
09/10/2008,0.00000,0,0.00000,4850.00000,28
09/11/2008,0.00000,0,0.00000,3625.00000,28
09/12/2008,0.00000,0,0.00000,2025.00000,28
09/13/2008,0.00000,0,0.00000,0.00000,28
09/14/2008,0.00000,0,0.00000,0.00000,28
09/15/2008,0.00000,0,0.00000,4150.00000,28
09/16/2008,0.00000,0,0.00000,3975.00000,28
09/17/2008,0.00000,0,0.00000,8675.00000,28
09/18/2008,-495.00000,1,0.00000,6700.00000,29
09/19/2008,3350.00000,1,125.00000,4625.00000,29
09/20/2008,0.00000,0,0.00000,0.00000,29
09/21/2008,0.00000,0,0.00000,0.00000,29
09/22/2008,3635.00000,0,-125.00000,5675.00000,30
09/23/2008,-1295.00000,1,0.00000,3500.00000,31
09/24/2008,-225.00000,1,50.00000,2975.00000,31
09/25/2008,-500.00000,-1,100.00000,3900.00000,32
09/26/2008,-600.00000,-1,-175.00000,3125.00000,32
09/27/2008,0.00000,0,0.00000,0.00000,32
09/28/2008,0.00000,0,0.00000,0.00000,32
09/29/2008,1125.00000,-1,475.00000,3700.00000,32
09/30/2008,6165.00000,0,-225.00000,7425.00000,33
10/01/2008,0.00000,0,0.00000,5175.00000,33
10/02/2008,6705.00000,-1,0.00000,9025.00000,36
10/03/2008,-3245.00000,0,-50.00000,4750.00000,37
10/04/2008,0.00000,0,0.00000,0.00000,37
10/05/2008,0.00000,0,0.00000,0.00000,37
10/06/2008,0.00000,0,0.00000,3150.00000,37
10/07/2008,0.00000,0,0.00000,4475.00000,37
10/08/2008,0.00000,0,0.00000,3425.00000,37
10/09/2008,0.00000,0,0.00000,3375.00000,37
10/10/2008,-3020.00000,0,0.00000,14775.00000,39
10/11/2008,0.00000,0,0.00000,0.00000,39
10/12/2008,0.00000,0,0.00000,0.00000,39
10/13/2008,0.00000,0,0.00000,4200.00000,39
10/14/2008,0.00000,0,0.00000,2425.00000,39
10/15/2008,0.00000,0,0.00000,5475.00000,39
10/16/2008,0.00000,0,0.00000,5575.00000,39
10/17/2008,0.00000,0,0.00000,4200.00000,39
10/18/2008,0.00000,0,0.00000,0.00000,39
10/19/2008,0.00000,0,0.00000,0.00000,39
10/20/2008,0.00000,0,0.00000,2825.00000,39
10/21/2008,0.00000,0,0.00000,3275.00000,39
10/22/2008,0.00000,0,0.00000,4075.00000,39
10/23/2008,0.00000,0,0.00000,3625.00000,39
10/24/2008,0.00000,0,0.00000,5750.00000,39
10/25/2008,0.00000,0,0.00000,0.00000,39
10/26/2008,0.00000,0,0.00000,0.00000,39
10/27/2008,0.00000,0,0.00000,4125.00000,39
10/28/2008,-1925.00000,-1,0.00000,4475.00000,40
10/29/2008,-1095.00000,0,-25.00000,5825.00000,41
10/30/2008,0.00000,0,0.00000,5400.00000,41
10/31/2008,0.00000,0,0.00000,3825.00000,41
11/01/2008,0.00000,0,0.00000,0.00000,41
11/02/2008,0.00000,0,0.00000,0.00000,41
11/03/2008,0.00000,0,0.00000,3300.00000,41
11/04/2008,0.00000,0,0.00000,4200.00000,41
11/05/2008,0.00000,0,0.00000,2825.00000,41
11/06/2008,0.00000,0,0.00000,4750.00000,41
11/07/2008,0.00000,0,0.00000,1950.00000,41
11/08/2008,0.00000,0,0.00000,0.00000,41
11/09/2008,0.00000,0,0.00000,0.00000,41
11/10/2008,0.00000,0,0.00000,2625.00000,41
11/11/2008,0.00000,0,0.00000,3475.00000,41
11/12/2008,0.00000,0,0.00000,3100.00000,41
11/13/2008,0.00000,0,0.00000,3700.00000,41
11/14/2008,155.00000,1,0.00000,2575.00000,42
11/15/2008,0.00000,0,0.00000,0.00000,42
11/16/2008,0.00000,0,0.00000,0.00000,42
11/17/2008,-1275.00000,1,-400.00000,2275.00000,42
11/18/2008,-2025.00000,-1,25.00000,3125.00000,43
11/19/2008,-1120.00000,0,-100.00000,3225.00000,44
11/20/2008,0.00000,0,0.00000,3250.00000,44
11/21/2008,0.00000,0,0.00000,3800.00000,44
11/22/2008,0.00000,0,0.00000,0.00000,44
11/23/2008,0.00000,0,0.00000,0.00000,44
11/24/2008,4630.00000,1,0.00000,6100.00000,45
