Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,0.00000,0,0.00000,0.00000,0
04/02/2008,0.00000,0,0.00000,0.00000,0
04/03/2008,0.00000,0,0.00000,0.00000,0
04/04/2008,0.00000,0,0.00000,0.00000,0
04/05/2008,0.00000,0,0.00000,0.00000,0
04/06/2008,0.00000,0,0.00000,0.00000,0
04/07/2008,0.00000,0,0.00000,0.00000,0
04/08/2008,0.00000,0,0.00000,0.00000,0
04/09/2008,2250.00000,2,0.00000,2275.00000,11
04/10/2008,-2800.00000,2,-25.00000,2787.50000,11
04/11/2008,2550.00000,2,-25.00000,1962.50000,11
04/12/2008,0.00000,0,0.00000,0.00000,11
04/13/2008,350.00000,2,-600.00000,937.50000,11
04/14/2008,-1100.00000,2,25.00000,1462.50000,11
04/15/2008,-725.00000,2,0.00000,1387.50000,11
04/16/2008,-775.00000,2,-25.00000,1575.00000,11
04/17/2008,-1025.00000,2,0.00000,1237.50000,11
04/18/2008,-2475.00000,0,-25.00000,2800.00000,12
04/19/2008,0.00000,0,0.00000,0.00000,12
04/20/2008,0.00000,0,0.00000,500.00000,12
04/21/2008,0.00000,0,0.00000,1500.00000,12
04/22/2008,-1125.00000,2,0.00000,1025.00000,14
04/23/2008,-1625.00000,2,-25.00000,1250.00000,14
04/24/2008,-1125.00000,0,-25.00000,1425.00000,15
04/25/2008,0.00000,0,0.00000,1062.50000,15
04/26/2008,0.00000,0,0.00000,0.00000,15
04/27/2008,0.00000,0,0.00000,512.50000,15
04/28/2008,0.00000,0,0.00000,787.50000,15
04/29/2008,0.00000,0,0.00000,1350.00000,15
04/30/2008,0.00000,0,0.00000,1425.00000,15
05/01/2008,0.00000,0,0.00000,1462.50000,15
05/02/2008,0.00000,0,0.00000,1312.50000,15
05/03/2008,0.00000,0,0.00000,0.00000,15
05/04/2008,0.00000,0,0.00000,350.00000,15
05/05/2008,0.00000,0,0.00000,1162.50000,15
05/06/2008,25.00000,2,0.00000,1287.50000,16
05/07/2008,700.00000,2,0.00000,1612.50000,16
05/08/2008,2000.00000,2,0.00000,1312.50000,16
05/09/2008,1725.00000,2,0.00000,1225.00000,16
05/10/2008,0.00000,0,0.00000,0.00000,16
05/11/2008,-1450.00000,2,100.00000,1125.00000,16
05/12/2008,-1100.00000,2,25.00000,900.00000,16
05/13/2008,-2050.00000,2,0.00000,1775.00000,16
05/14/2008,-550.00000,2,25.00000,825.00000,16
05/15/2008,675.00000,2,0.00000,862.50000,16
05/16/2008,1225.00000,2,0.00000,1837.50000,16
05/17/2008,0.00000,0,0.00000,0.00000,16
05/18/2008,-300.00000,2,250.00000,412.50000,16
05/19/2008,200.00000,2,0.00000,1237.50000,16
05/20/2008,50.00000,2,0.00000,1350.00000,18
05/21/2008,275.00000,2,0.00000,1037.50000,18
05/22/2008,-2450.00000,2,-25.00000,1687.50000,18
05/23/2008,1875.00000,2,-25.00000,1337.50000,18
05/24/2008,0.00000,0,0.00000,0.00000,18
05/25/2008,0.00000,2,50.00000,325.00000,18
05/26/2008,-350.00000,-2,25.00000,325.00000,19
05/27/2008,1575.00000,-2,25.00000,1125.00000,19
05/28/2008,1975.00000,-2,-25.00000,1625.00000,19
05/29/2008,1350.00000,-2,0.00000,1162.50000,19
05/30/2008,100.00000,-2,0.00000,575.00000,19
05/31/2008,0.00000,0,0.00000,0.00000,19
06/01/2008,-250.00000,-2,-550.00000,375.00000,19
06/02/2008,-2200.00000,-2,0.00000,1687.50000,19
06/03/2008,1650.00000,-2,0.00000,1950.00000,19
06/04/2008,900.00000,-2,-25.00000,1237.50000,19
06/05/2008,1250.00000,-2,0.00000,1100.00000,19
06/06/2008,-2300.00000,-2,25.00000,1687.50000,19
06/07/2008,0.00000,0,0.00000,0.00000,19
06/08/2008,450.00000,-2,-1225.00000,1037.50000,19
06/09/2008,3400.00000,-2,0.00000,1987.50000,19
06/10/2008,1950.00000,-2,0.00000,1375.00000,19
06/11/2008,-800.00000,-2,0.00000,1312.50000,19
06/12/2008,1050.00000,0,0.00000,950.00000,20
06/13/2008,0.00000,0,0.00000,700.00000,20
06/14/2008,0.00000,0,0.00000,0.00000,20
06/15/2008,0.00000,0,0.00000,425.00000,20
06/16/2008,0.00000,0,0.00000,912.50000,20
06/17/2008,0.00000,0,0.00000,887.50000,20
06/18/2008,0.00000,0,0.00000,925.00000,20
06/19/2008,0.00000,0,0.00000,712.50000,20
06/20/2008,0.00000,0,0.00000,900.00000,20
06/21/2008,0.00000,0,0.00000,0.00000,20
06/22/2008,0.00000,0,0.00000,437.50000,20
06/23/2008,0.00000,0,0.00000,1037.50000,20
06/24/2008,0.00000,0,0.00000,925.00000,20
06/25/2008,0.00000,0,0.00000,1137.50000,20
06/26/2008,0.00000,0,0.00000,1725.00000,20
06/27/2008,0.00000,0,0.00000,1562.50000,20
06/28/2008,0.00000,0,0.00000,0.00000,20
06/29/2008,0.00000,0,0.00000,387.50000,20
06/30/2008,0.00000,0,0.00000,1587.50000,20
07/01/2008,0.00000,0,0.00000,1087.50000,20
07/02/2008,-475.00000,-2,0.00000,1125.00000,21
07/03/2008,1525.00000,-2,0.00000,1200.00000,21
07/04/2008,25.00000,-2,-25.00000,325.00000,21
07/05/2008,0.00000,0,0.00000,0.00000,21
07/06/2008,850.00000,-2,-25.00000,675.00000,21
07/07/2008,50.00000,2,0.00000,1150.00000,22
07/08/2008,-150.00000,2,25.00000,1437.50000,22
07/09/2008,550.00000,2,0.00000,1100.00000,22
07/10/2008,-600.00000,2,50.00000,787.50000,22
07/11/2008,1775.00000,2,50.00000,1825.00000,22
07/12/2008,0.00000,0,0.00000,0.00000,22
07/13/2008,-150.00000,2,475.00000,662.50000,22
07/14/2008,1275.00000,2,25.00000,1200.00000,22
07/15/2008,2725.00000,2,-25.00000,2062.50000,22
07/16/2008,-825.00000,2,50.00000,1800.00000,22
07/17/2008,-2775.00000,2,0.00000,2537.50000,22
07/18/2008,-1700.00000,2,25.00000,1137.50000,22
07/19/2008,0.00000,0,0.00000,0.00000,22
07/20/2008,325.00000,2,75.00000,300.00000,22
07/21/2008,-975.00000,-2,25.00000,925.00000,23
07/22/2008,1775.00000,-2,0.00000,1550.00000,23
07/23/2008,1250.00000,-2,0.00000,862.50000,23
07/24/2008,-2225.00000,-2,-25.00000,1350.00000,23
07/25/2008,2300.00000,-2,25.00000,1512.50000,23
07/26/2008,0.00000,0,0.00000,0.00000,23
07/27/2008,-125.00000,-2,-25.00000,325.00000,23
07/28/2008,-775.00000,-2,0.00000,625.00000,23
07/29/2008,1150.00000,-2,25.00000,1087.50000,23
07/30/2008,125.00000,-2,-25.00000,712.50000,23
07/31/2008,-775.00000,-2,0.00000,887.50000,23
08/01/2008,175.00000,-2,25.00000,612.50000,23
08/02/2008,0.00000,0,0.00000,0.00000,23
08/03/2008,125.00000,-2,-100.00000,362.50000,23
08/04/2008,975.00000,-2,25.00000,750.00000,23
08/05/2008,425.00000,-2,-50.00000,1000.00000,23
08/06/2008,2425.00000,-2,-25.00000,1750.00000,23
08/07/2008,125.00000,-2,0.00000,712.50000,23
08/08/2008,-375.00000,-2,25.00000,937.50000,25
08/09/2008,0.00000,0,0.00000,0.00000,25
08/10/2008,-225.00000,-2,400.00000,787.50000,25
08/11/2008,250.00000,-2,50.00000,900.00000,25
08/12/2008,-3475.00000,0,0.00000,2100.00000,26
08/13/2008,0.00000,0,0.00000,1325.00000,26
08/14/2008,0.00000,0,0.00000,962.50000,26
08/15/2008,0.00000,0,0.00000,575.00000,26
08/16/2008,0.00000,0,0.00000,0.00000,26
08/17/2008,0.00000,0,0.00000,587.50000,26
08/18/2008,0.00000,0,0.00000,737.50000,26
08/19/2008,25.00000,2,0.00000,825.00000,27
08/20/2008,425.00000,2,0.00000,725.00000,27
08/21/2008,1400.00000,2,0.00000,1587.50000,27
08/22/2008,-2500.00000,2,0.00000,1425.00000,27
08/23/2008,0.00000,0,0.00000,0.00000,27
08/24/2008,50.00000,2,175.00000,500.00000,27
08/25/2008,1100.00000,2,0.00000,1200.00000,27
08/26/2008,1250.00000,2,0.00000,1087.50000,27
08/27/2008,-150.00000,2,0.00000,1250.00000,27
08/28/2008,-100.00000,2,-25.00000,987.50000,27
08/29/2008,500.00000,2,0.00000,850.00000,27
08/30/2008,0.00000,0,0.00000,0.00000,27
08/31/2008,750.00000,2,1000.00000,662.50000,27
09/01/2008,75.00000,2,0.00000,1037.50000,27
09/02/2008,-1225.00000,2,0.00000,1350.00000,27
09/03/2008,1950.00000,2,25.00000,1212.50000,27
09/04/2008,-50.00000,2,0.00000,3075.00000,29
09/05/2008,-2175.00000,2,50.00000,2425.00000,29
09/06/2008,0.00000,0,0.00000,0.00000,29
09/07/2008,-2250.00000,2,-1700.00000,1275.00000,29
09/08/2008,2875.00000,2,0.00000,1875.00000,29
09/09/2008,450.00000,2,0.00000,1637.50000,29
09/10/2008,-550.00000,2,25.00000,1462.50000,29
09/11/2008,475.00000,2,25.00000,1575.00000,29
09/12/2008,-1625.00000,2,25.00000,1400.00000,29
09/13/2008,0.00000,0,0.00000,0.00000,29
09/14/2008,4050.00000,2,4350.00000,2975.00000,29
09/15/2008,4100.00000,2,25.00000,2662.50000,29
09/16/2008,-3325.00000,2,50.00000,3550.00000,29
09/17/2008,4550.00000,2,-25.00000,2625.00000,29
09/18/2008,950.00000,0,-25.00000,3887.50000,30
09/19/2008,0.00000,0,0.00000,1825.00000,30
09/20/2008,0.00000,0,0.00000,0.00000,30
09/21/2008,0.00000,0,0.00000,1250.00000,30
09/22/2008,0.00000,0,0.00000,2025.00000,30
09/23/2008,-4525.00000,2,0.00000,962.50000,33
09/24/2008,50.00000,2,-25.00000,987.50000,33
09/25/2008,-1675.00000,0,0.00000,1837.50000,34
09/26/2008,0.00000,0,0.00000,1400.00000,34
09/27/2008,0.00000,0,0.00000,0.00000,34
09/28/2008,0.00000,0,0.00000,1037.50000,34
09/29/2008,0.00000,0,0.00000,3512.50000,34
09/30/2008,0.00000,0,0.00000,2550.00000,34
10/01/2008,0.00000,0,0.00000,1175.00000,34
10/02/2008,0.00000,0,0.00000,1275.00000,34
10/03/2008,0.00000,0,0.00000,1950.00000,34
10/04/2008,0.00000,0,0.00000,0.00000,34
10/05/2008,0.00000,0,0.00000,3000.00000,34
10/06/2008,0.00000,0,0.00000,4312.50000,34
10/07/2008,0.00000,0,0.00000,2712.50000,34
10/08/2008,-3000.00000,0,0.00000,3625.00000,36
10/09/2008,0.00000,0,0.00000,4475.00000,36
10/10/2008,2125.00000,-2,0.00000,3187.50000,37
10/11/2008,0.00000,0,0.00000,0.00000,37
10/12/2008,-1425.00000,-2,1150.00000,2100.00000,37
10/13/2008,6050.00000,-2,0.00000,4125.00000,37
10/14/2008,-1900.00000,-2,0.00000,2225.00000,37
10/15/2008,-3275.00000,-2,0.00000,3200.00000,37
10/16/2008,3800.00000,-2,0.00000,2637.50000,37
10/17/2008,375.00000,-2,-50.00000,1575.00000,37
10/18/2008,0.00000,0,0.00000,0.00000,37
10/19/2008,1175.00000,-2,-100.00000,925.00000,37
10/20/2008,-875.00000,-2,0.00000,1237.50000,37
10/21/2008,-4800.00000,-2,25.00000,2687.50000,37
10/22/2008,-4250.00000,0,0.00000,3925.00000,38
10/23/2008,0.00000,0,0.00000,4025.00000,38
10/24/2008,0.00000,0,0.00000,7300.00000,38
10/25/2008,0.00000,0,0.00000,0.00000,38
10/26/2008,0.00000,0,0.00000,3862.50000,38
10/27/2008,0.00000,0,0.00000,3087.50000,38
10/28/2008,650.00000,-2,0.00000,8237.50000,39
10/29/2008,4925.00000,-2,0.00000,4125.00000,39
10/30/2008,625.00000,-2,50.00000,2175.00000,39
10/31/2008,-25.00000,-2,125.00000,3700.00000,39
11/01/2008,0.00000,0,0.00000,0.00000,39
11/02/2008,2525.00000,-2,-375.00000,2012.50000,39
11/03/2008,-1800.00000,-2,25.00000,1812.50000,39
11/04/2008,3100.00000,0,-75.00000,2487.50000,40
11/05/2008,0.00000,0,0.00000,2937.50000,40
11/06/2008,0.00000,0,0.00000,2575.00000,40
11/07/2008,0.00000,0,0.00000,2362.50000,40
11/08/2008,0.00000,0,0.00000,0.00000,40
11/09/2008,0.00000,0,0.00000,1262.50000,40
11/10/2008,0.00000,0,0.00000,2612.50000,40
11/11/2008,0.00000,0,0.00000,1187.50000,40
11/12/2008,0.00000,0,0.00000,4887.50000,40
11/13/2008,0.00000,0,0.00000,4275.00000,40
11/14/2008,0.00000,0,0.00000,2312.50000,40
11/15/2008,0.00000,0,0.00000,0.00000,40
11/16/2008,0.00000,0,0.00000,2187.50000,40
11/17/2008,225.00000,2,0.00000,1437.50000,41
11/18/2008,275.00000,2,25.00000,1925.00000,41
11/19/2008,4275.00000,2,-25.00000,2900.00000,41
11/20/2008,525.00000,2,25.00000,3775.00000,41
11/21/2008,-3000.00000,2,0.00000,2212.50000,41
