Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,0.00000,0,0.00000,0.00000,0
04/02/2008,824.00000,1,0.00000,2052.00000,26
04/03/2008,306.00000,1,0.00000,810.00000,26
04/04/2008,830.00000,1,0.00000,1050.00000,26
04/05/2008,0.00000,0,0.00000,0.00000,26
04/06/2008,216.00000,1,66.00000,492.00000,26
04/07/2008,-402.00000,1,-54.00000,1182.00000,26
04/08/2008,-422.00000,-1,24.00000,834.00000,27
04/09/2008,-1242.00000,-1,-48.00000,1842.00000,27
04/10/2008,-628.00000,0,-6.00000,1668.00000,28
04/11/2008,0.00000,0,0.00000,504.00000,28
04/12/2008,0.00000,0,0.00000,0.00000,28
04/13/2008,0.00000,0,0.00000,1008.00000,28
04/14/2008,0.00000,0,0.00000,1296.00000,28
04/15/2008,140.00000,1,0.00000,846.00000,29
04/16/2008,-950.00000,-1,-72.00000,1098.00000,30
04/17/2008,114.00000,-1,-6.00000,1554.00000,30
04/18/2008,390.00000,-1,6.00000,1422.00000,30
04/19/2008,0.00000,0,0.00000,0.00000,30
04/20/2008,624.00000,-1,-180.00000,930.00000,30
04/21/2008,426.00000,-1,36.00000,1092.00000,30
04/22/2008,-176.00000,1,18.00000,1536.00000,31
04/23/2008,-54.00000,1,-12.00000,780.00000,31
04/24/2008,-774.00000,1,12.00000,996.00000,31
04/25/2008,-432.00000,1,-54.00000,1212.00000,31
04/26/2008,0.00000,0,0.00000,0.00000,31
04/27/2008,192.00000,1,-12.00000,594.00000,31
04/28/2008,-794.00000,-1,-18.00000,1812.00000,32
04/29/2008,-12.00000,-1,-66.00000,654.00000,32
04/30/2008,-428.00000,1,36.00000,876.00000,33
05/01/2008,-1170.00000,1,-30.00000,1536.00000,33
05/02/2008,582.00000,1,6.00000,1218.00000,33
05/03/2008,0.00000,0,0.00000,0.00000,33
05/04/2008,480.00000,1,30.00000,756.00000,33
05/05/2008,-144.00000,1,0.00000,642.00000,33
05/06/2008,-18.00000,1,42.00000,1014.00000,33
05/07/2008,630.00000,1,-42.00000,1464.00000,33
05/08/2008,324.00000,1,72.00000,636.00000,33
05/09/2008,1460.00000,1,6.00000,1758.00000,35
05/10/2008,0.00000,0,0.00000,0.00000,35
05/11/2008,240.00000,1,300.00000,366.00000,35
05/12/2008,-672.00000,1,36.00000,1032.00000,35
05/13/2008,516.00000,1,-6.00000,744.00000,35
05/14/2008,-774.00000,1,24.00000,1050.00000,35
05/15/2008,-174.00000,1,-24.00000,1656.00000,35
05/16/2008,744.00000,1,24.00000,1230.00000,35
05/17/2008,0.00000,0,0.00000,0.00000,35
05/18/2008,-420.00000,1,-168.00000,468.00000,35
05/19/2008,-720.00000,1,24.00000,1092.00000,35
05/20/2008,600.00000,1,54.00000,1266.00000,35
05/21/2008,1440.00000,1,-18.00000,1776.00000,35
05/22/2008,-660.00000,1,0.00000,1740.00000,35
05/23/2008,920.00000,1,36.00000,1242.00000,37
05/24/2008,0.00000,0,0.00000,0.00000,37
05/25/2008,0.00000,0,0.00000,0.00000,37
05/26/2008,666.00000,1,-24.00000,756.00000,37
05/27/2008,-98.00000,-1,18.00000,2058.00000,38
05/28/2008,216.00000,-1,60.00000,852.00000,38
05/29/2008,1394.00000,-1,-96.00000,1824.00000,38
05/30/2008,-750.00000,-1,-48.00000,1092.00000,38
05/31/2008,0.00000,0,0.00000,0.00000,38
06/01/2008,144.00000,-1,6.00000,324.00000,38
06/02/2008,-420.00000,-1,-12.00000,894.00000,38
06/03/2008,474.00000,-1,6.00000,984.00000,38
06/04/2008,102.00000,-1,66.00000,552.00000,38
06/05/2008,58.00000,1,-48.00000,1548.00000,39
06/06/2008,912.00000,0,-30.00000,1350.00000,40
06/07/2008,0.00000,0,0.00000,0.00000,40
06/08/2008,0.00000,0,0.00000,546.00000,40
06/09/2008,0.00000,0,0.00000,1116.00000,40
06/10/2008,308.00000,-1,0.00000,1434.00000,41
06/11/2008,-1152.00000,-1,54.00000,1542.00000,41
06/12/2008,184.00000,1,0.00000,1656.00000,42
06/13/2008,-150.00000,1,42.00000,1200.00000,42
06/14/2008,0.00000,0,0.00000,0.00000,42
06/15/2008,462.00000,1,0.00000,600.00000,42
06/16/2008,-196.00000,1,-54.00000,2094.00000,44
06/17/2008,-1268.00000,-1,-24.00000,1104.00000,45
06/18/2008,492.00000,-1,-36.00000,1170.00000,45
06/19/2008,1014.00000,-1,78.00000,1164.00000,45
06/20/2008,-168.00000,-1,6.00000,840.00000,45
06/21/2008,0.00000,0,0.00000,0.00000,45
06/22/2008,174.00000,-1,186.00000,486.00000,45
06/23/2008,-98.00000,1,102.00000,786.00000,46
06/24/2008,-348.00000,1,6.00000,720.00000,46
06/25/2008,-1292.00000,-1,72.00000,1656.00000,47
06/26/2008,-908.00000,1,48.00000,1302.00000,49
06/27/2008,-168.00000,1,72.00000,816.00000,49
06/28/2008,0.00000,0,0.00000,0.00000,49
06/29/2008,330.00000,1,180.00000,474.00000,49
