Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,3490.00000,0,0.00000,5750.00000,54
04/02/2008,1827.50000,1,0.00000,3550.00000,55
04/03/2008,-742.50000,0,0.00000,1587.50000,57
04/04/2008,-597.50000,-1,0.00000,1100.00000,58
04/05/2008,0.00000,0,0.00000,0.00000,58
04/06/2008,-122.50000,0,87.50000,1337.50000,59
04/07/2008,-720.00000,0,0.00000,2500.00000,61
04/08/2008,-460.00000,-1,0.00000,1037.50000,62
04/09/2008,-980.00000,0,-50.00000,4250.00000,65
04/10/2008,-720.00000,0,0.00000,2875.00000,67
04/11/2008,915.00000,-1,0.00000,1437.50000,68
04/12/2008,0.00000,0,0.00000,0.00000,68
04/13/2008,-325.00000,-1,-562.50000,1625.00000,68
04/14/2008,-1310.00000,0,0.00000,2150.00000,69
04/15/2008,-720.00000,0,0.00000,1487.50000,71
04/16/2008,1115.00000,-1,0.00000,2925.00000,72
04/17/2008,-462.50000,-1,-12.50000,2162.50000,72
04/18/2008,250.00000,-1,-25.00000,2625.00000,72
04/19/2008,0.00000,0,0.00000,0.00000,72
04/20/2008,875.00000,-1,0.00000,1162.50000,72
04/21/2008,1712.50000,0,12.50000,3050.00000,73
04/22/2008,0.00000,0,0.00000,3712.50000,73
04/23/2008,-720.00000,0,0.00000,1787.50000,75
04/24/2008,1490.00000,-1,0.00000,2350.00000,76
04/25/2008,-605.00000,0,-25.00000,2050.00000,78
04/26/2008,0.00000,0,0.00000,0.00000,78
04/27/2008,0.00000,0,0.00000,962.50000,78
04/28/2008,3490.00000,0,0.00000,3937.50000,78
04/29/2008,-397.50000,-1,0.00000,1150.00000,79
04/30/2008,-1042.50000,0,25.00000,3437.50000,82
05/01/2008,1777.50000,-1,0.00000,4000.00000,83
05/02/2008,-1862.50000,-1,0.00000,2537.50000,83
05/03/2008,0.00000,0,0.00000,0.00000,83
05/04/2008,-100.00000,-1,-112.50000,1287.50000,83
05/05/2008,-667.50000,0,-50.00000,2025.00000,84
05/06/2008,0.00000,0,0.00000,2950.00000,84
05/07/2008,1190.00000,1,0.00000,2075.00000,85
05/08/2008,-780.00000,0,-25.00000,1050.00000,86
05/09/2008,0.00000,0,0.00000,2962.50000,86
05/10/2008,0.00000,0,0.00000,0.00000,86
05/11/2008,0.00000,0,0.00000,725.00000,86
05/12/2008,590.00000,-1,0.00000,1862.50000,87
05/13/2008,1817.50000,1,25.00000,2575.00000,88
05/14/2008,-887.50000,1,-62.50000,1075.00000,88
05/15/2008,205.00000,-1,0.00000,3337.50000,89
05/16/2008,-1060.00000,0,0.00000,2250.00000,90
05/17/2008,0.00000,0,0.00000,0.00000,90
05/18/2008,0.00000,0,0.00000,1650.00000,90
05/19/2008,1302.50000,-1,0.00000,1912.50000,91
05/20/2008,-125.00000,-1,-100.00000,1975.00000,91
05/21/2008,-1475.00000,-1,-50.00000,1725.00000,91
05/22/2008,242.50000,-1,-75.00000,2737.50000,93
05/23/2008,-1385.00000,0,-75.00000,1825.00000,94
05/24/2008,0.00000,0,0.00000,0.00000,94
05/25/2008,0.00000,0,0.00000,0.00000,94
05/26/2008,0.00000,0,0.00000,1037.50000,94
05/27/2008,0.00000,0,0.00000,2675.00000,94
05/28/2008,940.00000,1,0.00000,2225.00000,95
05/29/2008,-1660.00000,0,0.00000,3412.50000,96
05/30/2008,2465.00000,1,0.00000,2850.00000,97
05/31/2008,0.00000,0,0.00000,0.00000,97
06/01/2008,-112.50000,1,-250.00000,675.00000,97
06/02/2008,1137.50000,0,-25.00000,1575.00000,98
06/03/2008,-720.00000,0,0.00000,1875.00000,100
06/04/2008,1452.50000,1,0.00000,2300.00000,101
06/05/2008,2037.50000,0,0.00000,3175.00000,102
06/06/2008,0.00000,0,0.00000,2000.00000,102
06/07/2008,0.00000,0,0.00000,0.00000,102
06/08/2008,0.00000,0,0.00000,1525.00000,102
06/09/2008,-932.50000,0,0.00000,2150.00000,104
06/10/2008,-920.00000,0,0.00000,2375.00000,106
06/11/2008,2640.00000,1,0.00000,3787.50000,107
06/12/2008,675.00000,1,12.50000,2725.00000,107
06/13/2008,175.00000,0,-50.00000,2575.00000,108
06/14/2008,0.00000,0,0.00000,0.00000,108
06/15/2008,0.00000,0,0.00000,1025.00000,108
06/16/2008,1690.00000,-1,0.00000,3475.00000,109
06/17/2008,1317.50000,1,0.00000,2312.50000,110
