Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,0.00000,0,0.00000,0.00000,0
04/02/2008,0.00000,0,0.00000,0.00000,0
04/03/2008,0.00000,0,0.00000,0.00000,0
04/04/2008,52.50000,1,0.00000,1100.00000,40
04/05/2008,0.00000,0,0.00000,0.00000,40
04/06/2008,512.50000,1,-12.50000,1337.50000,40
04/07/2008,-1020.00000,-1,-50.00000,2500.00000,41
04/08/2008,-487.50000,-1,-37.50000,1037.50000,41
04/09/2008,2205.00000,0,0.00000,4250.00000,43
04/10/2008,0.00000,0,0.00000,2875.00000,43
04/11/2008,0.00000,0,0.00000,1437.50000,43
04/12/2008,0.00000,0,0.00000,0.00000,43
04/13/2008,0.00000,0,0.00000,1625.00000,43
04/14/2008,0.00000,0,0.00000,2212.50000,43
04/15/2008,0.00000,0,0.00000,1487.50000,43
04/16/2008,565.00000,-1,0.00000,2925.00000,44
04/17/2008,-450.00000,-1,25.00000,2162.50000,44
04/18/2008,655.00000,0,12.50000,2625.00000,45
04/19/2008,0.00000,0,0.00000,0.00000,45
04/20/2008,0.00000,0,0.00000,1162.50000,45
04/21/2008,740.00000,-1,0.00000,3050.00000,46
04/22/2008,-270.00000,1,-25.00000,3712.50000,47
04/23/2008,-550.00000,1,0.00000,1787.50000,47
04/24/2008,555.00000,-1,0.00000,2350.00000,48
04/25/2008,800.00000,-1,0.00000,2050.00000,48
04/26/2008,0.00000,0,0.00000,0.00000,48
04/27/2008,-550.00000,-1,-375.00000,962.50000,48
04/28/2008,872.50000,0,-37.50000,3937.50000,49
04/29/2008,0.00000,0,0.00000,1150.00000,49
04/30/2008,815.00000,1,0.00000,3437.50000,50
05/01/2008,-1120.00000,-1,25.00000,4000.00000,51
05/02/2008,-1900.00000,-1,0.00000,2537.50000,51
05/03/2008,0.00000,0,0.00000,0.00000,51
05/04/2008,-150.00000,-1,-112.50000,1287.50000,51
05/05/2008,-1830.00000,0,-75.00000,2025.00000,53
05/06/2008,-1620.00000,0,0.00000,2950.00000,55
05/07/2008,0.00000,0,0.00000,2075.00000,55
05/08/2008,0.00000,0,0.00000,1050.00000,55
05/09/2008,677.50000,1,0.00000,2962.50000,56
05/10/2008,0.00000,0,0.00000,0.00000,56
05/11/2008,450.00000,1,475.00000,650.00000,56
05/12/2008,-550.00000,1,0.00000,1862.50000,56
05/13/2008,1300.00000,1,-50.00000,2575.00000,56
05/14/2008,-775.00000,1,25.00000,1125.00000,56
05/15/2008,2280.00000,0,0.00000,3337.50000,58
05/16/2008,52.50000,1,0.00000,2250.00000,59
05/17/2008,0.00000,0,0.00000,0.00000,59
05/18/2008,-1075.00000,1,-87.50000,1650.00000,59
05/19/2008,480.00000,-1,-12.50000,1912.50000,60
05/20/2008,-125.00000,-1,-62.50000,1950.00000,60
05/21/2008,-1500.00000,-1,12.50000,1725.00000,60
05/22/2008,-1830.00000,0,50.00000,2737.50000,62
05/23/2008,0.00000,0,0.00000,1825.00000,62
05/24/2008,0.00000,0,0.00000,0.00000,62
05/25/2008,0.00000,0,0.00000,0.00000,62
05/26/2008,0.00000,0,0.00000,1150.00000,62
05/27/2008,0.00000,0,0.00000,2650.00000,62
05/28/2008,0.00000,0,0.00000,2225.00000,62
05/29/2008,0.00000,0,0.00000,3412.50000,62
05/30/2008,0.00000,0,0.00000,2850.00000,62
05/31/2008,0.00000,0,0.00000,0.00000,62
06/01/2008,0.00000,0,0.00000,675.00000,62
06/02/2008,0.00000,0,0.00000,1575.00000,62
06/03/2008,0.00000,0,0.00000,1875.00000,62
06/04/2008,715.00000,1,0.00000,2300.00000,63
06/05/2008,1675.00000,0,0.00000,3150.00000,64
06/06/2008,0.00000,0,0.00000,2000.00000,64
06/07/2008,0.00000,0,0.00000,0.00000,64
06/08/2008,0.00000,0,0.00000,1525.00000,64
06/09/2008,240.00000,-1,0.00000,2150.00000,65
06/10/2008,-487.50000,-1,-37.50000,2400.00000,65
06/11/2008,2055.00000,0,50.00000,3787.50000,67
06/12/2008,0.00000,0,0.00000,2725.00000,67
06/13/2008,602.50000,1,0.00000,2575.00000,68
06/14/2008,0.00000,0,0.00000,0.00000,68
06/15/2008,775.00000,1,900.00000,1025.00000,68
06/16/2008,530.00000,-1,12.50000,3475.00000,69
06/17/2008,-1162.50000,-1,100.00000,2312.50000,69
06/18/2008,225.00000,-1,-125.00000,1625.00000,69
06/19/2008,1452.50000,-1,100.00000,2475.00000,69
06/20/2008,-2380.00000,0,25.00000,2225.00000,71
06/21/2008,0.00000,0,0.00000,0.00000,71
06/22/2008,0.00000,0,0.00000,887.50000,71
06/23/2008,152.50000,-1,0.00000,1575.00000,72
06/24/2008,-1570.00000,1,0.00000,1737.50000,73
06/25/2008,-2067.50000,0,-75.00000,2550.00000,75
06/26/2008,1427.50000,1,0.00000,2287.50000,76
06/27/2008,87.50000,1,0.00000,1025.00000,76
06/28/2008,0.00000,0,0.00000,0.00000,76
06/29/2008,362.50000,1,-100.00000,600.00000,76
06/30/2008,512.50000,0,50.00000,2837.50000,77
07/01/2008,1077.50000,1,0.00000,2062.50000,78
07/02/2008,-887.50000,1,0.00000,1912.50000,78
07/03/2008,1737.50000,1,-50.00000,2075.00000,78
07/04/2008,0.00000,0,0.00000,0.00000,78
07/05/2008,0.00000,0,0.00000,0.00000,78
07/06/2008,-1237.50000,1,-925.00000,1850.00000,78
07/07/2008,-2310.00000,0,37.50000,3437.50000,79
07/08/2008,0.00000,0,0.00000,3387.50000,79
07/09/2008,127.50000,1,0.00000,1500.00000,80
07/10/2008,1250.00000,1,62.50000,2450.00000,80
07/11/2008,1225.00000,0,12.50000,2600.00000,81
07/12/2008,0.00000,0,0.00000,0.00000,81
07/13/2008,0.00000,0,0.00000,2050.00000,81
07/14/2008,-585.00000,-1,0.00000,1225.00000,82
07/15/2008,-2455.00000,0,50.00000,3337.50000,84
07/16/2008,0.00000,0,0.00000,3462.50000,84
07/17/2008,-535.00000,-1,0.00000,3312.50000,85
07/18/2008,2750.00000,-1,-37.50000,3050.00000,86
07/19/2008,0.00000,0,0.00000,0.00000,86
07/20/2008,550.00000,0,550.00000,1025.00000,86
07/21/2008,0.00000,0,0.00000,2437.50000,86
07/22/2008,0.00000,0,0.00000,2037.50000,86
07/23/2008,-1620.00000,0,0.00000,2425.00000,88
07/24/2008,-835.00000,-1,0.00000,2062.50000,89
07/25/2008,-785.00000,0,-25.00000,1837.50000,90
07/26/2008,0.00000,0,0.00000,0.00000,90
07/27/2008,0.00000,0,0.00000,1675.00000,90
07/28/2008,90.00000,-1,0.00000,1687.50000,91
07/29/2008,-162.50000,-1,-62.50000,2562.50000,91
07/30/2008,-212.50000,-1,87.50000,1600.00000,91
07/31/2008,-1432.50000,1,62.50000,1750.00000,92
08/01/2008,592.50000,-1,25.00000,2375.00000,94
08/02/2008,0.00000,0,0.00000,0.00000,94
08/03/2008,1362.50000,0,450.00000,1637.50000,95
08/04/2008,2390.00000,0,0.00000,3775.00000,97
08/05/2008,0.00000,0,0.00000,2787.50000,97
08/06/2008,2390.00000,0,0.00000,3750.00000,99
08/07/2008,0.00000,0,0.00000,1462.50000,99
08/08/2008,665.00000,-1,0.00000,2887.50000,100
08/09/2008,0.00000,0,0.00000,0.00000,100
08/10/2008,100.00000,-1,-375.00000,1175.00000,100
08/11/2008,-750.00000,-1,150.00000,1637.50000,100
08/12/2008,-395.00000,1,75.00000,1837.50000,101
08/13/2008,3790.00000,1,0.00000,4300.00000,101
08/14/2008,-2650.00000,1,125.00000,2962.50000,101
08/15/2008,-760.00000,0,-50.00000,2237.50000,102
08/16/2008,0.00000,0,0.00000,0.00000,102
08/17/2008,0.00000,0,0.00000,2000.00000,102
08/18/2008,390.00000,1,0.00000,2250.00000,103
08/19/2008,2000.00000,0,-62.50000,4137.50000,104
08/20/2008,0.00000,0,0.00000,2075.00000,104
08/21/2008,740.00000,1,0.00000,3275.00000,105
08/22/2008,-725.00000,1,12.50000,1650.00000,105
08/23/2008,0.00000,0,0.00000,0.00000,105
08/24/2008,1737.50000,1,1100.00000,2325.00000,105
08/25/2008,-45.00000,-1,25.00000,1937.50000,106
08/26/2008,-1350.00000,-1,25.00000,3012.50000,106
08/27/2008,962.50000,-1,37.50000,2175.00000,106
08/28/2008,675.00000,-1,-87.50000,2050.00000,106
08/29/2008,300.00000,-1,0.00000,1112.50000,106
08/30/2008,0.00000,0,0.00000,0.00000,106
08/31/2008,0.00000,0,0.00000,0.00000,106
09/01/2008,1852.50000,-1,1050.00000,2137.50000,106
09/02/2008,-262.50000,-1,0.00000,2950.00000,106
09/03/2008,1925.00000,0,-50.00000,3200.00000,107
09/04/2008,790.00000,-1,0.00000,2825.00000,108
09/05/2008,1590.00000,-1,-25.00000,2612.50000,108
09/06/2008,0.00000,0,0.00000,0.00000,108
09/07/2008,-800.00000,-1,-825.00000,937.50000,108
09/08/2008,1250.00000,-1,-25.00000,1550.00000,108
09/09/2008,-1300.00000,-1,0.00000,2387.50000,108
09/10/2008,700.00000,-1,12.50000,1650.00000,108
09/11/2008,-175.00000,-1,37.50000,1362.50000,108
09/12/2008,-1595.00000,1,12.50000,1850.00000,110
09/13/2008,0.00000,0,0.00000,0.00000,110
09/14/2008,-500.00000,1,250.00000,1100.00000,110
09/15/2008,-2430.00000,0,37.50000,2850.00000,113
09/16/2008,1140.00000,-1,0.00000,2837.50000,114
09/17/2008,300.00000,-1,-50.00000,1900.00000,114
09/18/2008,40.00000,-1,25.00000,2600.00000,114
09/19/2008,-970.00000,1,-50.00000,1975.00000,116
09/20/2008,0.00000,0,0.00000,0.00000,116
09/21/2008,550.00000,1,-137.50000,1400.00000,116
09/22/2008,1902.50000,1,-25.00000,2737.50000,116
09/23/2008,-712.50000,1,-12.50000,1662.50000,116
09/24/2008,-100.00000,1,12.50000,1987.50000,116
09/25/2008,650.00000,1,-25.00000,1562.50000,116
09/26/2008,-695.00000,-1,-25.00000,2100.00000,117
09/27/2008,0.00000,0,0.00000,0.00000,117
09/28/2008,1525.00000,-1,375.00000,1525.00000,117
09/29/2008,3215.00000,0,-25.00000,3875.00000,118
09/30/2008,0.00000,0,0.00000,2850.00000,118
10/01/2008,0.00000,0,0.00000,1337.50000,118
10/02/2008,1515.00000,-1,0.00000,3237.50000,119
10/03/2008,675.00000,-1,12.50000,1637.50000,120
10/04/2008,0.00000,0,0.00000,0.00000,120
10/05/2008,1000.00000,0,1000.00000,2525.00000,120
10/06/2008,-610.00000,-1,0.00000,1537.50000,121
10/07/2008,-2067.50000,0,-12.50000,3725.00000,123
10/08/2008,0.00000,0,0.00000,3550.00000,123
10/09/2008,0.00000,0,0.00000,3137.50000,123
10/10/2008,240.00000,-1,0.00000,1700.00000,124
10/11/2008,0.00000,0,0.00000,0.00000,124
10/12/2008,700.00000,-1,362.50000,1612.50000,124
10/13/2008,-2560.00000,0,-12.50000,3400.00000,125
10/14/2008,0.00000,0,0.00000,3362.50000,125
10/15/2008,0.00000,0,0.00000,3575.00000,125
10/16/2008,0.00000,0,0.00000,3512.50000,125
10/17/2008,-385.00000,1,0.00000,1562.50000,126
10/18/2008,0.00000,0,0.00000,0.00000,126
10/19/2008,2225.00000,1,87.50000,2225.00000,126
10/20/2008,-687.50000,1,25.00000,1600.00000,126
10/21/2008,217.50000,-1,0.00000,1837.50000,127
10/22/2008,1750.00000,0,-12.50000,2737.50000,128
10/23/2008,0.00000,0,0.00000,3100.00000,128
10/24/2008,-1620.00000,0,0.00000,2875.00000,130
10/25/2008,0.00000,0,0.00000,0.00000,130
10/26/2008,0.00000,0,0.00000,1150.00000,130
10/27/2008,2390.00000,0,0.00000,4262.50000,132
10/28/2008,0.00000,0,0.00000,4400.00000,132
10/29/2008,0.00000,0,0.00000,3300.00000,132
10/30/2008,0.00000,0,0.00000,2337.50000,132
10/31/2008,52.50000,-1,0.00000,1562.50000,133
11/01/2008,0.00000,0,0.00000,0.00000,133
11/02/2008,-1250.00000,-1,-187.50000,1887.50000,133
11/03/2008,1050.00000,-1,0.00000,1350.00000,133
11/04/2008,-2395.00000,1,0.00000,2925.00000,134
11/05/2008,-885.00000,0,12.50000,3137.50000,135
11/06/2008,0.00000,0,0.00000,1862.50000,135
11/07/2008,2.50000,1,0.00000,1000.00000,136
11/08/2008,0.00000,0,0.00000,0.00000,136
11/09/2008,1225.00000,1,762.50000,1712.50000,136
11/10/2008,-407.50000,-1,-25.00000,1762.50000,137
11/11/2008,787.50000,-1,0.00000,1800.00000,137
11/12/2008,1615.00000,-1,0.00000,2062.50000,137
11/13/2008,-712.50000,-1,0.00000,1987.50000,137
11/14/2008,37.50000,-1,50.00000,1150.00000,137
11/15/2008,0.00000,0,0.00000,0.00000,137
11/16/2008,-362.50000,-1,350.00000,1187.50000,137
11/17/2008,-420.00000,1,-37.50000,1625.00000,138
11/18/2008,-25.00000,1,0.00000,1025.00000,138
11/19/2008,-745.00000,-1,0.00000,2250.00000,139
