Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,1025.00000,-1,0.00000,1825.00000,43
04/02/2008,-257.50000,1,-62.50000,2350.00000,44
04/03/2008,-562.50000,1,-25.00000,1312.50000,44
04/04/2008,2137.50000,1,0.00000,2687.50000,44
04/05/2008,0.00000,0,0.00000,0.00000,44
04/06/2008,-725.00000,1,-162.50000,1200.00000,44
04/07/2008,1092.50000,-1,0.00000,2950.00000,45
04/08/2008,-412.50000,-1,-37.50000,1412.50000,45
04/09/2008,-2630.00000,0,-25.00000,3125.00000,47
04/10/2008,0.00000,0,0.00000,1662.50000,47
04/11/2008,0.00000,0,0.00000,1812.50000,47
04/12/2008,0.00000,0,0.00000,0.00000,47
04/13/2008,0.00000,0,0.00000,1337.50000,47
04/14/2008,0.00000,0,0.00000,1387.50000,47
04/15/2008,0.00000,0,0.00000,1600.00000,47
04/16/2008,-2370.00000,0,0.00000,2825.00000,49
04/17/2008,-1060.00000,1,0.00000,2300.00000,50
04/18/2008,630.00000,-1,50.00000,2850.00000,51
04/19/2008,0.00000,0,0.00000,0.00000,51
04/20/2008,600.00000,-1,0.00000,1000.00000,51
04/21/2008,1000.00000,0,37.50000,1900.00000,52
04/22/2008,0.00000,0,0.00000,1500.00000,52
04/23/2008,752.50000,-1,0.00000,2012.50000,53
04/24/2008,212.50000,-1,-37.50000,1087.50000,53
04/25/2008,-1770.00000,1,-37.50000,1162.50000,54
04/26/2008,0.00000,0,0.00000,0.00000,54
04/27/2008,275.00000,1,75.00000,700.00000,54
04/28/2008,700.00000,1,50.00000,1300.00000,54
04/29/2008,-495.00000,-1,0.00000,2212.50000,55
04/30/2008,137.50000,-1,-12.50000,837.50000,55
05/01/2008,612.50000,-1,12.50000,1625.00000,55
05/02/2008,-800.00000,-1,12.50000,1137.50000,55
05/03/2008,0.00000,0,0.00000,0.00000,55
05/04/2008,-437.50000,-1,-100.00000,2075.00000,55
05/05/2008,612.50000,-1,-12.50000,1250.00000,55
05/06/2008,-870.00000,1,25.00000,1725.00000,56
05/07/2008,-612.50000,1,-12.50000,1212.50000,56
05/08/2008,775.00000,1,12.50000,1825.00000,56
05/09/2008,-757.50000,-1,-37.50000,2625.00000,57
05/10/2008,0.00000,0,0.00000,0.00000,57
05/11/2008,325.00000,-1,225.00000,437.50000,57
05/12/2008,-420.00000,1,-50.00000,837.50000,58
05/13/2008,-807.50000,-1,-75.00000,1000.00000,59
05/14/2008,1775.00000,-1,37.50000,1900.00000,59
05/15/2008,-412.50000,-1,-25.00000,1387.50000,59
05/16/2008,-820.00000,1,-75.00000,912.50000,60
05/17/2008,0.00000,0,0.00000,0.00000,60
05/18/2008,175.00000,1,125.00000,437.50000,60
05/19/2008,1350.00000,1,0.00000,1775.00000,60
05/20/2008,-1025.00000,1,0.00000,1425.00000,60
05/21/2008,-357.50000,-1,0.00000,975.00000,61
05/22/2008,1925.00000,-1,25.00000,2300.00000,61
05/23/2008,-237.50000,-1,25.00000,975.00000,61
05/24/2008,0.00000,0,0.00000,0.00000,61
05/25/2008,0.00000,0,0.00000,0.00000,61
05/26/2008,-562.50000,-1,-162.50000,562.50000,61
05/27/2008,-432.50000,1,12.50000,950.00000,62
05/28/2008,-1070.00000,-1,0.00000,1175.00000,63
05/29/2008,675.00000,-1,75.00000,1462.50000,63
05/30/2008,-925.00000,-1,25.00000,1162.50000,63
05/31/2008,0.00000,0,0.00000,0.00000,63
06/01/2008,-225.00000,-1,125.00000,662.50000,63
06/02/2008,-935.00000,0,-12.50000,1850.00000,64
06/03/2008,415.00000,-1,0.00000,1750.00000,65
06/04/2008,-175.00000,-1,0.00000,750.00000,65
06/05/2008,-1512.50000,-1,-50.00000,1575.00000,65
06/06/2008,-747.50000,0,-25.00000,2162.50000,66
06/07/2008,0.00000,0,0.00000,0.00000,66
06/08/2008,0.00000,0,0.00000,1350.00000,66
06/09/2008,0.00000,0,0.00000,2500.00000,66
06/10/2008,0.00000,0,0.00000,1325.00000,66
06/11/2008,3302.50000,0,0.00000,3625.00000,68
06/12/2008,0.00000,0,0.00000,1975.00000,68
06/13/2008,215.00000,1,0.00000,2750.00000,69
06/14/2008,0.00000,0,0.00000,0.00000,69
06/15/2008,450.00000,1,712.50000,837.50000,69
06/16/2008,442.50000,-1,0.00000,2237.50000,70
06/17/2008,-1695.00000,1,0.00000,3000.00000,71
06/18/2008,-312.50000,1,-62.50000,1362.50000,71
06/19/2008,-445.00000,-1,50.00000,1775.00000,72
06/20/2008,425.00000,-1,150.00000,1550.00000,72
06/21/2008,0.00000,0,0.00000,0.00000,72
06/22/2008,400.00000,-1,100.00000,900.00000,72
06/23/2008,-207.50000,1,100.00000,1587.50000,73
06/24/2008,162.50000,1,-25.00000,1137.50000,73
06/25/2008,1775.00000,1,50.00000,2162.50000,73
06/26/2008,950.00000,0,0.00000,2487.50000,74
06/27/2008,0.00000,0,0.00000,2675.00000,74
06/28/2008,0.00000,0,0.00000,0.00000,74
06/29/2008,0.00000,0,0.00000,475.00000,74
06/30/2008,1677.50000,-1,0.00000,3375.00000,75
07/01/2008,-25.00000,-1,25.00000,1137.50000,75
07/02/2008,-920.00000,1,0.00000,1675.00000,76
07/03/2008,837.50000,1,12.50000,1150.00000,76
07/04/2008,0.00000,0,0.00000,0.00000,76
07/05/2008,0.00000,0,0.00000,0.00000,76
07/06/2008,-1287.50000,1,-550.00000,1462.50000,76
07/07/2008,867.50000,-1,-12.50000,2175.00000,77
07/08/2008,-100.00000,-1,-25.00000,1662.50000,77
07/09/2008,775.00000,-1,-12.50000,1137.50000,77
07/10/2008,262.50000,-1,-25.00000,1000.00000,77
07/11/2008,-907.50000,1,-25.00000,1700.00000,78
07/12/2008,0.00000,0,0.00000,0.00000,78
07/13/2008,-450.00000,1,50.00000,600.00000,78
07/14/2008,-345.00000,-1,25.00000,600.00000,79
07/15/2008,-1245.00000,1,-50.00000,1225.00000,80
07/16/2008,-1607.50000,-1,-50.00000,2125.00000,81
07/17/2008,837.50000,-1,0.00000,1750.00000,81
07/18/2008,200.00000,-1,0.00000,1187.50000,81
07/19/2008,0.00000,0,0.00000,0.00000,81
07/20/2008,600.00000,-1,612.50000,1187.50000,81
07/21/2008,287.50000,-1,25.00000,800.00000,81
07/22/2008,212.50000,-1,-62.50000,775.00000,81
07/23/2008,37.50000,-1,0.00000,1300.00000,81
07/24/2008,62.50000,-1,50.00000,675.00000,81
07/25/2008,405.00000,1,-25.00000,2050.00000,82
07/26/2008,0.00000,0,0.00000,0.00000,82
07/27/2008,687.50000,1,62.50000,950.00000,82
07/28/2008,242.50000,-1,-12.50000,1675.00000,83
07/29/2008,312.50000,-1,12.50000,1062.50000,83
07/30/2008,75.00000,-1,12.50000,512.50000,83
07/31/2008,-495.00000,1,-12.50000,825.00000,84
08/01/2008,462.50000,1,-87.50000,1337.50000,84
08/02/2008,0.00000,0,0.00000,0.00000,84
08/03/2008,-187.50000,1,-100.00000,512.50000,84
08/04/2008,1480.00000,-1,0.00000,2300.00000,85
08/05/2008,-1487.50000,-1,0.00000,3037.50000,85
08/06/2008,675.00000,-1,0.00000,1950.00000,85
08/07/2008,205.00000,1,0.00000,2800.00000,86
08/08/2008,-2575.00000,1,0.00000,2637.50000,86
08/09/2008,0.00000,0,0.00000,0.00000,86
08/10/2008,100.00000,1,0.00000,662.50000,86
08/11/2008,1100.00000,1,0.00000,2612.50000,86
08/12/2008,350.00000,1,-12.50000,1187.50000,86
08/13/2008,2800.00000,0,0.00000,3875.00000,87
08/14/2008,0.00000,0,0.00000,2662.50000,87
08/15/2008,577.50000,-1,0.00000,1937.50000,88
08/16/2008,0.00000,0,0.00000,0.00000,88
08/17/2008,-1087.50000,-1,0.00000,1087.50000,88
08/18/2008,1367.50000,1,75.00000,2275.00000,89
08/19/2008,125.00000,1,12.50000,1600.00000,89
08/20/2008,1400.00000,1,50.00000,1462.50000,89
08/21/2008,-772.50000,1,-12.50000,2937.50000,91
08/22/2008,-1160.00000,0,12.50000,1650.00000,92
08/23/2008,0.00000,0,0.00000,0.00000,92
08/24/2008,0.00000,0,0.00000,962.50000,92
08/25/2008,1902.50000,-1,0.00000,2825.00000,93
08/26/2008,-575.00000,-1,25.00000,1500.00000,93
08/27/2008,1662.50000,0,187.50000,2200.00000,94
08/28/2008,0.00000,0,0.00000,1475.00000,94
08/29/2008,90.00000,-1,0.00000,1087.50000,95
08/30/2008,0.00000,0,0.00000,0.00000,95
08/31/2008,0.00000,0,0.00000,0.00000,95
09/01/2008,700.00000,-1,350.00000,850.00000,95
09/02/2008,1125.00000,-1,50.00000,1437.50000,95
09/03/2008,-775.00000,-1,-75.00000,1112.50000,95
09/04/2008,-1120.00000,1,-50.00000,1250.00000,96
09/05/2008,-220.00000,-1,0.00000,975.00000,97
09/06/2008,0.00000,0,0.00000,0.00000,97
09/07/2008,-737.50000,-1,-250.00000,2125.00000,97
09/08/2008,1737.50000,-1,0.00000,1750.00000,97
09/09/2008,-12.50000,-1,-37.50000,1100.00000,97
09/10/2008,187.50000,-1,0.00000,1200.00000,97
09/11/2008,-375.00000,-1,37.50000,1012.50000,97
09/12/2008,-1220.00000,1,12.50000,1437.50000,98
09/13/2008,0.00000,0,0.00000,0.00000,98
09/14/2008,100.00000,1,300.00000,387.50000,98
09/15/2008,-1457.50000,-1,0.00000,1900.00000,99
09/16/2008,675.00000,-1,-37.50000,1750.00000,99
09/17/2008,-957.50000,1,0.00000,2512.50000,100
09/18/2008,-937.50000,1,-50.00000,2362.50000,100
09/19/2008,862.50000,1,0.00000,1225.00000,100
09/20/2008,0.00000,0,0.00000,0.00000,100
09/21/2008,800.00000,1,237.50000,937.50000,100
09/22/2008,425.00000,1,-50.00000,1487.50000,100
09/23/2008,450.00000,1,12.50000,1550.00000,100
09/24/2008,-1320.00000,-1,-25.00000,2000.00000,101
09/25/2008,-312.50000,-1,-25.00000,950.00000,101
09/26/2008,862.50000,-1,-62.50000,1025.00000,101
09/27/2008,0.00000,0,0.00000,0.00000,101
09/28/2008,487.50000,-1,250.00000,600.00000,101
09/29/2008,2025.00000,0,0.00000,2250.00000,102
09/30/2008,0.00000,0,0.00000,1075.00000,102
10/01/2008,-422.50000,-1,0.00000,1212.50000,103
10/02/2008,1937.50000,-1,0.00000,2387.50000,103
10/03/2008,-75.00000,-1,0.00000,1062.50000,103
10/04/2008,0.00000,0,0.00000,0.00000,103
10/05/2008,1237.50000,-1,362.50000,1250.00000,103
10/06/2008,302.50000,-1,12.50000,1550.00000,105
10/07/2008,-362.50000,-1,25.00000,1275.00000,105
10/08/2008,-125.00000,-1,-12.50000,1587.50000,105
10/09/2008,-2217.50000,0,12.50000,2175.00000,107
10/10/2008,790.00000,-1,0.00000,1700.00000,108
10/11/2008,0.00000,0,0.00000,0.00000,108
10/12/2008,-325.00000,-1,-450.00000,825.00000,108
10/13/2008,-1800.00000,-1,-25.00000,2050.00000,108
10/14/2008,1600.00000,-1,-25.00000,1812.50000,108
10/15/2008,862.50000,-1,0.00000,1475.00000,108
10/16/2008,-512.50000,-1,0.00000,1412.50000,108
10/17/2008,175.00000,-1,-12.50000,750.00000,109
10/18/2008,0.00000,0,0.00000,0.00000,109
10/19/2008,-370.00000,1,-150.00000,850.00000,109
10/20/2008,-495.00000,-1,0.00000,1050.00000,110
10/21/2008,725.00000,-1,-25.00000,950.00000,110
10/22/2008,1425.00000,-1,0.00000,1762.50000,110
10/23/2008,-475.00000,-1,12.50000,1012.50000,110
10/24/2008,840.00000,-1,37.50000,1675.00000,112
10/25/2008,0.00000,0,0.00000,0.00000,112
10/26/2008,-137.50000,-1,-475.00000,475.00000,112
10/27/2008,-1112.50000,-1,37.50000,2125.00000,112
