Date,Equity,Open,TrueRange,Trades
01/14/2008,-370.00,-1,680.00000,1
01/15/2008,1650.00,-1,2150.00000,1
01/16/2008,330.00,-1,1070.00000,1
01/17/2008,270.00,1,1840.00000,2
01/18/2008,480.00,1,1060.00000,2
01/20/2008,-700.00,1,750.00000,2
01/21/2008,-750.00,0,1990.00000,3
01/22/2008,580.00,-1,2280.00000,4
01/23/2008,-840.00,-1,1470.00000,4
01/24/2008,-740.00,0,1460.00000,5
01/25/2008,220.00,-1,820.00000,6
01/27/2008,210.00,-1,450.00000,6
01/28/2008,1030.00,1,1210.00000,7
01/29/2008,-50.00,1,460.00000,7
01/30/2008,-890.00,0,1930.00000,9
01/31/2008,0.00,0,1090.00000,9
02/01/2008,0.00,0,970.00000,9
02/03/2008,0.00,0,280.00000,9
02/04/2008,0.00,0,700.00000,9
02/05/2008,0.00,0,1500.00000,9
02/06/2008,0.00,0,920.00000,9
02/07/2008,370.00,1,1030.00000,10
02/08/2008,240.00,1,710.00000,10
02/10/2008,590.00,1,810.00000,10
02/11/2008,90.00,1,510.00000,10
02/12/2008,40.00,1,670.00000,10
02/13/2008,-130.00,1,1160.00000,10
02/14/2008,210.00,1,600.00000,10
02/15/2008,-390.00,-1,660.00000,11
02/17/2008,-400.00,-1,680.00000,11
02/18/2008,-170.00,0,990.00000,12
02/19/2008,0.00,0,930.00000,12
02/20/2008,0.00,0,910.00000,12
02/21/2008,0.00,0,430.00000,12
02/22/2008,-300.00,-1,750.00000,13
02/24/2008,-210.00,-1,290.00000,13
02/25/2008,-490.00,0,780.00000,14
02/26/2008,-860.00,-1,1130.00000,15
02/27/2008,-140.00,0,1170.00000,16
02/28/2008,0.00,0,1310.00000,16
02/29/2008,0.00,0,1900.00000,16
03/02/2008,0.00,0,470.00000,16
03/03/2008,0.00,0,1560.00000,16
03/04/2008,-300.00,1,1260.00000,17
03/05/2008,950.00,1,1290.00000,17
03/06/2008,-50.00,-1,1410.00000,18
03/07/2008,450.00,-1,1570.00000,18
03/09/2008,-80.00,-1,500.00000,18
03/10/2008,1580.00,1,1490.00000,19
03/11/2008,480.00,-1,1630.00000,20
03/12/2008,-630.00,0,1330.00000,21
03/13/2008,-1000.00,0,1410.00000,23
03/14/2008,0.00,0,970.00000,23
03/16/2008,0.00,0,5210.00000,23
03/17/2008,0.00,0,2450.00000,23
03/18/2008,0.00,0,1370.00000,23
03/19/2008,1430.00,-1,2620.00000,24
03/20/2008,1560.00,-1,2110.00000,24
03/23/2008,-20.00,-1,320.00000,24
03/24/2008,-1230.00,-1,1490.00000,24
03/25/2008,-450.00,-1,780.00000,24
03/26/2008,-430.00,-1,1240.00000,24
03/27/2008,-230.00,-1,840.00000,24
03/28/2008,650.00,-1,930.00000,24
03/30/2008,-220.00,-1,360.00000,24
03/31/2008,720.00,-1,810.00000,24
04/01/2008,-160.00,1,910.00000,25
04/02/2008,670.00,1,1020.00000,25
04/03/2008,450.00,-1,860.00000,26
04/04/2008,-1050.00,-1,1170.00000,26
04/06/2008,190.00,-1,520.00000,26
04/07/2008,-460.00,0,910.00000,27
04/08/2008,0.00,0,800.00000,27
04/09/2008,0.00,0,890.00000,27
04/10/2008,-140.00,-1,510.00000,28
04/11/2008,-240.00,1,660.00000,29
