Date,Equity,Open,TrueRange,Trades
01/11/2008,175.00,1,868.75000,1
01/13/2008,31.25,1,250.00000,1
01/14/2008,-156.25,1,781.25000,1
01/15/2008,206.25,1,1218.75000,1
01/16/2008,268.75,1,1200.00000,1
01/17/2008,287.50,1,1168.75000,1
01/18/2008,-756.25,1,1375.00000,1
01/20/2008,-262.50,1,475.00000,1
01/21/2008,-418.75,0,1031.25000,2
01/22/2008,456.25,-1,2062.50000,4
01/23/2008,150.00,-1,956.25000,4
01/24/2008,-793.75,0,1818.75000,5
01/25/2008,0.00,0,550.00000,5
01/27/2008,181.25,-1,1087.50000,6
01/28/2008,325.00,-1,1012.50000,8
01/29/2008,-256.25,-1,606.25000,8
01/30/2008,-218.75,-1,837.50000,10
01/31/2008,-68.75,-1,650.00000,10
02/01/2008,1512.50,-1,1825.00000,10
02/03/2008,-25.00,-1,337.50000,10
02/04/2008,-400.00,-1,868.75000,10
02/05/2008,618.75,1,1000.00000,11
02/06/2008,-156.25,1,681.25000,11
02/07/2008,-525.00,0,1462.50000,12
02/08/2008,0.00,0,687.50000,12
02/10/2008,0.00,0,237.50000,12
02/11/2008,-181.25,-1,825.00000,13
02/12/2008,-443.75,0,1206.25000,14
02/13/2008,0.00,0,725.00000,14
02/14/2008,0.00,0,706.25000,14
02/15/2008,0.00,0,893.75000,14
02/17/2008,0.00,0,418.75000,14
02/18/2008,0.00,0,1043.75000,14
02/19/2008,0.00,0,562.50000,14
02/20/2008,0.00,0,875.00000,14
02/21/2008,0.00,0,1768.75000,14
02/22/2008,0.00,0,537.50000,14
02/24/2008,0.00,0,256.25000,14
02/25/2008,0.00,0,543.75000,14
02/26/2008,0.00,0,1593.75000,14
02/27/2008,0.00,0,1125.00000,14
02/28/2008,0.00,0,1168.75000,14
02/29/2008,0.00,0,856.25000,14
03/02/2008,0.00,0,450.00000,14
03/03/2008,0.00,0,812.50000,14
03/04/2008,0.00,0,506.25000,14
03/05/2008,668.75,1,1562.50000,15
03/06/2008,1200.00,1,1512.50000,15
03/07/2008,-331.25,-1,693.75000,16
03/09/2008,-212.50,0,462.50000,17
03/10/2008,0.00,0,1137.50000,17
03/11/2008,0.00,0,1300.00000,17
03/12/2008,0.00,0,1443.75000,17
