Date,Equity,Open,TrueRange,Trades
01/10/2008,-100.00,1,1000.00000,1
01/11/2008,-900.00,0,1510.00000,2
01/13/2008,0.00,0,290.00000,2
01/14/2008,0.00,0,620.00000,2
01/15/2008,380.00,-1,790.00000,3
01/16/2008,440.00,-1,1280.00000,3
01/17/2008,350.00,-1,1220.00000,3
01/18/2008,-30.00,-1,780.00000,3
01/20/2008,40.00,-1,260.00000,3
01/21/2008,-330.00,1,760.00000,4
01/22/2008,330.00,1,1570.00000,4
01/23/2008,610.00,1,910.00000,4
01/24/2008,1700.00,1,2340.00000,4
01/25/2008,-360.00,1,850.00000,4
01/27/2008,-220.00,1,320.00000,4
01/28/2008,650.00,1,950.00000,4
01/29/2008,630.00,1,1060.00000,4
01/30/2008,330.00,1,1330.00000,4
01/31/2008,-730.00,1,1620.00000,4
02/01/2008,680.00,1,1210.00000,4
02/03/2008,170.00,1,190.00000,4
02/04/2008,-110.00,1,930.00000,4
02/05/2008,-1210.00,1,1360.00000,4
02/06/2008,90.00,1,950.00000,4
02/07/2008,-400.00,1,770.00000,4
02/08/2008,980.00,1,1590.00000,4
02/10/2008,100.00,1,380.00000,4
02/11/2008,-420.00,1,900.00000,4
02/12/2008,360.00,1,1090.00000,4
02/13/2008,290.00,1,680.00000,4
02/14/2008,240.00,-1,810.00000,5
02/15/2008,880.00,-1,1910.00000,5
02/17/2008,-360.00,-1,310.00000,5
02/18/2008,130.00,-1,490.00000,5
02/19/2008,830.00,-1,1550.00000,5
02/20/2008,-530.00,-1,880.00000,5
02/21/2008,220.00,-1,730.00000,5
02/22/2008,180.00,1,940.00000,6
02/24/2008,0.00,1,220.00000,6
02/25/2008,1380.00,1,1700.00000,6
02/26/2008,1850.00,1,2070.00000,6
02/27/2008,50.00,1,750.00000,6
02/28/2008,10.00,1,1100.00000,6
02/29/2008,-460.00,1,1460.00000,6
03/02/2008,-180.00,1,470.00000,6
03/03/2008,-540.00,1,1110.00000,6
03/04/2008,-260.00,1,1260.00000,6
03/05/2008,770.00,1,1190.00000,6
03/06/2008,-20.00,-1,710.00000,7
03/07/2008,-220.00,-1,1880.00000,9
