Date,Equity,Open,TrueRange,Trades
01/30/2008,-1250.00,0,1900.00000,2
01/31/2008,0.00,0,1412.50000,2
02/01/2008,0.00,0,2225.00000,2
02/03/2008,0.00,0,400.00000,2
02/04/2008,0.00,0,625.00000,2
02/05/2008,0.00,0,2525.00000,2
02/06/2008,0.00,0,1012.50000,2
02/07/2008,0.00,0,2675.00000,2
02/08/2008,0.00,0,1225.00000,2
02/10/2008,0.00,0,537.50000,2
02/11/2008,175.00,-1,1212.50000,3
02/12/2008,-662.50,-1,1500.00000,3
02/13/2008,87.50,-1,862.50000,3
02/14/2008,-1512.50,-1,1087.50000,5
02/15/2008,-587.50,0,900.00000,6
02/17/2008,0.00,0,312.50000,6
02/18/2008,712.50,1,1000.00000,7
02/19/2008,187.50,1,1200.00000,7
02/20/2008,87.50,1,1512.50000,7
02/21/2008,1125.00,1,1700.00000,7
02/22/2008,287.50,1,887.50000,7
02/24/2008,-200.00,1,337.50000,7
02/25/2008,0.00,1,625.00000,7
02/26/2008,2325.00,1,2950.00000,7
02/27/2008,1425.00,1,1887.50000,7
02/28/2008,862.50,1,1950.00000,7
02/29/2008,450.00,-1,1200.00000,8
03/02/2008,-137.50,-1,512.50000,8
03/03/2008,325.00,-1,1512.50000,8
03/04/2008,-112.50,-1,975.00000,8
03/05/2008,-1262.50,-1,1987.50000,8
03/06/2008,-162.50,0,1487.50000,9
03/07/2008,-112.50,-1,1875.00000,10
03/09/2008,150.00,-1,637.50000,10
03/10/2008,212.50,-1,1100.00000,10
03/11/2008,-437.50,1,2612.50000,13
03/12/2008,2400.00,1,2937.50000,13
03/13/2008,787.50,1,1337.50000,13
03/14/2008,-1250.00,0,1937.50000,15
03/16/2008,0.00,0,2825.00000,15
03/17/2008,0.00,0,2062.50000,15
03/18/2008,0.00,0,2700.00000,15
03/19/2008,12.50,1,2712.50000,16
03/20/2008,-1262.50,0,2637.50000,17
03/23/2008,0.00,0,1100.00000,17
03/24/2008,0.00,0,2800.00000,17
03/25/2008,0.00,0,1675.00000,17
03/26/2008,0.00,0,3450.00000,17
03/27/2008,0.00,0,1262.50000,17
