Date,Equity,Open,TrueRange,Trades
01/11/2008,-275.00,-1,712.50000,1
01/13/2008,-200.00,-1,325.00000,1
01/14/2008,-775.00,0,1500.00000,2
01/15/2008,0.00,0,1975.00000,2
01/16/2008,0.00,0,2237.50000,2
01/17/2008,225.00,-1,1637.50000,3
01/18/2008,-50.00,-1,1187.50000,3
01/20/2008,-162.50,-1,312.50000,3
01/21/2008,-662.50,-1,1337.50000,3
01/22/2008,362.50,-1,1812.50000,3
01/23/2008,-962.50,0,2325.00000,4
01/24/2008,-350.00,1,1512.50000,5
01/25/2008,775.00,1,1275.00000,5
01/27/2008,600.00,1,900.00000,5
01/28/2008,-1012.50,-1,1237.50000,6
01/29/2008,512.50,1,862.50000,7
01/30/2008,300.00,1,1562.50000,7
01/31/2008,37.50,1,1312.50000,7
02/01/2008,-200.00,1,1175.00000,7
02/03/2008,-250.00,1,537.50000,7
02/04/2008,-37.50,1,562.50000,7
02/05/2008,500.00,1,1512.50000,7
02/06/2008,-187.50,1,700.00000,7
02/07/2008,1350.00,-1,2125.00000,8
02/08/2008,137.50,-1,550.00000,8
02/10/2008,-412.50,-1,437.50000,8
02/11/2008,-100.00,-1,1000.00000,8
02/12/2008,250.00,-1,775.00000,8
02/13/2008,1125.00,-1,1525.00000,8
02/14/2008,-225.00,-1,1025.00000,8
02/15/2008,-212.50,-1,1150.00000,8
02/17/2008,12.50,-1,275.00000,8
02/18/2008,12.50,-1,575.00000,8
02/19/2008,-87.50,-1,1100.00000,8
02/20/2008,537.50,-1,987.50000,8
02/21/2008,-812.50,-1,1300.00000,8
02/22/2008,-112.50,-1,937.50000,8
02/24/2008,75.00,-1,275.00000,8
02/25/2008,525.00,-1,1100.00000,8
02/26/2008,-912.50,-1,1237.50000,8
02/27/2008,-725.00,-1,1312.50000,8
02/28/2008,-1450.00,0,2337.50000,9
02/29/2008,0.00,0,1425.00000,9
03/02/2008,0.00,0,862.50000,9
03/03/2008,0.00,0,1325.00000,9
03/04/2008,0.00,0,1050.00000,9
03/05/2008,-437.50,1,950.00000,10
03/06/2008,1362.50,1,1687.50000,10
03/07/2008,587.50,1,2200.00000,10
03/09/2008,-50.00,1,725.00000,10
03/10/2008,925.00,-1,1200.00000,11
03/11/2008,1350.00,-1,2312.50000,11
03/12/2008,-2812.50,0,3725.00000,12
03/13/2008,0.00,0,1837.50000,12
03/14/2008,0.00,0,2812.50000,12
03/16/2008,0.00,0,4425.00000,12
03/17/2008,0.00,0,2050.00000,12
03/18/2008,875.00,1,4450.00000,13
03/19/2008,0.00,1,2812.50000,13
03/20/2008,-412.50,1,2262.50000,13
03/23/2008,-487.50,1,950.00000,13
03/24/2008,-1225.00,0,1787.50000,14
03/25/2008,0.00,0,1312.50000,14
03/26/2008,0.00,0,2187.50000,14
03/27/2008,0.00,0,1787.50000,14
03/28/2008,0.00,0,1637.50000,14
03/30/2008,537.50,-1,1737.50000,15
03/31/2008,225.00,-1,1012.50000,15
04/01/2008,2412.50,-1,3200.00000,15
04/02/2008,962.50,-1,1350.00000,15
04/03/2008,50.00,1,1087.50000,16
04/04/2008,112.50,-1,1450.00000,17
04/06/2008,987.50,-1,1412.50000,17
04/07/2008,-212.50,-1,925.00000,17
04/08/2008,837.50,1,1312.50000,18
04/09/2008,1650.00,1,2212.50000,18
04/10/2008,-1400.00,1,2787.50000,18
04/11/2008,1012.50,1,1962.50000,18
04/13/2008,425.00,1,700.00000,18
04/14/2008,750.00,-1,1462.50000,19
04/15/2008,487.50,-1,1387.50000,19
04/16/2008,287.50,-1,1500.00000,19
04/17/2008,612.50,-1,1237.50000,19
04/18/2008,1900.00,-1,2800.00000,19
04/20/2008,-275.00,-1,387.50000,19
04/21/2008,-900.00,-1,1500.00000,19
04/22/2008,12.50,-1,1025.00000,19
04/23/2008,-37.50,1,1250.00000,20
04/24/2008,-812.50,0,1425.00000,21
04/25/2008,0.00,0,1062.50000,21
04/27/2008,0.00,0,512.50000,21
04/28/2008,0.00,0,787.50000,21
04/29/2008,0.00,0,1350.00000,21
04/30/2008,0.00,0,1425.00000,21
05/01/2008,0.00,0,1462.50000,21
05/02/2008,0.00,0,1312.50000,21
05/04/2008,0.00,0,350.00000,21
05/05/2008,112.50,-1,1162.50000,22
05/06/2008,-62.50,-1,1287.50000,22
05/07/2008,-475.00,-1,1612.50000,22
05/08/2008,-825.00,0,1312.50000,23
05/09/2008,0.00,0,1225.00000,23
05/11/2008,0.00,0,1125.00000,23
05/12/2008,0.00,0,925.00000,23
05/13/2008,0.00,0,1775.00000,23
05/14/2008,0.00,0,900.00000,23
05/15/2008,0.00,0,862.50000,23
05/16/2008,-537.50,-1,1837.50000,24
05/18/2008,200.00,-1,400.00000,24
05/19/2008,-125.00,-1,1237.50000,24
05/20/2008,-1537.50,-1,1350.00000,26
05/21/2008,-300.00,-1,1037.50000,28
05/22/2008,1150.00,-1,1700.00000,28
05/23/2008,-900.00,-1,1337.50000,28
05/25/2008,-25.00,-1,325.00000,28
05/26/2008,187.50,-1,325.00000,28
05/27/2008,550.00,-1,1175.00000,28
05/28/2008,1100.00,-1,1625.00000,28
05/29/2008,637.50,-1,1162.50000,28
05/30/2008,-25.00,-1,575.00000,28
06/01/2008,12.50,-1,425.00000,28
06/02/2008,-1275.00,-1,1687.50000,28
06/03/2008,975.00,-1,1950.00000,28
06/04/2008,475.00,-1,1237.50000,28
06/05/2008,637.50,-1,1100.00000,28
06/06/2008,-1650.00,-1,1687.50000,28
06/08/2008,700.00,-1,975.00000,28
06/09/2008,1675.00,-1,2000.00000,28
06/10/2008,1012.50,-1,1125.00000,28
06/11/2008,-162.50,1,1275.00000,29
06/12/2008,-487.50,1,937.50000,29
06/13/2008,-450.00,1,687.50000,29
06/15/2008,-25.00,1,425.00000,29
06/16/2008,50.00,1,912.50000,31
06/17/2008,-412.50,-1,887.50000,32
06/18/2008,-212.50,-1,925.00000,32
06/19/2008,275.00,-1,712.50000,32
06/20/2008,-550.00,-1,900.00000,32
06/22/2008,-12.50,-1,437.50000,32
06/23/2008,737.50,-1,1037.50000,32
06/24/2008,-275.00,-1,925.00000,32
06/25/2008,650.00,1,1062.50000,33
06/26/2008,887.50,1,1725.00000,33
06/27/2008,912.50,1,1537.50000,33
06/29/2008,275.00,1,375.00000,33
06/30/2008,125.00,-1,1587.50000,34
07/01/2008,-187.50,-1,1087.50000,34
07/02/2008,-75.00,1,1125.00000,35
07/03/2008,-700.00,1,1162.50000,35
07/04/2008,-50.00,1,325.00000,35
07/06/2008,-337.50,0,675.00000,36
07/07/2008,-250.00,1,1150.00000,37
07/08/2008,-137.50,1,1437.50000,37
07/09/2008,312.50,1,1100.00000,37
07/10/2008,-300.00,1,787.50000,37
07/11/2008,762.50,1,1825.00000,37
07/13/2008,12.50,1,662.50000,37
07/14/2008,625.00,1,1187.50000,37
07/15/2008,1437.50,1,2062.50000,37
07/16/2008,-400.00,1,1800.00000,37
07/17/2008,-1450.00,1,2537.50000,37
07/18/2008,-812.50,1,1137.50000,37
07/20/2008,137.50,1,300.00000,37
07/21/2008,362.50,1,925.00000,37
07/22/2008,1062.50,-1,1550.00000,38
07/23/2008,650.00,-1,862.50000,38
07/24/2008,-1050.00,-1,1225.00000,38
07/25/2008,1012.50,-1,1512.50000,38
07/27/2008,-12.50,-1,312.50000,38
07/28/2008,-512.50,-1,625.00000,38
07/29/2008,700.00,-1,1087.50000,38
07/30/2008,50.00,-1,712.50000,38
07/31/2008,-400.00,-1,887.50000,38
08/01/2008,-100.00,-1,612.50000,38
08/03/2008,287.50,-1,312.50000,38
08/04/2008,412.50,-1,737.50000,38
08/05/2008,200.00,-1,1000.00000,38
08/06/2008,1300.00,-1,1750.00000,38
08/07/2008,87.50,-1,712.50000,38
08/08/2008,-487.50,1,937.50000,39
08/10/2008,50.00,1,787.50000,39
08/11/2008,-125.00,1,900.00000,39
08/12/2008,1412.50,1,2100.00000,39
08/13/2008,-675.00,1,1325.00000,39
08/14/2008,-787.50,1,962.50000,39
08/15/2008,-125.00,1,587.50000,39
08/17/2008,75.00,1,587.50000,39
08/18/2008,337.50,1,737.50000,39
08/19/2008,-437.50,-1,825.00000,40
08/20/2008,-225.00,-1,725.00000,40
08/21/2008,-762.50,0,1587.50000,41
08/22/2008,0.00,0,1425.00000,41
08/24/2008,0.00,0,500.00000,41
08/25/2008,0.00,0,1200.00000,41
08/26/2008,0.00,0,1087.50000,41
08/27/2008,-75.00,-1,1250.00000,42
08/28/2008,-100.00,-1,987.50000,42
08/29/2008,-612.50,-1,850.00000,42
08/31/2008,87.50,-1,662.50000,42
09/01/2008,-550.00,0,1037.50000,43
09/02/2008,0.00,0,1350.00000,43
09/03/2008,0.00,0,1162.50000,43
09/04/2008,0.00,0,3062.50000,43
09/05/2008,0.00,0,2425.00000,43
09/07/2008,0.00,0,1425.00000,43
09/08/2008,0.00,0,1762.50000,43
09/09/2008,-600.00,-1,1575.00000,44
09/10/2008,237.50,-1,1462.50000,44
09/11/2008,-300.00,-1,1587.50000,46
09/12/2008,-1012.50,-1,1400.00000,46
09/14/2008,-825.00,0,2975.00000,47
09/15/2008,0.00,0,2662.50000,47
09/16/2008,0.00,0,3550.00000,47
09/17/2008,0.00,0,2612.50000,47
09/18/2008,2937.50,-1,3887.50000,48
09/19/2008,62.50,-1,1825.00000,48
09/21/2008,-337.50,-1,1250.00000,48
09/22/2008,-1300.00,-1,2025.00000,48
09/23/2008,450.00,-1,962.50000,48
09/24/2008,187.50,1,987.50000,49
09/25/2008,200.00,1,1837.50000,49
09/26/2008,-625.00,1,1400.00000,49
09/28/2008,-225.00,1,1037.50000,49
09/29/2008,225.00,0,3512.50000,51
09/30/2008,0.00,0,2550.00000,51
10/01/2008,0.00,0,1175.00000,51
10/02/2008,0.00,0,1275.00000,51
10/03/2008,0.00,0,1950.00000,51
10/05/2008,0.00,0,1987.50000,51
10/06/2008,0.00,0,4312.50000,51
10/07/2008,0.00,0,2850.00000,51
10/08/2008,0.00,0,3625.00000,51
10/09/2008,0.00,0,4475.00000,51
10/10/2008,1837.50,-1,3237.50000,52
10/12/2008,-737.50,-1,2087.50000,52
10/13/2008,3175.00,-1,4337.50000,52
10/14/2008,-337.50,1,2225.00000,53
10/15/2008,-1675.00,0,3200.00000,55
10/16/2008,0.00,0,2600.00000,55
10/17/2008,0.00,0,1575.00000,55
10/19/2008,-412.50,1,850.00000,56
10/20/2008,550.00,1,1237.50000,56
10/21/2008,-912.50,0,2287.50000,58
10/22/2008,0.00,0,4237.50000,58
10/23/2008,0.00,0,4025.00000,58
10/24/2008,0.00,0,7462.50000,58
10/26/2008,0.00,0,3725.00000,58
10/27/2008,0.00,0,3187.50000,58
10/28/2008,-1250.00,0,8362.50000,58
10/29/2008,0.00,0,4125.00000,58
10/30/2008,0.00,0,2175.00000,58
10/31/2008,1362.50,-1,3700.00000,59
11/02/2008,1237.50,-1,1687.50000,59
11/03/2008,-750.00,-1,1875.00000,59
11/04/2008,900.00,-1,2512.50000,59
11/05/2008,-2212.50,-1,2800.00000,59
11/06/2008,-437.50,-1,2575.00000,59
11/07/2008,1975.00,-1,2362.50000,59
11/09/2008,-37.50,-1,1262.50000,59
11/10/2008,-1262.50,-1,2612.50000,59
11/11/2008,-337.50,-1,1262.50000,59
11/12/2008,-1687.50,0,4887.50000,60
11/13/2008,0.00,0,4212.50000,60
11/14/2008,0.00,0,2312.50000,60
11/16/2008,0.00,0,2187.50000,60
11/17/2008,0.00,0,1650.00000,60
11/18/2008,0.00,0,1925.00000,60
11/19/2008,0.00,0,2850.00000,60
11/20/2008,0.00,0,3775.00000,60
11/21/2008,0.00,0,2287.50000,60
11/23/2008,0.00,0,1612.50000,60
11/24/2008,0.00,0,3000.00000,60
11/25/2008,0.00,0,2512.50000,60
11/26/2008,-125.00,-1,1912.50000,61
11/27/2008,300.00,-1,937.50000,61
11/28/2008,100.00,-1,887.50000,61
11/30/2008,-187.50,-1,537.50000,61
12/01/2008,-1337.50,0,3287.50000,62
12/02/2008,0.00,0,1512.50000,62
12/03/2008,0.00,0,1425.00000,62
12/04/2008,0.00,0,1550.00000,62
12/05/2008,0.00,0,2675.00000,62
12/07/2008,0.00,0,537.50000,62
12/08/2008,0.00,0,1812.50000,62
12/09/2008,-137.50,-1,1337.50000,63
12/10/2008,-362.50,-1,1000.00000,63
12/11/2008,-750.00,0,6462.50000,64
12/12/2008,0.00,0,3500.00000,64
12/14/2008,0.00,0,1262.50000,64
12/15/2008,0.00,0,1287.50000,64
12/16/2008,0.00,0,3475.00000,64
12/17/2008,0.00,0,3025.00000,64
12/18/2008,0.00,0,3862.50000,64
12/19/2008,0.00,0,2300.00000,64
12/21/2008,-137.50,1,1537.50000,65
12/22/2008,-675.00,1,1462.50000,65
12/23/2008,-437.50,0,1737.50000,66
12/24/2008,0.00,0,800.00000,66
12/26/2008,0.00,0,675.00000,66
12/28/2008,0.00,0,375.00000,66
12/29/2008,-450.00,-1,2175.00000,67
12/30/2008,187.50,-1,875.00000,67
12/31/2008,1412.50,-1,1237.50000,67
01/02/2009,1275.00,-1,2650.00000,67
01/04/2009,-100.00,-1,612.50000,67
01/05/2009,1662.50,-1,2600.00000,67
01/06/2009,1175.00,-1,2450.00000,67
01/07/2009,-2062.50,-1,2450.00000,67
01/08/2009,-1987.50,-1,2625.00000,67
01/09/2009,-1475.00,-1,2337.50000,67
01/11/2009,-62.50,-1,575.00000,67
01/12/2009,-825.00,0,2112.50000,68
01/13/2009,0.00,0,1725.00000,68
01/14/2009,-512.50,-1,2150.00000,69
01/15/2009,-737.50,0,3075.00000,70
01/16/2009,0.00,0,1300.00000,70
01/18/2009,50.00,1,1012.50000,71
01/19/2009,875.00,1,1400.00000,71
01/20/2009,600.00,1,2187.50000,71
01/21/2009,1075.00,1,4937.50000,71
01/22/2009,1037.50,1,2287.50000,71
01/23/2009,150.00,1,2625.00000,71
01/25/2009,-812.50,1,1700.00000,71
01/26/2009,-762.50,1,1937.50000,71
01/27/2009,337.50,1,2625.00000,71
01/28/2009,-1137.50,1,2987.50000,71
01/29/2009,850.00,1,1737.50000,71
01/30/2009,150.00,-1,1475.00000,72
02/01/2009,-75.00,-1,737.50000,72
02/02/2009,-375.00,-1,1887.50000,72
02/03/2009,-1112.50,0,1850.00000,73
02/04/2009,0.00,0,1525.00000,73
02/05/2009,-1250.00,0,4675.00000,75
02/06/2009,0.00,0,2225.00000,75
02/08/2009,0.00,0,1462.50000,75
02/09/2009,0.00,0,1375.00000,75
02/10/2009,0.00,0,2200.00000,75
02/11/2009,0.00,0,1687.50000,75
02/12/2009,0.00,0,2237.50000,75
02/13/2009,0.00,0,1825.00000,75
02/15/2009,0.00,0,775.00000,75
02/16/2009,0.00,0,1825.00000,75
02/17/2009,-1250.00,0,1725.00000,77
02/18/2009,0.00,0,2462.50000,77
02/19/2009,0.00,0,1675.00000,77
02/20/2009,0.00,0,2725.00000,77
02/22/2009,0.00,0,1137.50000,77
02/23/2009,0.00,0,3287.50000,77
02/24/2009,0.00,0,3137.50000,77
02/25/2009,0.00,0,2150.00000,77
02/26/2009,175.00,1,1812.50000,78
02/27/2009,-162.50,-1,1750.00000,79
03/01/2009,350.00,-1,1300.00000,79
03/02/2009,87.50,-1,1012.50000,79
03/03/2009,1150.00,-1,1562.50000,79
03/04/2009,1087.50,-1,1462.50000,79
03/05/2009,1600.00,1,2550.00000,80
03/06/2009,87.50,1,2487.50000,80
03/08/2009,50.00,1,612.50000,80
03/09/2009,-887.50,1,1475.00000,80
03/10/2009,562.50,1,1400.00000,80
03/11/2009,2950.00,1,3625.00000,80
03/12/2009,-2100.00,1,3812.50000,80
03/13/2009,-450.00,1,1687.50000,80
03/15/2009,-150.00,1,1225.00000,80
03/16/2009,-212.50,1,862.50000,80
03/17/2009,-112.50,1,975.00000,80
03/18/2009,3200.00,1,4137.50000,80
03/19/2009,1925.00,1,3575.00000,80
03/20/2009,-1475.00,1,2925.00000,80
03/22/2009,-637.50,1,1562.50000,80
03/23/2009,-2262.50,1,3187.50000,80
03/24/2009,75.00,1,1375.00000,80
03/25/2009,12.50,1,1562.50000,80
03/26/2009,-750.00,1,1562.50000,80
03/27/2009,187.50,1,1775.00000,80
03/29/2009,1337.50,1,875.00000,80
03/30/2009,-1312.50,1,3312.50000,80
03/31/2009,-512.50,1,2225.00000,80
04/01/2009,-337.50,1,1050.00000,80
04/02/2009,-1000.00,1,1900.00000,80
04/03/2009,-900.00,0,1337.50000,81
04/05/2009,0.00,0,900.00000,81
04/06/2009,0.00,0,1487.50000,81
04/07/2009,0.00,0,1850.00000,81
04/08/2009,87.50,-1,1387.50000,82
04/09/2009,500.00,-1,1012.50000,82
04/12/2009,125.00,-1,387.50000,82
04/13/2009,1037.50,1,1462.50000,83
04/14/2009,1937.50,1,2037.50000,83
04/15/2009,-825.00,1,1975.00000,83
04/16/2009,-700.00,1,1625.00000,83
04/17/2009,287.50,1,1187.50000,83
04/19/2009,362.50,1,1037.50000,83
04/20/2009,875.00,1,1912.50000,83
04/21/2009,62.50,1,1500.00000,83
04/22/2009,162.50,-1,1187.50000,84
04/23/2009,-1050.00,0,1725.00000,85
04/24/2009,0.00,0,1087.50000,85
04/26/2009,0.00,0,900.00000,85
04/27/2009,-650.00,-1,912.50000,86
04/28/2009,1025.00,-1,1912.50000,86
04/29/2009,712.50,-1,1900.00000,86
04/30/2009,1900.00,-1,2662.50000,86
05/01/2009,787.50,-1,1075.00000,86
05/03/2009,37.50,-1,587.50000,86
05/04/2009,-925.00,-1,1187.50000,86
05/05/2009,-787.50,-1,1525.00000,86
05/06/2009,512.50,-1,1525.00000,86
05/07/2009,862.50,-1,1775.00000,86
05/08/2009,-637.50,-1,1675.00000,86
05/10/2009,-275.00,-1,875.00000,86
05/11/2009,-1537.50,-1,2212.50000,86
05/12/2009,-1075.00,-1,2800.00000,86
05/13/2009,-1200.00,0,2125.00000,87
05/14/2009,-87.50,1,1475.00000,88
05/15/2009,375.00,-1,1787.50000,89
05/17/2009,-512.50,-1,900.00000,89
05/18/2009,2287.50,-1,2587.50000,89
05/19/2009,-1012.50,-1,1650.00000,89
05/20/2009,-1675.00,0,2500.00000,90
05/21/2009,12.50,-1,1962.50000,91
05/22/2009,750.00,-1,1525.00000,91
05/24/2009,150.00,-1,562.50000,91
05/25/2009,262.50,1,837.50000,92
05/26/2009,-1062.50,1,1350.00000,92
05/27/2009,-412.50,0,2250.00000,93
05/28/2009,0.00,0,1337.50000,93
05/29/2009,0.00,0,2575.00000,93
05/31/2009,237.50,-1,1137.50000,94
06/01/2009,1812.50,-1,3225.00000,94
06/02/2009,-1187.50,-1,1725.00000,94
06/03/2009,750.00,-1,1162.50000,94
06/04/2009,-250.00,1,1225.00000,95
06/05/2009,-700.00,0,3050.00000,96
06/07/2009,0.00,0,637.50000,96
06/08/2009,0.00,0,912.50000,96
06/09/2009,-1250.00,0,1687.50000,98
06/10/2009,0.00,0,1237.50000,98
06/11/2009,0.00,0,1687.50000,98
06/12/2009,0.00,0,875.00000,98
06/14/2009,50.00,1,637.50000,99
06/15/2009,2175.00,1,2687.50000,99
06/16/2009,150.00,1,1737.50000,99
06/17/2009,1237.50,1,1700.00000,99
06/18/2009,-1237.50,1,1525.00000,99
06/19/2009,662.50,1,1612.50000,99
06/21/2009,112.50,1,687.50000,99
06/22/2009,1087.50,1,1575.00000,99
06/23/2009,-1987.50,0,1400.00000,101
06/24/2009,-362.50,1,1637.50000,102
06/25/2009,525.00,1,1325.00000,102
06/26/2009,712.50,1,1387.50000,102
06/28/2009,-200.00,1,600.00000,102
06/29/2009,-300.00,1,1412.50000,102
06/30/2009,-1625.00,0,2275.00000,103
07/01/2009,0.00,0,937.50000,103
07/02/2009,0.00,0,1612.50000,103
07/03/2009,0.00,0,425.00000,103
07/05/2009,0.00,0,1150.00000,103
07/06/2009,0.00,0,1337.50000,103
07/07/2009,0.00,0,1587.50000,103
07/08/2009,0.00,0,3837.50000,103
07/09/2009,0.00,0,1587.50000,103
07/10/2009,-37.50,-1,1900.00000,104
07/12/2009,125.00,-1,837.50000,104
07/13/2009,1012.50,-1,2062.50000,104
07/14/2009,-1050.00,1,1525.00000,105
07/15/2009,-450.00,0,1737.50000,106
07/16/2009,0.00,0,1237.50000,106
07/17/2009,0.00,0,1162.50000,106
07/19/2009,0.00,0,712.50000,106
07/20/2009,-150.00,-1,1462.50000,108
07/21/2009,-837.50,0,1587.50000,109
07/22/2009,0.00,0,1762.50000,109
07/23/2009,0.00,0,1687.50000,109
07/24/2009,0.00,0,575.00000,109
07/26/2009,0.00,0,325.00000,109
07/27/2009,0.00,0,925.00000,109
07/28/2009,0.00,0,1612.50000,109
07/29/2009,0.00,0,1912.50000,109
07/30/2009,0.00,0,1437.50000,109
07/31/2009,0.00,0,1925.00000,109
08/02/2009,0.00,0,325.00000,109
08/03/2009,0.00,0,1212.50000,109
08/04/2009,0.00,0,1537.50000,109
08/05/2009,0.00,0,1075.00000,109
08/06/2009,0.00,0,1075.00000,109
08/07/2009,0.00,0,3712.50000,109
08/09/2009,0.00,0,850.00000,109
08/10/2009,0.00,0,1262.50000,109
08/11/2009,0.00,0,1962.50000,109
08/12/2009,0.00,0,2275.00000,109
08/13/2009,0.00,0,2000.00000,109
08/14/2009,0.00,0,1325.00000,109
08/16/2009,0.00,0,600.00000,109
08/17/2009,62.50,1,1162.50000,110
08/18/2009,175.00,1,1112.50000,110
08/19/2009,450.00,1,1500.00000,110
08/20/2009,75.00,-1,1525.00000,111
08/21/2009,1400.00,1,1850.00000,112
08/23/2009,-362.50,1,737.50000,112
08/24/2009,987.50,1,1612.50000,112
08/25/2009,-850.00,-1,1212.50000,113
08/26/2009,-600.00,-1,1450.00000,113
08/27/2009,-300.00,0,1075.00000,114
08/28/2009,0.00,0,975.00000,114
08/30/2009,0.00,0,1587.50000,114
08/31/2009,0.00,0,1037.50000,114
09/01/2009,25.00,-1,1350.00000,115
09/02/2009,-1275.00,0,1637.50000,116
09/03/2009,0.00,0,837.50000,116
09/04/2009,-525.00,1,1437.50000,117
09/06/2009,-125.00,1,337.50000,117
09/07/2009,600.00,1,787.50000,117
09/08/2009,625.00,1,1137.50000,117
09/09/2009,550.00,1,1475.00000,117
09/10/2009,950.00,1,1375.00000,117
