Date,Equity,Open,TrueRange,Trades
10/10/2013,280.00,1,820.00000,1
10/11/2013,180.00,1,560.00000,1
10/13/2013,210.00,1,250.00000,1
10/14/2013,180.00,-1,740.00000,2
10/15/2013,-10.00,-1,500.00000,2
10/16/2013,-430.00,-1,610.00000,2
10/17/2013,-400.00,0,1080.00000,3
10/18/2013,0.00,0,680.00000,3
10/20/2013,0.00,0,330.00000,3
10/21/2013,-190.00,1,580.00000,4
10/22/2013,-300.00,1,1070.00000,4
10/23/2013,-510.00,0,1030.00000,5
10/24/2013,0.00,1,1440.00000,6
10/25/2013,-360.00,1,610.00000,6
10/27/2013,200.00,1,330.00000,6
10/28/2013,-280.00,1,730.00000,6
10/29/2013,-560.00,0,670.00000,7
10/30/2013,0.00,0,920.00000,7
10/31/2013,0.00,0,750.00000,7
11/01/2013,0.00,0,770.00000,7
11/03/2013,0.00,0,430.00000,7
11/04/2013,160.00,-1,520.00000,8
11/05/2013,-1160.00,0,1340.00000,9
11/06/2013,0.00,0,620.00000,9
11/07/2013,-210.00,1,880.00000,10
11/08/2013,-790.00,0,1250.00000,11
11/10/2013,0.00,0,440.00000,11
11/11/2013,0.00,0,760.00000,11
11/12/2013,-100.00,1,820.00000,12
11/13/2013,630.00,1,1500.00000,12
11/14/2013,-30.00,1,670.00000,12
11/15/2013,540.00,1,710.00000,12
11/17/2013,-310.00,-1,340.00000,13
11/18/2013,310.00,-1,950.00000,13
11/19/2013,-150.00,-1,770.00000,13
11/20/2013,840.00,-1,1100.00000,13
11/21/2013,630.00,-1,830.00000,13
11/22/2013,-30.00,-1,1090.00000,13
11/24/2013,-60.00,-1,440.00000,13
11/25/2013,-560.00,-1,770.00000,13
11/26/2013,580.00,1,1140.00000,14
11/27/2013,-160.00,1,970.00000,14
11/28/2013,-810.00,0,920.00000,15
11/29/2013,500.00,1,640.00000,16
12/01/2013,310.00,1,790.00000,16
12/02/2013,-280.00,1,670.00000,16
12/03/2013,260.00,1,990.00000,16
12/04/2013,130.00,1,530.00000,16
12/05/2013,-90.00,1,770.00000,16
12/06/2013,950.00,1,1540.00000,16
12/08/2013,20.00,1,400.00000,16
12/09/2013,10.00,1,430.00000,16
12/10/2013,700.00,-1,580.00000,17
12/11/2013,60.00,1,910.00000,18
12/12/2013,-650.00,1,1160.00000,18
12/13/2013,460.00,1,690.00000,18
12/15/2013,130.00,1,380.00000,18
12/16/2013,-560.00,-1,450.00000,19
12/17/2013,400.00,-1,470.00000,19
12/18/2013,570.00,-1,1810.00000,19
12/19/2013,-210.00,-1,670.00000,19
12/20/2013,-60.00,-1,730.00000,19
12/22/2013,30.00,-1,290.00000,19
12/23/2013,230.00,-1,370.00000,19
12/24/2013,-350.00,1,230.00000,20
12/26/2013,120.00,1,420.00000,20
12/27/2013,-40.00,-1,530.00000,21
12/29/2013,160.00,-1,380.00000,21
12/30/2013,-880.00,-1,1010.00000,21
12/31/2013,750.00,-1,390.00000,21
01/02/2014,30.00,1,1030.00000,22
01/03/2014,200.00,1,820.00000,22
01/05/2014,-110.00,1,290.00000,22
01/06/2014,40.00,1,530.00000,22
01/07/2014,330.00,1,490.00000,22
01/08/2014,410.00,-1,780.00000,23
01/09/2014,60.00,-1,400.00000,23
01/10/2014,760.00,1,1080.00000,24
01/12/2014,250.00,1,520.00000,24
01/13/2014,610.00,1,760.00000,24
01/14/2014,-470.00,1,980.00000,24
01/15/2014,-170.00,1,620.00000,24
01/16/2014,-200.00,1,720.00000,24
01/17/2014,-460.00,1,620.00000,24
01/19/2014,-110.00,1,350.00000,24
01/20/2014,820.00,1,1280.00000,24
01/21/2014,-80.00,1,430.00000,24
01/22/2014,660.00,-1,820.00000,25
01/23/2014,250.00,-1,790.00000,25
01/24/2014,310.00,-1,710.00000,25
01/26/2014,-50.00,-1,450.00000,25
01/27/2014,-320.00,-1,600.00000,25
01/28/2014,-90.00,-1,560.00000,25
01/29/2014,1000.00,-1,1190.00000,25
01/30/2014,290.00,-1,600.00000,25
01/31/2014,410.00,-1,990.00000,25
02/02/2014,-120.00,-1,340.00000,25
02/03/2014,520.00,1,850.00000,26
02/04/2014,970.00,1,1550.00000,26
02/05/2014,280.00,1,630.00000,26
02/06/2014,-270.00,-1,740.00000,27
02/07/2014,-430.00,-1,720.00000,27
02/09/2014,50.00,-1,290.00000,27
02/10/2014,-180.00,-1,520.00000,27
02/11/2014,-310.00,0,620.00000,28
02/12/2014,-90.00,1,690.00000,29
02/13/2014,440.00,1,750.00000,29
02/14/2014,360.00,1,520.00000,29
02/16/2014,60.00,-1,270.00000,30
02/17/2014,210.00,-1,410.00000,30
02/18/2014,380.00,-1,710.00000,30
02/19/2014,480.00,-1,990.00000,30
02/20/2014,200.00,1,610.00000,31
