Date,Equity,Open,TrueRange,Trades
01/16/2008,1575.00,-1,1975.00000,1
01/17/2008,300.00,-1,1387.50000,1
01/18/2008,-262.50,-1,837.50000,1
01/20/2008,287.50,-1,687.50000,1
01/21/2008,537.50,-1,1287.50000,1
01/22/2008,-1512.50,-1,1850.00000,1
01/23/2008,-400.00,-1,1225.00000,1
01/24/2008,250.00,-1,750.00000,1
01/25/2008,287.50,-1,1137.50000,1
01/27/2008,-62.50,-1,362.50000,1
01/28/2008,-437.50,-1,937.50000,1
01/29/2008,412.50,-1,775.00000,1
01/30/2008,-1137.50,-1,1675.00000,1
01/31/2008,-50.00,-1,1100.00000,1
02/01/2008,-312.50,-1,1925.00000,3
02/03/2008,137.50,-1,462.50000,3
02/04/2008,-12.50,-1,662.50000,3
02/05/2008,825.00,-1,1725.00000,3
02/06/2008,75.00,-1,562.50000,3
02/07/2008,-25.00,1,1775.00000,4
02/08/2008,100.00,1,812.50000,4
02/10/2008,350.00,1,337.50000,4
02/11/2008,-737.50,-1,1062.50000,5
02/12/2008,62.50,-1,650.00000,5
02/13/2008,600.00,-1,937.50000,5
02/14/2008,-1025.00,-1,1475.00000,5
02/15/2008,-637.50,0,1062.50000,6
02/17/2008,0.00,0,187.50000,6
02/18/2008,0.00,0,1175.00000,6
02/19/2008,0.00,0,1150.00000,6
02/20/2008,0.00,0,950.00000,6
02/21/2008,1012.50,1,1775.00000,7
02/22/2008,537.50,1,950.00000,7
02/24/2008,-300.00,1,450.00000,7
02/25/2008,-112.50,1,737.50000,7
02/26/2008,1775.00,1,1987.50000,7
02/27/2008,1187.50,1,1437.50000,7
02/28/2008,1262.50,1,1787.50000,7
02/29/2008,1950.00,1,1487.50000,7
03/02/2008,12.50,1,975.00000,7
03/03/2008,-462.50,-1,1725.00000,8
03/04/2008,-312.50,-1,1075.00000,8
03/05/2008,-387.50,-1,1100.00000,8
03/06/2008,-775.00,0,1900.00000,9
03/07/2008,0.00,0,1825.00000,9
03/09/2008,0.00,0,687.50000,9
03/10/2008,0.00,0,987.50000,9
03/11/2008,87.50,-1,2437.50000,10
03/12/2008,-1337.50,0,2512.50000,11
03/13/2008,0.00,0,1425.00000,11
03/14/2008,-1700.00,0,2187.50000,13
03/16/2008,0.00,0,4437.50000,13
03/17/2008,0.00,0,2137.50000,13
