Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
12/31/2007,0,0.00,4572.50,12165.00,16737.50,-437.50
01/01/2008,0,0,4572.50,12165.00,16737.50,0
01/02/2008,0,0.00,4572.50,13890.00,18462.50,1725.00
01/03/2008,0,0.00,4572.50,14827.50,19400.00,937.50
01/04/2008,0,0.00,4572.50,14577.50,19150.00,-250.00
01/05/2008,0,0,4572.50,14577.50,19150.00,0
01/06/2008,0,0,4572.50,14577.50,19150.00,0
01/07/2008,0,0.00,4572.50,13940.00,18512.50,-637.50
01/08/2008,0,0.00,4572.50,14802.50,19375.00,862.50
01/09/2008,0,0.00,4572.50,14577.50,19150.00,-225.00
01/10/2008,0,0.00,4572.50,14465.00,19037.50,-112.50
01/11/2008,0,0.00,4572.50,16390.00,20962.50,1925.00
01/12/2008,0,0,4572.50,16390.00,20962.50,0
01/13/2008,0,0,4572.50,16390.00,20962.50,0
01/14/2008,0,0.00,4572.50,16277.50,20850.00,-112.50
01/15/2008,0,0.00,4572.50,16527.50,21100.00,250.00
01/16/2008,0,0.00,4572.50,15302.50,19875.00,-1225.00
01/17/2008,0,0.00,4572.50,15002.50,19575.00,-300.00
01/18/2008,0,0.00,4572.50,14652.50,19225.00,-350.00
01/19/2008,0,0,4572.50,14652.50,19225.00,0
01/20/2008,0,0,4572.50,14652.50,19225.00,0
01/21/2008,0,0,4572.50,14652.50,19225.00,0
01/22/2008,0,0.00,4572.50,13427.50,18000.00,-1225.00
01/23/2008,0,0.00,4572.50,10927.50,15500.00,-2500.00
01/24/2008,0,0.00,4572.50,12977.50,17550.00,2050.00
01/25/2008,0,0.00,4572.50,13602.50,18175.00,625.00
01/26/2008,0,0,4572.50,13602.50,18175.00,0
01/27/2008,0,0,4572.50,13602.50,18175.00,0
01/28/2008,0,0.00,4572.50,14140.00,18712.50,537.50
01/29/2008,0,0.00,4572.50,14790.00,19362.50,650.00
01/30/2008,0,0.00,4572.50,15240.00,19812.50,450.00
01/31/2008,0,0.00,4572.50,15177.50,19750.00,-62.50
02/01/2008,0,0.00,4572.50,15815.00,20387.50,637.50
02/02/2008,0,0,4572.50,15815.00,20387.50,0
02/03/2008,0,0,4572.50,15815.00,20387.50,0
02/04/2008,0,0.00,4572.50,17752.50,22325.00,1937.50
02/05/2008,0,0.00,4572.50,17602.50,22175.00,-150.00
02/06/2008,0,0.00,4572.50,17377.50,21950.00,-225.00
02/07/2008,1,17205.00,21777.50,17205.00,21777.50,-172.50
02/08/2008,0,0.00,21777.50,0.00,21777.50,0.00
02/09/2008,0,0,21777.50,0.00,21777.50,0
02/10/2008,0,0,21777.50,0.00,21777.50,0
02/11/2008,0,0.00,21777.50,0.00,21777.50,0.00
02/12/2008,0,0.00,21777.50,0.00,21777.50,0.00
02/13/2008,0,0.00,21777.50,0.00,21777.50,0.00
02/14/2008,0,0.00,21777.50,0.00,21777.50,0.00
02/15/2008,0,0.00,21777.50,0.00,21777.50,0.00
02/16/2008,0,0,21777.50,0.00,21777.50,0
02/17/2008,0,0,21777.50,0.00,21777.50,0
02/18/2008,0,0,21777.50,0.00,21777.50,0
02/19/2008,0,0.00,21777.50,0.00,21777.50,0.00
02/20/2008,0,0.00,21777.50,0.00,21777.50,0.00
02/21/2008,0,0.00,21777.50,0.00,21777.50,0.00
02/22/2008,0,0.00,21777.50,0.00,21777.50,0.00
02/23/2008,0,0,21777.50,0.00,21777.50,0
02/24/2008,0,0,21777.50,0.00,21777.50,0
02/25/2008,0,0.00,21777.50,0.00,21777.50,0.00
02/26/2008,0,0.00,21777.50,0.00,21777.50,0.00
02/27/2008,0,0.00,21777.50,0.00,21777.50,0.00
02/28/2008,0,0.00,21777.50,0.00,21777.50,0.00
02/29/2008,0,0.00,21777.50,0.00,21777.50,0.00
03/01/2008,0,0,21777.50,0.00,21777.50,0
03/02/2008,0,0,21777.50,0.00,21777.50,0
03/03/2008,0,0.00,21777.50,0.00,21777.50,0.00
03/04/2008,0,0.00,21777.50,0.00,21777.50,0.00
03/05/2008,0,0.00,21777.50,-197.50,21580.00,-197.50
03/06/2008,0,0.00,21777.50,-2685.00,19092.50,-2487.50
03/07/2008,0,0.00,21777.50,-5185.00,16592.50,-2500.00
03/08/2008,0,0,21777.50,-5185.00,16592.50,0
03/09/2008,0,0,21777.50,-5185.00,16592.50,0
03/10/2008,1,-7145.00,14632.50,-7145.00,14632.50,-1960.00
03/11/2008,0,0.00,14632.50,0.00,14632.50,0.00
03/12/2008,0,0.00,14632.50,0.00,14632.50,0.00
03/13/2008,0,0.00,14632.50,0.00,14632.50,0.00
03/14/2008,0,0.00,14632.50,0.00,14632.50,0.00
03/15/2008,0,0,14632.50,0.00,14632.50,0
03/16/2008,0,0,14632.50,0.00,14632.50,0
03/17/2008,0,0.00,14632.50,0.00,14632.50,0.00
03/18/2008,0,0.00,14632.50,0.00,14632.50,0.00
03/19/2008,0,0.00,14632.50,0.00,14632.50,0.00
03/20/2008,0,0.00,14632.50,0.00,14632.50,0.00
03/21/2008,0,0,14632.50,0.00,14632.50,0
03/22/2008,0,0,14632.50,0.00,14632.50,0
03/23/2008,0,0,14632.50,0.00,14632.50,0
03/24/2008,0,0.00,14632.50,0.00,14632.50,0.00
03/25/2008,0,0.00,14632.50,0.00,14632.50,0.00
03/26/2008,0,0.00,14632.50,0.00,14632.50,0.00
03/27/2008,0,0.00,14632.50,0.00,14632.50,0.00
03/28/2008,0,0.00,14632.50,0.00,14632.50,0.00
03/29/2008,0,0,14632.50,0.00,14632.50,0
03/30/2008,0,0,14632.50,0.00,14632.50,0
03/31/2008,0,0.00,14632.50,0.00,14632.50,0.00
04/01/2008,0,0.00,14632.50,-2222.50,12410.00,-2222.50
04/02/2008,0,0.00,14632.50,-3822.50,10810.00,-1600.00
04/03/2008,0,0.00,14632.50,-4522.50,10110.00,-700.00
04/04/2008,0,0.00,14632.50,-5522.50,9110.00,-1000.00
04/05/2008,0,0,14632.50,-5522.50,9110.00,0
04/06/2008,0,0,14632.50,-5522.50,9110.00,0
04/07/2008,1,-5482.50,9150.00,-5482.50,9150.00,40.00
04/08/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/09/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/10/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/11/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/12/2008,0,0,9150.00,0.00,9150.00,0
04/13/2008,0,0,9150.00,0.00,9150.00,0
04/14/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/15/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/16/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/17/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/18/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/19/2008,0,0,9150.00,0.00,9150.00,0
04/20/2008,0,0,9150.00,0.00,9150.00,0
04/21/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/22/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/23/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/24/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/25/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/26/2008,0,0,9150.00,0.00,9150.00,0
04/27/2008,0,0,9150.00,0.00,9150.00,0
04/28/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/29/2008,0,0.00,9150.00,0.00,9150.00,0.00
04/30/2008,0,0.00,9150.00,0.00,9150.00,0.00
05/01/2008,0,0.00,9150.00,0.00,9150.00,0.00
05/02/2008,0,0.00,9150.00,0.00,9150.00,0.00
05/03/2008,0,0,9150.00,0.00,9150.00,0
05/04/2008,0,0,9150.00,0.00,9150.00,0
05/05/2008,0,0.00,9150.00,0.00,9150.00,0.00
05/06/2008,0,0.00,9150.00,0.00,9150.00,0.00
05/07/2008,0,0.00,9150.00,0.00,9150.00,0.00
05/08/2008,0,0.00,9150.00,0.00,9150.00,0.00
