Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
12/31/2007,0,0.00,38087.50,612.50,38700.00,412.50
01/01/2008,0,0,38087.50,612.50,38700.00,0
01/02/2008,0,0.00,38087.50,1550.00,39637.50,937.50
01/03/2008,1,1537.50,39625.00,1537.50,39625.00,-12.50
01/04/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/05/2008,0,0,39625.00,0.00,39625.00,0
01/06/2008,0,0,39625.00,0.00,39625.00,0
01/07/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/08/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/09/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/10/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/11/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/12/2008,0,0,39625.00,0.00,39625.00,0
01/13/2008,0,0,39625.00,0.00,39625.00,0
01/14/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/15/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/16/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/17/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/18/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/19/2008,0,0,39625.00,0.00,39625.00,0
01/20/2008,0,0,39625.00,0.00,39625.00,0
01/21/2008,0,0,39625.00,0.00,39625.00,0
01/22/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/23/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/24/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/25/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/26/2008,0,0,39625.00,0.00,39625.00,0
01/27/2008,0,0,39625.00,0.00,39625.00,0
01/28/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/29/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/30/2008,0,0.00,39625.00,0.00,39625.00,0.00
01/31/2008,0,0.00,39625.00,-1500.00,38125.00,-1500.00
02/01/2008,0,0.00,39625.00,-2375.00,37250.00,-875.00
02/02/2008,0,0,39625.00,-2375.00,37250.00,0
02/03/2008,0,0,39625.00,-2375.00,37250.00,0
02/04/2008,0,0.00,39625.00,-1462.50,38162.50,912.50
02/05/2008,0,0.00,39625.00,312.50,39937.50,1775.00
02/06/2008,0,0.00,39625.00,975.00,40600.00,662.50
02/07/2008,1,875.00,40500.00,875.00,40500.00,-100.00
02/08/2008,0,0.00,40500.00,0.00,40500.00,0.00
02/09/2008,0,0,40500.00,0.00,40500.00,0
02/10/2008,0,0,40500.00,0.00,40500.00,0
02/11/2008,0,0.00,40500.00,0.00,40500.00,0.00
02/12/2008,0,0.00,40500.00,0.00,40500.00,0.00
02/13/2008,0,0.00,40500.00,0.00,40500.00,0.00
02/14/2008,0,0.00,40500.00,0.00,40500.00,0.00
02/15/2008,0,0.00,40500.00,0.00,40500.00,0.00
02/16/2008,0,0,40500.00,0.00,40500.00,0
02/17/2008,0,0,40500.00,0.00,40500.00,0
02/18/2008,0,0,40500.00,0.00,40500.00,0
02/19/2008,0,0.00,40500.00,0.00,40500.00,0.00
02/20/2008,0,0.00,40500.00,0.00,40500.00,0.00
02/21/2008,0,0.00,40500.00,0.00,40500.00,0.00
02/22/2008,0,0.00,40500.00,0.00,40500.00,0.00
02/23/2008,0,0,40500.00,0.00,40500.00,0
02/24/2008,0,0,40500.00,0.00,40500.00,0
02/25/2008,0,0.00,40500.00,0.00,40500.00,0.00
02/26/2008,0,0.00,40500.00,0.00,40500.00,0.00
02/27/2008,0,0.00,40500.00,0.00,40500.00,0.00
02/28/2008,0,0.00,40500.00,0.00,40500.00,0.00
02/29/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/01/2008,0,0,40500.00,0.00,40500.00,0
03/02/2008,0,0,40500.00,0.00,40500.00,0
03/03/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/04/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/05/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/06/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/07/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/08/2008,0,0,40500.00,0.00,40500.00,0
03/09/2008,0,0,40500.00,0.00,40500.00,0
03/10/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/11/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/12/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/13/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/14/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/15/2008,0,0,40500.00,0.00,40500.00,0
03/16/2008,0,0,40500.00,0.00,40500.00,0
03/17/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/18/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/19/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/20/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/21/2008,0,0,40500.00,0.00,40500.00,0
03/22/2008,0,0,40500.00,0.00,40500.00,0
03/23/2008,0,0,40500.00,0.00,40500.00,0
03/24/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/25/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/26/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/27/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/28/2008,0,0.00,40500.00,0.00,40500.00,0.00
03/29/2008,0,0,40500.00,0.00,40500.00,0
03/30/2008,0,0,40500.00,0.00,40500.00,0
03/31/2008,0,0.00,40500.00,-262.50,40237.50,-262.50
04/01/2008,0,0.00,40500.00,-2587.50,37912.50,-2325.00
04/02/2008,0,0.00,40500.00,-2612.50,37887.50,-25.00
04/03/2008,0,0.00,40500.00,-2737.50,37762.50,-125.00
04/04/2008,0,0.00,40500.00,-2662.50,37837.50,75.00
04/05/2008,0,0,40500.00,-2662.50,37837.50,0
04/06/2008,0,0,40500.00,-2662.50,37837.50,0
04/07/2008,0,0.00,40500.00,-2675.00,37825.00,-12.50
04/08/2008,0,0.00,40500.00,-2612.50,37887.50,62.50
04/09/2008,0,0.00,40500.00,-2075.00,38425.00,537.50
04/10/2008,0,0.00,40500.00,-2200.00,38300.00,-125.00
04/11/2008,0,0.00,40500.00,-837.50,39662.50,1362.50
04/12/2008,0,0,40500.00,-837.50,39662.50,0
04/13/2008,0,0,40500.00,-837.50,39662.50,0
04/14/2008,0,0.00,40500.00,-625.00,39875.00,212.50
04/15/2008,1,-625.00,39875.00,-625.00,39875.00,0.00
04/16/2008,0,0.00,39875.00,0.00,39875.00,0.00
04/17/2008,0,0.00,39875.00,0.00,39875.00,0.00
04/18/2008,0,0.00,39875.00,0.00,39875.00,0.00
