Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
06/02/2008,1,-1430.00,-1430.00,-1430.00,-1430.00,-1430.00
06/03/2008,1,1140.00,-290.00,1140.00,-290.00,1140.00
06/04/2008,1,-1430.00,-1720.00,-1430.00,-1720.00,-1430.00
06/05/2008,1,3470.00,1750.00,3470.00,1750.00,3470.00
06/06/2008,1,3470.00,5220.00,3470.00,5220.00,3470.00
06/07/2008,0,0,5220.00,0.00,5220.00,0
06/08/2008,0,0.00,5220.00,0.00,5220.00,0.00
06/09/2008,0,0.00,5220.00,0.00,5220.00,0.00
06/10/2008,0,0.00,5220.00,0.00,5220.00,0.00
06/11/2008,2,-1790.00,3430.00,-1790.00,3430.00,-1790.00
06/12/2008,1,1910.00,5340.00,1910.00,5340.00,1910.00
06/13/2008,0,0.00,5340.00,0.00,5340.00,0.00
06/14/2008,0,0,5340.00,0.00,5340.00,0
06/15/2008,0,0.00,5340.00,0.00,5340.00,0.00
06/16/2008,0,0.00,5340.00,0.00,5340.00,0.00
06/17/2008,0,0.00,5340.00,0.00,5340.00,0.00
06/18/2008,0,0.00,5340.00,0.00,5340.00,0.00
06/19/2008,0,0.00,5340.00,0.00,5340.00,0.00
06/20/2008,0,0.00,5340.00,0.00,5340.00,0.00
06/21/2008,0,0,5340.00,0.00,5340.00,0
06/22/2008,0,0.00,5340.00,0.00,5340.00,0.00
06/23/2008,0,0.00,5340.00,0.00,5340.00,0.00
06/24/2008,0,0.00,5340.00,0.00,5340.00,0.00
06/25/2008,0,0.00,5340.00,0.00,5340.00,0.00
06/26/2008,0,0.00,5340.00,0.00,5340.00,0.00
06/27/2008,0,0.00,5340.00,0.00,5340.00,0.00
06/28/2008,0,0,5340.00,0.00,5340.00,0
06/29/2008,0,0.00,5340.00,0.00,5340.00,0.00
06/30/2008,0,0.00,5340.00,0.00,5340.00,0.00
07/01/2008,0,0.00,5340.00,0.00,5340.00,0.00
07/02/2008,1,-1430.00,3910.00,-1430.00,3910.00,-1430.00
07/03/2008,0,0.00,3910.00,0.00,3910.00,0.00
07/04/2008,0,0.00,3910.00,0.00,3910.00,0.00
07/05/2008,0,0,3910.00,0.00,3910.00,0
07/06/2008,0,0.00,3910.00,0.00,3910.00,0.00
07/07/2008,0,0.00,3910.00,0.00,3910.00,0.00
07/08/2008,1,3470.00,7380.00,3470.00,7380.00,3470.00
07/09/2008,0,0.00,7380.00,0.00,7380.00,0.00
07/10/2008,2,2040.00,9420.00,2040.00,9420.00,2040.00
07/11/2008,0,0.00,9420.00,0.00,9420.00,0.00
07/12/2008,0,0,9420.00,0.00,9420.00,0
07/13/2008,0,0.00,9420.00,0.00,9420.00,0.00
07/14/2008,0,0.00,9420.00,0.00,9420.00,0.00
07/15/2008,0,0.00,9420.00,0.00,9420.00,0.00
07/16/2008,0,0.00,9420.00,0.00,9420.00,0.00
07/17/2008,1,-1430.00,7990.00,-1430.00,7990.00,-1430.00
07/18/2008,0,0.00,7990.00,0.00,7990.00,0.00
07/19/2008,0,0,7990.00,0.00,7990.00,0
07/20/2008,0,0.00,7990.00,0.00,7990.00,0.00
07/21/2008,0,0.00,7990.00,0.00,7990.00,0.00
07/22/2008,0,0.00,7990.00,0.00,7990.00,0.00
07/23/2008,1,-1430.00,6560.00,-1430.00,6560.00,-1430.00
07/24/2008,1,-1430.00,5130.00,-1430.00,5130.00,-1430.00
07/25/2008,0,0.00,5130.00,0.00,5130.00,0.00
07/26/2008,0,0,5130.00,0.00,5130.00,0
07/27/2008,0,0.00,5130.00,0.00,5130.00,0.00
07/28/2008,0,0.00,5130.00,0.00,5130.00,0.00
07/29/2008,1,3470.00,8600.00,3470.00,8600.00,3470.00
07/30/2008,2,2440.00,11040.00,2440.00,11040.00,2440.00
07/31/2008,1,-1430.00,9610.00,-1430.00,9610.00,-1430.00
08/01/2008,0,0.00,9610.00,0.00,9610.00,0.00
08/02/2008,0,0,9610.00,0.00,9610.00,0
08/03/2008,0,0.00,9610.00,0.00,9610.00,0.00
08/04/2008,1,3470.00,13080.00,3470.00,13080.00,3470.00
08/05/2008,0,0.00,13080.00,0.00,13080.00,0.00
08/06/2008,1,-1430.00,11650.00,-1430.00,11650.00,-1430.00
08/07/2008,0,0.00,11650.00,0.00,11650.00,0.00
08/08/2008,1,1300.00,12950.00,1300.00,12950.00,1300.00
08/09/2008,0,0,12950.00,0.00,12950.00,0
08/10/2008,0,0.00,12950.00,0.00,12950.00,0.00
08/11/2008,0,0.00,12950.00,0.00,12950.00,0.00
08/12/2008,0,0.00,12950.00,0.00,12950.00,0.00
08/13/2008,2,350.00,13300.00,350.00,13300.00,350.00
08/14/2008,1,1720.00,15020.00,1720.00,15020.00,1720.00
08/15/2008,0,0.00,15020.00,0.00,15020.00,0.00
08/16/2008,0,0,15020.00,0.00,15020.00,0
08/17/2008,0,0.00,15020.00,0.00,15020.00,0.00
08/18/2008,0,0.00,15020.00,0.00,15020.00,0.00
08/19/2008,0,0.00,15020.00,0.00,15020.00,0.00
08/20/2008,1,-1430.00,13590.00,-1430.00,13590.00,-1430.00
08/21/2008,1,1260.00,14850.00,1260.00,14850.00,1260.00
08/22/2008,1,1880.00,16730.00,1880.00,16730.00,1880.00
08/23/2008,0,0,16730.00,0.00,16730.00,0
08/24/2008,0,0.00,16730.00,0.00,16730.00,0.00
08/25/2008,0,0.00,16730.00,0.00,16730.00,0.00
08/26/2008,1,-1430.00,15300.00,-1430.00,15300.00,-1430.00
08/27/2008,0,0.00,15300.00,0.00,15300.00,0.00
08/28/2008,0,0.00,15300.00,0.00,15300.00,0.00
08/29/2008,0,0.00,15300.00,0.00,15300.00,0.00
08/30/2008,0,0,15300.00,0.00,15300.00,0
08/31/2008,0,0.00,15300.00,0.00,15300.00,0.00
09/01/2008,1,3470.00,18770.00,3470.00,18770.00,3470.00
09/02/2008,0,0.00,18770.00,0.00,18770.00,0.00
09/03/2008,0,0.00,18770.00,0.00,18770.00,0.00
09/04/2008,0,0.00,18770.00,0.00,18770.00,0.00
09/05/2008,0,0.00,18770.00,0.00,18770.00,0.00
09/06/2008,0,0,18770.00,0.00,18770.00,0
09/07/2008,0,0.00,18770.00,0.00,18770.00,0.00
09/08/2008,1,-1430.00,17340.00,-1430.00,17340.00,-1430.00
09/09/2008,0,0.00,17340.00,0.00,17340.00,0.00
09/10/2008,1,-1430.00,15910.00,-1430.00,15910.00,-1430.00
09/11/2008,0,0.00,15910.00,0.00,15910.00,0.00
09/12/2008,1,-1430.00,14480.00,-1430.00,14480.00,-1430.00
09/13/2008,0,0,14480.00,0.00,14480.00,0
09/14/2008,0,0.00,14480.00,0.00,14480.00,0.00
09/15/2008,2,2040.00,16520.00,2040.00,16520.00,2040.00
09/16/2008,1,-1430.00,15090.00,-1430.00,15090.00,-1430.00
09/17/2008,0,0.00,15090.00,0.00,15090.00,0.00
09/18/2008,0,0.00,15090.00,0.00,15090.00,0.00
09/19/2008,0,0.00,15090.00,0.00,15090.00,0.00
09/20/2008,0,0,15090.00,0.00,15090.00,0
09/21/2008,0,0.00,15090.00,0.00,15090.00,0.00
09/22/2008,0,0.00,15090.00,0.00,15090.00,0.00
09/23/2008,0,0.00,15090.00,0.00,15090.00,0.00
09/24/2008,1,-1430.00,13660.00,-1430.00,13660.00,-1430.00
09/25/2008,0,0.00,13660.00,0.00,13660.00,0.00
09/26/2008,0,0.00,13660.00,0.00,13660.00,0.00
