Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
01/07/2008,1,-470.00,-470.00,-470.00,-470.00,-470.00
01/08/2008,0,0.00,-470.00,0.00,-470.00,0.00
01/09/2008,0,0.00,-470.00,0.00,-470.00,0.00
01/10/2008,0,0.00,-470.00,0.00,-470.00,0.00
01/11/2008,0,0.00,-470.00,0.00,-470.00,0.00
01/12/2008,0,0,-470.00,0.00,-470.00,0
01/13/2008,0,0.00,-470.00,0.00,-470.00,0.00
01/14/2008,0,0.00,-470.00,0.00,-470.00,0.00
01/15/2008,0,0.00,-470.00,0.00,-470.00,0.00
01/16/2008,0,0.00,-470.00,0.00,-470.00,0.00
01/17/2008,1,-640.00,-1110.00,-935.00,-1405.00,-935.00
01/18/2008,2,-220.00,-1330.00,-220.00,-1330.00,75.00
01/19/2008,0,0,-1330.00,0.00,-1330.00,0
01/20/2008,0,0.00,-1330.00,-125.00,-1455.00,-125.00
01/21/2008,2,510.00,-820.00,105.00,-1225.00,230.00
01/22/2008,2,-2470.00,-3290.00,-3075.00,-3895.00,-2670.00
01/23/2008,2,0.00,-3290.00,0.00,-3290.00,605.00
01/24/2008,0,0.00,-3290.00,0.00,-3290.00,0.00
01/25/2008,0,0.00,-3290.00,0.00,-3290.00,0.00
01/26/2008,0,0,-3290.00,0.00,-3290.00,0
01/27/2008,0,0.00,-3290.00,0.00,-3290.00,0.00
01/28/2008,0,0.00,-3290.00,0.00,-3290.00,0.00
01/29/2008,0,0.00,-3290.00,0.00,-3290.00,0.00
01/30/2008,0,0.00,-3290.00,0.00,-3290.00,0.00
01/31/2008,0,0.00,-3290.00,0.00,-3290.00,0.00
02/01/2008,0,0.00,-3290.00,0.00,-3290.00,0.00
02/02/2008,0,0,-3290.00,0.00,-3290.00,0
02/03/2008,0,0.00,-3290.00,0.00,-3290.00,0.00
02/04/2008,1,1370.00,-1920.00,1395.00,-1895.00,1395.00
02/05/2008,2,1330.00,-590.00,1535.00,-385.00,1510.00
02/06/2008,1,190.00,-400.00,385.00,-205.00,180.00
02/07/2008,2,1470.00,1070.00,1470.00,1070.00,1275.00
02/08/2008,1,-570.00,500.00,-570.00,500.00,-570.00
02/09/2008,0,0,500.00,0.00,500.00,0
02/10/2008,0,0.00,500.00,0.00,500.00,0.00
02/11/2008,0,0.00,500.00,0.00,500.00,0.00
02/12/2008,0,0.00,500.00,0.00,500.00,0.00
02/13/2008,0,0.00,500.00,5.00,505.00,5.00
02/14/2008,1,350.00,850.00,245.00,745.00,240.00
02/15/2008,1,-320.00,530.00,-320.00,530.00,-215.00
02/16/2008,0,0,530.00,0.00,530.00,0
02/17/2008,0,0.00,530.00,0.00,530.00,0.00
02/18/2008,1,290.00,820.00,605.00,1135.00,605.00
02/19/2008,2,-680.00,140.00,-680.00,140.00,-995.00
02/20/2008,0,0.00,140.00,0.00,140.00,0.00
02/21/2008,0,0.00,140.00,0.00,140.00,0.00
02/22/2008,0,0.00,140.00,0.00,140.00,0.00
02/23/2008,0,0,140.00,0.00,140.00,0
02/24/2008,0,0.00,140.00,0.00,140.00,0.00
02/25/2008,0,0.00,140.00,0.00,140.00,0.00
02/26/2008,0,0.00,140.00,0.00,140.00,0.00
02/27/2008,1,-240.00,-100.00,-240.00,-100.00,-240.00
02/28/2008,0,0.00,-100.00,0.00,-100.00,0.00
02/29/2008,0,0.00,-100.00,0.00,-100.00,0.00
03/01/2008,0,0,-100.00,0.00,-100.00,0
03/02/2008,0,0.00,-100.00,0.00,-100.00,0.00
03/03/2008,0,0.00,-100.00,0.00,-100.00,0.00
03/04/2008,0,0.00,-100.00,0.00,-100.00,0.00
03/05/2008,0,0.00,-100.00,0.00,-100.00,0.00
03/06/2008,0,0.00,-100.00,0.00,-100.00,0.00
03/07/2008,0,0.00,-100.00,0.00,-100.00,0.00
03/08/2008,0,0,-100.00,0.00,-100.00,0
03/09/2008,0,0.00,-100.00,0.00,-100.00,0.00
03/10/2008,1,1100.00,1000.00,1100.00,1000.00,1100.00
03/11/2008,0,0.00,1000.00,0.00,1000.00,0.00
03/12/2008,0,0.00,1000.00,0.00,1000.00,0.00
03/13/2008,0,0.00,1000.00,0.00,1000.00,0.00
03/14/2008,0,0.00,1000.00,0.00,1000.00,0.00
03/15/2008,0,0,1000.00,0.00,1000.00,0
03/16/2008,0,0.00,1000.00,0.00,1000.00,0.00
03/17/2008,0,0.00,1000.00,0.00,1000.00,0.00
03/18/2008,0,0.00,1000.00,0.00,1000.00,0.00
03/19/2008,1,-1110.00,-110.00,375.00,1375.00,375.00
03/20/2008,2,3100.00,2990.00,3100.00,2990.00,1615.00
03/21/2008,0,0,2990.00,0.00,2990.00,0
03/22/2008,0,0,2990.00,0.00,2990.00,0
03/23/2008,0,0.00,2990.00,115.00,3105.00,115.00
03/24/2008,1,-260.00,2730.00,-260.00,2730.00,-375.00
03/25/2008,0,0.00,2730.00,0.00,2730.00,0.00
03/26/2008,1,-500.00,2230.00,-500.00,2230.00,-500.00
03/27/2008,0,0.00,2230.00,0.00,2230.00,0.00
03/28/2008,0,0.00,2230.00,0.00,2230.00,0.00
03/29/2008,0,0,2230.00,0.00,2230.00,0
03/30/2008,0,0.00,2230.00,0.00,2230.00,0.00
03/31/2008,0,0.00,2230.00,0.00,2230.00,0.00
04/01/2008,0,0.00,2230.00,595.00,2825.00,595.00
04/02/2008,1,290.00,2520.00,175.00,2405.00,-420.00
04/03/2008,2,-200.00,2320.00,-200.00,2320.00,-85.00
04/04/2008,1,-330.00,1990.00,-330.00,1990.00,-330.00
04/05/2008,0,0,1990.00,0.00,1990.00,0
04/06/2008,0,0.00,1990.00,0.00,1990.00,0.00
04/07/2008,1,-880.00,1110.00,-880.00,1110.00,-880.00
04/08/2008,0,0.00,1110.00,0.00,1110.00,0.00
04/09/2008,0,0.00,1110.00,0.00,1110.00,0.00
04/10/2008,0,0.00,1110.00,0.00,1110.00,0.00
04/11/2008,0,0.00,1110.00,0.00,1110.00,0.00
04/12/2008,0,0,1110.00,0.00,1110.00,0
04/13/2008,0,0.00,1110.00,0.00,1110.00,0.00
04/14/2008,1,-790.00,320.00,-790.00,320.00,-790.00
04/15/2008,1,-200.00,120.00,-200.00,120.00,-200.00
04/16/2008,0,0.00,120.00,0.00,120.00,0.00
04/17/2008,0,0.00,120.00,0.00,120.00,0.00
04/18/2008,0,0.00,120.00,0.00,120.00,0.00
04/19/2008,0,0,120.00,0.00,120.00,0
04/20/2008,0,0.00,120.00,0.00,120.00,0.00
04/21/2008,1,100.00,220.00,135.00,255.00,135.00
04/22/2008,2,-650.00,-430.00,-145.00,75.00,-180.00
04/23/2008,2,2290.00,1860.00,2285.00,1855.00,1780.00
04/24/2008,2,1130.00,2990.00,1525.00,3385.00,1530.00
04/25/2008,1,550.00,3540.00,550.00,3540.00,155.00
