Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
11/04/2008,1,5603.40,5603.40,5603.40,5603.40,5603.40
11/05/2008,0,0.00,5603.40,0.00,5603.40,0.00
11/06/2008,1,1941.00,7544.40,1941.00,7544.40,1941.00
11/07/2008,0,0.00,7544.40,0.00,7544.40,0.00
11/08/2008,0,0,7544.40,0.00,7544.40,0
11/09/2008,0,0.00,7544.40,0.00,7544.40,0.00
11/10/2008,0,0.00,7544.40,0.00,7544.40,0.00
11/11/2008,1,424.80,7969.20,424.80,7969.20,424.80
11/12/2008,0,0.00,7969.20,0.00,7969.20,0.00
11/13/2008,1,2432.40,10401.60,2432.40,10401.60,2432.40
11/14/2008,0,0.00,10401.60,0.00,10401.60,0.00
11/15/2008,0,0,10401.60,0.00,10401.60,0
11/16/2008,0,0.00,10401.60,0.00,10401.60,0.00
11/17/2008,2,-3753.60,6648.00,-3753.60,6648.00,-3753.60
11/18/2008,0,0.00,6648.00,0.00,6648.00,0.00
11/19/2008,0,0.00,6648.00,0.00,6648.00,0.00
11/20/2008,1,807.00,7455.00,807.00,7455.00,807.00
11/21/2008,0,0.00,7455.00,0.00,7455.00,0.00
11/22/2008,0,0,7455.00,0.00,7455.00,0
11/23/2008,0,0.00,7455.00,0.00,7455.00,0.00
11/24/2008,0,0.00,7455.00,0.00,7455.00,0.00
11/25/2008,0,0.00,7455.00,0.00,7455.00,0.00
11/26/2008,0,0.00,7455.00,0.00,7455.00,0.00
11/27/2008,0,0.00,7455.00,0.00,7455.00,0.00
11/28/2008,0,0.00,7455.00,0.00,7455.00,0.00
11/29/2008,0,0,7455.00,0.00,7455.00,0
11/30/2008,0,0.00,7455.00,0.00,7455.00,0.00
12/01/2008,0,0.00,7455.00,0.00,7455.00,0.00
12/02/2008,0,0.00,7455.00,0.00,7455.00,0.00
12/03/2008,1,-360.60,7094.40,-360.60,7094.40,-360.60
12/04/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/05/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/06/2008,0,0,7094.40,0.00,7094.40,0
12/07/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/08/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/09/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/10/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/11/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/12/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/13/2008,0,0,7094.40,0.00,7094.40,0
12/14/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/15/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/16/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/17/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/18/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/19/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/20/2008,0,0,7094.40,0.00,7094.40,0
12/21/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/22/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/23/2008,0,0.00,7094.40,0.00,7094.40,0.00
12/24/2008,1,-810.00,6284.40,-810.00,6284.40,-810.00
12/25/2008,0,0,6284.40,0.00,6284.40,0
12/26/2008,0,0.00,6284.40,0.00,6284.40,0.00
12/27/2008,0,0,6284.40,0.00,6284.40,0
12/28/2008,0,0.00,6284.40,0.00,6284.40,0.00
12/29/2008,0,0.00,6284.40,0.00,6284.40,0.00
12/30/2008,0,0.00,6284.40,0.00,6284.40,0.00
12/31/2008,0,0.00,6284.40,0.00,6284.40,0.00
01/01/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/02/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/03/2009,0,0,6284.40,0.00,6284.40,0
01/04/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/05/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/06/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/07/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/08/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/09/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/10/2009,0,0,6284.40,0.00,6284.40,0
01/11/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/12/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/13/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/14/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/15/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/16/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/17/2009,0,0,6284.40,0.00,6284.40,0
01/18/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/19/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/20/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/21/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/22/2009,0,0.00,6284.40,0.00,6284.40,0.00
01/23/2009,0,0.00,6284.40,2444.70,8729.10,2444.70
01/24/2009,0,0,6284.40,2444.70,8729.10,0
01/25/2009,1,2793.60,9078.00,2793.60,9078.00,348.90
01/26/2009,0,0.00,9078.00,0.00,9078.00,0.00
01/27/2009,0,0.00,9078.00,0.00,9078.00,0.00
01/28/2009,0,0.00,9078.00,0.00,9078.00,0.00
01/29/2009,0,0.00,9078.00,0.00,9078.00,0.00
01/30/2009,0,0.00,9078.00,0.00,9078.00,0.00
01/31/2009,0,0,9078.00,0.00,9078.00,0
02/01/2009,0,0.00,9078.00,0.00,9078.00,0.00
