Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
01/22/2008,1,7740.00,7740.00,7995.00,7995.00,7995.00
01/23/2008,1,-560.00,7180.00,-65.00,7675.00,-320.00
01/24/2008,1,-50.00,7130.00,1515.00,8695.00,1020.00
01/25/2008,0,0.00,7130.00,2435.00,9565.00,870.00
01/26/2008,0,0,7130.00,2435.00,9565.00,0
01/27/2008,0,0.00,7130.00,1615.00,8745.00,-820.00
01/28/2008,2,1160.00,8290.00,2675.00,9805.00,1060.00
01/29/2008,0,0.00,8290.00,2835.00,11125.00,1320.00
01/30/2008,0,0.00,8290.00,1525.00,9815.00,-1310.00
01/31/2008,2,1830.00,10120.00,2685.00,10975.00,1160.00
02/01/2008,0,0.00,10120.00,-1225.00,8895.00,-2080.00
02/02/2008,0,0,10120.00,-1225.00,8895.00,0
02/03/2008,0,0.00,10120.00,-1165.00,8955.00,60.00
02/04/2008,0,0.00,10120.00,-395.00,9725.00,770.00
02/05/2008,1,-1580.00,8540.00,-1105.00,9015.00,-710.00
02/06/2008,0,0.00,8540.00,1525.00,10065.00,1050.00
02/07/2008,0,0.00,8540.00,-115.00,8425.00,-1640.00
02/08/2008,1,-1010.00,7530.00,1075.00,9615.00,1190.00
02/09/2008,0,0,7530.00,2085.00,9615.00,0
02/10/2008,0,0.00,7530.00,2415.00,9945.00,330.00
02/11/2008,2,1100.00,8630.00,2215.00,9745.00,-200.00
02/12/2008,1,910.00,9540.00,905.00,9535.00,-210.00
02/13/2008,0,0.00,9540.00,-505.00,9035.00,-500.00
02/14/2008,0,0.00,9540.00,-2335.00,7205.00,-1830.00
02/15/2008,1,-3030.00,6510.00,-3030.00,6510.00,-695.00
02/16/2008,0,0,6510.00,0.00,6510.00,0
02/17/2008,0,0.00,6510.00,0.00,6510.00,0.00
02/18/2008,0,0.00,6510.00,0.00,6510.00,0.00
02/19/2008,0,0.00,6510.00,0.00,6510.00,0.00
02/20/2008,0,0.00,6510.00,0.00,6510.00,0.00
02/21/2008,1,-1260.00,5250.00,-2545.00,3965.00,-2545.00
02/22/2008,0,0.00,5250.00,-345.00,4905.00,940.00
02/23/2008,0,0,5250.00,-345.00,4905.00,0
02/24/2008,0,0.00,5250.00,135.00,5385.00,480.00
02/25/2008,2,-1910.00,3340.00,-2375.00,2875.00,-2510.00
02/26/2008,0,0.00,3340.00,1715.00,5055.00,2180.00
02/27/2008,0,0.00,3340.00,445.00,3785.00,-1270.00
02/28/2008,2,-2980.00,360.00,-2980.00,360.00,-3425.00
02/29/2008,0,0.00,360.00,0.00,360.00,0.00
03/01/2008,0,0,360.00,0.00,360.00,0
03/02/2008,0,0.00,360.00,0.00,360.00,0.00
03/03/2008,0,0.00,360.00,0.00,360.00,0.00
03/04/2008,0,0.00,360.00,0.00,360.00,0.00
03/05/2008,0,0.00,360.00,1655.00,2015.00,1655.00
03/06/2008,1,800.00,1160.00,-995.00,-635.00,-2650.00
03/07/2008,1,-2120.00,-960.00,-2605.00,-1445.00,-810.00
03/08/2008,0,0,-960.00,-485.00,-1445.00,0
03/09/2008,0,0.00,-960.00,-835.00,-1795.00,-350.00
03/10/2008,2,-4450.00,-5410.00,-3655.00,-4615.00,-2820.00
