Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
01/02/2008,1,1105.00,1105.00,1105.00,1105.00,1105.00
01/03/2008,0,0.00,1105.00,0.00,1105.00,0.00
01/04/2008,0,0.00,1105.00,0.00,1105.00,0.00
01/05/2008,0,0,1105.00,0.00,1105.00,0
01/06/2008,0,0.00,1105.00,-187.50,917.50,-187.50
01/07/2008,1,-1035.00,70.00,-1035.00,70.00,-847.50
01/08/2008,0,0.00,70.00,0.00,70.00,0.00
01/09/2008,0,0.00,70.00,0.00,70.00,0.00
01/10/2008,0,0.00,70.00,0.00,70.00,0.00
01/11/2008,0,0.00,70.00,0.00,70.00,0.00
01/12/2008,0,0,70.00,0.00,70.00,0
01/13/2008,0,0.00,70.00,32.50,102.50,32.50
01/14/2008,1,-1035.00,-965.00,-1035.00,-965.00,-1067.50
01/15/2008,0,0.00,-965.00,0.00,-965.00,0.00
01/16/2008,0,0.00,-965.00,0.00,-965.00,0.00
01/17/2008,0,0.00,-965.00,0.00,-965.00,0.00
01/18/2008,0,0.00,-965.00,0.00,-965.00,0.00
01/19/2008,0,0,-965.00,0.00,-965.00,0
01/20/2008,0,0.00,-965.00,0.00,-965.00,0.00
01/21/2008,0,0.00,-965.00,0.00,-965.00,0.00
01/22/2008,0,0.00,-965.00,0.00,-965.00,0.00
01/23/2008,0,0.00,-965.00,0.00,-965.00,0.00
01/24/2008,1,305.00,-660.00,305.00,-660.00,305.00
01/25/2008,0,0.00,-660.00,0.00,-660.00,0.00
01/26/2008,0,0,-660.00,0.00,-660.00,0
01/27/2008,0,0.00,-660.00,0.00,-660.00,0.00
01/28/2008,0,0.00,-660.00,0.00,-660.00,0.00
01/29/2008,0,0.00,-660.00,0.00,-660.00,0.00
01/30/2008,1,-205.00,-865.00,-205.00,-865.00,-205.00
01/31/2008,0,0.00,-865.00,0.00,-865.00,0.00
02/01/2008,1,2025.00,1160.00,4067.50,1177.50,2042.50
02/02/2008,0,0,1160.00,2042.50,1177.50,0
02/03/2008,0,0.00,1160.00,0.00,1160.00,-17.50
02/04/2008,2,-1210.00,-50.00,-1210.00,-50.00,-1210.00
02/05/2008,0,0.00,-50.00,0.00,-50.00,0.00
02/06/2008,0,0.00,-50.00,0.00,-50.00,0.00
02/07/2008,0,0.00,-50.00,0.00,-50.00,0.00
02/08/2008,0,0.00,-50.00,0.00,-50.00,0.00
02/09/2008,0,0,-50.00,0.00,-50.00,0
02/10/2008,0,0.00,-50.00,0.00,-50.00,0.00
02/11/2008,0,0.00,-50.00,0.00,-50.00,0.00
02/12/2008,1,455.00,405.00,455.00,405.00,455.00
02/13/2008,0,0.00,405.00,0.00,405.00,0.00
02/14/2008,0,0.00,405.00,0.00,405.00,0.00
02/15/2008,0,0.00,405.00,0.00,405.00,0.00
02/16/2008,0,0,405.00,0.00,405.00,0
02/17/2008,0,0.00,405.00,0.00,405.00,0.00
02/18/2008,0,0.00,405.00,0.00,405.00,0.00
02/19/2008,0,0.00,405.00,0.00,405.00,0.00
02/20/2008,0,0.00,405.00,0.00,405.00,0.00
02/21/2008,0,0.00,405.00,0.00,405.00,0.00
02/22/2008,0,0.00,405.00,0.00,405.00,0.00
02/23/2008,0,0,405.00,0.00,405.00,0
02/24/2008,0,0.00,405.00,0.00,405.00,0.00
02/25/2008,1,-1035.00,-630.00,-1035.00,-630.00,-1035.00
02/26/2008,0,0.00,-630.00,0.00,-630.00,0.00
02/27/2008,1,1225.00,595.00,1225.00,595.00,1225.00
02/28/2008,1,-225.00,370.00,-225.00,370.00,-225.00
02/29/2008,0,0.00,370.00,0.00,370.00,0.00
03/01/2008,0,0,370.00,0.00,370.00,0
03/02/2008,0,0.00,370.00,0.00,370.00,0.00
03/03/2008,1,-1035.00,-665.00,-1035.00,-665.00,-1035.00
03/04/2008,0,0.00,-665.00,0.00,-665.00,0.00
03/05/2008,0,0.00,-665.00,0.00,-665.00,0.00
03/06/2008,0,0.00,-665.00,0.00,-665.00,0.00
03/07/2008,0,0.00,-665.00,0.00,-665.00,0.00
03/08/2008,0,0,-665.00,0.00,-665.00,0
03/09/2008,0,0.00,-665.00,0.00,-665.00,0.00
03/10/2008,0,0.00,-665.00,0.00,-665.00,0.00
03/11/2008,0,0.00,-665.00,0.00,-665.00,0.00
03/12/2008,0,0.00,-665.00,0.00,-665.00,0.00
03/13/2008,0,0.00,-665.00,0.00,-665.00,0.00
03/14/2008,1,1655.00,990.00,3327.50,1007.50,1672.50
03/15/2008,0,0,990.00,1672.50,1007.50,0
03/16/2008,0,0.00,990.00,0.00,990.00,-17.50
03/17/2008,1,8005.00,8995.00,8005.00,8995.00,8005.00
03/18/2008,0,0.00,8995.00,0.00,8995.00,0.00
03/19/2008,1,1155.00,10150.00,1155.00,10150.00,1155.00
03/20/2008,0,0.00,10150.00,0.00,10150.00,0.00
03/21/2008,0,0,10150.00,0.00,10150.00,0
03/22/2008,0,0,10150.00,0.00,10150.00,0
03/23/2008,0,0.00,10150.00,0.00,10150.00,0.00
03/24/2008,2,-2070.00,8080.00,-2070.00,8080.00,-2070.00
03/25/2008,0,0.00,8080.00,0.00,8080.00,0.00
03/26/2008,0,0.00,8080.00,0.00,8080.00,0.00
03/27/2008,1,-725.00,7355.00,-725.00,7355.00,-725.00
03/28/2008,0,0.00,7355.00,0.00,7355.00,0.00
03/29/2008,0,0,7355.00,0.00,7355.00,0
03/30/2008,0,0.00,7355.00,0.00,7355.00,0.00
03/31/2008,0,0.00,7355.00,0.00,7355.00,0.00
04/01/2008,1,2085.00,9440.00,2085.00,9440.00,2085.00
04/02/2008,0,0.00,9440.00,0.00,9440.00,0.00
04/03/2008,1,385.00,9825.00,385.00,9825.00,385.00
04/04/2008,0,0.00,9825.00,0.00,9825.00,0.00
04/05/2008,0,0,9825.00,0.00,9825.00,0
04/06/2008,0,0.00,9825.00,0.00,9825.00,0.00
04/07/2008,1,-775.00,9050.00,-775.00,9050.00,-775.00
04/08/2008,0,0.00,9050.00,0.00,9050.00,0.00
04/09/2008,0,0.00,9050.00,0.00,9050.00,0.00
04/10/2008,0,0.00,9050.00,0.00,9050.00,0.00
04/11/2008,0,0.00,9050.00,0.00,9050.00,0.00
04/12/2008,0,0,9050.00,0.00,9050.00,0
04/13/2008,0,0.00,9050.00,0.00,9050.00,0.00
04/14/2008,2,-360.00,8690.00,-360.00,8690.00,-360.00
04/15/2008,0,0.00,8690.00,0.00,8690.00,0.00
04/16/2008,1,-1035.00,7655.00,-1035.00,7655.00,-1035.00
04/17/2008,0,0.00,7655.00,0.00,7655.00,0.00
04/18/2008,1,-1035.00,6620.00,-1035.00,6620.00,-1035.00
04/19/2008,0,0,6620.00,0.00,6620.00,0
04/20/2008,0,0.00,6620.00,0.00,6620.00,0.00
04/21/2008,1,-1035.00,5585.00,-1035.00,5585.00,-1035.00
04/22/2008,0,0.00,5585.00,0.00,5585.00,0.00
04/23/2008,1,235.00,5820.00,235.00,5820.00,235.00
04/24/2008,0,0.00,5820.00,0.00,5820.00,0.00
04/25/2008,0,0.00,5820.00,0.00,5820.00,0.00
04/26/2008,0,0,5820.00,0.00,5820.00,0
04/27/2008,0,0.00,5820.00,0.00,5820.00,0.00
04/28/2008,1,-1035.00,4785.00,-1035.00,4785.00,-1035.00
04/29/2008,2,1450.00,6235.00,1450.00,6235.00,1450.00
04/30/2008,0,0.00,6235.00,0.00,6235.00,0.00
05/01/2008,1,305.00,6540.00,305.00,6540.00,305.00
05/02/2008,0,0.00,6540.00,0.00,6540.00,0.00
05/03/2008,0,0,6540.00,0.00,6540.00,0
05/04/2008,0,0.00,6540.00,-217.50,6322.50,-217.50
05/05/2008,1,3305.00,9845.00,3305.00,9845.00,3522.50
05/06/2008,0,0.00,9845.00,0.00,9845.00,0.00
05/07/2008,1,-285.00,9560.00,-285.00,9560.00,-285.00
05/08/2008,0,0.00,9560.00,0.00,9560.00,0.00
05/09/2008,0,0.00,9560.00,0.00,9560.00,0.00
05/10/2008,0,0,9560.00,0.00,9560.00,0
05/11/2008,0,0.00,9560.00,0.00,9560.00,0.00
05/12/2008,1,2035.00,11595.00,2035.00,11595.00,2035.00
05/13/2008,0,0.00,11595.00,792.50,12387.50,792.50
05/14/2008,1,-455.00,11140.00,-455.00,11140.00,-1247.50
05/15/2008,1,-1035.00,10105.00,-1035.00,10105.00,-1035.00
05/16/2008,0,0.00,10105.00,0.00,10105.00,0.00
05/17/2008,0,0,10105.00,0.00,10105.00,0
05/18/2008,0,0.00,10105.00,0.00,10105.00,0.00
05/19/2008,2,-2070.00,8035.00,-2070.00,8035.00,-2070.00
05/20/2008,1,195.00,8230.00,195.00,8230.00,195.00
05/21/2008,0,0.00,8230.00,0.00,8230.00,0.00
05/22/2008,0,0.00,8230.00,0.00,8230.00,0.00
05/23/2008,1,405.00,8635.00,827.50,8652.50,422.50
05/24/2008,0,0,8635.00,422.50,8652.50,0
05/25/2008,0,0.00,8635.00,0.00,8635.00,-17.50
05/26/2008,0,0.00,8635.00,0.00,8635.00,0.00
05/27/2008,1,2115.00,10750.00,2115.00,10750.00,2115.00
05/28/2008,0,0.00,10750.00,0.00,10750.00,0.00
05/29/2008,1,2215.00,12965.00,2215.00,12965.00,2215.00
05/30/2008,0,0.00,12965.00,0.00,12965.00,0.00
05/31/2008,0,0,12965.00,0.00,12965.00,0
06/01/2008,1,-1035.00,11930.00,-1035.00,11930.00,-1035.00
06/02/2008,1,-1035.00,10895.00,-1035.00,10895.00,-1035.00
06/03/2008,0,0.00,10895.00,0.00,10895.00,0.00
06/04/2008,1,-1035.00,9860.00,-1035.00,9860.00,-1035.00
06/05/2008,0,0.00,9860.00,0.00,9860.00,0.00
06/06/2008,0,0.00,9860.00,0.00,9860.00,0.00
06/07/2008,0,0,9860.00,0.00,9860.00,0
06/08/2008,0,0.00,9860.00,0.00,9860.00,0.00
06/09/2008,1,-1035.00,8825.00,-1035.00,8825.00,-1035.00
06/10/2008,0,0.00,8825.00,0.00,8825.00,0.00
06/11/2008,0,0.00,8825.00,0.00,8825.00,0.00
06/12/2008,0,0.00,8825.00,0.00,8825.00,0.00
06/13/2008,0,0.00,8825.00,0.00,8825.00,0.00
06/14/2008,0,0,8825.00,0.00,8825.00,0
06/15/2008,0,0.00,8825.00,0.00,8825.00,0.00
06/16/2008,1,-1035.00,7790.00,-1035.00,7790.00,-1035.00
06/17/2008,0,0.00,7790.00,0.00,7790.00,0.00
06/18/2008,0,0.00,7790.00,0.00,7790.00,0.00
06/19/2008,1,-1035.00,6755.00,-1035.00,6755.00,-1035.00
06/20/2008,0,0.00,6755.00,0.00,6755.00,0.00
06/21/2008,0,0,6755.00,0.00,6755.00,0
06/22/2008,0,0.00,6755.00,0.00,6755.00,0.00
06/23/2008,2,-900.00,5855.00,-900.00,5855.00,-900.00
06/24/2008,1,-1035.00,4820.00,-1035.00,4820.00,-1035.00
06/25/2008,0,0.00,4820.00,0.00,4820.00,0.00
06/26/2008,1,1505.00,6325.00,1505.00,6325.00,1505.00
06/27/2008,0,0.00,6325.00,0.00,6325.00,0.00
06/28/2008,0,0,6325.00,0.00,6325.00,0
06/29/2008,0,0.00,6325.00,0.00,6325.00,0.00
06/30/2008,0,0.00,6325.00,0.00,6325.00,0.00
07/01/2008,0,0.00,6325.00,0.00,6325.00,0.00
07/02/2008,1,-1035.00,5290.00,-1035.00,5290.00,-1035.00
