Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
10/27/2009,1,-290.00,-290.00,-290.00,-290.00,-290.00
10/28/2009,0,0.00,-290.00,0.00,-290.00,0.00
10/29/2009,0,0.00,-290.00,0.00,-290.00,0.00
10/30/2009,0,0.00,-290.00,0.00,-290.00,0.00
10/31/2009,0,0,-290.00,0.00,-290.00,0
11/01/2009,0,0.00,-290.00,0.00,-290.00,0.00
11/02/2009,0,0.00,-290.00,0.00,-290.00,0.00
11/03/2009,0,0.00,-290.00,0.00,-290.00,0.00
11/04/2009,1,-1010.00,-1300.00,-1010.00,-1300.00,-1010.00
11/05/2009,0,0.00,-1300.00,0.00,-1300.00,0.00
11/06/2009,1,-320.00,-1620.00,-320.00,-1620.00,-320.00
11/07/2009,0,0,-1620.00,0.00,-1620.00,0
11/08/2009,0,0.00,-1620.00,0.00,-1620.00,0.00
11/09/2009,0,0.00,-1620.00,0.00,-1620.00,0.00
11/10/2009,1,-1360.00,-2980.00,-1360.00,-2980.00,-1360.00
11/11/2009,0,0.00,-2980.00,0.00,-2980.00,0.00
11/12/2009,0,0.00,-2980.00,0.00,-2980.00,0.00
11/13/2009,0,0.00,-2980.00,0.00,-2980.00,0.00
11/14/2009,0,0,-2980.00,0.00,-2980.00,0
11/15/2009,0,0.00,-2980.00,0.00,-2980.00,0.00
11/16/2009,1,100.00,-2880.00,100.00,-2880.00,100.00
11/17/2009,0,0.00,-2880.00,325.00,-2555.00,325.00
11/18/2009,1,480.00,-2400.00,480.00,-2400.00,155.00
11/19/2009,0,0.00,-2400.00,0.00,-2400.00,0.00
11/20/2009,1,370.00,-2030.00,370.00,-2030.00,370.00
11/21/2009,0,0,-2030.00,0.00,-2030.00,0
11/22/2009,0,0.00,-2030.00,0.00,-2030.00,0.00
11/23/2009,0,0.00,-2030.00,0.00,-2030.00,0.00
11/24/2009,0,0.00,-2030.00,0.00,-2030.00,0.00
