Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
04/30/2008,0,0.00,0.00,0.00,0.00,0.00
05/01/2008,1,-2810.00,-2810.00,-2810.00,-2810.00,-2810.00
05/02/2008,0,0.00,-2810.00,0.00,-2810.00,0.00
05/03/2008,0,0,-2810.00,0.00,-2810.00,0
05/04/2008,0,0,-2810.00,0.00,-2810.00,0
05/05/2008,0,0.00,-2810.00,0.00,-2810.00,0.00
05/06/2008,0,0.00,-2810.00,0.00,-2810.00,0.00
05/07/2008,0,0.00,-2810.00,1205.00,-1605.00,1205.00
05/08/2008,0,0.00,-2810.00,975.00,-1835.00,-230.00
05/09/2008,0,0.00,-2810.00,675.00,-2135.00,-300.00
05/10/2008,0,0,-2810.00,675.00,-2135.00,0
05/11/2008,0,0,-2810.00,675.00,-2135.00,0
05/12/2008,0,0.00,-2810.00,-305.00,-3115.00,-980.00
05/13/2008,0,0.00,-2810.00,-875.00,-3685.00,-570.00
05/14/2008,0,0.00,-2810.00,-1055.00,-3865.00,-180.00
05/15/2008,0,0.00,-2810.00,-2145.00,-4955.00,-1090.00
05/16/2008,1,-2520.00,-5330.00,-2520.00,-5330.00,-375.00
05/17/2008,0,0,-5330.00,0.00,-5330.00,0
05/18/2008,0,0,-5330.00,0.00,-5330.00,0
05/19/2008,0,0.00,-5330.00,0.00,-5330.00,0.00
05/20/2008,0,0.00,-5330.00,0.00,-5330.00,0.00
05/21/2008,0,0.00,-5330.00,0.00,-5330.00,0.00
05/22/2008,0,0.00,-5330.00,0.00,-5330.00,0.00
05/23/2008,0,0.00,-5330.00,-785.00,-6115.00,-785.00
05/24/2008,0,0,-5330.00,-785.00,-6115.00,0
05/25/2008,0,0,-5330.00,-785.00,-6115.00,0
05/26/2008,0,0,-5330.00,-785.00,-6115.00,0
05/27/2008,0,0.00,-5330.00,-45.00,-5375.00,740.00
05/28/2008,0,0.00,-5330.00,765.00,-4565.00,810.00
05/29/2008,0,0.00,-5330.00,1005.00,-4325.00,240.00
05/30/2008,0,0.00,-5330.00,1795.00,-3535.00,790.00
05/31/2008,0,0,-5330.00,1795.00,-3535.00,0
06/01/2008,0,0,-5330.00,1795.00,-3535.00,0
06/02/2008,0,0.00,-5330.00,975.00,-4355.00,-820.00
06/03/2008,0,0.00,-5330.00,1005.00,-4325.00,30.00
06/04/2008,1,1800.00,-3530.00,2495.00,-2835.00,1490.00
06/05/2008,0,0.00,-3530.00,-1545.00,-5075.00,-2240.00
06/06/2008,0,0.00,-3530.00,1065.00,-2465.00,2610.00
06/07/2008,0,0,-3530.00,1065.00,-2465.00,0
06/08/2008,0,0,-3530.00,1065.00,-2465.00,0
06/09/2008,0,0.00,-3530.00,865.00,-2665.00,-200.00
06/10/2008,0,0.00,-3530.00,1765.00,-1765.00,900.00
06/11/2008,1,3090.00,-440.00,3090.00,-440.00,1325.00
06/12/2008,0,0.00,-440.00,0.00,-440.00,0.00
06/13/2008,0,0.00,-440.00,0.00,-440.00,0.00
06/14/2008,0,0,-440.00,0.00,-440.00,0
06/15/2008,0,0,-440.00,0.00,-440.00,0
06/16/2008,0,0.00,-440.00,0.00,-440.00,0.00
06/17/2008,0,0.00,-440.00,0.00,-440.00,0.00
06/18/2008,0,0.00,-440.00,0.00,-440.00,0.00
06/19/2008,0,0.00,-440.00,0.00,-440.00,0.00
06/20/2008,0,0.00,-440.00,0.00,-440.00,0.00
06/21/2008,0,0,-440.00,0.00,-440.00,0
06/22/2008,0,0,-440.00,0.00,-440.00,0
06/23/2008,0,0.00,-440.00,-75.00,-515.00,-75.00
06/24/2008,0,0.00,-440.00,-925.00,-1365.00,-850.00
06/25/2008,0,0.00,-440.00,-525.00,-965.00,400.00
06/26/2008,1,-2550.00,-2990.00,-2550.00,-2990.00,-2025.00
06/27/2008,0,0.00,-2990.00,0.00,-2990.00,0.00
06/28/2008,0,0,-2990.00,0.00,-2990.00,0
06/29/2008,0,0,-2990.00,0.00,-2990.00,0
06/30/2008,0,0.00,-2990.00,0.00,-2990.00,0.00
07/01/2008,0,0.00,-2990.00,0.00,-2990.00,0.00
07/02/2008,0,0.00,-2990.00,0.00,-2990.00,0.00
07/03/2008,0,0.00,-2990.00,0.00,-2990.00,0.00
07/04/2008,0,0,-2990.00,0.00,-2990.00,0
07/05/2008,0,0,-2990.00,0.00,-2990.00,0
07/06/2008,0,0,-2990.00,0.00,-2990.00,0
07/07/2008,0,0.00,-2990.00,0.00,-2990.00,0.00
07/08/2008,0,0.00,-2990.00,0.00,-2990.00,0.00
07/09/2008,0,0.00,-2990.00,0.00,-2990.00,0.00
07/10/2008,0,0.00,-2990.00,0.00,-2990.00,0.00
07/11/2008,0,0.00,-2990.00,0.00,-2990.00,0.00
07/12/2008,0,0,-2990.00,0.00,-2990.00,0
07/13/2008,0,0,-2990.00,0.00,-2990.00,0
