Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
11/26/2008,0,0.00,0.00,0.00,0.00,0.00
11/27/2008,2,-1210.00,-1210.00,-1600.00,-1600.00,-1600.00
11/28/2008,0,0.00,-1210.00,60.00,-1150.00,450.00
11/29/2008,0,0,-1210.00,60.00,-1150.00,0
11/30/2008,0,0.00,-1210.00,-227.50,-1437.50,-287.50
12/01/2008,0,0.00,-1210.00,-2802.50,-4012.50,-2575.00
12/02/2008,0,0.00,-1210.00,-3202.50,-4412.50,-400.00
12/03/2008,0,0.00,-1210.00,-3402.50,-4612.50,-200.00
12/04/2008,0,0.00,-1210.00,-4452.50,-5662.50,-1050.00
12/05/2008,0,0.00,-1210.00,-3827.50,-5037.50,625.00
12/06/2008,0,0,-1210.00,-3827.50,-5037.50,0
12/07/2008,0,0.00,-1210.00,-3715.00,-4925.00,112.50
12/08/2008,0,0.00,-1210.00,-3690.00,-4900.00,25.00
12/09/2008,0,0.00,-1210.00,-3877.50,-5087.50,-187.50
12/10/2008,0,0.00,-1210.00,-4165.00,-5375.00,-287.50
12/11/2008,0,0.00,-1210.00,-8777.50,-9987.50,-4612.50
12/12/2008,0,0.00,-1210.00,-6115.00,-7325.00,2662.50
12/13/2008,0,0,-1210.00,-6115.00,-7325.00,0
12/14/2008,0,0.00,-1210.00,-6365.00,-7575.00,-250.00
12/15/2008,0,0.00,-1210.00,-6940.00,-8150.00,-575.00
12/16/2008,0,0.00,-1210.00,-10015.00,-11225.00,-3075.00
12/17/2008,0,0.00,-1210.00,-11215.00,-12425.00,-1200.00
12/18/2008,0,0.00,-1210.00,-8740.00,-9950.00,2475.00
12/19/2008,0,0.00,-1210.00,-8790.00,-10000.00,-50.00
12/20/2008,0,0,-1210.00,-8790.00,-10000.00,0
12/21/2008,0,0.00,-1210.00,-7665.00,-8875.00,1125.00
12/22/2008,0,0.00,-1210.00,-7265.00,-8475.00,400.00
12/23/2008,0,0.00,-1210.00,-6990.00,-8200.00,275.00
12/24/2008,2,-7360.00,-8570.00,-7412.50,-8622.50,-422.50
12/25/2008,0,0,-8570.00,-52.50,-8622.50,0
12/26/2008,0,0.00,-8570.00,172.50,-8397.50,225.00
12/27/2008,0,0,-8570.00,172.50,-8397.50,0
12/28/2008,0,0.00,-8570.00,-165.00,-8735.00,-337.50
12/29/2008,0,0.00,-8570.00,-640.00,-9210.00,-475.00
12/30/2008,0,0.00,-8570.00,-515.00,-9085.00,125.00
12/31/2008,0,0.00,-8570.00,22.50,-8547.50,537.50
01/01/2009,0,0,-8570.00,22.50,-8547.50,0
01/02/2009,0,0.00,-8570.00,1735.00,-6835.00,1712.50
01/03/2009,0,0,-8570.00,1735.00,-6835.00,0
01/04/2009,0,0.00,-8570.00,2097.50,-6472.50,362.50
01/05/2009,0,0.00,-8570.00,3597.50,-4972.50,1500.00
01/06/2009,1,4170.00,-4400.00,3655.00,-4915.00,57.50
01/07/2009,0,0.00,-4400.00,1285.00,-3115.00,1800.00
01/08/2009,0,0.00,-4400.00,3160.00,-1240.00,1875.00
01/09/2009,0,0.00,-4400.00,4572.50,172.50,1412.50
01/10/2009,0,0,-4400.00,4572.50,172.50,0
01/11/2009,0,0.00,-4400.00,4897.50,497.50,325.00
01/12/2009,0,0.00,-4400.00,6197.50,1797.50,1300.00
01/13/2009,0,0.00,-4400.00,5910.00,1510.00,-287.50
01/14/2009,0,0.00,-4400.00,6722.50,2322.50,812.50
01/15/2009,1,5720.00,1320.00,6942.50,2542.50,220.00
01/16/2009,0,0.00,1320.00,1560.00,2880.00,337.50
01/17/2009,0,0,1320.00,1560.00,2880.00,0
01/18/2009,0,0.00,1320.00,2010.00,3330.00,450.00
01/19/2009,0,0.00,1320.00,810.00,2130.00,-1200.00
01/20/2009,0,0.00,1320.00,435.00,1755.00,-375.00
01/21/2009,0,0.00,1320.00,-852.50,467.50,-1287.50
01/22/2009,0,0.00,1320.00,-1590.00,-270.00,-737.50
01/23/2009,0,0.00,1320.00,-1390.00,-70.00,200.00
01/24/2009,0,0,1320.00,-1390.00,-70.00,0
01/25/2009,0,0.00,1320.00,-577.50,742.50,812.50
