Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
01/08/2008,1,-352.50,-352.50,-352.50,-352.50,-352.50
01/09/2008,2,570.00,217.50,570.00,217.50,570.00
01/10/2008,1,-152.50,65.00,-152.50,65.00,-152.50
01/11/2008,0,0.00,65.00,0.00,65.00,0.00
01/12/2008,0,0,65.00,0.00,65.00,0
01/13/2008,0,0.00,65.00,0.00,65.00,0.00
01/14/2008,0,0.00,65.00,0.00,65.00,0.00
01/15/2008,0,0.00,65.00,0.00,65.00,0.00
01/16/2008,4,2165.00,2230.00,2165.00,2230.00,2165.00
01/17/2008,0,0.00,2230.00,0.00,2230.00,0.00
01/18/2008,0,0.00,2230.00,0.00,2230.00,0.00
01/19/2008,0,0,2230.00,0.00,2230.00,0
01/20/2008,0,0.00,2230.00,0.00,2230.00,0.00
01/21/2008,0,0.00,2230.00,0.00,2230.00,0.00
01/22/2008,1,-15.00,2215.00,-15.00,2215.00,-15.00
01/23/2008,2,782.50,2997.50,782.50,2997.50,782.50
01/24/2008,2,-442.50,2555.00,-442.50,2555.00,-442.50
01/25/2008,0,0.00,2555.00,0.00,2555.00,0.00
01/26/2008,0,0,2555.00,0.00,2555.00,0
01/27/2008,0,0.00,2555.00,0.00,2555.00,0.00
01/28/2008,0,0.00,2555.00,0.00,2555.00,0.00
01/29/2008,1,-165.00,2390.00,-165.00,2390.00,-165.00
01/30/2008,0,0.00,2390.00,0.00,2390.00,0.00
01/31/2008,2,2632.50,5022.50,2632.50,5022.50,2632.50
02/01/2008,0,0.00,5022.50,-945.00,4077.50,-945.00
02/02/2008,0,0,5022.50,-945.00,4077.50,0
02/03/2008,1,-990.00,4032.50,-990.00,4032.50,-45.00
02/04/2008,0,0.00,4032.50,0.00,4032.50,0.00
02/05/2008,1,-1815.00,2217.50,-1815.00,2217.50,-1815.00
02/06/2008,2,-42.50,2175.00,-42.50,2175.00,-42.50
02/07/2008,1,922.50,3097.50,922.50,3097.50,922.50
02/08/2008,0,0.00,3097.50,630.00,3727.50,630.00
02/09/2008,0,0,3097.50,630.00,3727.50,0
02/10/2008,1,847.50,3945.00,847.50,3945.00,217.50
02/11/2008,0,0.00,3945.00,0.00,3945.00,0.00
02/12/2008,1,-315.00,3630.00,-315.00,3630.00,-315.00
02/13/2008,1,-702.50,2927.50,-702.50,2927.50,-702.50
02/14/2008,0,0.00,2927.50,0.00,2927.50,0.00
02/15/2008,0,0.00,2927.50,5.00,2932.50,5.00
02/16/2008,0,0,2927.50,5.00,2932.50,0
02/17/2008,1,72.50,3000.00,72.50,3000.00,67.50
02/18/2008,0,0.00,3000.00,0.00,3000.00,0.00
02/19/2008,1,810.00,3810.00,810.00,3810.00,810.00
02/20/2008,2,7.50,3817.50,7.50,3817.50,7.50
02/21/2008,0,0.00,3817.50,0.00,3817.50,0.00
02/22/2008,1,-15.00,3802.50,-15.00,3802.50,-15.00
02/23/2008,0,0,3802.50,0.00,3802.50,0
02/24/2008,0,0.00,3802.50,0.00,3802.50,0.00
02/25/2008,0,0.00,3802.50,0.00,3802.50,0.00
02/26/2008,1,-415.00,3387.50,-415.00,3387.50,-415.00
02/27/2008,1,485.00,3872.50,485.00,3872.50,485.00
02/28/2008,1,-427.50,3445.00,-427.50,3445.00,-427.50
02/29/2008,0,0.00,3445.00,0.00,3445.00,0.00
03/01/2008,0,0,3445.00,0.00,3445.00,0
