Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
03/25/2011,0,0.00,0.00,0.00,0.00,0.00
03/26/2011,0,0,0.00,0.00,0.00,0
03/27/2011,0,0,0.00,0.00,0.00,0
03/28/2011,1,335.00,335.00,335.00,335.00,335.00
03/29/2011,0,0.00,335.00,0.00,335.00,0.00
03/30/2011,0,0.00,335.00,0.00,335.00,0.00
03/31/2011,0,0.00,335.00,0.00,335.00,0.00
04/01/2011,0,0.00,335.00,0.00,335.00,0.00
04/02/2011,0,0,335.00,0.00,335.00,0
04/03/2011,0,0,335.00,0.00,335.00,0
04/04/2011,0,0.00,335.00,0.00,335.00,0.00
04/05/2011,0,0.00,335.00,0.00,335.00,0.00
04/06/2011,0,0.00,335.00,0.00,335.00,0.00
04/07/2011,0,0.00,335.00,0.00,335.00,0.00
04/08/2011,0,0.00,335.00,0.00,335.00,0.00
04/09/2011,0,0,335.00,0.00,335.00,0
04/10/2011,0,0,335.00,0.00,335.00,0
04/11/2011,0,0.00,335.00,0.00,335.00,0.00
04/12/2011,0,0.00,335.00,0.00,335.00,0.00
04/13/2011,0,0.00,335.00,0.00,335.00,0.00
04/14/2011,0,0.00,335.00,0.00,335.00,0.00
04/15/2011,0,0.00,335.00,0.00,335.00,0.00
04/16/2011,0,0,335.00,0.00,335.00,0
04/17/2011,0,0,335.00,0.00,335.00,0
04/18/2011,0,0.00,335.00,0.00,335.00,0.00
04/19/2011,0,0.00,335.00,0.00,335.00,0.00
04/20/2011,0,0.00,335.00,0.00,335.00,0.00
04/21/2011,0,0.00,335.00,-1497.50,-1162.50,-1497.50
04/22/2011,0,0,335.00,-1497.50,-1162.50,0
04/23/2011,0,0,335.00,-1497.50,-1162.50,0
04/24/2011,0,0,335.00,-1497.50,-1162.50,0
04/25/2011,0,0.00,335.00,-1077.50,-742.50,420.00
04/26/2011,1,-1105.00,-770.00,-1105.00,-770.00,-27.50
04/27/2011,0,0.00,-770.00,0.00,-770.00,0.00
04/28/2011,0,0.00,-770.00,992.50,222.50,992.50
04/29/2011,1,895.00,125.00,895.00,125.00,-97.50
04/30/2011,0,0,125.00,0.00,125.00,0
05/01/2011,0,0,125.00,0.00,125.00,0
05/02/2011,0,0.00,125.00,0.00,125.00,0.00
05/03/2011,0,0.00,125.00,0.00,125.00,0.00
05/04/2011,0,0.00,125.00,0.00,125.00,0.00
05/05/2011,0,0.00,125.00,0.00,125.00,0.00
05/06/2011,0,0.00,125.00,0.00,125.00,0.00
05/07/2011,0,0,125.00,0.00,125.00,0
05/08/2011,0,0,125.00,0.00,125.00,0
05/09/2011,0,0.00,125.00,0.00,125.00,0.00
05/10/2011,0,0.00,125.00,0.00,125.00,0.00
05/11/2011,0,0.00,125.00,0.00,125.00,0.00
05/12/2011,0,0.00,125.00,0.00,125.00,0.00
05/13/2011,0,0.00,125.00,0.00,125.00,0.00
05/14/2011,0,0,125.00,0.00,125.00,0
05/15/2011,0,0,125.00,0.00,125.00,0
05/16/2011,0,0.00,125.00,0.00,125.00,0.00
05/17/2011,0,0.00,125.00,0.00,125.00,0.00
