Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
01/10/2008,1,1150.00,1150.00,1150.00,1150.00,1150.00
01/11/2008,0,0.00,1150.00,0.00,1150.00,0.00
01/12/2008,0,0,1150.00,0.00,1150.00,0
01/13/2008,0,0.00,1150.00,0.00,1150.00,0.00
01/14/2008,0,0.00,1150.00,0.00,1150.00,0.00
01/15/2008,0,0.00,1150.00,0.00,1150.00,0.00
01/16/2008,0,0.00,1150.00,0.00,1150.00,0.00
01/17/2008,0,0.00,1150.00,-2020.00,-870.00,-2020.00
01/18/2008,0,0.00,1150.00,-1450.00,-300.00,570.00
01/19/2008,0,0,1150.00,-1450.00,-300.00,0
01/20/2008,0,0.00,1150.00,-1030.00,120.00,420.00
01/21/2008,1,-2580.00,-1430.00,-2580.00,-1430.00,-1550.00
01/22/2008,0,0.00,-1430.00,0.00,-1430.00,0.00
01/23/2008,0,0.00,-1430.00,0.00,-1430.00,0.00
01/24/2008,1,-50.00,-1480.00,-50.00,-1480.00,-50.00
01/25/2008,1,280.00,-1200.00,560.00,-1200.00,280.00
01/26/2008,0,0,-1200.00,280.00,-1200.00,0
01/27/2008,0,0.00,-1200.00,0.00,-1200.00,0.00
01/28/2008,0,0.00,-1200.00,-1730.00,-2930.00,-1730.00
01/29/2008,1,-2530.00,-3730.00,-2530.00,-3730.00,-800.00
01/30/2008,0,0.00,-3730.00,0.00,-3730.00,0.00
01/31/2008,0,0.00,-3730.00,-230.00,-3960.00,-230.00
02/01/2008,1,1850.00,-1880.00,3700.00,-1880.00,2080.00
02/02/2008,0,0,-1880.00,1850.00,-1880.00,0
02/03/2008,0,0.00,-1880.00,0.00,-1880.00,0.00
02/04/2008,0,0.00,-1880.00,0.00,-1880.00,0.00
02/05/2008,0,0.00,-1880.00,0.00,-1880.00,0.00
02/06/2008,0,0.00,-1880.00,0.00,-1880.00,0.00
02/07/2008,0,0.00,-1880.00,0.00,-1880.00,0.00
02/08/2008,1,2720.00,840.00,5440.00,840.00,2720.00
02/09/2008,0,0,840.00,2720.00,840.00,0
02/10/2008,0,0.00,840.00,0.00,840.00,0.00
02/11/2008,0,0.00,840.00,0.00,840.00,0.00
02/12/2008,0,0.00,840.00,0.00,840.00,0.00
02/13/2008,0,0.00,840.00,-1240.00,-400.00,-1240.00
02/14/2008,1,-2930.00,-2090.00,-2930.00,-2090.00,-1690.00
02/15/2008,0,0.00,-2090.00,0.00,-2090.00,0.00
02/16/2008,0,0,-2090.00,0.00,-2090.00,0
02/17/2008,0,0.00,-2090.00,0.00,-2090.00,0.00
02/18/2008,0,0.00,-2090.00,0.00,-2090.00,0.00
02/19/2008,0,0.00,-2090.00,0.00,-2090.00,0.00
02/20/2008,0,0.00,-2090.00,0.00,-2090.00,0.00
02/21/2008,1,510.00,-1580.00,510.00,-1580.00,510.00
02/22/2008,0,0.00,-1580.00,0.00,-1580.00,0.00
02/23/2008,0,0,-1580.00,0.00,-1580.00,0
02/24/2008,0,0.00,-1580.00,0.00,-1580.00,0.00
02/25/2008,0,0.00,-1580.00,0.00,-1580.00,0.00
02/26/2008,0,0.00,-1580.00,0.00,-1580.00,0.00
02/27/2008,0,0.00,-1580.00,0.00,-1580.00,0.00
02/28/2008,0,0.00,-1580.00,0.00,-1580.00,0.00
02/29/2008,0,0.00,-1580.00,0.00,-1580.00,0.00
03/01/2008,0,0,-1580.00,0.00,-1580.00,0
03/02/2008,0,0.00,-1580.00,0.00,-1580.00,0.00
03/03/2008,0,0.00,-1580.00,-1050.00,-2630.00,-1050.00
03/04/2008,1,1420.00,-160.00,1420.00,-160.00,2470.00
03/05/2008,1,1290.00,1130.00,1290.00,1130.00,1290.00
03/06/2008,0,0.00,1130.00,0.00,1130.00,0.00
03/07/2008,0,0.00,1130.00,0.00,1130.00,0.00
03/08/2008,0,0,1130.00,0.00,1130.00,0
03/09/2008,0,0.00,1130.00,0.00,1130.00,0.00
03/10/2008,0,0.00,1130.00,0.00,1130.00,0.00
03/11/2008,0,0.00,1130.00,0.00,1130.00,0.00
03/12/2008,0,0.00,1130.00,0.00,1130.00,0.00
03/13/2008,0,0.00,1130.00,0.00,1130.00,0.00
03/14/2008,0,0.00,1130.00,0.00,1130.00,0.00
03/15/2008,0,0,1130.00,0.00,1130.00,0
03/16/2008,0,0.00,1130.00,0.00,1130.00,0.00
03/17/2008,1,2670.00,3800.00,2670.00,3800.00,2670.00
03/18/2008,0,0.00,3800.00,0.00,3800.00,0.00
03/19/2008,1,2240.00,6040.00,2240.00,6040.00,2240.00
03/20/2008,0,0.00,6040.00,0.00,6040.00,0.00
03/21/2008,0,0,6040.00,0.00,6040.00,0
