Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
12/31/2007,0,0.00,23222.50,0.00,23222.50,0.00
01/01/2008,0,0,23222.50,0.00,23222.50,0
01/02/2008,0,0.00,23222.50,0.00,23222.50,0.00
01/03/2008,0,0.00,23222.50,0.00,23222.50,0.00
01/04/2008,0,0.00,23222.50,0.00,23222.50,0.00
01/05/2008,0,0,23222.50,0.00,23222.50,0
01/06/2008,0,0.00,23222.50,0.00,23222.50,0.00
01/07/2008,1,382.50,23605.00,382.50,23605.00,382.50
01/08/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/09/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/10/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/11/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/12/2008,0,0,23605.00,0.00,23605.00,0
01/13/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/14/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/15/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/16/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/17/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/18/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/19/2008,0,0,23605.00,0.00,23605.00,0
01/20/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/21/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/22/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/23/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/24/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/25/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/26/2008,0,0,23605.00,0.00,23605.00,0
01/27/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/28/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/29/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/30/2008,0,0.00,23605.00,0.00,23605.00,0.00
01/31/2008,0,0.00,23605.00,0.00,23605.00,0.00
02/01/2008,0,0.00,23605.00,0.00,23605.00,0.00
02/02/2008,0,0,23605.00,0.00,23605.00,0
02/03/2008,0,0.00,23605.00,0.00,23605.00,0.00
02/04/2008,0,0.00,23605.00,0.00,23605.00,0.00
02/05/2008,1,1632.50,25237.50,1632.50,25237.50,1632.50
02/06/2008,0,0.00,25237.50,0.00,25237.50,0.00
02/07/2008,0,0.00,25237.50,0.00,25237.50,0.00
02/08/2008,0,0.00,25237.50,0.00,25237.50,0.00
02/09/2008,0,0,25237.50,0.00,25237.50,0
02/10/2008,0,0.00,25237.50,0.00,25237.50,0.00
02/11/2008,0,0.00,25237.50,0.00,25237.50,0.00
02/12/2008,0,0.00,25237.50,0.00,25237.50,0.00
02/13/2008,0,0.00,25237.50,0.00,25237.50,0.00
02/14/2008,0,0.00,25237.50,0.00,25237.50,0.00
02/15/2008,0,0.00,25237.50,0.00,25237.50,0.00
02/16/2008,0,0,25237.50,0.00,25237.50,0
02/17/2008,0,0.00,25237.50,0.00,25237.50,0.00
02/18/2008,0,0.00,25237.50,0.00,25237.50,0.00
02/19/2008,0,0.00,25237.50,0.00,25237.50,0.00
02/20/2008,0,0.00,25237.50,0.00,25237.50,0.00
02/21/2008,0,0.00,25237.50,0.00,25237.50,0.00
02/22/2008,0,0.00,25237.50,-227.50,25010.00,-227.50
02/23/2008,0,0,25237.50,-227.50,25010.00,0
02/24/2008,0,0.00,25237.50,-102.50,25135.00,125.00
02/25/2008,0,0.00,25237.50,-240.00,24997.50,-137.50
02/26/2008,1,-542.50,24695.00,-542.50,24695.00,-302.50
02/27/2008,0,0.00,24695.00,0.00,24695.00,0.00
02/28/2008,0,0.00,24695.00,0.00,24695.00,0.00
02/29/2008,0,0.00,24695.00,-15.00,24680.00,-15.00
03/01/2008,0,0,24695.00,-15.00,24680.00,0
03/02/2008,0,0.00,24695.00,-302.50,24392.50,-287.50
03/03/2008,1,70.00,24765.00,70.00,24765.00,372.50
03/04/2008,0,0.00,24765.00,-65.00,24700.00,-65.00
03/05/2008,1,-567.50,24197.50,-567.50,24197.50,-502.50
03/06/2008,0,0.00,24197.50,0.00,24197.50,0.00
03/07/2008,0,0.00,24197.50,0.00,24197.50,0.00
03/08/2008,0,0,24197.50,0.00,24197.50,0
03/09/2008,0,0.00,24197.50,0.00,24197.50,0.00
03/10/2008,0,0.00,24197.50,0.00,24197.50,0.00
03/11/2008,1,-42.50,24155.00,-42.50,24155.00,-42.50
03/12/2008,0,0.00,24155.00,0.00,24155.00,0.00
03/13/2008,0,0.00,24155.00,0.00,24155.00,0.00
03/14/2008,0,0.00,24155.00,0.00,24155.00,0.00
03/15/2008,0,0,24155.00,0.00,24155.00,0
03/16/2008,0,0.00,24155.00,0.00,24155.00,0.00
03/17/2008,0,0.00,24155.00,0.00,24155.00,0.00
03/18/2008,0,0.00,24155.00,0.00,24155.00,0.00
03/19/2008,0,0.00,24155.00,0.00,24155.00,0.00
03/20/2008,1,132.50,24287.50,132.50,24287.50,132.50
03/21/2008,0,0,24287.50,0.00,24287.50,0
03/22/2008,0,0,24287.50,0.00,24287.50,0
03/23/2008,0,0.00,24287.50,0.00,24287.50,0.00
03/24/2008,0,0.00,24287.50,0.00,24287.50,0.00
03/25/2008,0,0.00,24287.50,0.00,24287.50,0.00
03/26/2008,0,0.00,24287.50,0.00,24287.50,0.00
03/27/2008,0,0.00,24287.50,0.00,24287.50,0.00
03/28/2008,1,-455.00,23832.50,-455.00,23832.50,-455.00
03/29/2008,0,0,23832.50,0.00,23832.50,0
03/30/2008,0,0.00,23832.50,0.00,23832.50,0.00
03/31/2008,0,0.00,23832.50,0.00,23832.50,0.00
04/01/2008,0,0.00,23832.50,0.00,23832.50,0.00
04/02/2008,0,0.00,23832.50,0.00,23832.50,0.00
04/03/2008,1,220.00,24052.50,220.00,24052.50,220.00
04/04/2008,0,0.00,24052.50,0.00,24052.50,0.00
04/05/2008,0,0,24052.50,0.00,24052.50,0
04/06/2008,0,0.00,24052.50,0.00,24052.50,0.00
04/07/2008,1,-317.50,23735.00,-317.50,23735.00,-317.50
04/08/2008,0,0.00,23735.00,-327.50,23407.50,-327.50
04/09/2008,1,332.50,24067.50,332.50,24067.50,660.00
04/10/2008,0,0.00,24067.50,0.00,24067.50,0.00
04/11/2008,0,0.00,24067.50,0.00,24067.50,0.00
04/12/2008,0,0,24067.50,0.00,24067.50,0
