Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
01/02/2008,1,-125.00,-125.00,-125.00,-125.00,-125.00
01/03/2008,1,-262.50,-387.50,-262.50,-387.50,-262.50
01/04/2008,0,0.00,-387.50,0.00,-387.50,0.00
01/05/2008,0,0,-387.50,0.00,-387.50,0
01/06/2008,0,0,-387.50,0.00,-387.50,0
01/07/2008,0,0.00,-387.50,0.00,-387.50,0.00
01/08/2008,2,-912.50,-1300.00,-912.50,-1300.00,-912.50
01/09/2008,0,0.00,-1300.00,0.00,-1300.00,0.00
01/10/2008,3,-162.50,-1462.50,-162.50,-1462.50,-162.50
01/11/2008,2,-1037.50,-2500.00,-1037.50,-2500.00,-1037.50
01/12/2008,0,0,-2500.00,0.00,-2500.00,0
01/13/2008,0,0,-2500.00,0.00,-2500.00,0
01/14/2008,1,262.50,-2237.50,262.50,-2237.50,262.50
01/15/2008,1,562.50,-1675.00,562.50,-1675.00,562.50
01/16/2008,1,-437.50,-2112.50,-437.50,-2112.50,-437.50
01/17/2008,3,1500.00,-612.50,1500.00,-612.50,1500.00
01/18/2008,0,0.00,-612.50,0.00,-612.50,0.00
01/19/2008,0,0,-612.50,0.00,-612.50,0
01/20/2008,0,0,-612.50,0.00,-612.50,0
01/21/2008,0,0,-612.50,0.00,-612.50,0
01/22/2008,0,0.00,-612.50,0.00,-612.50,0.00
01/23/2008,2,2125.00,1512.50,2125.00,1512.50,2125.00
01/24/2008,1,512.50,2025.00,512.50,2025.00,512.50
01/25/2008,2,-1325.00,700.00,-1325.00,700.00,-1325.00
01/26/2008,0,0,700.00,0.00,700.00,0
01/27/2008,0,0,700.00,0.00,700.00,0
01/28/2008,0,0.00,700.00,0.00,700.00,0.00
01/29/2008,1,0.00,700.00,0.00,700.00,0.00
01/30/2008,2,400.00,1100.00,400.00,1100.00,400.00
01/31/2008,1,-737.50,362.50,-737.50,362.50,-737.50
02/01/2008,1,775.00,1137.50,775.00,1137.50,775.00
02/02/2008,0,0,1137.50,0.00,1137.50,0
02/03/2008,0,0,1137.50,0.00,1137.50,0
02/04/2008,1,-162.50,975.00,-162.50,975.00,-162.50
02/05/2008,1,975.00,1950.00,975.00,1950.00,975.00
02/06/2008,1,1062.50,3012.50,1062.50,3012.50,1062.50
02/07/2008,3,-962.50,2050.00,-962.50,2050.00,-962.50
02/08/2008,4,-950.00,1100.00,-950.00,1100.00,-950.00
02/09/2008,0,0,1100.00,0.00,1100.00,0
02/10/2008,0,0,1100.00,0.00,1100.00,0
02/11/2008,0,0.00,1100.00,0.00,1100.00,0.00
02/12/2008,4,612.50,1712.50,612.50,1712.50,612.50
02/13/2008,2,-587.50,1125.00,-587.50,1125.00,-587.50
02/14/2008,0,0.00,1125.00,0.00,1125.00,0.00
02/15/2008,1,-75.00,1050.00,-75.00,1050.00,-75.00
02/16/2008,0,0,1050.00,0.00,1050.00,0
02/17/2008,0,0,1050.00,0.00,1050.00,0
02/18/2008,0,0,1050.00,0.00,1050.00,0
02/19/2008,2,-387.50,662.50,-387.50,662.50,-387.50
02/20/2008,1,-800.00,-137.50,-800.00,-137.50,-800.00
02/21/2008,2,112.50,-25.00,112.50,-25.00,112.50
02/22/2008,1,-512.50,-537.50,-512.50,-537.50,-512.50
02/23/2008,0,0,-537.50,0.00,-537.50,0
02/24/2008,0,0,-537.50,0.00,-537.50,0
02/25/2008,1,500.00,-37.50,500.00,-37.50,500.00
02/26/2008,1,575.00,537.50,575.00,537.50,575.00
02/27/2008,0,0.00,537.50,0.00,537.50,0.00
02/28/2008,1,162.50,700.00,162.50,700.00,162.50
02/29/2008,2,1037.50,1737.50,1037.50,1737.50,1037.50
03/01/2008,0,0,1737.50,0.00,1737.50,0
03/02/2008,0,0,1737.50,0.00,1737.50,0
03/03/2008,2,-675.00,1062.50,-675.00,1062.50,-675.00
03/04/2008,1,-137.50,925.00,-137.50,925.00,-137.50
03/05/2008,2,-987.50,-62.50,-987.50,-62.50,-987.50
03/06/2008,1,1037.50,975.00,1037.50,975.00,1037.50
03/07/2008,0,0.00,975.00,0.00,975.00,0.00
03/08/2008,0,0,975.00,0.00,975.00,0
03/09/2008,0,0,975.00,0.00,975.00,0
03/10/2008,1,650.00,1625.00,650.00,1625.00,650.00
03/11/2008,2,462.50,2087.50,462.50,2087.50,462.50
03/12/2008,5,-312.50,1775.00,-312.50,1775.00,-312.50
03/13/2008,1,-800.00,975.00,-800.00,975.00,-800.00
03/14/2008,2,-887.50,87.50,-887.50,87.50,-887.50
03/15/2008,0,0,87.50,0.00,87.50,0
03/16/2008,0,0,87.50,0.00,87.50,0
03/17/2008,2,-850.00,-762.50,-850.00,-762.50,-850.00
03/18/2008,1,1200.00,437.50,1200.00,437.50,1200.00
03/19/2008,3,1500.00,1937.50,1500.00,1937.50,1500.00
03/20/2008,0,0.00,1937.50,0.00,1937.50,0.00
03/21/2008,0,0,1937.50,0.00,1937.50,0
03/22/2008,0,0,1937.50,0.00,1937.50,0
03/23/2008,0,0,1937.50,0.00,1937.50,0
03/24/2008,1,587.50,2525.00,587.50,2525.00,587.50
03/25/2008,1,-37.50,2487.50,-37.50,2487.50,-37.50
03/26/2008,0,0.00,2487.50,0.00,2487.50,0.00
03/27/2008,1,425.00,2912.50,425.00,2912.50,425.00
03/28/2008,1,487.50,3400.00,487.50,3400.00,487.50
03/29/2008,0,0,3400.00,0.00,3400.00,0
03/30/2008,0,0,3400.00,0.00,3400.00,0
03/31/2008,0,0.00,3400.00,0.00,3400.00,0.00
04/01/2008,2,1525.00,4925.00,1525.00,4925.00,1525.00
04/02/2008,0,0.00,4925.00,0.00,4925.00,0.00
04/03/2008,0,0.00,4925.00,0.00,4925.00,0.00
04/04/2008,1,-262.50,4662.50,-262.50,4662.50,-262.50
04/05/2008,0,0,4662.50,0.00,4662.50,0
04/06/2008,0,0,4662.50,0.00,4662.50,0
04/07/2008,1,-225.00,4437.50,-225.00,4437.50,-225.00
04/08/2008,0,0.00,4437.50,0.00,4437.50,0.00
04/09/2008,1,212.50,4650.00,212.50,4650.00,212.50
04/10/2008,0,0.00,4650.00,0.00,4650.00,0.00
04/11/2008,1,587.50,5237.50,587.50,5237.50,587.50
04/12/2008,0,0,5237.50,0.00,5237.50,0
04/13/2008,0,0,5237.50,0.00,5237.50,0
04/14/2008,0,0.00,5237.50,0.00,5237.50,0.00
04/15/2008,1,-387.50,4850.00,-387.50,4850.00,-387.50
04/16/2008,1,887.50,5737.50,887.50,5737.50,887.50
04/17/2008,2,-112.50,5625.00,-112.50,5625.00,-112.50
04/18/2008,1,125.00,5750.00,125.00,5750.00,125.00
04/19/2008,0,0,5750.00,0.00,5750.00,0
04/20/2008,0,0,5750.00,0.00,5750.00,0
04/21/2008,0,0.00,5750.00,0.00,5750.00,0.00
04/22/2008,0,0.00,5750.00,0.00,5750.00,0.00
04/23/2008,2,-287.50,5462.50,-287.50,5462.50,-287.50
04/24/2008,0,0.00,5462.50,0.00,5462.50,0.00
