Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
12/31/2007,0,0.00,892.50,966.88,1859.38,437.50
01/01/2008,0,0,892.50,966.88,1859.38,0
01/02/2008,0,0.00,892.50,1826.25,2718.75,859.38
01/03/2008,0,0.00,892.50,1935.63,2828.13,109.38
01/04/2008,0,0.00,892.50,2388.75,3281.25,453.13
01/05/2008,0,0,892.50,2388.75,3281.25,0
01/06/2008,0,0,892.50,2388.75,3281.25,0
01/07/2008,0,0.00,892.50,2685.63,3578.13,296.88
01/08/2008,0,0.00,892.50,3107.50,4000.00,421.88
01/09/2008,0,0.00,892.50,2716.88,3609.38,-390.63
01/10/2008,0,0.00,892.50,2341.88,3234.38,-375.00
01/11/2008,0,0.00,892.50,3138.75,4031.25,796.88
01/12/2008,0,0,892.50,3138.75,4031.25,0
01/13/2008,0,0,892.50,3138.75,4031.25,0
01/14/2008,0,0.00,892.50,3123.13,4015.63,-15.63
01/15/2008,0,0.00,892.50,3873.13,4765.63,750.00
01/16/2008,0,0.00,892.50,3420.00,4312.50,-453.13
01/17/2008,0,0.00,892.50,4201.25,5093.75,781.25
01/18/2008,0,0.00,892.50,4279.38,5171.88,78.13
01/19/2008,0,0,892.50,4279.38,5171.88,0
01/20/2008,0,0,892.50,4279.38,5171.88,0
01/21/2008,0,0,892.50,4279.38,5171.88,0
01/22/2008,1,4965.00,5857.50,4965.00,5857.50,685.63
01/23/2008,0,0.00,5857.50,0.00,5857.50,0.00
01/24/2008,0,0.00,5857.50,0.00,5857.50,0.00
01/25/2008,0,0.00,5857.50,0.00,5857.50,0.00
01/26/2008,0,0,5857.50,0.00,5857.50,0
01/27/2008,0,0,5857.50,0.00,5857.50,0
01/28/2008,0,0.00,5857.50,0.00,5857.50,0.00
01/29/2008,0,0.00,5857.50,0.00,5857.50,0.00
01/30/2008,0,0.00,5857.50,0.00,5857.50,0.00
01/31/2008,0,0.00,5857.50,0.00,5857.50,0.00
02/01/2008,0,0.00,5857.50,0.00,5857.50,0.00
02/02/2008,0,0,5857.50,0.00,5857.50,0
02/03/2008,0,0,5857.50,0.00,5857.50,0
02/04/2008,0,0.00,5857.50,0.00,5857.50,0.00
02/05/2008,0,0.00,5857.50,763.75,6621.25,763.75
02/06/2008,0,0.00,5857.50,638.75,6496.25,-125.00
02/07/2008,0,0.00,5857.50,-517.50,5340.00,-1156.25
02/08/2008,1,-566.25,5291.25,-566.25,5291.25,-48.75
02/09/2008,0,0,5291.25,0.00,5291.25,0
02/10/2008,0,0,5291.25,0.00,5291.25,0
02/11/2008,0,0.00,5291.25,0.00,5291.25,0.00
02/12/2008,0,0.00,5291.25,0.00,5291.25,0.00
02/13/2008,0,0.00,5291.25,0.00,5291.25,0.00
02/14/2008,0,0.00,5291.25,0.00,5291.25,0.00
02/15/2008,0,0.00,5291.25,0.00,5291.25,0.00
02/16/2008,0,0,5291.25,0.00,5291.25,0
02/17/2008,0,0,5291.25,0.00,5291.25,0
02/18/2008,0,0,5291.25,0.00,5291.25,0
02/19/2008,0,0.00,5291.25,0.00,5291.25,0.00
02/20/2008,0,0.00,5291.25,0.00,5291.25,0.00
02/21/2008,0,0.00,5291.25,0.00,5291.25,0.00
02/22/2008,0,0.00,5291.25,295.00,5586.25,295.00
02/23/2008,0,0,5291.25,295.00,5586.25,0
02/24/2008,0,0,5291.25,295.00,5586.25,0
02/25/2008,0,0.00,5291.25,1138.75,6430.00,843.75
02/26/2008,0,0.00,5291.25,732.50,6023.75,-406.25
02/27/2008,0,0.00,5291.25,763.75,6055.00,31.25
02/28/2008,0,0.00,5291.25,-767.50,4523.75,-1531.25
02/29/2008,0,0.00,5291.25,-2080.00,3211.25,-1312.50
03/01/2008,0,0,5291.25,-2080.00,3211.25,0
03/02/2008,0,0,5291.25,-2080.00,3211.25,0
03/03/2008,0,0.00,5291.25,-1736.25,3555.00,343.75
03/04/2008,0,0.00,5291.25,-1345.63,3945.63,390.63
03/05/2008,0,0.00,5291.25,-1048.75,4242.50,296.88
03/06/2008,0,0.00,5291.25,-1626.88,3664.38,-578.13
03/07/2008,1,-2535.00,2756.25,-2318.13,2973.13,-691.25
03/08/2008,0,0,2756.25,216.88,2973.13,0
03/09/2008,0,0,2756.25,216.88,2973.13,0
03/10/2008,0,0.00,2756.25,-220.63,2535.63,-437.50
03/11/2008,0,0.00,2756.25,951.25,3707.50,1171.88
03/12/2008,0,0.00,2756.25,-95.63,2660.63,-1046.88
03/13/2008,0,0.00,2756.25,29.38,2785.63,125.00
03/14/2008,1,-113.13,2643.13,-113.13,2643.13,-142.50
03/15/2008,0,0,2643.13,0.00,2643.13,0
03/16/2008,0,0,2643.13,0.00,2643.13,0
03/17/2008,0,0.00,2643.13,-392.50,2250.63,-392.50
03/18/2008,0,0.00,2643.13,638.75,3281.88,1031.25
03/19/2008,0,0.00,2643.13,-376.88,2266.25,-1015.63
03/20/2008,0,0.00,2643.13,-298.75,2344.38,78.13
03/21/2008,0,0,2643.13,-298.75,2344.38,0
03/22/2008,0,0,2643.13,-298.75,2344.38,0
03/23/2008,0,0,2643.13,-298.75,2344.38,0
03/24/2008,0,0.00,2643.13,1388.75,4031.88,1687.50
03/25/2008,0,0.00,2643.13,966.88,3610.00,-421.88
03/26/2008,0,0.00,2643.13,451.25,3094.38,-515.63
03/27/2008,0,0.00,2643.13,998.13,3641.25,546.88
03/28/2008,0,0.00,2643.13,529.38,3172.50,-468.75
03/29/2008,0,0,2643.13,529.38,3172.50,0
03/30/2008,0,0,2643.13,529.38,3172.50,0
03/31/2008,0,0.00,2643.13,295.00,2938.13,-234.38
04/01/2008,1,324.38,2967.50,324.38,2967.50,29.38
04/02/2008,0,0.00,2967.50,0.00,2967.50,0.00
04/03/2008,0,0.00,2967.50,0.00,2967.50,0.00
04/04/2008,0,0.00,2967.50,0.00,2967.50,0.00
04/05/2008,0,0,2967.50,0.00,2967.50,0
04/06/2008,0,0,2967.50,0.00,2967.50,0
04/07/2008,0,0.00,2967.50,0.00,2967.50,0.00
04/08/2008,0,0.00,2967.50,0.00,2967.50,0.00
04/09/2008,0,0.00,2967.50,0.00,2967.50,0.00
04/10/2008,0,0.00,2967.50,0.00,2967.50,0.00
04/11/2008,0,0.00,2967.50,0.00,2967.50,0.00
04/12/2008,0,0,2967.50,0.00,2967.50,0
04/13/2008,0,0,2967.50,0.00,2967.50,0
04/14/2008,0,0.00,2967.50,545.00,3512.50,545.00
04/15/2008,1,496.25,3463.75,496.25,3463.75,-48.75
04/16/2008,0,0.00,3463.75,0.00,3463.75,0.00
04/17/2008,0,0.00,3463.75,0.00,3463.75,0.00
04/18/2008,0,0.00,3463.75,0.00,3463.75,0.00
04/19/2008,0,0,3463.75,0.00,3463.75,0
04/20/2008,0,0,3463.75,0.00,3463.75,0
04/21/2008,0,0.00,3463.75,0.00,3463.75,0.00
04/22/2008,0,0.00,3463.75,0.00,3463.75,0.00
04/23/2008,0,0.00,3463.75,0.00,3463.75,0.00
04/24/2008,0,0.00,3463.75,0.00,3463.75,0.00
04/25/2008,0,0.00,3463.75,0.00,3463.75,0.00
04/26/2008,0,0,3463.75,0.00,3463.75,0
04/27/2008,0,0,3463.75,0.00,3463.75,0
04/28/2008,0,0.00,3463.75,0.00,3463.75,0.00
04/29/2008,0,0.00,3463.75,0.00,3463.75,0.00
04/30/2008,0,0.00,3463.75,-205.00,3258.75,-205.00
05/01/2008,0,0.00,3463.75,170.00,3633.75,375.00
05/02/2008,1,199.38,3663.13,199.38,3663.13,29.38
05/03/2008,0,0,3663.13,0.00,3663.13,0
05/04/2008,0,0,3663.13,0.00,3663.13,0
05/05/2008,0,0.00,3663.13,0.00,3663.13,0.00
05/06/2008,0,0.00,3663.13,0.00,3663.13,0.00
05/07/2008,0,0.00,3663.13,0.00,3663.13,0.00
05/08/2008,0,0.00,3663.13,-501.88,3161.25,-501.88
05/09/2008,0,0.00,3663.13,-595.63,3067.50,-93.75
05/10/2008,0,0,3663.13,-595.63,3067.50,0
05/11/2008,0,0,3663.13,-595.63,3067.50,0
05/12/2008,0,0.00,3663.13,-423.75,3239.38,171.88
05/13/2008,1,-410.00,3253.13,-410.00,3253.13,13.75
05/14/2008,0,0.00,3253.13,0.00,3253.13,0.00
05/15/2008,0,0.00,3253.13,0.00,3253.13,0.00
05/16/2008,0,0.00,3253.13,0.00,3253.13,0.00
05/17/2008,0,0,3253.13,0.00,3253.13,0
05/18/2008,0,0,3253.13,0.00,3253.13,0
05/19/2008,0,0.00,3253.13,0.00,3253.13,0.00
05/20/2008,0,0.00,3253.13,0.00,3253.13,0.00
05/21/2008,0,0.00,3253.13,0.00,3253.13,0.00
05/22/2008,0,0.00,3253.13,0.00,3253.13,0.00
05/23/2008,0,0.00,3253.13,0.00,3253.13,0.00
05/24/2008,0,0,3253.13,0.00,3253.13,0
05/25/2008,0,0,3253.13,0.00,3253.13,0
05/26/2008,0,0,3253.13,0.00,3253.13,0
05/27/2008,0,0.00,3253.13,0.00,3253.13,0.00
05/28/2008,0,0.00,3253.13,0.00,3253.13,0.00
05/29/2008,0,0.00,3253.13,0.00,3253.13,0.00
05/30/2008,0,0.00,3253.13,107.50,3360.63,107.50
05/31/2008,0,0,3253.13,107.50,3360.63,0
06/01/2008,0,0,3253.13,107.50,3360.63,0
06/02/2008,0,0.00,3253.13,1201.25,4454.38,1093.75
06/03/2008,0,0.00,3253.13,1935.63,5188.75,734.38
06/04/2008,0,0.00,3253.13,1482.50,4735.63,-453.13
06/05/2008,0,0.00,3253.13,935.63,4188.75,-546.88
06/06/2008,0,0.00,3253.13,1982.50,5235.63,1046.88
06/07/2008,0,0,3253.13,1982.50,5235.63,0
06/08/2008,0,0,3253.13,1982.50,5235.63,0
06/09/2008,0,0.00,3253.13,966.88,4220.00,-1015.63
06/10/2008,0,0.00,3253.13,-1.88,3251.25,-968.75
06/11/2008,0,0.00,3253.13,373.13,3626.25,375.00
06/12/2008,1,355.63,3608.75,355.63,3608.75,-17.50
06/13/2008,0,0.00,3608.75,0.00,3608.75,0.00
06/14/2008,0,0,3608.75,0.00,3608.75,0
06/15/2008,0,0,3608.75,0.00,3608.75,0
06/16/2008,0,0.00,3608.75,-64.38,3544.38,-64.38
06/17/2008,0,0.00,3608.75,623.13,4231.88,687.50
06/18/2008,0,0.00,3608.75,1232.50,4841.25,609.38
06/19/2008,0,0.00,3608.75,576.25,4185.00,-656.25
06/20/2008,1,699.38,4308.13,699.38,4308.13,123.13
06/21/2008,0,0,4308.13,0.00,4308.13,0
06/22/2008,0,0,4308.13,0.00,4308.13,0
